titles,authors,date,source,descriptions,citations
Joint structural break detection and parameter estimation in high-dimensional nonstationary VAR models,"Abolfazl Safikhani, Ali Shojaie",2022/1/2,Journal Journal of the American Statistical Association,"Assuming stationarity is unrealistic in many time series applications. A more realistic alternative is to assume piecewise stationarity, where the model can change at potentially many change points. We propose a three-stage procedure for simultaneous estimation of change points and parameters of high-dimensional piecewise vector autoregressive (VAR) models. In the first step, we reformulate the change point detection problem as a high-dimensional variable selection one, and solve it using a penalized least square estimator with a total variation penalty. We show that the penalized estimation method over-estimates the number of change points, and propose a selection criterion to identify the change points. In the last step of our procedure, we estimate the VAR parameters in each of the segments. We prove that the proposed procedure consistently detects the number and location of change points, and provides …",56
Spatio-temporal modeling of yellow taxi demands in New York City using generalized STAR models,"Abolfazl Safikhani, Camille Kamga, Sandeep Mudigonda, Sabiheh Sadat Faghih, Bahman Moghimi",2020/7/1,Journal International Journal of Forecasting,"The spatio-temporal variation in the demand for transportation, particularly taxis, in the highly dynamic urban space of a metropolis such as New York City is impacted by various factors such as commuting, weather, road work and closures, disruptions in transit services, etc. This study endeavors to explain the user demand for taxis through space and time by proposing a generalized spatio-temporal autoregressive (STAR) model. It deals with the high dimensionality of the model by proposing the use of LASSO-type penalized methods for tackling parameter estimation. The forecasting performance of the proposed models is measured using the out-of-sample mean squared prediction error (MSPE), and the proposed models are found to outperform other alternative models such as vector autoregressive (VAR) models. The proposed modeling framework has an easily interpretable parameter structure and is suitable …",40
Investigation on range anxiety and safety buffer of battery electric vehicle drivers,"Quan Yuan, Wei Hao, Haotian Su, Guanwen Bing, Xinyuan Gui, Abolfazl Safikhani",2018/6/13,Journal Journal of Advanced Transportation,"Drivers tend to have more range anxiety compared with driving traditional fuel vehicles if they are driving battery electric vehicle (BEV) with a long trip. Range anxiety could potentially have negative effect on driver’s emotions and behaviors. In order to understand this behavior and improve the related safety issues, this paper will focus on BEV drivers’ study in China. A survey on BEV drivers’ actual range anxiety as well as the effect of range anxiety on drivers’ behaviors is conducted in this research. Levels of feelings and attitudes of the interviewees are quantized with Likert scales using mathematical tools of the relationship. Safety buffer is defined as a measurement of the period given range anxiety starting to significantly intervene in driver’s operation. The research reveals the proportional quotative relationship between BEV drivers’ safety buffer and the mileage of trip. Factors, including driving experience, satisfactory level of recharge accessibility, and resistibility to emotions, are found to be significant contributing factors to influence the perceived range anxiety level of BEV drivers. This research will provide implications to the future study on the interface design of BEV.",40
Cycle-length prediction in actuated traffic-signal control using ARIMA model,"Bahman Moghimi, Abolfazl Safikhani, Camille Kamga, Wei Hao",2018/3/1,Journal Journal of Computing in Civil Engineering,"In urban transportation systems, the traffic signal is the main component in controlling traffic congestion. Using actuated traffic control as one of the traffic-controlling systems can cause fewer delays for transportation users, specifically when it comes to an isolated intersection. Although actuated signal control has many benefits, the prediction of cycle length is cumbersome because it varies from time to time. The value of signal cycle length in actuated control depends on many parameters. In this research, the authors attempted to understand whether any dependence existed between the current value of the cycle length and its previous values. To capture the dependence among cycle length data, time series analysis was applied over the data, which were obtained from the simulated fully actuated signal. The behavior of the signal’s cycle length under different levels of demand was analyzed, and, based on sample …",31
Non-stationary Spatio-Temporal Modeling of COVID-19 Progression in The US,"Yue Bai, Abolfazl Safikhani, George Michailidis",2020/9/18,Journal medRxiv,"The fast transmission rate of COVID-19 worldwide has made this virus the most important challenge of year 2020. Many mitigation policies have been imposed by the governments at different regional levels (country, state, county, and city) to stop the spread of this virus. Quantifying the effect of such mitigation strategies on the transmission and recovery rates, and predicting the rate of new daily cases are two crucial tasks. In this paper, we propose a modeling framework which not only accounts for such policies but also utilizes the spatial and temporal information to characterize the pattern of COVID-19 progression. Specifically, a piecewise susceptible-infected-recovered (SIR) model is developed while the dates at which the transmission/recover rates change significantly are defined as “break points” in this model. A novel and data-driven algorithm is designed to locate the break points using ideas from fused lasso and thresholding. In order to enhance the forecasting power and to describe additional temporal dependence among the daily number of cases, this model is further coupled with spatial smoothing covariates and vector auto-regressive (VAR) model. The proposed model is applied to several U.S. states and counties, and the results confirm the effect of “stay-at-home orders” and some states’ early “re-openings” by detecting break points close to such events. Further, the model performed satisfactorily short-term forecasts of the number of new daily cases at regional levels by utilizing the estimated spatio-temporal covariance structures. Finally, some theoretical results and empirical performance of the proposed methodology on synthetic …",23
Predicting short-term uber demand in new york city using spatiotemporal modeling,"SS Faghih, A Safikhani, B Moghimi, C Kamga",2019/5/1,Journal Journal of Computing in Civil Engineering,"The demand for e-hailing services is growing rapidly, especially in large cities. Uber is the first and most popular e-hailing company in the United States and New York City (NYC). A comparison of the demand for yellow cabs and Uber in NYC in 2014 and 2015 shows that the demand for Uber has increased. However, this demand may not be distributed uniformly either spatially or temporally. Using spatiotemporal models can help us to better understand the demand for e-hailing services and to predict it more accurately. This paper proposes a new approach for analyzing and predicting the Uber demand. Moreover, the prediction performances of several statistical models are compared including one temporal model [vector autoregressive (VAR)] and two proposed spatiotemporal models [spatial-temporal autoregressive (STAR) and least absolute shrinkage and selection operator applied on STAR (LASSO-STAR …",20
PROMIS and legacy measures compared in a supportive care intervention for breast cancer patients and caregivers: Experience from a randomized trial,"Alla Sikorskii, David Victorson, Patrick O'Connor, Vered Hankin, Abolfazl Safikhani, Tracy Crane, Terry Badger, Gwen Wyatt",2018/9,Journal Psycho‐oncology,"Accurate and efficient measurement of patient‐reported outcomes is key in cancer symptom management trials. The newer Patient Reported Outcomes Measurement Information System (PROMIS) and previously developed measures of similar conceptual content (legacy) are available to measure symptoms and functioning. This report compares the performance of two sets of measures, PROMIS and legacy, in a recently completed trial of a supportive care intervention that enrolled breast cancer patients and their friend or family caregivers.",15
Short-term prediction of signal cycle on an arterial with actuated-uncoordinated control using sparse time series models,"Bahman Moghimi, Abolfazl Safikhani, Camille Kamga, Wei Hao, Jiaqi Ma",2018/10/30,Journal IEEE Transactions on Intelligent Transportation Systems,"Traffic signals as part of intelligent transportation systems can play a significant role in making cities smart. Conventionally, most traffic lights are designed with fixed-time control, which induces a lot of slack time (unused green time). Actuated traffic lights control traffic flow in real time and are more responsive to the variation of traffic demands. For an isolated signal, a family of time series models, such as autoregressive integrated moving average (ARIMA) models, can be beneficial for predicting the next cycle length. However, when there are multiple signals placed along a corridor with different spacing and configurations, the cycle length variation of such signals is not just related to each signal's values, but it is also affected by the platoon of vehicles coming from neighboring intersections. In this paper, a multivariate time series model is developed to analyze the behavior of signal cycle lengths of multiple …",14
Multiple change points detection in low rank and sparse high dimensional vector autoregressive models,"Peiliang Bai, Abolfazl Safikhani, George Michailidis",2020/5/11,Journal IEEE Transactions on Signal Processing,"Identifying change/break points in multivariate time series represents a canonical problem in signal processing, due to numerous applications related to anomaly detection problems. The underlying detection methodology heavily depends on the nature of the mechanism determining the temporal dynamics of the data. Vector auto-regressive models (VAR) constitute a widely used model in diverse areas, including surveillance applications, economics/finance and neuroscience. In this work, we consider piece-wise stationary VAR models exhibiting break points between the corresponding stationary segments, wherein the transition matrices that govern the model's temporal evolution are decomposed into a common low-rank component and time evolving sparse ones. Further, we assume that the number of available time points are smaller than the number of model parameters and hence we are operating in a high …",13
Taxi and mobility: Modeling taxi demand using ARMA and linear regression,"Sabiheh Faghih, Arpita Shah, Zehan Wang, Abolfazl Safikhani, Camille Kamga",2020/1/1,Journal Procedia Computer Science,"Demand for taxis varies over time. Finding the factors that affect demand and understanding the dynamics of taxi demand will benefit different groups. It helps planners to improve their transportation systems and also help drivers to reduce their empty vacant time. This paper focuses on modeling and analyzing the taxi demand, using the demand for other transportation modes and weather conditions. We started with the linear regression model, and then combined with a time series models. This combined model is called “linear regression with ARMA errors”. (ARMA: Auto Regressive Moving Average).",10
Inference on the change point under a high dimensional sparse mean shift,"Abhishek Kaul, Stergios B Fotopoulos, Venkata K Jandhyala, Abolfazl Safikhani",2021/1/1,Volume 15,"We study a plug in least squares estimator for the change point parameter where change is in the mean of a high dimensional random vector under subgaussian or subexponential distributions. We obtain sufficient conditions under which this estimator possesses sufficient adaptivity against plug in estimates of mean parameters in order to yield an optimal rate of convergence  in the integer scale. This rate is preserved while allowing high dimensionality as well as a potentially diminishing jump size , provided  or  in the subgaussian and subexponential cases, respectively. Here  and  represent a sparsity parameter, model dimension, sampling period and the separation of the change point from its parametric boundary, respectively. Moreover, since the rate of convergence is free of  and logarithmic terms of , it allows the existence of limiting …",8
