titles,authors,date,source,descriptions,citations
Additively-manufactured lightweight Metamaterials for energy absorption,"Mehrdad Mohsenizadeh, Federico Gasbarri, Michael Munther, Ali Beheshti, Keivan Davami",2018/2/5,Journal Materials & Design,"Recent developments in architectural design and additive manufacturing (AM) techniques have led to advances in the design and fabrication of metamaterials. We demonstrate that by precisely designing the architecture of a lattice structure and implementing the accurate and cost-effective capabilities of polymer-based AM, it is possible to create lightweight and strong structures that are highly energy absorbing, able to recover their shape after extreme deformation, and have a high strength-over-weight ratio. Largescale AM lattices with various densities of unit cells were fabricated from two different polymers. The densities of the structures ranged from 66 kg/m3 to 192 kg/m3. Compression experiments established the scaling of their strength and stiffness with their relative density and revealed that the structures were able to recover their original shape after a compression up to 70% strain. The energy absorption …",211
Asperity micro-contact models as applied to the deformation of rough line contact,"Ali Beheshti, MM Khonsari",2012/8/1,Journal Tribology International,"Different statistical micro-contact models including Greenwood–Williamson (GW), Chang–Etsion–Bogy (CEB), Zhou–Maietta–Chang (ZMC), Kogut–Etsion (KE) and Jackson–Green (JG) are employed together with the bulk deformation of the bounding solids to predict dry rough line-contact characteristics such as the apparent pressure profile, contact width and real area of contact. The approach involves solving the micro-contact models and separation formulas simultaneously. Comparison of different contact models reveals that the use of elastic–plastic micro-contact models predicts a lower maximum normal pressure and a greater contact width and real contact area compared to the GW model. Further, based on the results of numerical simulations, useful relationships are provided for the prediction of the maximum contact pressure, contact width, real area of contact and pressure distribution.",128
An engineering approach for the prediction of wear in mixed lubricated contacts,"Ali Beheshti, MM Khonsari",2013/11/30,Journal Wear,"The continuum damage mechanics (CDM) approach in conjunction with the load sharing concept is applied to predict steady state lubricated line-contact wear. Empirical formula for the maximum contact pressure in dry rough contact is employed together with the lubricant film thickness equation to estimate the portions of the load carried by the asperities and the lubricant. Effect of contact temperature on wear is also included using a simplified thermo-elastohydrodynamic analysis in conjunction with fractional film defect concept. While most wear models require experimental calibration, current study attempts to predict wear purely based on numerical simulation. The proposed methodology is quite fast and easy to implement for practical engineering applications. Comparison of numerical calculations with available experimental wear data show very good agreement.",91
On the prediction of fatigue crack initiation in rolling/sliding contacts with provision for loading sequence effect,"Ali Beheshti, MM Khonsari",2011/11/1,Journal Tribology International,"The principles of continuum damage mechanics are applied to predict the rolling/sliding contact fatigue crack initiation. The approach involves evaluating the subsurface stresses as well as the state of damage within the contact region. It is shown that the fatigue crack initiation life can be related to the scalar damage parameter D, which is a measure of micro-crack and voids density in the material. Comparison of the predicted results with the available experimental work shows good agreement. The effect of variable loading on the fatigue behavior of rolling contact with provision for non-linear damage evolution is also investigated.",71
A thermodynamic approach for prediction of wear coefficient under unlubricated sliding condition,"Ali Beheshti, MM Khonsari",2010/6,Journal Tribology letters,"During a sliding process, the surface asperities tend to undergo fatigue fracture, break off, and form wear debris. This article applies the principles of continuum damage mechanics (CDM) to predict the appropriate adhesive wear coefficient. Using the CDM approach, we predict the number of cycles before crack nucleation sets in, evaluate the probability that an asperity forms a wear particle, and use this information to derive an expression for the wear coefficient. Experimental wear coefficient results for Aluminum 6061 sliding against stainless steel support the validity of the analytical expression for wear coefficient. A series of results are presented for the variation of wear coefficient as a function of friction coefficient for SAE 4340, Aluminum 6061, Aluminum 2024, and Titanium 6ALV4.",65
Sliding contact analysis of functionally graded coating/substrate system,"Yadollah Alinia, Ali Beheshti, Mehmet A Guler, Sami El-Borgi, Andreas A Polycarpou",2016/3/1,Journal Mechanics of Materials,"We consider in this paper the fully coupled contact problem between a rigid cylinder and a functionally graded coating bonded to a homogeneous substrate system under plane strain and generalized plane stress sliding conditions. Employing Fourier transform, the plane elasticity equations are converted analytically into Singular Integral Equations, which are then solved numerically to yield the contact stresses as well as the subsurface stresses throughout the medium for plane strain condition. The surface stress distributions as well as the contour plots for normalized von Mises stresses are provided. The effect of the different parameters such as the non-homogeneity coefficient, coating/substrate material properties and the friction coefficient on the surface tractions and von Mises stress distributions are investigated. Also discussed, are the advantages and disadvantages of using functionally graded coatings as …",58
Elevated temperature tribology of Ni alloys under helium environment for nuclear reactor applications,"Md Saifur Rahman, Jie Ding, Ali Beheshti, Xinghang Zhang, Andreas A Polycarpou",2018/7/1,Journal Tribology International,"The current study investigates the friction and wear behavior of two primary candidate materials, Inconel 617 and alloy 800HT for high-temperature gas cooled nuclear reactors/very-high-temperature reactors. Using a custom-built high temperature tribometer, helium cooled reactor environment was simulated at room and 800 °C temperatures. Microscopy and chemical analyses were carried out to explain the tribological performance of the alloys. At elevated temperatures, both alloys show higher friction in helium, compared to air environment. Both alloys exhibit high wear resistance in all experimental conditions, except at high temperature helium environment. The formation of glazed and mechanically mixed layers of oxides were found to be important causes for the lower friction and wear in high temperature air atmosphere.",55
Multiscale mechanical and tribological characterizations of additively manufactured polyamide 12 parts with different print orientations,"Tyler Palma, Michael Munther, Praveen Damasus, Sepehr Salari, Ali Beheshti, Keivan Davami",2019/4/1,Journal Journal of Manufacturing Processes,"The use of additive manufacturing for prototyping and manufacturing purposes is becoming a crucial topic in both industry and research. Multi Jet Fusion printing technology possesses advantages in fabricating engineering-quality parts, but the dependency of their mechanical characteristics on process parameters is not well understood. In this work, multiscale mechanical analyses were conducted with the goal of investigating the effect of build orientation on Multi Jet Fusion manufactured polyamide 12 samples. Tensile tests of samples printed in two orientations showed that build orientation resulted in different strain and stress behaviors, with vertical samples having 25% smaller fracture strains, but slightly higher (5.8%) fracture stresses than horizontal samples. Nanoindentation showed vertical samples with reduced elastic modulus (Er) values double that of horizontal, and with hardness values nearly 30 …",39
On the fretting crack nucleation with provision for size effect,"AB Aghdam, Ali Beheshti, MM Khonsari",2012/3/1,Journal Tribology international,A thermodynamically based continuum damage mechanics (CDM) approach is employed as a propitious method for analyzing fretting crack nucleation. Intense fretting stress gradients in the contact region are examined and believed to be highly influential in the crack nucleation process. A methodology is proposed that allows for identification of an averaging zone as a function of the contact and loading parameters. The results predicted by this approach are verified by comparing the CDM crack nucleation predictions with the published experimental results on crack nucleation lives. Good agreement is observed between the predictions and the experiments.,36
On the contact of curved rough surfaces: contact behavior and predictive formulas,"Ali Beheshti, MM Khonsari",2014/11/1,Journal Journal of Applied Mechanics,"The statistical microcontact models of Greenwood–Williamson (GW), Kogut–Etsion (KE), and Jackson–Green (JG) are employed along with the elastic bulk deformation of the contacting solids to predict the characteristics of rough elliptical point contact such as the pressure profile, real area of contact, and contact dimensions. In addition, the contribution of the bulk deformation and the asperity deformation to the total displacement is evaluated for different surface properties and loads. The approach involves solving the microcontact and separation equations simultaneously. Also presented are formulas that can be readily used for the prediction of the maximum contact pressure, contact dimensions, contact compliance, real area of contact, and pressure distribution.",33
Microfabricated Biomimetic placoid Scale-Inspired surfaces for antifouling applications,"Michael Munther, Tyler Palma, Isaac A Angeron, Sepehr Salari, Hessam Ghassemi, Maryam Vasefi, Ali Beheshti, Keivan Davami",2018/9/30,Journal Applied Surface Science,"Marine biological fouling or ‘biofouling’, the unwanted aggregation of aquatic organisms such as algae, barnacles, and marine microorganisms has been a detriment to maritime industries. Previous antifouling strategies included the use of toxic, biocide-containing paints; however, as humanity strives to lessen its environmental impact, a shift towards ecological deterrents which draw inspiration from nature are starting to be developed. In this work, the manipulation of the surface topography of nontoxic polydimethylsiloxane elastomer (PDMSe) was performed in order to mimic natural-occurring antifouling surfaces like those found on shark skin by means of a micro-molding technique using etched silicon molds. Previous polymer-based antifouling patterns which draw influence from shark skin have been successful in mitigating microorganism settlement; however, they lack a degree of biological accuracy as the …",32
Development and validation of a simple estimating tool to predict heating and cooling energy demand for attics of residential buildings,"Somayeh Asadi, Marwa Hassan, Ali Beheshti",2012/11/1,Journal Energy and Buildings,"The application of attic radiant barriers as a residential building energy conservation tool has received considerable attention in recent years. Quantifying the benefits of radiant barrier is complicated because the energy savings provided by this system depend on various factors including local climate, geometry, and other building parameters. Therefore, the objective of this study is to develop a simple estimating tool that may be used by homeowners and designers to assess the effectiveness and economic benefits of radiant barrier under different climatic conditions in the US. The developed tool is based on transient three-dimensional finite element models that were validated based on the results of an experimental field study. The results of the finite element models were used to develop a set of regression equations to predict the thermal performances of radiant barriers under a wide range of operating conditions …",31
