titles,authors,date,source,descriptions,citations
Linear and nonlinear programming,"Stephen G Nash, Ariela Sofer",1996,"Publisher McGraw-Hill Science, Engineering & Mathematics","A complete and unified introduction to applications, theory and algorithms which contains modelling examples, computer based exercises and material on interior point methods and trust-region methods. Gives both numerical methods for optimisation and optomisation problems.",1709
Linear and nonlinear optimization,"Igor Griva, Stephen G Nash, Ariela Sofer",2009,Volume 108,"Provides an introduction to the applications, theory, and algorithms of linear and nonlinear optimization. The emphasis is on practical aspects-discussing modern algorithms, as well as the influence of theory on the interpretation of solutions or on the design of software. The book includes several examples of realistic optimization models that address important applications. The succinct style of this second edition is punctuated with numerous real-life examples and exercises, and the authors include accessible explanations of topics that are not often mentioned in textbooks, such as duality in nonlinear optimization, primal-dual methods for nonlinear optimization, filter methods, and applications such as support-vector machines. The book is designed to be flexible. It has a modular structure, and uses consistent notation and terminology throughout. It can be used in many different ways, in many different courses, and at many different levels of sophistication.",857
Technologies for guidance of radiofrequency ablation in the multimodality interventional suite of the future,"Bradford J Wood, Julia K Locklin, Anand Viswanathan, Jochen Kruecker, Dieter Haemmerich, Juan Cebral, Ariela Sofer, Ruida Cheng, Evan McCreedy, Kevin Cleary, Matthew J McAuliffe, Neil Glossop, Jeff Yanof",2007/1/1,Source Journal of vascular and interventional radiology,"Several new image-guidance tools and devices are being prototyped, investigated, and compared. These tools are introduced and include prototype software for image registration and fusion, thermal modeling, electromagnetic tracking, semiautomated robotic needle guidance, and multimodality imaging. The integration of treatment planning with computed tomography robot systems or electromagnetic needle-tip tracking allows for seamless, iterative, “see-and-treat,” patient-specific tumor ablation. Such automation, navigation, and visualization tools could eventually optimize radiofrequency ablation and other needle-based ablation procedures and decrease variability among operators, thus facilitating the translation of novel image-guided therapies. Much of this new technology is in use or will be available to the interventional radiologist in the near future, and this brief introduction will hopefully encourage …",180
Evaluation of 3D reconstruction algorithms for a small animal PET camera,"CA Johnson, J Seidel, RE Carson, WR Gandler, A Sofer, MV Green, ME Daube-Witherspoon",1997/6,Journal IEEE Transactions on Nuclear Science,"The use of paired, opposing position-sensitive phototube scintillation cameras (SCs) operating in coincidence for small animal imaging with positron emitters is currently under study. Because of the low sensitivity of the system even in 3D mode and the need to produce images with high resolution, it was postulated that a 3D expectation maximization (EM) reconstruction algorithm might be well suited for this application. The authors investigated six reconstruction algorithms for the 3D SC PET camera: 2D filtered back-projection (FBP), 3D reprojection (3DRP), 2D EM, 3D EM, 2D ordered subset EM (OSEM), and 3D OSEM. Noise was assessed for all slices by the coefficient of variation in a simulated uniform cylinder. Resolution was assessed from a simulation of 15 point sources in the warm background of the uniform cylinder. At comparable noise levels, the resolution achieved with EM and OSEM (0.9-mm to 1.2-mm …",125
A barrier method for large-scale constrained optimization,"Stephen G Nash, Ariela Sofer",1993/2,Journal ORSA Journal on computing,"A logarithmic barrier method is applied to the solution of a nonlinear programming problem with inequality constraints. An approximation to the Newton direction is derived that avoids the ill conditioning normally associated with barrier methods. This approximation can be used within a truncated-Newton method, and hence is suitable for large-scale problems; the approximation can also be used in the context of a parallel algorithm. Enhancements to the basic barrier method are described that improve its efficiency and reliability. The resulting method can be shown to be a primal-dual method when the objective function is convex and all of the constraints are linear. Computational experiments are presented where the method is applied to 1000-variable problems with bound constraints.",89
A numerical comparison of barrier and modified barrier methods for large-scale bound-constrained optimization,"Stephen G Nash, R Polyak, Ariela Sofer",1994,Journal Large scale optimization: State of the Art,"When a classical barrier method is applied to the solution of a nonlinear programming problem with inequality constraints, the Hessian matrix of the barrier function becomes increasingly ill-conditioned as the solution is approached. As a result, it may be desirable to consider alternative numerical algorithms. We compare the performance of two methods motivated by barrier functions. The first is a stabilized form of the classical barrier method, where a numerically stable approximation to the Newton direction is used when the barrier parameter is small. The second is a modified barrier method where a barrier function is applied to a shifted form of the problem, and the resulting barrier terms are scaled by estimates of the optimal Lagrange multipliers. The condition number of the Hessian matrix of the resulting modified barrier function remains bounded as the solution to the constrained optimization problem is …",84
Comparison of software reliability predictions,"PA Keiller, B Littlewood, DR Miller, A Sofer",1983/6,Journal Digest FTCS,,70
Interior-point methodology for 3-D PET reconstruction,"Calvin A Johnson, Jürgen Seidel, Ariela Sofer",2000/4,Journal IEEE Transactions on medical imaging,"Interior-point methods have been successfully applied to a wide variety of linear and nonlinear programming applications. This paper presents a class of algorithms, based on path-following interior-point methodology, for performing regularized maximum-likelihood (ML) reconstructions on three-dimensional (3-D) emission tomography data. The algorithms solve a sequence of subproblems that converge to the regularized maximum likelihood solution from the interior of the feasible region (the nonnegative orthant). The authors propose two methods, a primal method which updates only the primal image variables and a primal-dual method which simultaneously updates the primal variables and the Lagrange multipliers. A parallel implementation permits the interior-point methods to scale to very large reconstruction problems. Termination is based on well-defined convergence measures, namely, the Karush-Kuhn …",67
Assessing a search direction within a truncated-Newton method,"Stephen G Nash, Ariela Sofer",1990/7/1,Journal Operations Research Letters,"Truncated-Newton methods for nonlinear optimization compute a search direction by approximately solving the Newton equations, typically via the conjugate-gradient algorithm. The search direction is usually assessed using the norm of the residual. This note shows that the norm of the residual can be an arbitrarily poor predictor of a good search direction.",63
Preconditioning reduced matrices,"Stephen G Nash, Ariela Sofer",1996/1,Journal SIAM Journal on Matrix Analysis and Applications,"We study preconditioning strategies for linear systems with positive-definite matrices of the form , where Z is rectangular and G is symmetric but not necessarily positive definite. The preconditioning strategies are designed to be used in the context of a conjugate-gradient iteration, and are suitable within algorithms for constrained optimization problems. The techniques have other uses, however, and are applied here to a class of problems in the calculus of variations. Numerical tests are also included.",62
