titles,authors,date,source,descriptions,citations
Neural networks for multiuser detection in code-division multiple-access communications,"Behnaam Aazhang, B-P Paris, Geoffrey C Orsak",1992/7,"Journal Communications, IEEE Transactions on","Two simple structures employing multilayer perceptrons are proposed for demodulation of spread-spectrum signals in both synchronous and asynchronous Gaussian channels. The optimum receiver is used to benchmark the performance of the proposed receiver; in particular, it is proved to be instrumental in identifying the decision regions for the neural networks. The neutral networks are trained for the demodulation of signals via backpropagation-type algorithms. A modified backpropagation-type algorithm is introduced for single-user and multiuser detection with near-optimum performance that could have applications in other classification and pattern recognition problems. A comparative performance analysis of the three receivers, optimum, conventional, and the one employing neural networks, is carried out via Monte Carlo simulations. An importance sampling technique is employed to reduce the number of …",387
Finite Precision Decorrelating Receivers for Multi-User CDMA Communication Systems,Bernd-Peter Paris,1994/6,Conference 1994 International Symposium on Information Theory,"The design of single-user decorrelating receivers employing finite-precision sequences for despreading is considered. The problem is formulated as a nonlinear bounded integer optimization problem which is shown to be network performance (NP)-hard. A branch-and-bound algorithm for finding the best finite-precision decorrelating sequence is described. Numerical examples demonstrate that the loss in performance between the optimum, infinite-precision, and the best finite-precision decorrelator is small even for large channel occupancies. Some suboptimum algorithms are investigated which greatly reduce the computational complexity associated with finding good finite precision decorrelator sequences.",36
Measuring the size of the Internet via importance sampling,"Song Xing, B-P Paris",2003/8/4,Journal IEEE journal on selected areas in communications,"Measuring the size of the Internet via Monte Carlo sampling requires probing a large portion of the Internet protocol (IP) address space to obtain an accurate estimate. However, the distribution of information servers on the Internet is highly nonuniform over the IP address space. This allows us to design probing strategies based on importance sampling for measuring the prevalence of an information service on the Internet that are significantly more effective than strategies relying on Monte Carlo sampling. We present thorough analysis of our strategies together with accurate estimates for the current size of the Internet Protocol Version 4 (IPv4) Internet as measured by the number of publicly accessible web servers and FTP servers.",28
Method and apparatus for adjusting waveform parameters for an adaptive air interface waveform,"Scott Y Seidel, Jay N Livingston, Robert J Breinig, Bernd-Peter Paris, Michael R Franceschini",2012/6/26,Patent office US,"Adjusting parameters of a waveform includes facilitating wireless communication between a transmitting node and receiving nodes, where the transmitting node communicates with a receiving node over a channel. Spectrum conditions are estimated, where a spectrum condition describes spectrum utilization in the vicinity of surrounding nodes. Channel conditions are estimated, where a channel condition describes a channel of the plurality of channels. Waveform parameters are adjusted in response to the spectrum conditions and the channel conditions.",26
Near-optimum control of multiple-access collision channels,"B-P Paris, Behnaam Aazhang",1992/8,Journal IEEE transactions on communications,"A method based on recursive computation of the expected number of attempts and successes during the collision resolution phase of an access control algorithm is introduced for the design of near-optimum control strategies for multiple access collision channels with ternary and binary feedback. With this approach it is possible to circumvent the extremely difficult and still unsolved problem of finding the access control algorithm which achieves the highest throughput by settling for a near-optimum solution. The key to the design of the algorithms is to approximate the originally infinite-dimensional optimization problem by a one-dimensional optimization problem. In the ternary feedback case, the proposed algorithm achieves a throughput virtually identical to the highest throughput reported. Several forms of binary feedback are considered, and algorithms are introduced that achieve the highest throughput reported.< >",26
On the relationship between measures of discrimination and the performance of suboptimal detectors,"Geoffrey C Orsak, B-P Paris",1995/1,Journal IEEE transactions on information theory,"The problem of designing and analyzing suboptimal detectors via statistical distance measures is considered. As a preliminary result, we show that only the minimum and maximum probability of error are valid measures of discrimination between the input statistics. This result would seem then to imply that the use of distance measures in this context can be inappropriate. However, to overcome this apparent obstacle, we demonstrate explicit relationships between various f-divergences and the loss in performance of an arbitrary detector relative to the optimal detector. In particular, we establish both upper and lower bounds on the performance loss of a suboptimal detector in terms of the ""distance"" between the pertinent statistics of both the optimal and suboptimal detectors. While designing detectors by minimizing these upper bounds can be an elusive task, in many practical cases, the lower bound presented herein …",21
Modulation classification in unknown dispersive environments,"B-P Paris, Geoffrey C Orsak, Hongda Chen, Nirmal Warke",1997/4/21,"Conference 1997 IEEE International Conference on Acoustics, Speech, and Signal Processing","The problem of distinguishing reliably between signaling formats in the presence of noise, interference, unknown dispersive channel conditions, as well as timing and frequency mismatches is addressed. Methods based on a combination of blind equalization and universal classification are presented and their performance is assessed through simulations.",18
Neural net receivers in multiple access-communications,"Bernd-Peter Paris, Geoffrey Orsak, Mahesh Varanasi, Behnaam Aazhang",1988,Journal Advances in Neural Information Processing Systems,"The application of neural networks to the demodulation of spread-spectrum signals in a multiple-access environment is considered. This study is motivated in large part by the fact that, in a multiuser system, the conventional (matched fil (cid: 173) ter) receiver suffers severe performance degradation as the relative powers of the interfering signals become large (the"" near-far"" problem). Furthermore, the optimum receiver, which alleviates the near-far problem, is too complex to be of practical use. Receivers based on multi-layer perceptrons are considered as a simple and robust alternative to the opti (cid: 173) mum solution. The optimum receiver is used to benchmark the performance of the neural net receiver; in particular, it is proven to be instrumental in identifying the decision regions of the neural networks. The back-propagation algorithm and a modified version of it are used to train the neural net. An importance sampling technique is introduced to reduce the number of simulations necessary to evaluate the performance of neural nets. In all examples considered the proposed neu (cid: 173) ral~ et receiver significantly outperforms the conventional recelver.",13
Self-Adaptive Maximum-Likelihood Sequence Estimation,Bernd-Peter Paris,2004/6,Conference 1994 International Symposium on Information Theory,,9
Performance analysis of MIMO receivers under imperfect CSIT,"Shyam Pandula, Bernd-Peter Paris",2007/3/14,Conference 2007 41st Annual Conference on Information Sciences and Systems,"This paper considers spatial multiplexing (SM) systems with preceding. The precoder is derived from the singular value decomposition (SVD) of the available channel state information at the transmitter (CSIT) and the receiver is a function of the precoder and the current channel. With perfect CSIT, the M R xM T  flat-fading MIMO channel can be decomposed into mm(M T ,M R ) parallel spatial subchannels. However in practice, the available CSIT suffers from delay-induced error due to the channel temporal variations. Using this outdated CSIT for precoding in SM systems causes interference among the subchannels. Performance of the decorrelator, minimum mean squared error (MMSE) and successive interference cancelation (SIC) receivers is analyzed as the reliability of the available CSIT varies. Explicit expressions for the signal to interference-plus-noise ratio (SINR) and the mean squared error (MSE) are …",8
