titles,authors,date,source,descriptions,citations
Network function virtualization: Challenges and opportunities for innovations,"Bo Han, Vijay Gopalakrishnan, Lusheng Ji, Seungjoon Lee",2015/2/19,Source IEEE communications magazine,"Network function virtualization was recently proposed to improve the flexibility of network service provisioning and reduce the time to market of new services. By leveraging virtualization technologies and commercial off-the-shelf programmable hardware, such as general-purpose servers, storage, and switches, NFV decouples the software implementation of network functions from the underlying hardware. As an emerging technology, NFV brings several challenges to network operators, such as the guarantee of network performance for virtual appliances, their dynamic instantiation and migration, and their efficient placement. In this article, we provide a brief overview of NFV, explain its requirements and architectural framework, present several use cases, and discuss the challenges and future directions in this burgeoning research area.",1382
Mobile Data Offloading through Opportunistic Communications and Social Participation,"Bo Han, Pan Hui, V Kumar, M Marathe, Jianhua Shao, Aravind Srinivasan",2011/4/29,"Journal Mobile Computing, IEEE Transactions on","3G networks are currently overloaded, due to the increasing popularity of various applications for smartphones. Offloading mobile data traffic through opportunistic communications is a promising solution to partially solve this problem, because there is almost no monetary cost for it. We propose to exploit opportunistic communications to facilitate information dissemination in the emerging Mobile Social Networks (MoSoNets) and thus reduce the amount of mobile data traffic. As a case study, we investigate the target-set selection problem for information delivery. In particular, we study how to select the target set with only k users, such that we can minimize the mobile data traffic over cellular networks. We propose three algorithms, called Greedy, Heuristic, and Random, for this problem and evaluate their performance through an extensive trace-driven simulation study. Our simulation results verify the efficiency of these …",644
Cellular traffic offloading through WiFi networks,"Savio Dimatteo, Pan Hui, Bo Han, Victor OK Li",2011/10/17,Conference 2011 IEEE eighth international conference on mobile ad-hoc and sensor systems,"Cellular networks are currently facing the challenges of mobile data explosion. High-end mobile phones and laptops double their mobile data traffic every year and this trend is expected to continue given the rapid development of mobile social applications. It is imperative that novel architectures be developed to handle such voluminous mobile data. In this paper, we propose and evaluate an integrated architecture exploiting the opportunistic networking paradigm to migrate data traffic from cellular networks to metropolitan WiFi access points (APs). To quantify the benefits of deploying such an architecture, we consider the case of bulk file transfer and video streaming over 3G networks and simulate data delivery using real mobility data set of 500 taxis in an urban area. We are the first to quantitatively evaluate the gains of city-wide WiFi offloading using large scale real traces. Our results give the numbers of APs …",442
Optimizing 360 video delivery over cellular networks,"Feng Qian, Bo Han, Lusheng Ji, Vijay Gopalakrishnan",2016/10/3,"Conference Proceedings of the 5th Workshop on All Things Cellular: Operations, Applications and Challenges","As an important component of the virtual reality (VR) technology, 360-degree videos provide users with panoramic view and allow them to freely control their viewing direction during video playback. Usually, a player displays only the visible portion of a 360 video. Thus, fetching the entire raw video frame wastes bandwidth. In this paper, we consider the problem of optimizing 360 video delivery over cellular networks. We first conduct a measurement study on commercial 360 video platforms. We then propose a cellular-friendly streaming scheme that delivers only 360 videos' visible portion based on head movement prediction. Using viewing data collected from real users, we demonstrate the feasibility of our approach, which can reduce bandwidth consumption by up to 80% based on a trace-driven simulation.",422
Cellular traffic offloading through opportunistic communications: a case study,"Bo Han, Pan Hui, VS Anil Kumar, Madhav V Marathe, Guanhong Pei, Aravind Srinivasan",2010/9/24,Book Proceedings of the 5th ACM workshop on Challenged networks,"Due to the increasing popularity of various applications for smartphones, 3G networks are currently overloaded by mobile data traffic. Offloading cellular traffic through opportunistic communications is a promising solution to partially solve this problem, because there is no monetary cost for it. As a case study, we investigate the target-set selection problem for information delivery in the emerging Mobile Social Networks (MoSoNets). We propose to exploit opportunistic communications to facilitate the information dissemination and thus reduce the amount of cellular traffic. In particular, we study how to select the target set with only k users, such that we can minimize the cellular data traffic.",356
Performance evaluation of scheduling in IEEE 802.16 based wireless mesh networks,"Bo Han, Weijia Jia, Lidong Lin",2007/2/26,Journal Computer Communications,"IEEE 802.16 employs TDMA (Time Division Multiple Access) as the access method and the policy for selecting scheduled links in a given time slot will definitely impact the system performance. We propose a collision-free centralized scheduling algorithm for IEEE 802.16 based Wireless Mesh Networks (WMN) to provide high-quality wireless multimedia services. We design a relay strategy for the mesh nodes in a transmission tree, taking special considerations on fairness, channel utilization and transmission delay. We evaluated the proposed algorithm with four selection criteria through extensive simulations and the experimental results are instrumental for improving the performance of IEEE 802.16 based WMNs in terms of link scheduling. To the best of the authors’ knowledge, this work is the first one on the centralized scheduling for IEEE 802.16 mesh mode that considers the relay model.",207
Flare: Practical viewport-adaptive 360-degree video streaming for mobile devices,"Feng Qian, Bo Han, Qingyang Xiao, Vijay Gopalakrishnan",2018/10/15,Book Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,"Flare is a practical system for streaming 360-degree videos on commodity mobile devices. It takes a viewport-adaptive approach, which fetches only portions of a panoramic scene that cover what a viewer is about to perceive. We conduct an IRB-approved user study where we collect head movement traces from 130 diverse users to gain insights on how to design the viewport prediction mechanism for Flare. We then develop novel online algorithms that determine which spatial portions to fetch and their corresponding qualities. We also innovate other components in the streaming pipeline such as decoding and server-side transmission. Through extensive evaluations (~400 hours' playback on WiFi and ~100 hours over LTE), we show that Flare significantly improves the QoE in real-world settings. Compared to non-viewport-adaptive approaches, Flare yields up to 18x quality level improvement on WiFi, and …",203
MP-DASH: Adaptive video streaming over preference-aware multipath,"Bo Han, Feng Qian, Lusheng Ji, Vijay Gopalakrishnan",2016/12/6,Book Proceedings of the 12th International on Conference on emerging Networking EXperiments and Technologies,"Compared with using only a single wireless path such as WiFi, leveraging multipath (e.g., WiFi and cellular) can dramatically improve users' quality of experience (QoE) for mobile video streaming. However, Multipath TCP (MPTCP), the de-facto multipath solution, lacks the support to prioritize one path over another. When applied to video streaming, it may cause undesired network usage such as substantial over-utilization of the metered cellular link. In this paper, we propose MP-DASH, a multipath framework for video streaming with the awareness of network interface preferences from users. The basic idea behind MP-DASH is to strategically schedule video chunks' delivery and thus satisfy user preferences. MP-DASH can work with a wide range of off-the-shelf video rate adaptation algorithms with very small changes. Our extensive field studies at 33 locations in three U.S. states suggest that MP-DASH is very …",156
Maranello: Practical Partial Packet Recovery for 802.11.,"Bo Han, Aaron Schulman, Francesco Gringoli, Neil Spring, Bobby Bhattacharjee, Lorenzo Nava, Lusheng Ji, Seungjoon Lee, Robert R Miller",2010/4/28,Conference NSDI,"Partial packet recovery protocols attempt to repair corrupted packets instead of retransmitting them in their entirety. Recent approaches have used physical layer confidence estimates or additional error detection codes embedded in each transmission to identify corrupt bits, or have applied forward error correction to repair without such explicit knowledge. In contrast to these approaches, our goal is a practical design that simultaneously:(a) requires no extra bits in correct packets,(b) reduces recovery latency, except in rare instances,(c) remains compatible with existing 802.11 devices by obeying timing and backoff standards, and (d) can be incrementally deployed on widely available access points and wireless cards. In this paper, we design, implement, and evaluate Maranello, a novel partial packet recovery mechanism for 802.11. In Maranello, the receiver computes checksums over blocks in corrupt packets and bundles these checksums into a negative acknowledgment sent when the sender expects to receive an acknowledgment. The sender then retransmits only those blocks for which the checksum is incorrect, and repeats this partial retransmission until it receives an acknowledgment. Successful transmissions are not burdened by additional bits and the receiver needs not infer which bits were corrupted. We implemented Maranello using OpenFWWF (open source firmware for Broadcom wireless cards) and deployed it in a small testbed. We compare Maranello to alternative recovery protocols using a trace-driven simulation and to 802.11 using a live implementation under various channel conditions. To our knowledge, Maranello is the first …",121
Enabling Energy-Aware Collaborative Mobile Data Offloading for Smartphones,"Aaron Yi Ding, Bo Han, Yu Xiao, Pan Hui, Aravind Srinivasan, Markku Kojo, Sasu Tarkoma",2013,"Description Searching for mobile data offloading solutions has been topical in recent years. In this paper, we present a collaborative WiFi-based mobile data offloading architecture - Metropolitan Advanced Delivery Network (MADNet), targeting at improving the energy efficiency for smartphones. According to our measurements,WiFi-based mobile data offloading for moving smartphones is challenging due to the limitation ofWiFi antennas deployed on existing smartphones and the short contact duration with WiFi APs. Moreover, our study shows that the number of open-accessible WiFi APs is very limited for smartphones in metropolitan areas, which significantly affects the offloading opportunities for previous schemes that use only open APs. To address these problems, MADNet intelligently aggregates the collaborative power of cellular operators, WiFi service providers and end-users. We design an energy-aware algorithm for …","Searching for mobile data offloading solutions has been topical in recent years. In this paper, we present a collaborative WiFi-based mobile data offloading architecture - Metropolitan Advanced Delivery Network (MADNet), targeting at improving the energy efficiency for smartphones. According to our measurements,WiFi-based mobile data offloading for moving smartphones is challenging due to the limitation ofWiFi antennas deployed on existing smartphones and the short contact duration with WiFi APs. Moreover, our study shows that the number of open-accessible WiFi APs is very limited for smartphones in metropolitan areas, which significantly affects the offloading opportunities for previous schemes that use only open APs. To address these problems, MADNet intelligently aggregates the collaborative power of cellular operators, WiFi service providers and end-users. We design an energy-aware algorithm for …",114
