titles,authors,date,source,descriptions,citations
"Probability, random processes, and statistical analysis: applications to communications, signal processing, queueing theory and mathematical finance","Hisashi Kobayashi, Brian L Mark, William Turin",2011/12/15,Publisher Cambridge University Press,"Together with the fundamentals of probability, random processes and statistical analysis, this insightful book also presents a broad range of advanced topics and applications. There is extensive coverage of Bayesian vs. frequentist statistics, time series and spectral representation, inequalities, bound and approximation, maximum-likelihood estimation and the expectation-maximization (EM) algorithm, geometric Brownian motion and Itô process. Applications such as hidden Markov models (HMM), the Viterbi, BCJR, and Baum–Welch algorithms, algorithms for machine learning, Wiener and Kalman filters, and queueing and loss networks are treated in detail. The book will be useful to students and researchers in such areas as communications, signal processing, networks, machine learning, bioinformatics, econometrics and mathematical finance. With a solutions manual, lecture slides, supplementary materials and MATLAB programs all available online, it is ideal for classroom teaching as well as a valuable reference for professionals.",355
A quantitative trust establishment framework for reliable data packet delivery in MANETs,"Charikleia Zouridaki, Brian L Mark, Marek Hejmo, Roshan K Thomas",2005/11/7,Book Proceedings of the 3rd ACM workshop on Security of ad hoc and sensor networks,"In mobile ad hoc networks (MANETs), a source node must rely on other nodes to forward its packets on multi-hop routes to the destination. Secure and reliable handling of packets by the intermediate nodes is difficult to ensure in an ad hoc environment. We propose a trust establishment scheme for MANETs which aims to improve the reliability of packet forwarding over multi-hop routes in the presence of potentially malicious nodes. Each node forms an ""opinion"" about each of the other nodes based on both first and second-hand observation data collected from the network. The opinion metric can be incorporated into ad hoc routing protocols to achieve reliable packet delivery even when a portion of the network exhibits malicious behavior. We present numerical results which demonstrate the effectiveness of the proposed trust establishment scheme.",233
"Large capacity, multiclass core ATM switch architecture","Ruixue Fan, Brian L Mark, Gopalakrishnan Ramamurthy",2001/11/27,Patent office US,"A large capacity ATM core switch architecture is disclosed, which supports multiple traffic classes and quality-of-service (QoS) guarantees. The switch supports both real-time traffic classes with strict QoS requirements, eg, CBR and VBR, and non-real-time traffic classes with less stringent requirements, eg, ABR and UBR. The architecture also accommodates real-time and non-real-time multicast flows in an efficient manner. The switch consists of a high-speed core module that interconnects input/output modules with large buffers and intelligent scheduling/buffer management mechanisms. The scheduling can be implemented using a novel dynamic rate control, which controls internal congestion and achieves fair throughput performance among competing flows at switch bottlenecks. In the dynamic rate control scheme, flows are rate-controlled according to congestion information observed at bottleneck points within …",174
System modeling and analysis: Foundations of system performance evaluation,"Hisashi Kobayashi, Brian L Mark",2009/10,Publisher Pearson Education India,"This book covers fundamental concepts in queueing and loss models, as well as simulation methods, with their application to modeling and analysis of computer systems and communication networks. Modeling and analysis are essential compo-nents in the process of designing and dimensioning a computer system or network. The aim of the book is to provide the reader with state-of-the-art analytical and computational tools to evaluate the performance and operating characteristics of today’s computer systems and communication networks. The theory and method-ologies discussed in this book may be applied to other ﬁelds such as manufacturing, operations research, and industrial engineering. This volume draws on some basic materials from the earlier book by the ﬁrst author entitled Modeling and Analysis.'An Introduction to System Performance Evaluation Methodology published by Addison-Wesley in 1978. The present book includes more advanced and recent materials on queueing and traffic models in the context of both computing systems and networks.. For instance, the generalized Erlang and Engset loss models and loss network theory are discussed for the ﬁrst time in a cohesive manner. The book also features an up-to-date treatment of simulation methodologies for systems and networks, including an introduction to network simulation packages and recent developments on random number generation.",162
Modeling and analysis of opportunistic spectrum sharing with unreliable spectrum sensing,"Shensheng Tang, Brian L Mark",2008/11/17,Journal IEEE Transactions on Wireless Communications,"We analyze the performance of a wireless system consisting of a set of secondary users opportunistically sharing bandwidth with a set of primary users over a coverage area. The secondary users employ spectrum sensing to detect channels that are unused by the primary users and hence make use of the idle channels. If an active secondary user detects the presence of a primary user on a given channel, it releases the channel and switches to another idle channel, if one is available. In the event that no channel is available, the call waits in a buffer until either a channel becomes available or a maximum waiting time is reached. Spectrum sensing errors on the part of a secondary user cause false alarm and mis-detection events, which can potentially degrade the quality-of-service experienced by primary users. We derive system performance metrics of interest such as blocking probabilities. Our results suggest that …",146
Real-time mobility tracking algorithms for cellular networks based on Kalman filtering,"Zainab R Zaidi, Brian L Mark",2005/2/7,Journal IEEE Transactions on Mobile Computing,"We propose two algorithms for real-time tracking of the location and dynamic motion of a mobile station in a cellular network using the pilot signal strengths from neighboring base stations. The underlying mobility model is based on a dynamic linear system driven by a discrete command process that determines the mobile station's acceleration. The command process is modeled as a semi-Markov process over a finite set of acceleration levels. The first algorithm consists of an averaging filter for processing pilot signal, strength measurements and two Kalman filters, one to estimate the discrete command process and the other to estimate the mobility state. The second algorithm employs a single Kalman filter without prefiltering and is able to track a mobile station even when a limited set of pilot signal measurements is available. Both of the proposed tracking algorithms can be used to predict future mobility behavior …",143
Dynamic rate control scheduler for ATM networks,"Ruixue Fan, Brian L Mark, Gopalakrishnan Ramamurthy",2002/6/18,Patent office US,"A Dynamic Rate Control (DRC) scheduler for scheduling cells for service in a generic Asynchronous Transfer Mode (ATM) switch is disclosed. According to the inventive DRC, each traffic stream associated with an internal switch queue is rate-shaped according to a rate which consists of a minimum guaranteed rate and a dynamic component computed based on congestion information within the switch. While achieving high utilization, DRC guarantees a minimum throughput for each stream and fairly distributes unused bandwidth. The distribution of unused bandwidth in DRC can be assigned flexibly, ie, the unused bandwidth need not be shared in proportion to the minimum throughput guarantees, as in weighted fair share schedulers. Moreover, an effective closed-loop QoS control can be built into DRC by dynamically updating a set of weights based on observed QoS. Another salient feature of DRC is its ability to …",135
Joint spatial–temporal spectrum sensing for cognitive radio networks,"Tuan Do, Brian L Mark",2010/5/18,Journal IEEE Transactions on Vehicular Technology,"In a wireless system with opportunistic spectrum sharing, secondary users equipped with cognitive radios attempt to access a radio spectrum that is not being used by the primary licensed users. On a given frequency channel, a secondary user can perform spectrum sensing to determine spatial or temporal opportunities for spectrum reuse. Whereas most prior works address either spatial or temporal sensing in isolation, we propose a joint spatial-temporal spectrum-sensing scheme that exploits information from spatial sensing to improve the performance of temporal sensing. We quantify the performance benefit of the joint spatial-temporal scheme over pure spatial sensing and pure temporal sensing based on counting-rule and linear quadratic (LQ) detectors. Finally, we analyze a multilevel quantization feedback scheme that can improve the performance of temporal sensing based on counting-rule detectors.",120
Robust cooperative trust establishment for MANETs,"Charikleia Zouridaki, Brian L Mark, Marek Hejmo, Roshan K Thomas",2006/10/30,Book Proceedings of the fourth ACM workshop on Security of ad hoc and sensor networks,"In a mobile ad hoc network (MANET), a source node must rely on intermediate nodes to forward its packets along multi-hop routes to the destination node. Due to the lack of infrastructure in such networks,secure and reliable packet delivery is diffocult to achieve. We propose a robust cooperative trust establishment scheme to improve the reliability of packet delivery in MANETs, particularly in the presence of malicious nodes. In the proposed scheme, each node determines the trustworthiness of the other nodes with respect to reliable packet forwarding by combining first-hand trust information obtained independently of other nodes and second-hand trust information obtained via recommendations from other nodes. First-hand trust information for neighbor nodes is obtained via direct observations at the MAC layer whereas first-hand information for non-neighbor nodes is obtained via feedback from …",112
Modeling and analysis of interference in Listen‐Before‐Talk spectrum access schemes,"Alexe E Leu, Mark McHenry, Brian L Mark",2006/3,Journal International Journal of Network Management,"Spectrum measurement studies have shown that substantial portions of the allocated wireless spectrum are highly underutilized. Frequency‐agile radios (FARs) have the potential to make opportunistic use of such spectrum holes without causing harmful interference to users of the allocated spectrum. Toward this goal, we develop a framework for modeling the interference caused by FARs employing spectrum access mechanisms based on the simple Listen‐Before‐Talk (LBT) scheme. Two variations of LBT are considered: individual LBT, whereby the FARs act independently of each other; and collaborative LBT, whereby the FARs communicate with each other in order to more accurately identify the spectrum holes. Our analysis of the LBT scheme reveals the fundamental interdependencies among key system design metrics and provides a basis for analyzing more complex spectrum access methods. In particular …",109
