titles,authors,date,source,descriptions,citations
"Biogeochemical processes and geotechnical applications: progress, opportunities and challenges","JT DeJong, K Soga, Edward Kavazanjian, S Burns, LA Van Paassen, A Al Qabany, A Aydilek, SS Bang, M Burbank, Laurie F Caslake, CY Chen, X Cheng, J Chu, S Ciurli, A Esnault-Filet, S Fauriel, N Hamdan, T Hata, Y Inagaki, S Jefferis, M Kuo, L Laloui, J Larrahondo, DAC Manning, B Martinez, BM Montoya, DC Nelson, A Palomino, P Renforth, JC Santamarina, EA Seagren, B Tanyu, Michael Tsesarsky, T Weaver",2014,Source Bio-and chemo-mechanical processes in geotechnical engineering: géotechnique symposium in print 2013,"Consideration of soil as a living ecosystem offers the potential for innovative and sustainable solutions to geotechnical problems. This is a new paradigm for many in geotechnical engineering. Realising the potential of this paradigm requires a multidisciplinary approach that embraces biology and geochemistry to develop techniques for beneficial ground modification. This paper assesses the progress, opportunities, and challenges in this emerging field. Biomediated geochemical processes, which consist of a geochemical reaction regulated by subsurface microbiology, currently being explored include mineral precipitation, gas generation, biofilm formation and biopolymer generation. For each of these processes, subsurface microbial processes are employed to create an environment conducive to the desired geochemical reactions among the minerals, organic matter, pore fluids, and gases that constitute soil …",743
Experimental optimization of microbial-induced carbonate precipitation for soil improvement,"BC Martinez, JT DeJong, TR Ginn, BM Montoya, TH Barkouki, C Hunt, B Tanyu, D Major",2013/4/1,Journal Journal of Geotechnical and Geoenvironmental Engineering,"Implementation of laboratory-tested biomediated soil improvement techniques in the field depends on upscaling the primary processes and controlling their rates. Microbial-induced carbonate precipitation (MICP) holds the potential for increasing the shear stiffness and reducing the hydraulic conductivity by harnessing a natural microbiological process that precipitates calcium carbonate. The study presented herein focuses on controlling MICP treatment of one-dimensional flow, half-meter-scale column experiments. Treatment was optimized by varying procedural parameters in five pairs of experiments including flow rates, flow direction, and formulations of biological and chemical amendments. Monitoring of column experiments included spatial and temporal measurements of the physical, chemical, and biological properties essential to the performance of MICP, including shear wave velocity, permeability, calcium …",409
Review of remote sensing methodologies for pavement management and assessment,"E Schnebele, BF Tanyu, G Cervone, and N Waters",2015/6,Source European Transport Research Review,"Evaluating the condition of transportation infrastructure is an expensive, labor intensive, and time consuming process. Many traditional road evaluation methods utilize measurements taken in situ along with visual examinations and interpretations. The measurement of damage and deterioration is often qualitative and limited to point observations. Remote sensing techniques offer nondestructive methods for road condition assessment with large spatial coverage. These tools provide an opportunity for frequent, comprehensive, and quantitative surveys of transportation infrastructure.",172
Field evaluation of construction alternatives for roadways over soft subgrade,"Tuncer B Edil, Craig H Benson, M Bin-Shafique, Burak F Tanyu, Woon-Hyung Kim, Aykut Senol",2002,Journal Transportation Research Record,"Alternative methods for providing a stable platform over soft subgrades were evaluated using a 1.4-km section along a Wisconsin State highway that incorporated 12 test sections to evaluate 9 different stabilization alternatives. A variety of industrial by-products and geosynthetics were evaluated for stabilization. The industrial by-products included foundry slag, foundry sand, bottom ash, and fly ash as subbase layer materials. The geosynthetics included geocells, a nonwoven geotextile, a woven geotextile, a drainage geocomposite, and a geogrid. The same pavement structure was used for all test sections except for the subbase layer, which varied depending on the properties of the alternative material being used. All test sections were designed to have approximately the same structural number as the conventional pavement structure used for the highway, which included a subbase of granular excavated rock …",157
Laboratory evaluation of geocell-reinforced gravel subbase over poor subgrades,"BF Tanyu, AH Aydilek, AW Lau, TB Edil, CH Benson",2013/4,Journal Geosynthetics International,Large-scale experiments with cyclic loading were conducted to determine how incorporation of high-density polyethylene (HDPE) geocells affects the rutting properties of working platforms and resilient properties of a subbase in a pavement structure over soft subgrades. Four different geocells were used in this study to reinforce common subbase/base course gravel. Experiments were performed with 225 mm and 450 mm thick unreinforced and reinforced gravel and a crushed rock that is typically used for conventional cut-and-fill working platforms. Experiments were conducted to simulate loading conditions both during construction due to construction equipment and after construction due to traffic conditions over the asphalt pavement once the pavement structure is constructed. Materials used in this study were compacted to 90% relative compaction based on standard Proctor to determine the effect of geocells …,103
Upscaling of bio-mediated soil improvement,"JT DeJong, BC Martinez, BM Mortensen, DC Nelson, JT Waller, MH Weil, TR Ginn, T Weathers, T Barkouki, Y Fujita, G Redden, C Hunt, D Major, B Tunyu",2009/10/1,Issue INL/CON-09-15487,"As demand for soil improvement continues to increase, new, sustainable, and innocuous methods are needed to alter the mechanical properties of soils. Recent research has demonstrated the potential of bio-mediated soil improvement for geotechnical applications (DeJong et al. 2006, Whiffin et al. 2007). Upscaling the bio-mediated treatment process for in situ implementation presents a number of challenges to be addressed, including soil and pore fluid interactions, bioaugmentation versus biostimulation of microbial communities, controlled distribution of mediated calcite precipitation, and permanence of the cementation. Current studies are utilizing large-scale laboratory experiments, non-destructive geophysical measurements, and modeling, to develop an optimized and predictable bio-mediated treatment method.",82
Development of a scaled repeated five-spot treatment model for examining microbial induced calcite precipitation feasibility in field applications,"JT DeJong, BC Martinez, TR Ginn, C Hunt, D Major, B Tanyu",2014/5/1,Journal Geotechnical Testing Journal,"Microbial induced calcite precipitation (MICP) has been heavily investigated in laboratory experiments with few forays into field-scale implementation. Conventionally, MICP refers to an alternative technology for improving the geotechnical properties of soils via microbially mediated urea hydrolysis inducing conditions for calcite precipitation at particle contacts. The study presented herein focuses on up-scaling the conventional treatment process to more realistic volumes through the development of a scaled repeated five-spot treatment model. Commonly used in oil recovery applications, the repeated five-spot well pattern provides for a flow symmetry condition allowing for improved laboratory model feasibility. A conventional MICP two-phase treatment technique resulted in improvement in the target treatment (0.5 m by 0.5 m by 0.15 m) zone with small spatial variation. Sensors, including bender elements and sampling wells, provided valuable insight into the evolution of biological, chemical, and mechanical changes spatially and temporally during treatment. Overall, the scaled repeated five-spot treatment model was successful at capturing a complex treatment scenario involving a bio-mediated soil improvement technology and demonstrated the potential to capture complex scenarios of soil improvement.",61
Effects of extraction methods and factors on leaching of metals from recycled concrete aggregates,"Janile O Bestgen, Bora Cetin, Burak F Tanyu",2016/7,Journal Environmental Science and Pollution Research,"Leaching of metals (calcium (Ca), chromium (Cr), copper, (Cu), iron (Fe), and zinc (Zn)) of recycled concrete aggregates (RCAs) were investigated with four different leachate extraction methods (batch water leach tests (WLTs), toxicity leaching procedure test (TCLP), synthetic precipitation leaching procedure test (SPLP), and pH-dependent leach tests). WLTs were also used to perform a parametric study to evaluate factors including (i) effects of reaction time, (ii) atmosphere, (iii) liquid-to-solid (L/S) ratio, and (iv) particle size of RCA. The results from WLTs showed that reaction time and exposure to atmosphere had impact on leaching behavior of metals. An increase in L/S ratio decreased the effluent pH and all metal concentrations. Particle size of the RCA had impact on some metals but not all. Comparison of the leached concentrations of metals from select RCA samples with WLT method to leached …",52
Utilization of sepiolite materials as a bottom liner material in solid waste landfills,"Yucel Guney, Bora Cetin, Ahmet H Aydilek, Burak F Tanyu, Savas Koparal",2014/1/1,Journal Waste Management,"Landfill bottom liners are generally constructed with natural clay soils due to their high strength and low hydraulic conductivity characteristics. However, in recent years it is increasingly difficult to find locally available clay soils that satisfy the required engineering properties. Fine grained soils such as sepiolite and zeolite may be used as alternative materials in the constructions of landfill bottom liners. A study was conducted to investigate the feasibility of using natural clay rich in kaolinite, sepiolite, zeolite, and their mixtures as a bottom liner material. Unconfined compression tests, swell tests, hydraulic conductivity tests, batch and column adsorption tests were performed on each type of soil and sepiolite–zeolite mixtures. The results of the current study indicate that sepiolite is the dominant material that affects both the geomechanical and geoenvironmental properties of these alternative liners. An increase in …",52
Contour Connection Method for automated identification and classification of landslide deposits,"Ben A Leshchinsky, Michael J Olsen, Burak F Tanyu",2015/1/1,Journal Computers & Geosciences,"Landslides are a common hazard worldwide that result in major economic, environmental and social impacts. Despite their devastating effects, inventorying existing landslides, often the regions at highest risk of reoccurrence, is challenging, time-consuming, and expensive. Current landslide mapping techniques include field inventorying, photogrammetric approaches, and use of bare-earth (BE) lidar digital terrain models (DTMs) to highlight regions of instability. However, many techniques do not have sufficient resolution, detail, and accuracy for mapping across landscape scale with the exception of using BE DTMs, which can reveal the landscape beneath vegetation and other obstructions, highlighting landslide features, including scarps, deposits, fans and more. Current approaches to landslide inventorying with lidar to create BE DTMs include manual digitizing, statistical or machine learning approaches, and use …",45
