titles,authors,date,source,descriptions,citations
Analysis and control of epidemics: A survey of spreading processes on complex networks,"Cameron Nowzari, Victor M Preciado, George J Pappas",2016/1/27,Source IEEE Control Systems Magazine,"This article reviews and presents various solved and open problems in the development, analysis, and control of epidemic models. The proper modeling and analysis of spreading processes has been a long-standing area of research among many different fields, including mathematical biology, physics, computer science, engineering, economics, and the social sciences. One of the earliest epidemic models conceived was by Daniel Bernoulli in 1760, which was motivated by studying the spread of smallpox [1]. In addition to Bernoulli, there were many different researchers also working on mathematical epidemic models around this time [2]. These initial models were quite simplistic, and the further development and study of such models dates back to the 1900s [3]-[6], where still-simple models were studied to provide insight into how various diseases can spread through a population. In recent years, there has been …",618
Event-triggered communication and control of networked systems for multi-agent consensus,"Cameron Nowzari, Eloy Garcia, Jorge Cortés",2019/7/1,Journal Automatica,"This article provides an introduction to event-triggered coordination for multi-agent average consensus. We provide a comprehensive account of the motivations behind the use of event-triggered strategies for consensus, the methods for algorithm synthesis, the technical challenges involved in establishing desirable properties of the resulting implementations, and their applications in distributed control. We pay special attention to the assumptions on the capabilities of the network agents and the resulting features of the algorithm execution, including the interconnection topology, the evaluation of triggers, and the role of imperfect information. The issues raised in our discussion transcend the specific consensus problem and are indeed characteristic of cooperative algorithms for networked systems that solve other coordination tasks. As our discussion progresses, we make these connections clear, highlighting general …",353
Distributed event-triggered coordination for average consensus on weight-balanced digraphs,"Cameron Nowzari, Jorge Cortés",2016/6/1,Journal Automatica,"This paper proposes a novel distributed event-triggered algorithmic solution to the multi-agent average consensus problem for networks whose communication topology is described by weight-balanced, strongly connected digraphs. The proposed event-triggered communication and control strategy does not rely on individual agents having continuous or periodic access to information about the state of their neighbors. In addition, it does not require the agents to have a priori knowledge of any global parameter to execute the algorithm. We show that, under the proposed law, events cannot be triggered an infinite number of times in any finite period (i.e., no Zeno behavior), and that the resulting network executions provably converge to the average of the initial agents’ states exponentially fast. We also provide weaker conditions on connectivity under which convergence is guaranteed when the communication …",241
Self-triggered coordination of robotic networks for optimal deployment,"Cameron Nowzari, Jorge Cortés",2012/6/1,Journal Automatica,"This paper studies a deployment problem for a group of robots where individual agents operate with outdated information about each other’s locations. Our objective is to understand to what extent outdated information is still useful and at which point it becomes essential to obtain new, up-to-date information. We propose a self-triggered coordination algorithm based on spatial partitioning techniques with uncertain information. We analyze its correctness in synchronous and asynchronous scenarios, and establish the same convergence guarantees that a synchronous algorithm with perfect information at all times would achieve. The technical approach combines computational geometry, set-valued stability analysis, and event-based systems.",170
Optimal resource allocation for control of networked epidemic models,"Cameron Nowzari, Victor M Preciado, George J Pappas",2015/9/25,Journal IEEE Transactions on Control of Network Systems,"This paper proposes and analyzes a generalized epidemic model over arbitrary directed graphs with heterogeneous nodes. The proposed model, called the generalized-susceptible exposed infected vigilant, subsumes a large number of popular epidemic models considered in the literature as special cases. Using a mean-field approximation, we derive a set of ODEs describing the spreading dynamics, provide a careful analysis of the disease-free equilibrium, and derive necessary and sufficient conditions for global exponential stability. Building on this analysis, we consider the problem of containing an initial epidemic outbreak under budget constraints. More specifically, we consider a collection of control actions (e.g., administering vaccines/antidotes, limiting the traffic between cities, or running awareness campaigns), for which we are given suitable cost functions. In this context, we develop an optimization …",129
"Zeno-free, distributed event-triggered communication and control for multi-agent average consensus","Cameron Nowzari, Jorge Cortés",2014/6/4,Conference 2014 American Control Conference,"This paper studies a distributed event-triggered communication and control strategy that solves the multi-agent average consensus problem. The proposed strategy does not rely on the continuous or periodic availability of information to an agent about the state of its neighbors, but instead prescribes isolated event times where both communication and controller updates occur. In addition, all parameters required for its implementation can be locally determined by the agents. We show that the resulting network executions are guaranteed to converge to the average of the initial agents' states, establish that events cannot be triggered an infinite number of times in any finite time period (i.e., no Zeno behavior), and characterize the exponential rate of convergence. We also provide sufficient conditions for convergence in scenarios with time-varying communication topologies. Simulations illustrate our results.",90
Optimal resource allocation for competitive spreading processes on bilayer networks,"Nicholas J Watkins, Cameron Nowzari, Victor M Preciado, George J Pappas",2016/9/9,Journal IEEE Transactions on Control of Network Systems,"We consider a competitive epidemic process in a bilayer network, and develop a framework to find an optimal allocation of control resources to eliminate one of the epidemics. We consider the SI 1  SI 2  S model, a recent generalization of the popular SIS model to the case of two competitive epidemics. We start our analysis by extending the standard SI 1  SI 2  S formulation with homogeneous parameters to a heterogeneous setting with edge-dependent infection rates, and node-dependent recovery rates. We then find necessary and sufficient conditions under which the mean-field approximation of a chosen epidemic process stabilizes to extinction exponentially quickly. Leveraging this result, we develop a framework for the solution of two optimization problems. In the first, we find an optimal allocation of control resources in order to eradicate the chosen epidemic at a minimum cost. In the second, we are given a …",61
Team-triggered coordination for real-time control of networked cyber-physical systems,"Cameron Nowzari, Jorge Cortés",2015/4/13,Journal IEEE Transactions on Automatic Control,"This paper studies the real-time implementation of distributed controllers on networked cyber-physical systems. We build on the strengths of event- and self-triggered control to synthesize a unified approach, termed team-triggered, where agents make promises to one another about their future states and are responsible for warning each other if they later decide to break them. The information provided by these promises allows individual agents to autonomously schedule information requests in the future and sets the basis for maintaining desired levels of performance at lower implementation cost. We establish provably correct guarantees for the distributed strategies that result from the proposed approach and examine their robustness against delays, packet drops, and communication noise. The results are illustrated in simulations of a multi-agent formation control problem.",56
Lightweight node-level malware detection and network-level malware confinement in iot networks,"Sai Manoj Pudukotai Dinakarrao, Hossein Sayadi, Hosein Mohammadi Makrani, Cameron Nowzari, Setareh Rafatirad, Houman Homayoun",2019/3/25,"Conference 2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)","The sheer size of IoT networks being deployed today presents an ""attack surface"" and poses significant security risks at a scale never before encountered. In other words, a single device/node in a network that becomes infected with malware has the potential to spread malware across the network, eventually ceasing the network functionality. Simply detecting and quarantining the malware in IoT networks does not guarantee to prevent malware propagation. On the other hand, use of traditional control theory for malware confinement is not effective, as most of the existing works do not consider real-time malware control strategies that can be implemented using uncertain infection information of the nodes in the network or have the containment problem decoupled from network performance. In this work, we propose a two-pronged approach, where a runtime malware detector (HaRM) that employs Hardware …",54
Online planning for energy-efficient and disturbance-aware uav operations,"Nicola Bezzo, Kartik Mohta, Cameron Nowzari, Insup Lee, Vijay Kumar, George Pappas",2016/10/9,Conference 2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"In this paper we consider an online planning problem for unmanned aerial vehicle (UAV) operations. Specifically, a UAV has the task of reaching a goal from a set of possible goals while minimizing the amount of energy required. Due to unforeseen disturbances, it is possible that initially attractive goals might end up being very expensive during the execution. Thus, two main problems are investigated here: i) how to predict and plan the motion of the UAV at run time to minimize its energy consumption and ii) when to schedule next replanning time to avoid unnecessary periodic re-evaluation executions. Our approach considers a nonlinear model of the system for which a model predictive controller is used to determine the desired control inputs for each possible goal. These control inputs are then used to estimate the energy required to reach the different goals. Finally, a self-triggered scheduling policy determines …",52
Robust economic model predictive control of continuous-time epidemic processes,"Nicholas J Watkins, Cameron Nowzari, George J Pappas",2019/5/27,Journal IEEE Transactions on Automatic Control,"In this paper, we develop a robust economic model predictive controller for the containment of stochastic susceptible-exposed-infected-vigilant (SEIV) epidemic processes, which drives the process to extinction quickly, while minimizing the rate at which control resources are used. The study we present here is significant in that it addresses the problem of efficiently controlling general stochastic epidemic systems without relying on mean-field approximation, which is an important issue in the theory of stochastic epidemic processes. This enables us to provide rigorous convergence guarantees on the stochastic epidemic model itself, improving over the mean-field type convergence results of most prior work. There are two primary technical difficulties addressed in treating this problem: 1) constructing a means of tractably approximating the evolution of the process so that the designed approximation is robust to the …",44
Periodic event-triggered average consensus over directed graphs,"Xiangyu Meng, Lihua Xie, Yeng Chai Soh, Cameron Nowzari, George J Pappas",2015/12/15,Conference 2015 54th IEEE Conference on Decision and Control (CDC),"This paper considers a multi-agent consensus problem over strongly connected and balanced directed graphs. Unlike many works that consider continuous or periodic communication and control strategies, we are interested in developing an event-triggered algorithm to reduce the overall load of the network in terms of limited communication and control updates. Furthermore, we focus on a sampled-data implementation that allows agents in a communication network to determine whether locally sampled information should be discarded or broadcasted to neighbors. This formulation allows us to automatically rule out Zeno behavior that is often a challenge in distributed event-triggered systems. We show that all agents eventually rendezvous at the centroid of their initial formation given an appropriate selection of the local sampling period and event-triggering parameters. We demonstrate the effectiveness of the …",37
