titles,authors,date,source,descriptions,citations
Measuring the coefficient of restitution of high speed microparticle impacts using a PTV and CFD hybrid technique,"Colin J Reagle, Jacob M Delimont, Wing F Ng, Srinath V Ekkad, VP Rajendran",2013/9/4,Journal Measurement science and technology,"A novel particle tracking velocimetry (PTV)/computational fluid dynamics (CFD) hybrid method for measuring coefficient of restitution (COR) has been developed which is relatively simple, cost-effective, and robust. A laser and camera system is used in the Virginia Tech Aerothermal Rig to measure velocity trajectories of microparticles. The method solves for particle impact velocity at the impact surface using a CFD solution and Lagrangian particle tracking. The methodology presented here attempts to characterize a difficult problem by a combination of established techniques, PTV and CFD, which have not been used in this capacity before. Erosion and deposition are functions of particle/wall interactions and COR is a fundamental property of these interactions. COR depends on impact velocity, angle of impact, temperature, particle composition, and wall material. Two sizes of Arizona road dust and one size of glass …",36
Study of microparticle rebound characteristics under high temperature conditions,"Colin J Reagle, Jacob M Delimont, Wing F Ng, SV Ekkad",2014/1/1,Journal Journal of engineering for gas turbines and power,"Large amounts of tiny microparticles are ingested into gas turbines over their operating life, resulting in unexpected wear and tear. Knowledge of such microparticle behavior at gas turbine operating temperatures is limited in published literature. In this study, Arizona road dust (ARD) is injected into a hot flow field to measure the effects of high temperature and velocity on particle rebound from a polished 304 stainless steel (SS) coupon. The results are compared with baseline (27 m/s) measurements at ambient (300 K) temperature made in the Virginia Tech Aerothermal Rig, as well as previously published literature. Mean coefficient of restitution (COR) was shown to decrease with the increased temperature/velocity conditions in the VT Aerothermal Rig. The effects of increasing temperature and velocity led to a 12% average reduction in COR at 533 K (47 m/s), 15% average reduction in COR at 866 K (77 m/s …",26
Sand transport in a two pass internal cooling duct with rib turbulators,"Sukhjinder Singh, Danesh Tafti, Colin Reagle, Jacob Delimont, Wing Ng, Srinath Ekkad",2014/4/1,Journal International journal of heat and fluid flow,"Jet engines often operate under dirty conditions where large amounts of particulate matter can be ingested, especially, sand, ash and dirt. Particulate matter in different engine components can lead to degradation in performance. The focus of this study is to investigate the sand transport and deposition in the internal cooling passages of turbine blades.",25
Technique for measuring the coefficient of restitution for microparticle sand impacts at high temperature for turbomachinery applications,Colin James Reagle,2012,Institution Virginia Polytechnic Institute and State University,"Erosion and deposition in gas turbine engines are functions of particle/wall interactions and the Coefficient of Restitution (COR) is a fundamental property of these interactions. COR depends on impact velocity, angle of impact, temperature, particle composition, and wall material. In the first study, a novel Particle Tracking Velocimetry (PTV)/Computational Fluid Dynamics (CFD) hybrid method for measuring COR has been developed which is simple, cost-effective, and robust. A Laser-Camera system is used in the Virginia Tech Aerothermal Rig to measure microparticles velocity. The method solves for particle impact velocity at the surface by numerical methods. The methodology presented here characterizes a difficult problem by a combination of established techniques, PTV and CFD, which have not been used in this capacity before. The current study characterizes the fundamental behavior of sand at different …",15
Study of Microparticle Rebound Characteristics Under High Temperature Conditions,"CJ Reagle, JM Delimont, WF Ng, SV Ekkad",2013/6/3,"Conference Turbo Expo: Power for Land, Sea, and Air","Large amounts of tiny microparticles are ingested into gas turbines over their operating life, resulting in unexpected wear and tear. Knowledge of such microparticle behavior at gas turbine operating temperatures is limited in published literature. In this study, Arizona Road Dust (ARD) is injected into a hot flow field to measure the effects of high temperature and velocity on particle rebound from a polished 304 Stainless Steel (SS) coupon. The results are compared with baseline (27m/s) measurements at ambient (300°K) temperature made in the Virginia Tech Aerothermal Rig, as well as previously published literature. Mean Coefficient of Restitution (COR) was shown to decrease with the increased temperature/velocity conditions in the VT Aerothermal Rig. The effects of increasing temperature and velocity led to a 12% average reduction in COR at 533°K (47m/s), 15% average reduction in COR at 866°K (77m/s …",14
Flipping an engineering thermodynamics course to improve student self-efficacy,"Karim Altaii, Colin J Reagle, Mary K Handley",2017/6/24,Conference 2017 ASEE Annual Conference & Exposition,"Thermodynamics is well documented as a difficult course in the engineering and technology curricula that require it. The flipped lecture format has been similarly documented to improve student-teacher interaction and student engagement. This work attempts to address whether flipping a difficult, demanding thermodynamics course improves student self-efficacy.",10
An experimental investigation of showerhead film cooling performance in a transonic vane cascade at low and high freestream turbulence,"T Bolchoz, S Nasir, C Reagle, W Ng, HK Moon",2009/1/1,"Conference Turbo Expo: Power for Land, Sea, and Air","This experiment investigates the effects of blowing ratio on the film cooling performance of a showerhead-cooled first-stage turbine vane at low freestream turbulence (Tu = 2%) and an integral length scale normalized by vane pitch (Λx/P) of 0.05. The exit Reynolds number based on vane true chord is 1.1 × 106. The effect of freestream turbulence at high Mach number (Mex = 0.76) and blowing ratio (BR = 0, 1.5, 2.0) is also explored by comparing results with high freestream turbulence measurements (Tu = 16%) previously performed in the same cascade. To characterize film cooling performance, platinum thin-film gauges were used to measure Nusselt number and film cooling effectiveness distributions at the midspan of the vane. Net heat flux reduction is also addressed. The primary effects of coolant injection were augmentation of Nusselt number and reduction of adiabatic wall temperature on the vane surface. In …",10
From idea to prototype: introducing students to entrepreneurship,"Colin Reagle, Viviana Maggioni, Mihai Boicu, Massimiliano Albanese, Mahesh Joshi, Dann Sklarew, Nathalia Peixoto",2017/3/11,Conference 2017 IEEE Integrated STEM Education Conference (ISEC),"We describe results from a semester-long class taught by seven faculty at George Mason University, aimed at providing resources to engage students in idea generation, design cycle development, and finally elaboration of a business plan. This is intended to alleviate a perceived lack of access for students to commercialize their ideas. Undergraduate and graduate students are often left with unfinished class projects that do not turn into prototypes or products. Here we aim to avoid this outcome (often referred to as the “Valley of Death”). We recruited students with ideas for products as well as students with varied expertise. We have then formalized their engagement by offering a seminar class that met once every other week over a 15 week semester. After the class each team underwent a one-week intensive boot camp for a final demonstration and presentation of their product and business plan. Throughout the …",7
A novel optical technique for measuring the coefficient of restitution of microparticle impacts in a forced flowfield,"CJ Reagle, JM Delimont, WF Ng, SV Ekkad, VP Rajendran",2012/6/11,"Conference Turbo Expo: Power for Land, Sea, and Air","Erosion and deposition in gas turbine engines are functions of particle/wall interactions and Coefficient of Restitution (COR) is a fundamental property of these interactions. COR depends on impact velocity, angle of impact, temperature, particle composition, and wall material. The current study attempts to characterize the fundamental behavior of sand at different impact angles. A PIV system is used in the Virginia Tech Aerothermal Rig to measure velocity trajectories of microparticles. A novel method is used that solves for impact velocity in a forced flowfield by numerical methods. Two sizes of Arizona Test Dust and one of Glass beads are impacted into a 304 Stainless Steel coupon. Free jet velocity is 27m/s at room temperature. Impact angle varies from almost 90 to 25 degrees depending on particle. Mean results compare favorably with trends established in literature. This utilization of this technique to measure …",4
A Transient Infrared Technique for Measuring Surface and Endwall heat Transfer in a Transonic Turbine Cascade,"C Reagle, A Newman, S Xue, W Ng, S Ekkad, HK Moon, L Zhang",2010/10/10,"Conference Turbo Expo: Power for Land, Sea, and Air","This paper describes a method for obtaining surface and endwall heat transfer in an uncooled transonic cascade facility using infrared thermography measurements. Midspan heat transfer coefficient results are first presented for an engine representative first stage nozzle guide vane at exit Mach number of 0.77, Reynolds number of 1.05×106 and freestream turbulence intensity of 16%. The results obtained from infrared thermography are compared with previously published results using thin film gauges in the same facility on the same geometry. There is generally good agreement between the two measurement techniques in both trend and overall level of heat transfer coefficient over the vane surface. Stanton number contours are then presented for a blade endwall at exit Mach number of 0.88, Reynolds number of 1.70×106 and freestream turbulence intensity of 8%. Infrared thermography results are qualitatively …",4
