titles,authors,date,source,descriptions,citations
Sleepers and workaholics: Caching strategies in mobile environments,"Daniel Barbara, Tomasz Imieliński",1994/5/24,Journal ACM Sigmod Record,"In the mobile wireless computing environment of the future a large number of users equipped with low powered palm-top machines will query databases over the wireless communication channels. Palmtop based units will often be disconnected for prolonged periods of time due to the battery power saving measures; palmtops will also frequencly relocate between different cells and connect to different data servers at different times. Caching of frequently accessed data items will be an important technique that will reduce contention on the narrow bandwidth wireless channel. However, cache invalidation strategies will be severely affected by the disconnection and mobility of the clients. The server may no longer know which clients are currently residing under its cell and which of them are   currently on. We propose a taxonomy of different cache invalidation strategies and study the impact of client's disconnection …",909
How to assign votes in a distributed system,"Hector Garcia-Molina, Daniel Barbara",1985/10/1,Journal Journal of the ACM (JACM),"In a distributed system, one strategy for achieving mutual exclusion of groups of nodes without communication is to assign to each node a number of votes. Only a group with a majority of votes can execute the critical operations, and mutual exclusion is achieved because at any given time there is at most one such group. A second strategy, which appears to be similar to votes, is to define a priori a set of groups that intersect each other. Any group of nodes that finds itself in this set can perform the restricted operations. In this paper, both of these strategies are studied in detail and it is shown that they are not equivalent in general (although they are in some cases). In doing so, a number of other interesting properties are proved. These properties will be of use to a system designer who is selecting a vote assignment or a set of groups for a specific application.",822
Mobile computing and databases-a survey,Daniel Barbará,1999/1,Journal IEEE transactions on Knowledge and Data Engineering,"The emergence of powerful portable computers, along with advances in wireless communication technologies, has made mobile computing a reality. Among the applications that are finding their way to the market of mobile computing-those that involve data management-hold a prominent position. In the past few years, there has been a tremendous surge of research in the area of data management in mobile computing. This research has produced interesting results in areas such as data dissemination over limited bandwidth channels, location-dependent querying of data, and advanced interfaces for mobile computers. This paper is an effort to survey these techniques and to classify this research in a few broad areas.",679
The management of probabilistic data,"Daniel Barbará, Hector Garcia-Molina, Daryl Porter",1992/10,Journal IEEE Transactions on knowledge and data engineering,"It is often desirable to represent in a database, entities whose properties cannot be deterministically classified. The authors develop a data model that includes probabilities associated with the values of the attributes. The notion of missing probabilities is introduced for partially specified probability distributions. This model offers a richer descriptive language allowing the database to more accurately reflect the uncertain real world. Probabilistic analogs to the basic relational operators are defined and their correctness is studied. A set of operators that have no counterpart in conventional relational systems is presented.< >",643
On-line lda: Adaptive topic models for mining text streams with applications to topic detection and tracking,"Loulwah AlSumait, Daniel Barbará, Carlotta Domeniconi",2008/12/15,Conference 2008 eighth IEEE international conference on data mining,"This paper presents Online Topic Model (OLDA), a topic model that automatically captures the thematic patterns and identifies emerging topics of text streams and their changes over time. Our approach allows the topic modeling framework, specifically the Latent Dirichlet Allocation (LDA) model, to work in an online fashion such that it incrementally builds an up-to-date model (mixture of topics per document and mixture of words per topic) when a new document (or a set of documents) appears. A solution based on the Empirical Bayes method is proposed. The idea is to incrementally update the current model according to the information inferred from the new stream of data with no need to access previous data. The dynamics of the proposed approach also provide an efficient mean to track the topics over time and detect the emerging topics in real time. Our method is evaluated both qualitatively and quantitatively …",613
COOLCAT: an entropy-based algorithm for categorical clustering,"Daniel Barbará, Yi Li, Julia Couto",2002/11/4,Book Proceedings of the eleventh international conference on Information and knowledge management,"In this paper we explore the connection between clustering categorical data and entropy: clusters of similar poi lower entropy than those of dissimilar ones. We use this connection to design an incremental heuristic algorithm, COOLCAT, which is capable of efficiently clustering large data sets of records with categorical attributes, and data streams. In contrast with other categorical clustering algorithms published in the past, COOLCAT's clustering results are very stable for different sample sizes and parameter settings. Also, the criteria for clustering is a very intuitive one, since it is deeply rooted on the well-known notion of entropy. Most importantly, COOLCAT is well equipped to deal with clustering of data streams(continuously arriving streams of data point) since it is an incremental algorithm capable of clustering new points without having to look at every point that has been clustered so far. We demonstrate the …",533
Data caching issues in an information retrieval system,"Rafael Alonso, Daniel Barbara, Hector Garcia-Molina",1990/9/1,Journal ACM Transactions on Database Systems (TODS),"Currently, a variety of information retrieval systems are available to potential users.… While in many cases these systems are accessed from personal computers, typically no advantage is taken of the computing resources of those machines (such as local processing and storage). In this paper we explore the possibility of using the user's local storage capabilities to cache data at the user's site. This would improve the response time of user queries albeit at the cost of incurring the overhead required in maintaining multiple copies. In order to reduce this overhead it may be appropriate to allow copies to diverge in a controlled fashion.… Thus, we introduce the notion of quasi-copies, which embodies the ideas sketched above. We also define the types of deviations that seem useful, and discuss the available implementation strategies.—From the Authors' Abstract",502
Detecting novel network intrusions using bayes estimators,"Daniel Barbara, Ningning Wu, Sushil Jajodia",2001/4/5,Book Proceedings of the 2001 SIAM International Conference on Data Mining,1 Introduction,479
The New Jersey data reduction report,"Daniel Barbara, William DuMouchel, Christos Faloutsos, Peter J.  Haas, Joseph M.  Hellerstein, Yannis E.  Ioannidis, HV Jagadish, Theodore Johnson, Raymond T.  Ng, Viswanath Poosala, Kenneth A.  Ross, Kenneth C.  Sevcik",1997/12/20,Journal IEEE Data Eng. Bull.,,372
ADAM: a testbed for exploring the use of data mining in intrusion detection,"Daniel Barbará, Julia Couto, Sushil Jajodia, Ningning Wu",2001/12/1,Journal ACM Sigmod Record,"Intrusion detection systems have traditionally been based on the characterization of an attack and the tracking of the activity on the system to see if it matches that characterization. Recently, new intrusion detection systems based on data mining are making their appearance in the field. This paper describes the design and experiences with the ADAM (Audit Data Analysis and Mining) system, which we use as a testbed to study how useful data mining techniques can be in intrusion detection.",331
