titles,authors,date,source,descriptions,citations
Stability and chaos in an inertial two-neuron system,"Diek W Wheeler, WC Schieve",1997/7/1,Journal Physica D: Nonlinear Phenomena,"Inertia is added to a continuous-time, Hopfield (1984) effective-neuron system. We explore the effects on the stability of the fixed points of the system. A two-neuron system with one or two inertial terms added is shown to exhibit chaos. The chaos is confirmed by Lyapunov exponents, power spectra, and phase space plots.",176
Hippocampome. org: a knowledge base of neuron types in the rodent hippocampus,"Diek W Wheeler, Charise M White, Christopher L Rees, Alexander O Komendantov, David J Hamilton, Giorgio A Ascoli",2015/9/24,Journal Elife,"Hippocampome.org is a comprehensive knowledge base of neuron types in the rodent hippocampal formation (dentate gyrus, CA3, CA2, CA1, subiculum, and entorhinal cortex). Although the hippocampal literature is remarkably information-rich, neuron properties are often reported with incompletely defined and notoriously inconsistent terminology, creating a formidable challenge for data integration. Our extensive literature mining and data reconciliation identified 122 neuron types based on neurotransmitter, axonal and dendritic patterns, synaptic specificity, electrophysiology, and molecular biomarkers. All ∼3700 annotated properties are individually supported by specific evidence (∼14,000 pieces) in peer-reviewed publications. Systematic analysis of this unprecedented amount of machine-readable information reveals novel correlations among neuron types and properties, the potential connectivity of the full hippocampal circuitry, and outstanding knowledge gaps. User-friendly browsing and online querying of Hippocampome.org may aid design and interpretation of both experiments and simulations. This powerful, simple, and extensible neuron classification endeavor is unique in its detail, utility, and completeness.",133
Brightness induction: rate enhancement and neuronal synchronization as complementary codes,"Julia Biederlack, Miguel Castelo-Branco, Sergio Neuenschwander, Diek W Wheeler, Wolf Singer, Danko Nikolić",2006/12/21,Journal Neuron,"In cat visual cortex, we investigated with parallel recordings from multiple units the neuronal correlates of perceived brightness. The perceived brightness of a center grating was changed by varying the orientation or the relative spatial phase of a surrounding grating. Brightness enhancement by orientation contrast is associated with an increase of discharge rates of responses to the center grating but not with changes in spike synchronization. In contrast, if brightness enhancement is induced by phase offset, discharge rates are unchanged but synchronization increases between neurons responding to the center grating. The changes in synchronization correlate well with changes in perceived brightness that were assessed in parallel in human subjects using the same stimuli. These results indicate that in cerebral cortex the modulation of synchronicity of responses is used as a mechanism complementary to rate …",116
NeuroXidence: reliable and efficient analysis of an excess or deficiency of joint-spike events,"Gordon Pipa, Diek W Wheeler, Wolf Singer, Danko Nikolić",2008/8/1,Journal Journal of computational neuroscience,"We present a non-parametric and computationally efficient method named NeuroXidence that detects coordinated firing of two or more neurons and tests whether the observed level of coordinated firing is significantly different from that expected by chance. The method considers the full auto-structure of the data, including the changes in the rate responses and the history dependencies in the spiking activity. Also, the method accounts for trial-by-trial variability in the dataset, such as the variability of the rate responses and their latencies. NeuroXidence can be applied to short data windows lasting only tens of milliseconds, which enables the tracking of transient neuronal states correlated to information processing. We demonstrate, on both simulated data and single-unit activity recorded in cat visual cortex, that NeuroXidence discriminates reliably between significant and spurious events that occur by chance.",93
Implementation of a fast 16-bit dynamic clamp using LabVIEW-RT,"Paul HM Kullmann, Diek W Wheeler, Joshua Beacom, John P Horn",2004/1,Journal Journal of neurophysiology,"The dynamic-clamp method provides a powerful electrophysiological tool for creating virtual ionic conductances in living cells and studying their influence on membrane potential. Here we describe G-clamp, a new way to implement a dynamic clamp using the real-time version of the Lab-VIEW programming environment together with a Windows host, an embedded microprocessor that runs a real-time operating system and a multifunction data-acquisition board. The software includes descriptions of a fast voltage-dependent sodium conductance, delayed rectifier, M-type and A-type potassium conductances, and a leak conductance. The system can also read synaptic conductance waveforms from preassembled data files. These virtual conductances can be reliably implemented at speeds ≤43 kHz while simultaneously saving two channels of data with 16-bit precision. G-clamp also includes utilities for measuring …",87
Cellular anatomy of the mouse primary motor cortex,"Rodrigo Muñoz-Castañeda, Brian Zingg, Katherine S Matho, Xiaoyin Chen, Quanxin Wang, Nicholas N Foster, Anan Li, Arun Narasimhan, Karla E Hirokawa, Bingxing Huo, Samik Bannerjee, Laura Korobkova, Chris Sin Park, Young-Gyun Park, Michael S Bienkowski, Uree Chon, Diek W Wheeler, Xiangning Li, Yun Wang, Maitham Naeemi, Peng Xie, Lijuan Liu, Kathleen Kelly, Xu An, Sarojini M Attili, Ian Bowman, Anastasiia Bludova, Ali Cetin, Liya Ding, Rhonda Drewes, Florence D’Orazi, Corey Elowsky, Stephan Fischer, William Galbavy, Lei Gao, Jesse Gillis, Peter A Groblewski, Lin Gou, Joel D Hahn, Joshua T Hatfield, Houri Hintiryan, Junxiang Jason Huang, Hideki Kondo, Xiuli Kuang, Philip Lesnar, Xu Li, Yaoyao Li, Mengkuan Lin, Darrick Lo, Judith Mizrachi, Stephanie Mok, Philip R Nicovich, Ramesh Palaniswamy, Jason Palmer, Xiaoli Qi, Elise Shen, Yu-Chi Sun, Huizhong W Tao, Wayne Wakemen, Yimin Wang, Shenqin Yao, Jing Yuan, Huiqing Zhan, Muye Zhu, Lydia Ng, Li I Zhang, Byung Kook Lim, Michael Hawrylycz, Hui Gong, James C Gee, Yongsoo Kim, Kwanghun Chung, X William Yang, Hanchuan Peng, Qingming Luo, Partha P Mitra, Anthony M Zador, Hongkui Zeng, Giorgio A Ascoli, Z Josh Huang, Pavel Osten, Julie A Harris, Hong-Wei Dong",2021/10,Journal Nature,"An essential step toward understanding brain function is to establish a structural framework with cellular resolution on which multi-scale datasets spanning molecules, cells, circuits and systems can be integrated and interpreted. Here, as part of the collaborative Brain Initiative Cell Census Network (BICCN), we derive a comprehensive cell type-based anatomical description of one exemplar brain structure, the mouse primary motor cortex, upper limb area (MOp-ul). Using genetic and viral labelling, barcoded anatomy resolved by sequencing, single-neuron reconstruction, whole-brain imaging and cloud-based neuroinformatics tools, we delineated the MOp-ul in 3D and refined its sublaminar organization. We defined around two dozen projection neuron types in the MOp-ul and derived an input–output wiring diagram, which will facilitate future analyses of motor control circuitry across molecular, cellular and system …",76
Estimating use-dependent synaptic gain in autonomic ganglia by computational simulation and dynamic-clamp analysis,"Diek W Wheeler, Paul HM Kullmann, John P Horn",2004/11,Journal Journal of neurophysiology,"Biological gain mechanisms regulate the sensitivity and dynamics of signaling pathways at the systemic, cellular, and molecular levels. In the sympathetic nervous system, gain in sensory-motor feedback loops is essential for homeostatic regulation of blood pressure and body temperature. This study shows how synaptic convergence and plasticity can interact to generate synaptic gain in autonomic ganglia and thereby enhance homeostatic control. Using a conductance-based computational model of an idealized sympathetic neuron, we simulated the postganglionic response to noisy patterns of presynaptic activity and found that a threefold amplification in postsynaptic spike output can arise in ganglia, depending on the number and strength of nicotinic synapses, the presynaptic firing rate, the extent of presynaptic facilitation, and the expression of muscarinic and peptidergic excitation. The simulations also showed …",32
Name-calling in the hippocampus (and beyond): coming to terms with neuron types and properties,"David J Hamilton, DW Wheeler, CM White, CL Rees, Alexander O Komendantov, Maurizio Bergamino, Giorgio A Ascoli",2017/3/1,Journal Brain informatics,"Widely spread naming inconsistencies in neuroscience pose a vexing obstacle to effective communication within and across areas of expertise. This problem is particularly acute when identifying neuron types and their properties. Hippocampome.org is a web-accessible neuroinformatics resource that organizes existing data about essential properties of all known neuron types in the rodent hippocampal formation. Hippocampome.org links evidence supporting the assignment of a property to a type with direct pointers to quotes and figures. Mining this knowledge from peer-reviewed reports reveals the troubling extent of terminological ambiguity and undefined terms. Examples span simple cases of using multiple synonyms and acronyms for the same molecular biomarkers (or other property) to more complex cases of neuronal naming. New publications often use different terms without mapping them to previous terms. As a result, neurons of the same type are assigned disparate names, while neurons of different types are bestowed the same name. Furthermore, non-unique properties are frequently used as names, and several neuron types are not named at all. In order to alleviate this nomenclature confusion regarding hippocampal neuron types and properties, we introduce a new functionality of Hippocampome.org: a fully searchable, curated catalog of human and machine-readable definitions, each linked to the corresponding neuron and property terms. Furthermore, we extend our robust approach to providing each neuron type with an informative name and unique identifier by mapping all encountered synonyms and homonyms.",30
Quantitative firing pattern phenotyping of hippocampal neuron types,"Alexander O Komendantov, Siva Venkadesh, Christopher L Rees, Diek W Wheeler, David J Hamilton, Giorgio A Ascoli",2019/11/29,Journal Scientific Reports,"Systematically organizing the anatomical, molecular, and physiological properties of cortical neurons is important for understanding their computational functions. Hippocampome.org defines 122 neuron types in the rodent hippocampal formation based on their somatic, axonal, and dendritic locations, putative excitatory/inhibitory outputs, molecular marker expression, and biophysical properties. We augmented the electrophysiological data of this knowledge base by collecting, quantifying, and analyzing the firing responses to depolarizing current injections for every hippocampal neuron type from published experiments. We designed and implemented objective protocols to classify firing patterns based on 5 transients (delay, adapting spiking, rapidly adapting spiking, transient stuttering, and transient slow-wave bursting) and 4 steady states (non-adapting spiking, persistent stuttering, persistent slow-wave bursting …",29
A model for pleiotropic muscarinic potentiation of fast synaptic transmission,"Hermann Schobesberger, Diek W Wheeler, John P Horn",2000/4/1,Journal Journal of neurophysiology,The predominant form of muscarinic excitation in the forebrain and in sympathetic ganglia arises from m1 receptors coupled to the Gq/11 signal transduction pathway. Functional components of this system have been most completely mapped in frog sympathetic B neurons. Presynaptic stimulation of the B neuron produces a dual-component muscarinic excitatory postsynaptic potential (EPSP) mediated by suppression of voltage-dependent M-type K+ channels and activation of a voltage-insensitive cation current. Evidence from mammalian systems suggests that the cation current is mediated by cyclic GMP-gated channels. This paper describes the use of a computational model to analyze the consequences of pleiotropic muscarinic signaling for synaptic integration. The results show that the resting potential of B neurons is a logarithmic function of the leak conductance over a broad range of experimentally …,25
