titles,authors,date,source,descriptions,citations
"Scalable, graph-based network vulnerability analysis","Paul Ammann, Duminda Wijesekera, Saket Kaushik",2002/11/18,Book Proceedings of the 9th ACM Conference on Computer and Communications Security,"Even well administered networks are vulnerable to attack. Recent work in network security has focused on the fact that combinations of exploits are the typical means by which an attacker breaks into a network. Researchers have proposed a variety of graph-based algorithms to generate attack trees (or graphs). Either structure represents all possible sequences of exploits, where any given exploit can take advantage of the penetration achieved by prior exploits in its chain, and the final exploit in the chain achieves the attacker's goal. The most recent approach in this line of work uses a modified version of the model checker NuSMV as a powerful inference engine for chaining together network exploits, compactly representing attack graphs, and identifying minimal sets of exploits. However, it is also well known that model checkers suffer from scalability problems, and there is good reason to doubt whether a model …",1138
A logic-based framework for attribute based access control,"Lingyu Wang, Duminda Wijesekera, Sushil Jajodia",2004/10/29,Book Proceedings of the 2004 ACM workshop on Formal methods in security engineering,"Attribute based access control (ABAC) grants accesses to services based on the attributes possessed by the requester. Thus, ABAC differs from the traditional discretionary access control model by replacing the subject by a set of attributes and the object by a set of services in the access control matrix. The former is appropriate in an identity-less system like the Internet where subjects are identified by their characteristics, such as those substantiated by certificates. These can be modeled as attribute sets. The latter is appropriate because most Internet users are not privy to method names residing on remote servers. These can be modeled as sets of service options. We present a framework that models this aspect of access control using logic programming with set constraints of a computable set theory [DPPR00]. Our framework specifies policies as stratified constraint flounder-free logic programs that admit primitive …",368
Detecting VoIP floods using the Hellinger distance,"Hemant Sengar, Haining Wang, Duminda Wijesekera, Sushil Jajodia",2008/4/25,Journal IEEE transactions on parallel and distributed systems,"Voice over IP (VoIP), also known as Internet telephony, is gaining market share rapidly and now competes favorably as one of the visible applications of the Internet. Nevertheless, being an application running over the TCP/IP suite, it is susceptible to flooding attacks. If flooded, as a time-sensitive service, VoIP may show noticeable service degradation and even encounter sudden service disruptions. Because multiple protocols are involved in a VoIP service and most of them are susceptible to flooding, an effective solution must be able to detect and overcome hybrid floods. As a solution, we offer the VoIP flooding detection system (vFDS)-an online statistical anomaly detection framework that generates alerts based on abnormal variations in a selected hybrid collection of traffic flows. It does so by viewing collections of related packet streams as evolving probability distributions and measuring abnormal variations in …",204
Model-based covert timing channels: Automated modeling and evasion,"Steven Gianvecchio, Haining Wang, Duminda Wijesekera, Sushil Jajodia",2008,"Conference Recent Advances in Intrusion Detection: 11th International Symposium, RAID 2008, Cambridge, MA, USA, September 15-17, 2008. Proceedings 11","The exploration of advanced covert timing channel design is important to understand and defend against covert timing channels. In this paper, we introduce a new class of covert timing channels, called model-based covert timing channels, which exploit the statistical properties of legitimate network traffic to evade detection in an effective manner. We design and implement an automated framework for building model-based covert timing channels. Our framework consists of four main components: filter, analyzer, encoder, and transmitter. The filter characterizes the features of legitimate network traffic, and the analyzer fits the observed traffic behavior to a model. Then, the encoder and transmitter use the model to generate covert traffic and blend with legitimate network traffic. The framework is lightweight, and the overhead induced by model fitting is negligible. To validate the effectiveness of the proposed …",193
Provisions and obligations in policy management and security applications,"Claudio Bettini, Sushil Jajodia, X Sean Wang, Duminda Wijesekera",2002/1/1,Book VLDB'02: Proceedings of the 28th International Conference on Very Large Databases,"This chapter illustrates that policy management, in a complex system, calls for more dynamic mechanisms like provisions and obligations. Policies are widely used in many systems and applications. Recently, it has been recognized that a “yes/no” response to every scenario is just not enough for many modern systems and applications. Many policies require certain conditions to be satisfied and actions to be performed before, or after, a decision is made. In a computer system, policies provide the basis for the design of its underlying control mechanisms. An access control policy defines what information users are authorized to read or modify. Most research on policies, however, has been on traditional static policies where user requests are only evaluated based on the currently available information and only “yes/no” decisions are made. For modem applications (for example, business-to …",152
A propositional policy algebra for access control,"Duminda Wijesekera, Sushil Jajodia",2003/5/1,Journal ACM Transactions on Information and System Security (TISSEC),"Security-sensitive environments protect their information resources against unauthorized use by enforcing access control mechanisms driven by access control policies. Due to the need to compare, contrast, and compose such protected information resources, access control policies regulating their manipulation need to be compared, contrasted, and composed. An algebra for manipulating such access control policies at a higher (propositional) level, where the operations of the algebra are abstracted from their specification details, is the subject of this paper. This algebra is applicable to policies that have controlled nondeterminism and all or nothing assignments of access privileges in their specification. These requirements reflect current practices in discretionary and role-based access control models. Therefore, the proposed algebra can be used to reason about role-based access control policies combined with …",147
SQLProb: a proxy-based architecture towards preventing SQL injection attacks,"Anyi Liu, Yi Yuan, Duminda Wijesekera, Angelos Stavrou",2009/3/8,Book Proceedings of the 2009 ACM symposium on Applied Computing,"SQL injection attacks (SQLIAs) consist of maliciously crafted SQL inputs, including control code, used against Database-connected Web applications. To curtail the attackers' ability to generate such attacks, we propose an SQL Proxy-based Blocker (SQLProb). SQLProb harnesses the effectiveness and adaptivity of genetic algorithms to dynamically detect and extract users' inputs for undesirable SQL control sequences. Compared to state-of-the-art protection mechanisms, our method does not require any code changes on either the client, the web-server or the back-end database. Rather, our system uses a proxy that seamlessly integrates with existing operational environments offering protection to front-end web servers and back-end databases. To evaluate the overhead and the detection performance of our system, we implemented a prototype of SQLProb which we tested using real SQL attacks. Our …",146
VoIP intrusion detection through interacting protocol state machines,"Hemant Sengar, Duminda Wijesekera, Haining Wang, Sushil Jajodia",2006/6/25,Conference International Conference on Dependable Systems and Networks (DSN'06),"Being a fast-growing Internet application, Voice over Internet Protocol (VoIP) shares the network resources with the regular Internet traffic, and is susceptible to the existing security holes of the Internet. Moreover, given that voice communication is time sensitive and uses a suite of interacting protocols, VoIP exposes new forms of vulnerabilities to malicious attacks. In this paper, we propose a highlyneeded VoIP intrusion detection system. Our approach is novel in that, it utilizes not only the state machines of network protocols but also the interaction among them for intrusion detection. This detection approach is particularly suited for protecting VoIP applications, in which a melange of protocols are involved to provide IP telephony services. Based on tracking deviations from interacting protocol state machines, our solution shows promising detection characteristics and low runtime impact on the perceived quality of …",145
DNPSec: Distributed network protocol version 3 (DNP3) security framework,"Munir Majdalawieh, Francesco Parisi-Presicce, Duminda Wijesekera",2006/1,"Journal Advances in Computer, Information, and Systems Sciences, and Engineering","Distributed Network Protocol Version 3 (DNP3) is an open and optimized protocol developed for the Supervisory Control and Data Acquisition (SCADA) Systems supporting the utilities industries. The DNP3 enables the Master Station to request data from Substations using pre-defined control function commands and Substations to respond by transmitting the requested data. DNP3 was never designed with security mechanisms in mind and therefore the protocol itself lacks any form of authentication or encryption. Discussion so far has been centered on two solutions to provide security for SCADA: cryptographic technologies placed at each end of the communication medium, or security enhancements placed directly in the protocol. This paper recommends a new Distributed Network Protocol Version 3 Security (DNPSec) framework to enable confidentiality, integrity, and authenticity placed directly in the DNP3. Such …",134
"Modern intrusion detection, data mining, and degrees of attack guilt","Steven Noel, Duminda Wijesekera, Charles Youman",2002,Journal Applications of data mining in computer security,"This chapter examines the state of modern intrusion detection, with a particular emphasis on the emerging approach of data mining. The discussion parallels two important aspects of intrusion detection: general detection strategy (misuse detection versus anomaly detection) and data source (individual hosts versus network traffic). Misuse detection attempts to match known patterns of intrusion, while anomaly detection searches for deviations from normal behavior. Between the two approaches, only anomaly detection has the ability to detect unknown attacks. A particularly promising approach to anomaly detection combines association raining with other forms of machine learning such as classification. Moreover, the data source that an intrusion detection system employs significantly impacts the types of attacks it can detect. There is a tradeoff in the level of detailed information available versus data volume …",132
Constructive modal logics I,Duminda Wijesekera,1990/12/14,Journal Annals of Pure and Applied Logic,"We often have to draw conclusions about states of machines in computer science and about states of knowledge and belief in artificial intelligence (AI) based on partial information. Nerode (1990) suggested using constructive (equivalently, intuitionistic) logic as the language to express such deductions and also suggested designing appropriate intuitionistic Kripke frames to express the partial information. Following this program, Nerode and Wijesekera (1990) developed syntax, semantics and completeness for a system of intuitionistic dynamic logic for proving properties of concurrent programs. Like all dynamics logics, this was a logic of many modalities, each expressing a program, but in intuitionistic rather than in classical logic. In that logic, both box and diamond are needed, but these two are not intuitionistically interdefinable and, worse, diamond does not distribute over ‘or’, except for sequential programs …",122
Securing OLAP data cubes against privacy breaches,"Lingyu Wang, Sushil Jajodia, Duminda Wijesekera",2004/5/12,"Conference IEEE Symposium on Security and Privacy, 2004. Proceedings. 2004",An OLAP (On-line Analytic Processing) system with insufficient security countermeasures may disclose sensitive information and breach an individual's privacy. Both unauthorized accesses and malicious inferences may lead to such inappropriate disclosures. Existing access control models in relational databases are unsuitable for the multi-dimensional data cubes used by OLAP. Inference control methods in statistical databases are expensive and apply to limited situations only. We first devise a flexible framework for specifying authorization objects in data cubes. The framework can partition a data cube both vertically based on dimension hierarchies and horizontally based on slices of data. We then study how to control inferences in data cubes. The proposed method eliminates both unauthorized accesses and malicious inferences. Its effectiveness does not depend on specific types of aggregation functions …,120
Experimental evaluation of loss perception in continuous media,"Duminda Wijesekera, Jaideep Srivastava, Anil Nerode, Mark Foresti",1999/11,Journal Multimedia systems," Perception of multimedia quality, specified by quality-of-service (QoS) metrics, can be used by system designers to optimize customer satisfaction within resource bounds enforced by general-purpose computing platforms. Media losses, rate variations and transient synchronization losses have been suspected to affect human perception of multimedia quality. This paper presents metrics to measure such defects, and results of a series of user experiments that justify such speculations. Results of the study provide bounds on losses, rate variations and transient synchronization losses as a function of user satisfaction, in the form of Likert values. It is shown how these results can be used by algorithm designers of underlying multimedia systems.",111
Quality of service (QoS) metrics for continuous media,"Duminda Wijesekera, Jaideep Srivastava",1996/9,Journal Multimedia Tools and Applications,"This paper presents quality of service (QoS) metrics for continuity and synchronization specifications in continuous media (CM). Proposed metrics specify continuity and synchronization, with tolerable limits on average and bursty defaults from perfect continuity, timing and synchronization constraints. These metrics can be used in a distributed environment for resource allocation. Continuity specification of a CM stream consists of its sequencing, display rate and drift profiles. The sequencing profile of a CM stream consists of tolerable aggregate and consecutive frame miss ratios. Rate profiles specify the average rendition rate and its variation. Given a rate profile, the ideal time unit for frame display is determined as an offset from the beginning of the stream. Drift profile specifies the average and bursty deviation of schedules for frames from such fixed points in time. Synchronization requirements of a collection …",100
Implementing security policies in software development tools,"Khaled S Alghathbar, Duminda Wijesekera",2008/3/4,Patent office US,Disclosed is an access and information flow control framework. The framework includes: creating consistent and conflict-free authorization requirement (s) from the raw authorization requirement (s); creating consistent case authorization (s); creating information flow and propagated information flow requirement (s) that are consistent with an information flow policy; creating operation authorization (s); resolving inconsistencies in operation authorization (s); and ensuring that the operation authorization (s) are conflict-free.,83
Provisions and obligations in policy rule management,"Claudio Bettini, Sushil Jajodia, X Sean Wang, Duminda Wijesekera",2003/9,Journal Journal of Network and Systems Management,"Policies in modern systems and applications play an essential role. We argue that decisions based on policy rules should take into account the possibility for the users to enable specific policy rules, by performing actions at the time when decisions are being rendered, and/or by promising to perform other actions in the future. Decisions should also consider preferences among different sets of actions enabling different rules. We adopt a formalism and mechanism devised for policy rule management in this context, and investigate in detail the notion of obligations, which are those actions users promise to perform in the future upon firing of a specific policy rule. We also investigate how obligations can be monitored and how the policy rules should be affected when obligations are either fulfilled or defaulted.",83
Revocations-a classification,"Asa Hagstrom, Sushil Jajodia, Francesco Parisi-Presicce, Duminda Wijesekera",2001/6/11,"Conference Proceedings. 14th IEEE Computer Security Foundations Workshop, 2001.","In an ownership-based framework for access control, with the possibility of granting access and administrative rights, chains of granted accesses will form. This is a comprehensive study of the problem of revoking such rights, and on the impact different revocation schemes may have on the chains. Three main revocation characteristics are identified: the extent of the revocation to other grantees (propagation), the effect on other grants to the same grantee (dominance), and the permanence of the negation of rights (resilience). A classification is devised using these three dimensions. The different schemes thus obtained are described, and compared to other models from the literature.",82
Executable misuse cases for modeling security concerns,"Jon Whittle, Duminda Wijesekera, Mark Hartong",2008/5/10,Book Proceedings of the 30th international conference on Software engineering,"Misuse cases are a way of modeling negative requirements, that is, behaviors that should not occur in a system. In particular, they can be used to model attacks on a system as well as the security mechanisms needed to avoid them. However, like use cases, misuse cases describe requirements in a high-level and informal manner. This means that, whilst they are easy to understand, they do not lend themselves to testing or analysis. In this paper, we present an executable misuse case modeling language which allows modelers to specify misuse case scenarios in a formal yet intuitive way and to execute the misuse case model in tandem with a corresponding use case model. Misuse scenarios are given in executable form and mitigations are captured using aspect-oriented modeling. The technique is useful for brainstorming potential attacks and their mitigations. Furthermore, the use of aspects allows mitigations to …",81
Fast detection of denial-of-service attacks on IP telephony,"Hemant Sengar, Haining Wang, Duminda Wijesekera, Sushil Jajodia",2006/6/19,Conference 200614th IEEE International Workshop on Quality of Service,"Recently voice over IP (VoIP) is experiencing a phenomenal growth. Being a real-time service, VoIP is more susceptible to denial-of-service (DoS) attacks than regular Internet services. Moreover, VoIP uses multiple protocols for call control and data delivery, making it vulnerable to various DoS attacks at different protocol layers. An attacker can easily disrupt VoIP services by flooding TCP SYN packets, UDP-based RTP packets, or SIP-based INVITE messages, which pose a critical threat to IP telephony. In this paper, we present an online statistical detection mechanism, called vFDS, to detect DoS attacks in the context of VoIP. The core of vFDS is based on Hellinger distance method, which computes the variability between two probability measures. Using Hellinger distance, we characterize normal protocol behaviors and then detect the traffic anomalies caused by flooding attacks. Our experimental results show …",75
Implementing Security Policies in Software Development Tools,"Khaled Alghathbar, Duminda Wijesekera",2009/7/9,Patent office US,Disclosed is an access and information flow control framework that includes a series of phases. The first phase includes: receiving raw authorization requirement (s); creating authorization requirement representation (s) from the raw authorization requirement (s) using a language; and analyzing the authorization requirement representation (s) to ensure that they are consistent and conflict-free. The second phase includes: creating case authorization (s) from the authorization requirement representation (s) and validating consistency between the authorization requirement representation (s) and the use case authorization (s). The use case authorization may be created by propagating the authorization requirement representation (s) to a subject hierarchy; enumerating implicit authorization (s) derived from the authorization requirement representation (s); resolving inconsistencies in the use case authorization (s); and …,62
Cardinality-based inference control in data cubes,"Lingyu Wang, Duminda Wijesekera, Sushil Jajodia",2004/1/1,Journal Journal of Computer Security,"This paper addresses the inference problem in on-line analytical processing (OLAP) systems. The inference problem occurs when the exact values of sensitive attributes can be determined through answers to OLAP queries. Most existing inference control methods are computationally expensive for OLAP systems, because they ignore the special structures of OLAP queries. By exploiting such structures, we derive cardinality-based sufficient conditions for safe OLAP data cubes. Specifically, data cubes are safe from inferences if their core cuboids are dense enough, in the sense that the number of known values is under a tight bound. We then apply the sufficient conditions on the basis of a three-tier inference control model. The model introduces an aggregation tier between data and queries. The aggregation tier represents a collection of safe data cubes that are pre-computed over a partition of the data using the …",58
authUML: a three-phased framework to analyze access control specifications in use cases,"Khaled Alghathbar, Duminda Wijesekera",2003/10/30,Book Proceedings of the 2003 ACM workshop on Formal methods in security engineering,"Security requirements of a software product need to receive attention throughout its development life cycle. authUML is a framework based on logic programming that analyzes access control requirements in the requirements phase of the life cycle to ensure that they are consistent, complete and conflict-free. The framework is a customized version of Flexible Authorization Framework (FAF) of Jajodia et al. [9] suitable for Unified Modeling Language (UML) based requirement engineering. Our approach analyzes requirements on two levels: Use Cases and the conceptual operations [19]. authUML specifies policies to prevent inconsistent, incomplete and conflicting requirements before the developers proceed to the following phases of the development life cycle.",53
Policy-based dissemination of partial web-ontologies,"Saket Kaushik, Duminda Wijesekera, Paul Ammann",2005/11/11,Book Proceedings of the 2005 workshop on Secure web services,"Traditional discretionary access control, without data alteration operators, applied directly on ontologies can result in revealing unintended information because ontologies contain meta-information about objects. As an alternative we provide a constraint logic programming based policy language that can extract, rove or desensitize sensitive concepts in ontologies prior to requested disclosures. Our policies are stratified Horn clauses with constructive negation, and our constraint syst uses a finitary syst of ZF sets developed by Dovier et al. - and consequently, admits a three-valued Kripke-Kleene santics. Consequently, it is suitable for safeguarding meta-information stored on the Santic web using OWL. We show how our three-valued santics faithfully represents traditional OWL santics.",50
Performance analysis of web services on mobile devices,"KamalEldin Mohamed, Duminda Wijesekera",2012/1/1,Journal Procedia Computer Science,"With the recent rapid development of mobile devices in terms of processing power, memory and storage capabilities coupled with the advancements of wireless technology in terms of higher data transmission rates such as 3G and 4G, it has now become feasible to host Web services on mobile devices. In this paper we propose a lightweight framework for hosting Web services on mobile devices. We further evaluate and provide a comparative analysis for hosting RESTful Web services versus SOAP-based Web services on our framework. Our experimental results and analysis indicate that RESTful Web services are less resource consuming and more efficient for the implementation and provisioning of Web services from resource-constrained mobile devices.",49
Measured responses to cyber attacks using Schmitt analysis: a case study of attack scenarios for a software-intensive system,"James Bret Michael, Thomas C Wingfield, Duminda Wijesekera",2003/11/3,Conference Proceedings 27th Annual International Computer Software and Applications Conference. COMPAC 2003,"In this paper we address the development of measured responses to coercive actions. We demonstrate, via a case study of kinetic and cyber attacks on a safety-critical software-intensive system, the application of the Schmitt Analysis to the question of whether the attacks have risen to the level of a ""use of force"" under international law, taking into account both the quantitative and qualitative aspects of the attacks.",46
