titles,authors,date,source,descriptions,citations
Simulation optimization: A review and exploration in the new era of cloud computing and big data,"Jie Xu, Edward Huang, Chun-Hung Chen, Loo Hay Lee",2015/6/21,Source Asia-Pacific Journal of Operational Research,"Recent advances in simulation optimization research and explosive growth in computing power have made it possible to optimize complex stochastic systems that are otherwise intractable. In the first part of this paper, we classify simulation optimization techniques into four categories based on how the search is conducted. We provide tutorial expositions on representative methods from each category, with a focus in recent developments, and compare the strengths and limitations of each category. In the second part of this paper, we review applications of simulation optimization in various contexts, with detailed discussions on health care, logistics, and manufacturing systems. Finally, we explore the potential of simulation optimization in the new era. Specifically, we discuss how simulation optimization can benefit from cloud computing and high-performance computing, its integration with big data analytics, and the …",209
System and simulation modeling using SysML,"Edward Huang, Randeep Ramamurthy, Leon F McGinnis",2007/12/9,Conference 2007 Winter Simulation Conference,"Simulation languages and the GUIs supporting them may be excellent tools for creating simulation codes, but are not necessarily the best tools to use for creating descriptions of systems, i.e., for modeling. In 2006, OMG published the initial standard specification (OMG 2006) for SysML (Systems Modeling Language), an extension of UML (OMG 2007) designed specifically to support systems engineering. SysML shows great promise for creating object-oriented models of systems that incorporate not only software, but also people, material, and other physical resources, expressing both structure and behavior for such systems. In this paper, we explore the use of SysML both to model a system to be simulated and to support the automatic generation of simulation models.",170
Simulation optimization in the era of Industrial 4.0 and the Industrial Internet,"Jie Xu, Edward Huang, Liam Hsieh, Loo Hay Lee, Qing-Shan Jia, Chun-Hung Chen",2016/11/1,Journal Journal of Simulation,"Simulation is an established tool for predicting and evaluating the performance of complex stochastic systems that are analytically intractable. Recent research in simulation optimization and explosive growth in computing power have made it feasible to use simulations to optimize the design and operations of systems directly. Concurrently, ubiquitous sensing, pervasive computing, and unprecedented systems interconnectivity have ushered in a new era of industrialization (the so-called Industrial 4.0/Industrial Internet). In this article, we argue that simulation optimization is a decision-making tool that can be applied to many scenarios to tremendous effect. By capitalizing on an unprecedented integration of sensing, computing, and control, simulation optimization provides the “smart brain” required to drastically improve the efficiency of industrial systems. We explore the potential of simulation optimization and discuss …",132
MO2TOS: Multi-Fidelity Optimization with Ordinal Transformation and Optimal Sampling,"Jie Xu, Si Zhang, Edward Huang, Chun-Hung Chen, Loo Hay Lee, Nurcin Celik",2016/6/20,Journal Asia-Pacific Journal of Operational Research,"Simulation optimization can be used to solve many complex optimization problems in automation applications such as job scheduling and inventory control. We propose a new framework to perform efficient simulation optimization when simulation models with different fidelity levels are available. The framework consists of two novel methodologies: ordinal transformation (OT) and optimal sampling (OS). The OT methodology uses the low-fidelity simulations to transform the original solution space into an ordinal space that encapsulates useful information from the low-fidelity model. The OS methodology efficiently uses high-fidelity simulations to sample the transformed space in search of the optimal solution. Through theoretical analysis and numerical experiments, we demonstrate the promising performance of the multi-fidelity optimization with ordinal transformation and optimal sampling (MO2TOS) framework.",87
Optimal inventory control in a multi-period newsvendor problem with non-stationary demand,"Gitae Kim, Kan Wu, Edward Huang",2015/1/1,Journal Advanced Engineering Informatics,"The optimal control of inventory in supply chains plays a key role in the competiveness of a corporation. The inventory cost can account for half of company’s logistics cost. The classical inventory models, e.g., newsvendor and EOQ models, assume either a single or infinite planning periods. However, these models may not be applied to perishable products which usually have a certain shelf life. To optimize the total logistic cost for perishable products, this paper presents a multi-period newsvendor model, and the problem is formulated as a multi-stage stochastic programming model with integer recourse decisions. We extend the progressive hedging method to solve the model efficiently. A numerical example and its sensitivity analysis are demonstrated.",86
Strategic robust supply chain design based on the Pareto-optimal tradeoff between efficiency and risk,"Edward Huang, Marc Goetschalckx",2014/9/1,Journal European Journal of Operational Research,"The strategic design of a robust supply chain has to determine the configuration of the supply chain so that its performance remains of a consistently high quality for all possible future conditions. The current modeling techniques often only consider either the efficiency or the risk of the supply chain. Instead, we define the strategic robust supply chain design as the set of all Pareto-optimal configurations considering simultaneously the efficiency and the risk, where the risk is measured by the standard deviation of the efficiency. We model the problem as the Mean–Standard Deviation Robust Design Problem (MSD-RDP). Since the standard deviation has a square root expression, which makes standard maximization algorithms based on mixed-integer linear programming non-applicable, we show the equivalency to the Mean–Variance Robust Design Problem (MV-RDP). The MV-RDP yields an infinite number of mixed …",64
Efficient multi-fidelity simulation optimization,"Jie Xu, Si Zhang, Edward Huang, Chun-Hung Chen, Loo Hay Lee, Nurcin Celik",2014/12/7,Book Proceedings of the 2014 winter simulation conference,"Simulation models of different fidelity levels are often available for a complex system. High-fidelity simulations are accurate but time-consuming. Therefore, they can only be applied to a small number of solutions. Low-fidelity simulations are faster and can evaluate a large number of solutions. But their results may contain significant bias and variability. We propose an Multi-fidelity Optimization with Ordinal Transformation and Optimal Sampling (MO2TOS) framework to exploit the benefits of high- and low-fidelity simulations to efficiently identify a (near) optimal solution. MO2TOS uses low-fidelity simulations for all solutions and then assigns a fixed budget of high-fidelity simulations to solutions based on low-fidelity simulation results. We show the benefits of MO2TOS via theoretical analysis and numerical experiments with deterministic simulations and stochastic simulations where noise is negligible with sufficient …",49
Ontologies and simulation: a practical approach,"Leon McGinnis, Edward Huang, Ky Sang Kwon, Volkan Ustun",2011/8/1,Journal Journal of Simulation,"The challenges in cost-effectively deploying simulation technology are well known. Two major challenges are creating an appropriate conceptual model and translating that conceptual model correctly into a computational model. Ontologies have been widely discussed as one mechanism for capturing modelling knowledge in a reusable form, making it effectively available in the conceptual and computational modelling phases. In this paper, we show how ontologies can be effectively deployed in simulation using recent innovations from systems engineering and software engineering. We use OMG SysML™ to create an ontology implementation referred to as a domain-specific language, or DSL, for a class of simulation applications; the DSL is used to create a specific (conceptual) user model for a problem in the domain. We then use model transformation to automate the translation to a computational simulation …",42
Multi-fidelity model integration for engineering design,"Edward Huang, Jie Xu, Si Zhang, Chun-Hung Chen",2015/1/1,Journal Procedia Computer Science,"Systems engineers have long been using analytical and computational models to approximately predict the behaviors of systems and use these models to guide the design of engineered systems. However, until now, systems engineers are still forced to compromise on model fidelity, modeling accuracy, and the optimality of the selected design alternatives through the whole engineering design process. Although high-fidelity models can provide an accurate estimation, running these models is usually time-consuming. On the other hand, low-fidelity models are much faster, but their results may contain significant bias and variability. In this research, we propose a Multi-fidelity Optimization with Ordinal Transformation and Optimal Sampling (MO2TOS) framework to integrate both high- and low-fidelity model to efficiently identify a (near) optimal design. The proposed framework uses low-fidelity models to evaluate all …",33
Verifying SysML activity diagrams using formal transformation to Petri nets,"Edward Huang, Leon F McGinnis, Steven W Mitchell",2020/1,Journal Systems Engineering,"The development of contemporary systems is an extremely complex process. One approach to modeling system behavior uses activity diagrams from Unified Modeling Language (UML)/System Modeling Language (SysML), providing a standard object‐oriented graphical notation and enhancing reusability. However, UML/SysML activity diagrams do not directly support the kind of analysis needed to verify the system behavior, such as might be available with a Petri net (PN) model. We show that a behavior model represented by a set of fUML‐compliant modeling elements in UML/SysML activity diagrams can be transformed into an equivalent PN, so that the analysis capability of PN can be applied. We define a formal mathematical notation for a set of modeling elements in activity diagrams, show the mapping rules between PN and activity diagrams, and propose a formal transformation algorithm. Two example …",31
