titles,authors,date,source,descriptions,citations
A Survey on Anti-spoofing Schemes for Fingerprint Recognition Systems,"Emanuela Marasco, Arun Ross",2015,Journal ACM Computing Surveys Volume 47 Issue 2,"Several issues related to the vulnerability of fingerprint recognition systems to attacks have been highlighted in the biometrics literature. One such vulnerability involves the use of artificial fingers, where materials such as Play-Doh, silicone, and gelatin are inscribed with fingerprint ridges. Researchers have demonstrated that some commercial fingerprint recognition systems can be deceived when these artificial fingers are placed on the sensor; that is, the system successfully processes the ensuing fingerprint images, thereby allowing an adversary to spoof the fingerprints of another individual. However, at the same time, several countermeasures that discriminate between live fingerprints and spoof artifacts have been proposed. While some of these antispoofing schemes are hardware based, several software-based approaches have been proposed as well. In this article, we review the literature and present the state …",351
Combining perspiration-and morphology-based static features for fingerprint liveness detection,"Emanuela Marasco, Carlo Sansone",2012/7/1,Journal Pattern Recognition Letters,"It has been showed that, by employing fake fingers, the existing fingerprint recognition systems may be easily deceived. So, there is an urgent need for improving their security. Software-based liveness detection algorithms typically exploit morphological and perspiration-based characteristics separately to measure the vitality. Both such features provide discriminant information about live and fake fingers, then, it is reasonable to investigate also their joint contribution. In this paper, we combine a set of the most robust morphological and perspiration-based measures. The effectiveness of the proposed approach has been assessed through a comparison with several state-of-the-art techniques for liveness detection. Experiments have been carried out, for the first time, by adopting standard databases. They have been taken from the Liveness Detection Competition 2009 whose data have been acquired by using three …",98
Fingerprint Liveness Detection based on Histograms of Invariant Gradients,"Carsten Gottschlich, Emanuela Marasco, Allen Y Yang, Bojan Cukic",2014,Conference International Joint Conference on Biometrics (IJCB),"Security of fingerprint authentication systems remains threatened by the presentation of spoof artifacts. Most current mitigation approaches rely upon the fingerprint liveness detection as the main anti-spoofing mechanisms. However, liveness detection algorithms are not robust to sensor variations. In other words, typical liveness detection algorithms need to be retrained and adapted to each and every sensor used for fingerprint capture. In this paper, inspired by popular invariant feature descriptors such as histograms of oriented gradients (HOG) and the scale invariant feature transform (SIFT), we propose a new invariant descriptor of fingerprint ridge texture called histograms of invariant gradients (HIG). The proposed descriptor is designed to preserve robustness to variations in gradient positions. Spoofed fingerprints are detected using multiple histograms of invariant gradients computed from spatial neighborhoods …",97
An anti-spoofing technique using multiple textural features in fingerprint scanners,"Emanuela Marasco, Carlo Sansone",2010/9/9,Conference 2010 IEEE workshop on biometric measurements and systems for security and medical applications,"Fingerprint verification systems may be circumvented by fake fingerprints produced using inexpensive materials like gelatin or silicon. An efficient countermeasure against these attacks is given by liveness detection. In the recent literature, different algorithms for detecting signs of vitality have been proposed. The cheapest techniques are software-based and utilize acquired fingerprint images in order to extract static or dynamic characteristics. In this paper, we propose a novel software-based solution for liveness detection based on static features coming out from the visual texture of the image. The reported results show that the use of our features effectively improves the discriminative power (between live and fake fingerprints) achieved by the algorithms proposed during the Liveness Detection Competition 2009.",52
Combining match scores with liveness values in a fingerprint verification system,"Emanuela Marasco, Yaohui Ding, Arun Ross",2012/9/23,"Conference 2012 IEEE Fifth International Conference on Biometrics: Theory, Applications and Systems (BTAS)","We discuss the problem of combining biometric match scores with liveness measure values in the context of fingerprint verification. Recent literature has focused on the development of methods to assess if an input fingerprint sample is a “live” entity or a “spoof” artefact. This is commonly done by generating a single-valued numerical entity referred to as the liveness measure value. However, the problem of combining this liveness value with match scores has not been rigorously investigated. The goal of this work is to design a framework in which a liveness detector is incorporated with a fingerprint matcher. We first design and analyze three different methods to combine match scores with liveness values. Next, we introduce a Bayesian Belief Network (BBN) scheme that models the relationship between match scores and liveness values. Experiments carried out on a publicly available database of the Fingerprint …",50
Robust and interoperable fingerprint spoof detection via convolutional neural networks,"Emanuela Marasco, Peter Wild, Bojan Cukic",2016/5/10,Conference 2016 IEEE symposium on technologies for homeland security (HST),"Fingerprint recognition for automated border control and other high-security applications needs robust integrated anti-spoofing capability. Facing the threat of presentation attacks, two key challenges to be solved are sensor interoperability and robustness versus new fabrication materials. This paper proposes convolutional neural networks for this task and presents an exhaustive comparison on latest LivDet 2011 and 2013 databases. Apart from classical classification nets, also metric-based deep siamese networks are evaluated learning a distance metric enforcing live-spoof pairs to be of higher distance than live-live pairs. This is useful for attended enrollment scenarios where a live gallery image is available (e.g. trusted-source fingerprint reference on the passport chip). Experiments reveal remarkable accuracy for all Convolutional Neural Networks (CNNs) CaffeNet (96.5%), GoogLeNet (96.6%), Siamese (93.1 …",42
On the robustness of fingerprint liveness detection algorithms against new materials used for spoofing,"Emanuela Marasco, Carlo Sansone",2011,Conference Biosignals 2011 International Conference on Bio-Inspired Systems and Signal Processing,"Fingerprint biometric systems may be deceived by attacks at sensor level that use fake fingers. A secure fingerprint scanner is required to possess the ability to determine if the image comes from a living individual or not. Recently, several liveness detection approaches have been proposed to address this problem. At present performances of the existing software-based solutions have been assessed with different sensors and using small data sets. Moreover, it is assumed that fake fingerprints are produced by adopting the same materials used for training the system. This paper looks at the cases where the test spoof finger is made by employing a material new for the fingerprint sensor. We propose an experimental comparison among the current fingerprint liveness detection approaches accomplished by adopting materials for training different than those used for testing. Experiments have been performed by using standard databases taken from the LivDet09 Competition.",41
Increase the security of multibiometric systems by incorporating a spoofing detection algorithm in the fusion mechanism,"Emanuela Marasco, Peter Johnson, Carlo Sansone, Stephanie Schuckers",2011,"Conference Multiple Classifier Systems: 10th International Workshop, MCS 2011, Naples, Italy, June 15-17, 2011. Proceedings 10","The use of multimodal biometric systems has been encouraged by the threat of spoofing, where an impostor fakes a biometric trait. The reason lies on the assumption that, an impostor must fake all the fused modalities to be accepted. Recent studies showed that there is a vulnerability of the existing fusion schemes in presence of attacks where only a subset of the fused modalities is spoofed. In this paper, we demonstrated that, by incorporating a liveness detection algorithm in the fusion scheme, the multimodal system results robust in presence of spoof attacks involving only a subset of the fused modalities. The experiments were carried out by analyzing different fusion rules on the Biosecure multimodal database.",40
Exploiting quality and texture features to estimate age and gender from fingerprints,"Emanuela Marasco, Luca Lugini, Bojan Cukic",2014/5/29,Conference Proc. of SPIE,"Age and gender of an individual, when available, can contribute to identification decisions provided by primary biometrics and help improve matching performance. In this paper, we propose a system which automatically infers age and gender from the fingerprint image. Current approaches for predicting age and gender generally exploit features such as ridge count, and white lines count that are manually extracted. Existing automated approaches have significant limitations in accuracy especially when dealing with data pertaining to elderly females. The model proposed in this paper exploits image quality features synthesized from 40 different frequency bands, and image texture properties captured using the Local Binary Pattern (LBP) and the Local Phase Quantization (LPQ) operators. We evaluate the performance of the proposed approach using fingerprint images collected from 500 users with an optical sensor …",32
Interoperability in fingerprint recognition: A large-scale empirical study,"Luca Lugini, Emanuela Marasco, Bojan Cukic, Ilir Gashi",2013/6/24,Conference 2013 43rd Annual IEEE/IFIP Conference on Dependable Systems and Networks Workshop (DSN-W),"Biometric systems are widely deployed in governmental, military and commercial/civilian applications. There are a multitude of sensors and matching algorithms available from different vendors. This creates a competitive market for these products, which is good for the consumers but emphasizes the importance of interoperability. Interoperability is the ability of a biometric system to handle variations introduced in the biometric data due to the deployment of different capture devices. The use of different biometric devices may increase error rates. In this paper, we perform a large-scale empirical study of the status of interoperability between fingerprint sensors and assess the performance consequence when interoperability is lacking.",31
