titles,authors,date,source,descriptions,citations
Habitat monitoring with sensor networks,"Robert Szewczyk, Eric Osterweil, Joseph Polastre, Michael Hamilton, Alan Mainwaring, Deborah Estrin",2004/6/1,Journal Communications of the ACM,"These networks deliver to ecologists data on localized environmental conditions at the scale of individual organisms to help settle large-scale land-use issues affecting animals, plants, and people.",1041
"A system for simulation, emulation, and deployment of heterogeneous sensor networks","Lewis Girod, Thanos Stathopoulos, Nithya Ramanathan, Jeremy Elson, Deborah Estrin, Eric Osterweil, Tom Schoellhammer",2004/11/3,Book Proceedings of the 2nd international conference on Embedded networked sensor systems,"Recently deployed Wireless Sensor Network systems (WSNs) are increasingly following heterogeneous designs, incorporating a mixture of elements with widely varying capabilities. The development and deployment of WSNs rides heavily on the availability of simulation, emulation, visualization and analysis support. In this work, we develop tools specifically to support heterogeneous systems, as well as to support the measurement and visualization of operational systems that is critical to addressing the inevitable problems that crop up in deployment. Our system differs from related systems in three key ways: in its ability to simulate and emulate heterogeneous systems in their entirety, in its extensive support for integration and interoperability between motes and microservers, and in its unified set of tools that capture, view, and analyze real time debugging information from simulations, emulations, and deployments.",279
Lightweight temporal compression of microclimate datasets,"Tom Schoellhammer, Ben Greenstein, Eric Osterweil, Michael Wimbrow, Deborah Estrin",2004/5/5,"Description Since the inception of sensor networks, in-network processing has been touted as the enabling technology for long-lived deployments. Radio communication is the overriding consumer of energy in such networks. Therefore, data reduction before transmission, either by compression or feature extraction, will directly and significantly increase network lifetime.In many cases, it is premature to begin implementing feature extraction techniques.Users do not yet understand in what forms interesting data will appear and consequently can’t risk automatically discarding what they presume to be uninteresting. Moreover, computer scientists are only beginning to develop algorithms to collect spatially distributed features in situ.Even for the many application where all of the data must be transported out of the network, data may be compressed before transport, so long as the chosen compression technique can operate under the stringent resource constraints of low-power nodes and induces only tolerable errors. This paper evaluates a simple temporal compression scheme designed specifically to be used bymicamotes for the compaction of microclimate data. The algorithm makes use of the observation that over a small enough window of time, samples of microclimate data are linear. It finds such windows and generates a series of line segments that accurately represent the data. It compresses data up to 20-to-1 while introducing error on the order of the sensor hardware’s specified margin of error. Furthermore it is simple, consumes little CPU and requires very little storage when compared to other compression techniques. This paper describes the technique …","Since the inception of sensor networks, in-network processing has been touted as the enabling technology for long-lived deployments. Radio communication is the overriding consumer of energy in such networks. Therefore, data reduction before transmission, either by compression or feature extraction, will directly and significantly increase network lifetime.In many cases, it is premature to begin implementing feature extraction techniques.Users do not yet understand in what forms interesting data will appear and consequently can’t risk automatically discarding what they presume to be uninteresting. Moreover, computer scientists are only beginning to develop algorithms to collect spatially distributed features in situ.Even for the many application where all of the data must be transported out of the network, data may be compressed before transport, so long as the chosen compression technique can operate under the stringent resource constraints of low-power nodes and induces only tolerable errors. This paper evaluates a simple temporal compression scheme designed specifically to be used bymicamotes for the compaction of microclimate data. The algorithm makes use of the observation that over a small enough window of time, samples of microclimate data are linear. It finds such windows and generates a series of line segments that accurately represent the data. It compresses data up to 20-to-1 while introducing error on the order of the sensor hardware’s specified margin of error. Furthermore it is simple, consumes little CPU and requires very little storage when compared to other compression techniques. This paper describes the technique …",197
Measuring ipv6 adoption,"Jakub Czyz, Mark Allman, Jing Zhang, Scott Iekel-Johnson, Eric Osterweil, Michael Bailey",2014/8/17,Book Proceedings of the 2014 ACM conference on SIGCOMM,"After several IPv4 address exhaustion milestones in the last three years, it is becoming apparent that the world is running out of IPv4 addresses, and the adoption of the next generation Internet protocol, IPv6, though nascent, is accelerating. In order to better understand this unique and disruptive transition, we explore twelve metrics using ten global-scale datasets to create the longest and broadest measurement of IPv6 adoption to date. Using this perspective, we find that adoption, relative to IPv4, varies by two orders of magnitude depending on the measure examined and that care must be taken when evaluating adoption metrics in isolation. Further, we find that regional adoption is not uniform. Finally, and perhaps most surprisingly, we find that over the last three years, the nature of IPv6 utilization-in terms of traffic, content, reliance on transition technology, and performance-has shifted dramatically from prior …",188
White listing DNS top-talkers,"Eric Osterweil, Danny Mcpherson",2015/1/13,Patent office US,"Systems and methods for creating a list of trustworthy resolvers in a domain name system. A computer receives a resolver profile for a resolver sending queries to a domain name server. The resolver profile is based on any, or a combination, of a top-talker status of the resolver, a normalcy of distribution of domain names queried, a continuity of distribution of query type, and a RD bit status, and information related to query traffic based on the topology of the domain name server. Resolver profiles can be compared to a trust policy to determine whether the resolver is trustworthy. Resolvers deemed trustworthy can be added to a list of trustworthy resolvers. Embodiments can detect the occurrence of a network-based attack. Embodiments can mitigate the effect of a network-based attack by responding only to queries from resolvers on the list of trustworthy resolvers.",103
Quantifying the operational status of the dnssec deployment,"Eric Osterweil, Michael Ryan, Dan Massey, Lixia Zhang",2008/10/20,Book Proceedings of the 8th ACM SIGCOMM conference on Internet measurement,"This paper examines the deployment of the DNS Security Extensions (DNSSEC), which adds cryptographic protection to DNS, one of the core components in the Internet infrastructure. We analyze the data collected from the initial DNSSEC deployment which started over 2 years ago, and identify three critical metrics to gauge the deployment: availability, verifiability, and validity. Our results provide the first comprehensive look at DNSSEC's deployment and reveal a number of challenges that were not anticipated in the design but have become evident in the deployment. First, obstacles such as middle-boxes (firewalls, NATs, etc.) that exist in today's Internet infrastructure have proven to be problematic and have resulted in unforeseen availability problems. Second, the public-key delegation system of DNSSEC has not evolved as it was hoped and it currently leaves over 97% of DNSSEC zones isolated and …",93
Authenticated name resolution,"Danny Mcpherson, Joseph Waldron, Eric Osterweil",2019/4/23,Patent office US,"A method, system, and computer-readable memory containing instructions include receiving a DNS request containing authentication information, validating the authentication information, determining an appropriate action to take based on the validating status, and taking the appropriate action. Actions may include responding with an individualized network layer address or service location address, delaying sending a response message, sending a network layer address or service location address corresponding to a site containing authentication information, and sending a response with a network layer address or service location address with a web address configured to mimic the website related to the requested resource.",84
Adaptive name resolution,"Danny Mcpherson, Joseph Waldron, Eric Osterweil",2015/3/24,Patent office US,"A method, system, and computer-readable memory containing instructions include receiving a DNS request containing information related to user-specific information, device-specific information, and/or authentication information, analyzing the information, determining an appropriate action to take based on analyzing the status, and taking the appropriate action. Actions may include responding with an individualized network layer address or service location address, delaying sending a response message, sending a network layer address or service location address corresponding to a site containing authentication information, and sending a response with a network layer address or service location address with a web address configured to mimic the website related to the requested resource.",79
Deploying cryptography in Internet-scale systems: A case study on DNSSEC,"Hao Yang, Eric Osterweil, Dan Massey, Songwu Lu, Lixia Zhang",2010/4/8,Journal IEEE Transactions on Dependable and Secure Computing,"The DNS Security Extensions (DNSSEC) are among the first attempts to deploy cryptographic protections in an Internet-scale operational system. DNSSEC applies well-established public key cryptography to ensure data integrity and origin authenticity in the DNS system. While the cryptographic design of DNSSEC is sound and seemingly simple, its development has taken the IETF over a decade and several protocol revisions, and even today its deployment is still in the early stage of rolling out. In this paper, we provide the first systematic examination of the design, deployment, and operational challenges encountered by DNSSEC over the years. Our study reveals a fundamental gap between cryptographic designs and operational Internet systems. To be deployed in the global Internet, a cryptographic protocol must possess several critical properties including scalability, flexibility, incremental deployability, and …",76
Dissecting ghost clicks: Ad fraud via misdirected human clicks,"Sumayah A Alrwais, Alexandre Gerber, Christopher W Dunn, Oliver Spatscheck, Minaxi Gupta, Eric Osterweil",2012/12/3,Book Proceedings of the 28th Annual Computer Security Applications Conference,"FBI's Operation Ghost Click, the largest cybercriminal takedown in history, recently took down an ad fraud infrastructure that affected 4 million users and made its owners 14 million USD over a period of four years. The attackers hijacked clicks and ad impressions on victim machines infected by a DNS changer malware to earn ad revenue fraudulently. We experimented with the attack infrastructure when it was in operation and present a detailed account of the attackers' modus operandi. We also study the impact of this attack on real-world users and find that 37 subscriber lines were impacted in our data set. Also, 20 ad networks and 257 legitimate Web content publishers lost ad revenue while the attackers earned revenue convincing a dozen other ad networks that their ads were served on websites with real visitors. Our work expands the understanding of modalities of ad fraud and could help guide appropriate …",61
"Registering, managing, and communicating with IOT devices using domain name system processes","Stephen Daniel James, Daniel Schonfeld, Andrew Fregly, Eric Osterweil",2017/9/12,Patent office US,"Provided herein is a method for registering an IoT device with a DNS registry. The method can include obtaining, at a DNS server, an identifier, IP address, and a public key of an asymmetric key pair associated with the IoT device from a network gateway device that is in communication with the IoT device, wherein the asymmetric key pair is provisioned onto the IoT device and an associated private key stored within a memory of the IoT device at a time that IoT device is manufactured or during a predetermined time window after manufacturing; creating at least one DNS record for the IoT device; assigning a domain name associated with the internet protocol (“IP”) address to the IoT device; storing the identifier, IP address, the domain name, and the public key in the at least one DNS record; and providing confirmation of the registration to the IoT device.",60
