titles,authors,date,source,descriptions,citations
Machine learning: A multistrategy approach,"Ryszard S Michalski, Gheorghe Tecuci, Jerzy W Bala, Cristina Baroglio, Marco Botta",1994,"Publisher New York: Morgan Kaufman,",,293
"Building Intelligent Agents: An Apprenticeship, Multistrategy Learning Theory, Methodology, Tool and Case Studies","Gheorghe Tecuci, Tomasz Dybala",1998/6/23,Publisher Morgan Kaufmann,"Building Intelligent Agents is unique in its comprehensive coverage of the subject. The first part of the book presents an original theory for building intelligent agents and a methodology and tool that implement the theory. The second part of the book presents complex and detailed case studies of building different types of agents: an educational assessment agent, a statistical analysis assessment and support agent, an engineering design assistant, and a virtual military commander. Also featured in this book is Disciple, a toolkit for building interactive agents which function in much the same way as a human apprentice. Disciple-based agents can reason both with incomplete information, but also with information that is potentially incorrect. This approach, in which the agent learns its behavior from its teacher, integrates many machine learning and knowledge acquisition techniques, taking advantage of their complementary strengths to compensate for each others weakness. As a consequence, it significantly reduces (or even eliminates) the involvement of a knowledge engineer in the process of building an intelligent agent.",287
Apprenticeship learning in imperfect domain theories,"Gheorghe Tecuci, Yves Kodratoff",1990/1/1,Book Machine learning,"This chapter presents DISCIPLE, a multistrategy, integrated learning system illustrating a theory and a methodology for learning expert knowledge in the context of an imperfect domain theory. DISCIPLE integrates a learning system and an empty expert system, both using the same knowledge base. It is initially provided with an imperfect (nonhomogeneous) domain theory and learns problem-solving rules from the problem-solving steps received from its expert user, during interactive problem-solving sessions. In this way, DISCIPLE evolves from a helpful assistant in problem solving to a genuine expert. The problem-solving method of DISCIPLE combines problem reduction, problem solving by constraints, and problem solving by analogy. The learning method of DISCIPLE depends on its knowledge about the problem-solving step (the example) from which it learns. In the context of a complete theory about the …",96
Seven aspects of mixed-initiative reasoning: An introduction to this special issue on mixed-initiative assistants,"Gheorghe Tecuci, Mihai Boicu, Michael T Cox",2007/6/15,Journal AI Magazine,"Mixed-initiative assistants are agents that interact seamlessly with humans to extend their problem-solving capabilities or provide new capabilities. Developing such agents requires the synergistic integration of many areas of AI, including knowledge representation, problem solving and planning, knowledge acquisition and learning, multiagent systems, discourse theory, and human-computer interaction. This paper introduces seven aspects of mixed-initiative reasoning (task, control, awareness, communication, personalization, architecture, and evaluation) and discusses them in the context of several state-of-the-art mixed-initiative assistants. The goal is to provide a framework for understanding and comparing existing mixed-initiative assistants and for developing general design principles and methods.",78
"DISCIPLE: a theory, methodology and system for learning expert knowledge",Gheorghe Tecuci,1988/1/1,Institution Paris 11,"DISCIPLE est un système qui illustre une théorie et une méthodologie d'apprentissage des connaissances expertes. Il est composé d'un système expert et d'un système d'apprentissage qui utilise une même base de connaissances. DISCIPLE part de connaissances élémentaires sur un domaine d'application (une théorie du domaine) et, au cours de sessions interactives de résolution de problèmes, apprend de règles générales à partir des solutions spécifiques fournies par l'expert humain. La méthode de résolution de problèmes combine la réduction de problèmes, l'utilisation de contraintes et l'analogie. Quant à l'apprentissage, DISCIPLE utilise différentes méthodes, en fonction de ses connaissances sur la solution de l'utilisateur. Cette solution est considérée comme un exemple pour apprendre une règle générale. Dans le cas d'une théorie complète sur l'exemple, DISCIPLE apprend à partir d'explications, ce qui augmente son efficacité. Dans le cas d'une théorie faible, il intègre l'apprentissage à partir d'explications, l'apprentissage par analogie et l'apprentissage empirique, développant ainsi sa compétence. Enfin, dans le cas d'une théorie incomplète, il apprend en combinant les deux méthodes précédentes, ce qui améliore tant sa compétence que son efficacité.",73
"Automating knowledge acquisition as extending, updating, and improving a knowledge base",Gheorghe D Tecuci,1992/11,"Journal IEEE transactions on Systems, Man, and Cybernetics","A method for the automation of knowledge acquisition that is viewed as a process of incremental extension, updating, and improvement of an incomplete and possibly partially incorrect knowledge base of an expert system is presented. The knowledge base is an approximate representation of objects and inference processes in the expertise domain. Its gradual development is guided by the general goal of improving this representation to consistently integrate new input information received from the human expert. The knowledge acquisition method is presented as part of a methodology for the automation of the entire process of building expert systems, and is implemented in the system NeoDISCIPLE. The method promotes several general ideas for the automation of knowledge acquisition, such as understanding-based knowledge extension, knowledge acquisition through multistrategy learning, consistency …",54
DISCIPLE-1: Interactive Apprentice System in Weak Theory Fields.,"Yves Kodratoff, Gheorghe Tecuci",1987/8/23,Conference IJCAI,"The paper presents an interactive approach to learning apprentice systems for weak theory domains. The approach consists of a combination of teaming by analogy and learning by generalizing instances. One main point of this approach is that it uses the explanations drawn from an example, both to reduce the version space of me rules to be learned, and to generate new examples, analogous to the given one. Another important point is that it demonstrates not only that over-generalization is harmless but also useful and necessary, when interacting with a user. It allows to use the theory of the domain, though incomplete as it is, in order to extract the missing knowledge by asking"" clever"" questions to its user. This paper presents a first prototypical version of DISCIPLE and its use to the design of technologies for the manufacturing of loudspeakers.",49
An Innovative Application from the DARPA Knowledge Bases Programs: Rapid Development of a Course-of-Action Critiquer,"Gheorghe Tecuci, Mihai Boicu, Mike Bowman, Dorin Marcu",2001/6/15,Journal Ai Magazine,"This article presents a learning agent shell and methodology for building knowledge bases and agents and their innovative application to the development of a critiquing agent for military courses of action, a challenge problem set by the Defense Advanced Research Projects Agency's High-Performance Knowledge Bases Program. The learning agent shell includes a general problem-solving engine and a general learning engine for a generic knowledge base structured into two main components:(1) an ontology that defines the concepts from an application domain and (2) a set of task-reduction rules expressed with these concepts. The development of the critiquing agent was done by importing ontological knowledge from cyc and teaching the agent how an expert performs the critiquing task. The learning agent shell, the methodology, and the developed critiquer were evaluated in several intensive studies, demonstrating good results.",46
Knowledge engineering: building cognitive assistants for evidence-based reasoning,"Gheorghe Tecuci, Dorin Marcu, Mihai Boicu, David A Schum",2016/9/8,Publisher Cambridge University Press,"This book presents a significant advancement in the theory and practice of knowledge engineering, the discipline concerned with the development of intelligent agents that use knowledge and reasoning to perform problem solving and decision-making tasks. It covers the main stages in the development of a knowledge-based agent: understanding the application domain, modeling problem solving in that domain, developing the ontology, learning the reasoning rules, and testing the agent. The book focuses on a special class of agents: cognitive assistants for evidence-based reasoning that learn complex problem-solving expertise directly from human experts, support experts, and nonexperts in problem solving and decision making, and teach their problem-solving expertise to students. A powerful learning agent shell, Disciple-EBR, is included with the book, enabling students, practitioners, and researchers to develop cognitive assistants rapidly in a wide variety of domains that require evidence-based reasoning, including intelligence analysis, cybersecurity, law, forensics, medicine, and education.",45
The Disciple–Rkf Learning and Reasoning Agent,"Gheorghe Tecuci, Mihai Boicu, Cristina Boicu, Dorin Marcu, Bogdan Stanescu, Marcel Barbulescu",2005/11,Journal Computational Intelligence,"Over the years we have developed the Disciple theory, methodology, and family of tools for building knowledge‐based agents. This approach consists of developing an agent shell that can be taught directly by a subject matter expert in a way that resembles how the expert would teach a human apprentice when solving problems in cooperation. This paper presents the most recent version of the Disciple approach and its implementation in the Disciple–RKF (rapid knowledge formation) system. Disciple–RKF is based on mixed‐initiative problem solving, where the expert solves the more creative parts of the problem and the agent solves the more routine ones, integrated teaching and learning, where the agent helps the expert to teach it, by asking relevant questions, and the expert helps the agent to learn, by providing examples, hints, and explanations, and multistrategy learning, where the agent integrates multiple …",45
