titles,authors,date,source,descriptions,citations
Petilla terminology: nomenclature of features of GABAergic interneurons of the cerebral cortex,2008/7,Nature Reviews Neuroscience,Volume 9,"Neuroscience produces a vast amount of data from an enormous diversity of neurons. A neuronal classification system is essential to organize such data and the knowledge that is derived from them. Classification depends on the unequivocal identification of the features that distinguish one type of neuron from another. The problems inherent in this are particularly acute when studying cortical interneurons. To tackle this, we convened a representative group of researchers to agree on a set of terms to describe the anatomical, physiological and molecular features of GABAergic interneurons of the cerebral cortex. The resulting terminology might provide a stepping stone towards a future classification of these complex and heterogeneous cells. Consistent adoption will be important for the success of such an initiative, and we also encourage the active involvement of the broader scientific community in the dynamic …",1541
New insights into the classification and nomenclature of cortical GABAergic interneurons,"Javier DeFelipe, Pedro L López-Cruz, Ruth Benavides-Piccione, Concha Bielza, Pedro Larrañaga, Stewart Anderson, Andreas Burkhalter, Bruno Cauli, Alfonso Fairén, Dirk Feldmeyer, Gord Fishell, David Fitzpatrick, Tamás F Freund, Guillermo González-Burgos, Shaul Hestrin, Sean Hill, Patrick R Hof, Josh Huang, Edward G Jones, Yasuo Kawaguchi, Zoltán Kisvárday, Yoshiyuki Kubota, David A Lewis, Oscar Marín, Henry Markram, Chris J McBain, Hanno S Meyer, Hannah Monyer, Sacha B Nelson, Kathleen Rockland, Jean Rossier, John LR Rubenstein, Bernardo Rudy, Massimo Scanziani, Gordon M Shepherd, Chet C Sherwood, Jochen F Staiger, Gábor Tamás, Alex Thomson, Yun Wang, Rafael Yuste, Giorgio A Ascoli",2013/3,Source Nature Reviews Neuroscience,"A systematic classification and accepted nomenclature of neuron types is much needed but is currently lacking. This article describes a possible taxonomical solution for classifying GABAergic interneurons of the cerebral cortex based on a novel, web-based interactive system that allows experts to classify neurons with pre-determined criteria. Using Bayesian analysis and clustering algorithms on the resulting data, we investigated the suitability of several anatomical terms and neuron names for cortical GABAergic interneurons. Moreover, we show that supervised classification models could automatically categorize interneurons in agreement with experts' assignments. These results demonstrate a practical and objective approach to the naming, characterization and classification of neurons based on community consensus.",794
NeuroMorpho. Org: a central resource for neuronal morphologies,"Giorgio A Ascoli, Duncan E Donohue, Maryam Halavi",2007/8/29,Journal Journal of Neuroscience,"The structure of dendrites and axons plays fundamental roles in synaptic integration and network connectivity. Synergistic advances in neurobiology (eg, intracellular injections, fluorescent protein expression), microscopy (eg, multiphoton laser scanning, computer controllers), and imaging software (eg, Neurolucida tracing, blind deconvolution) are rapidly transforming the three-dimensional (3D) reconstruction of neuronal morphology into a mainstream technique. In the course of electrophysiological, pharmacological, or histological studies, neuritic arborizations are accurately traced into digital files representing location, orientation, and branching details as a parsimonious set of interconnected cylinders. The process is still considerably labor intensive (typically 1 person-week per neuron), but it enables nearly unlimited analytical power, including, eg, quantitative morphological and stereological characterizations …",651
"L-Measure: a web-accessible tool for the analysis, comparison and search of digital reconstructions of neuronal morphologies","Ruggero Scorcioni, Sridevi Polavaram, Giorgio A Ascoli",2008/5,Journal Nature protocols,"L-Measure (LM) is a freely available software tool for the quantitative characterization of neuronal morphology. LM computes a large number of neuroanatomical parameters from 3D digital reconstruction files starting from and combining a set of core metrics. After more than six years of development and use in the neuroscience community, LM enables the execution of commonly adopted analyses as well as of more advanced functions. This report illustrates several LM protocols: (i) extraction of basic morphological parameters, (ii) computation of frequency distributions, (iii) measurements from user-specified subregions of the neuronal arbors, (iv) statistical comparison between two groups of cells and (v) filtered selections and searches from collections of neurons based on any Boolean combination of the available morphometric measures. These functionalities are easily accessed and deployed through a user …",335
Mobilizing the base of neuroscience data: the case of neuronal morphologies,Giorgio A Ascoli,2006/4/1,Source Nature Reviews Neuroscience,"Despite the explosive growth of bioinformatics, data sharing has not yet become routine in neuroscience, possibly because of several broad-spanning issues, from data heterogeneity to privacy regulations. We present the case of neuronal morphology as an ideal example of shareable data. Drawing from recent experience, we argue that the tremendous research potential of existing (and largely unused) digital reconstructions should diffuse any reticence to sharing this type of data.",254
The neuroscience information framework: a data and knowledge environment for neuroscience,"Daniel Gardner, Huda Akil, Giorgio A Ascoli, Douglas M Bowden, William Bug, Duncan E Donohue, David H Goldberg, Bernice Grafstein, Jeffrey S Grethe, Amarnath Gupta, Maryam Halavi, David N Kennedy, Luis Marenco, Maryann E Martone, Perry L Miller, Hans-Michael Müller, Adrian Robert, Gordon M Shepherd, Paul W Sternberg, David C Van Essen, Robert W Williams",2008/9,Journal Neuroinformatics,"With support from the Institutes and Centers forming the NIH Blueprint for Neuroscience Research, we have designed and implemented a new initiative for integrating access to and use of Web-based neuroscience resources: the Neuroscience Information Framework. The Framework arises from the expressed need of the neuroscience community for neuroinformatic tools and resources to aid scientific inquiry, builds upon prior development of neuroinformatics by the Human Brain Project and others, and directly derives from the Society for Neuroscience’s Neuroscience Database Gateway. Partnered with the Society, its Neuroinformatics Committee, and volunteer consultant-collaborators, our multi-site consortium has developed: (1) a comprehensive, dynamic, inventory of Web-accessible neuroscience resources, (2) an extended and integrated terminology describing resources and contents, and (3) a …",225
Neuronal morphology goes digital: a research hub for cellular and system neuroscience,"Ruchi Parekh, Giorgio A Ascoli",2013/3/20,Source Neuron,"The importance of neuronal morphology in brain function has been recognized for over a century. The broad applicability of “digital reconstructions” of neuron morphology across neuroscience subdisciplines has stimulated the rapid development of numerous synergistic tools for data acquisition, anatomical analysis, three-dimensional rendering, electrophysiological simulation, growth models, and data sharing. Here we discuss the processes of histological labeling, microscopic imaging, and semiautomated tracing. Moreover, we provide an annotated compilation of currently available resources in this rich research “ecosystem” as a central reference for experimental and computational neuroscience.",209
BigNeuron: large-scale 3D neuron reconstruction from optical microscopy images,"Hanchuan Peng, Michael Hawrylycz, Jane Roskams, Sean Hill, Nelson Spruston, Erik Meijering, Giorgio A Ascoli",2015/7/15,Journal Neuron,"Understanding the structure of single neurons is critical for understanding how they function within neural circuits. BigNeuron is a new community effort that combines modern bioimaging informatics, recent leaps in labeling and microscopy, and the widely recognized need for openness and standardization to provide a community resource for automated reconstruction of dendritic and axonal morphology of single neurons.",197
Effects of dendritic morphology on CA3 pyramidal cell electrophysiology: a simulation study,"Jeffrey L Krichmar, Slawomir J Nasuto, Ruggero Scorcioni, Stuart D Washington, Giorgio A Ascoli",2002/6/21,Journal Brain research,"We investigated the effect of morphological differences on neuronal firing behavior within the hippocampal CA3 pyramidal cell family by using three-dimensional reconstructions of dendritic morphology in computational simulations of electrophysiology. In this paper, we report for the first time that differences in dendritic structure within the same morphological class can have a dramatic influence on the firing rate and firing mode (spiking versus bursting and type of bursting). Our method consisted of converting morphological measurements from three-dimensional neuroanatomical data of CA3 pyramidal cells into a computational simulator format. In the simulation, active channels were distributed evenly across the cells so that the electrophysiological differences observed in the neurons would only be due to morphological differences. We found that differences in the size of the dendritic tree of CA3 pyramidal cells …",176
The NIFSTD and BIRNLex vocabularies: building comprehensive ontologies for neuroscience,"William J Bug, Giorgio A Ascoli, Jeffrey S Grethe, Amarnath Gupta, Christine Fennema-Notestine, Angela R Laird, Stephen D Larson, Daniel Rubin, Gordon M Shepherd, Jessica A Turner, Maryann E Martone",2008/9,Journal Neuroinformatics,"A critical component of the Neuroscience Information Framework (NIF) project is a consistent, flexible terminology for describing and retrieving neuroscience-relevant resources. Although the original NIF specification called for a loosely structured controlled vocabulary for describing neuroscience resources, as the NIF system evolved, the requirement for a formally structured ontology for neuroscience with sufficient granularity to describe and access a diverse collection of information became obvious. This requirement led to the NIF standardized (NIFSTD) ontology, a comprehensive collection of common neuroscience domain terminologies woven into an ontologically consistent, unified representation of the biomedical domains typically used to describe neuroscience data (e.g., anatomy, cell types, techniques), as well as digital resources (tools, databases) being created throughout the neuroscience …",169
