titles,authors,date,source,descriptions,citations
Dynamic and aggressive scheduling techniques for power-aware real-time systems,"Hakan Aydin, Rami Melhem, Daniel Mossé, Pedro Mejia-Alvarez",2001/12/3,"Conference Real-Time Systems Symposium, 2001.(RTSS 2001). Proceedings. 22nd IEEE","In this paper we address power-aware scheduling of periodic hard real-time tasks using dynamic voltage scaling. Our solution includes three parts: (a) a static (off-line) solution to compute the optimal speed, assuming worst-case workload for each arrival, (b) an on-line speed reduction mechanism to reclaim energy by adapting to the actual workload, and (c) an online, adaptive and speculative speed adjustment mechanism to anticipate early completions of future executions by using the average-case workload information. All these solutions still guarantee that all deadlines are met. Our simulation results show that the reclaiming algorithm saves a striking 50% of the energy, over the static algorithm. Further our speculative techniques allow for an additional approximately 20% savings over the reclaiming algorithm. In this study, we also establish that solving an instance of the static power-aware scheduling problem …",633
Power-aware scheduling for periodic real-time tasks,"Hakan Aydin, Rami Melhem, Daniel Mossé, Pedro Mejía-Alvarez",2004/5,Journal IEEE Transactions on Computers,"We address power-aware scheduling of periodic tasks to reduce CPU energy consumption in hard real-time systems through dynamic voltage scaling. Our intertask voltage scheduling solution includes three components: 1) a static (offline) solution to compute the optimal speed, assuming worst-case workload for each arrival, 2) an online speed reduction mechanism to reclaim energy by adapting to the actual workload, and 3) an online, adaptive and speculative speed adjustment mechanism to anticipate early completions of future executions by using the average-case workload information. All these solutions still guarantee that all deadlines are met. Our simulation results show that our reclaiming algorithm alone outperforms other recently proposed intertask voltage scheduling schemes. Our speculative techniques are shown to provide additional gains, approaching the theoretical lower-bound by a margin of 10 …",630
Energy-aware partitioning for multiprocessor real-time systems,"Hakan Aydin, Qi Yang",2003/4/22,"Conference Parallel and Distributed Processing Symposium, 2003. Proceedings. International","In this paper, we address the problem of partitioning periodic real-time tasks in a multiprocessor platform by considering both feasibility and energy-awareness perspectives: our objective is to compute the feasible partitioning that results in minimum energy consumption on multiple identical processors by using variable voltage earliest-deadline-first scheduling. We show that the problem is NP-hard in the strong sense on m /spl ges/ 2 processors even when feasibility is guaranteed a priori. Then, we develop our framework where load balancing plays a major role in producing energy-efficient partitionings. We evaluate the feasibility and energy-efficiency performances of partitioning heuristics experimentally.",433
Optimal reward-based scheduling for periodic real-time tasks,"Hakan Aydin, Rami Melhem, Daniel Mosse, Pedro Mejía-Alvarez",2001/2,"Journal Computers, IEEE Transactions on","Reward-based scheduling refers to the problem in which there is a reward associated with the execution of a task. In our framework, each real-time task comprises a mandatory and an optional part. The mandatory part must complete before the task's deadline, while a nondecreasing reward function is associated with the execution of the optional part, which can be interrupted at any time. Imprecise computation and Increased-Reward-with-Increased-Service models fall within the scope of this-framework. In this paper, we address the reward-based scheduling problem for periodic tasks. An optimal schedule is one where mandatory-parts complete in a timely manner and the weighted average reward is maximized. For linear and concave reward functions, which are most common, we 1) show the existence of an optimal schedule where the optional service time of a task is constant at every instance and 2) show how …",304
Determining optimal processor speeds for periodic real-time tasks with different power characteristics,"Hakan Aydin, Rami Melhem, Daniel Mossé, Pedro Mejía-Alvarez",2001,"Conference Real-Time Systems, 13th Euromicro Conference on, 2001.","In this paper, we provide an efficient solution for periodic real-time tasks with (potentially) different power consumption characteristics. We show that a task T/sub i/ can run at a constant speed S/sub i/ at every instance without hurting optimality. We sketch an O(n/sup 2/ log n) algorithm to compute the optimal S/sub i/ values. We also prove that the EDF (Earliest Deadline First) scheduling policy can be used to obtain a feasible schedule with these optimal speed values.",286
Reliability-aware energy management for periodic real-time tasks,"Dakai Zhu, Hakan Aydin",2009/10,Journal IEEE Transactions on Computers,"Dynamic voltage and frequency scaling (DVFS) has been widely used to manage energy in real-time embedded systems. However, it was recently shown that DVFS has direct and adverse effects on system reliability. In this work, we investigate static and dynamic reliability-aware energy management schemes to minimize energy consumption for periodic real-time systems while preserving system reliability. Focusing on earliest deadline first (EDF) scheduling, we first show that the static version of the problem is NP-hard and propose two task-level utilization-based heuristics. Then, we develop a job-level online scheme by building on the idea of wrapper-tasks, to monitor and manage dynamic slack efficiently in reliability-aware settings. The feasibility of the dynamic scheme is formally proved. Finally, we present two integrated approaches to reclaim both static and dynamic slack at runtime. To preserve system …",240
Compiler-assisted dynamic power-aware scheduling for real-time applications,"Daniel Mosse, Hakan Aydin, Bruce Childers, Rami Melhem",2000,Conference In Workshop on Compilers and Operating Systems for Low Power,,231
Energy-aware scheduling for real-time systems: A survey,"Mario Bambagini, Mauro Marinoni, Hakan Aydin, Giorgio Buttazzo",2016/1/13,Journal ACM Transactions on Embedded Computing Systems (TECS),"This article presents a survey of energy-aware scheduling algorithms proposed for real-time systems. The analysis presents the main results starting from the middle 1990s until today, showing how the proposed solutions evolved to address the evolution of the platform's features and needs. The survey first presents a taxonomy to classify the existing approaches for uniprocessor systems, distinguishing them according to the technology exploited for reducing energy consumption, that is, Dynamic Voltage and Frequency Scaling (DVFS), Dynamic Power Management (DPM), or both. Then, the survey discusses the approaches proposed in the literature to deal with the additional problems related to the evolution of computing platforms toward multicore architectures.",197
Energy-aware task allocation for rate monotonic scheduling,"Tarek A AlEnawy, Hakan Aydin",2005/3/7,Conference 11th IEEE Real Time and Embedded Technology and Applications Symposium,"We consider the problem of energy minimization for periodic preemptive hard real-time tasks that are scheduled on an identical multiprocessor platform with dynamic voltage scaling capability. We adopt partitioned scheduling and assume that the tasks are assigned rate-monotonic priorities. We show that the problem is NP-hard in the strong sense on m /spl ges/ 2 processors even when the feasibility is guaranteed a priori. Because of the intractability of the problem, we propose an integrated approach that consists of three different components: RMS admission control test, the partitioning heuristic and the speed assignment algorithm. We discuss possible options for each component by considering state-of-the-art solutions. Then, we experimentally investigate the impact of heuristics on feasibility, energy and feasibility/energy performance dimensions. In offline settings where tasks can be ordered according to the …",190
System-level energy management for periodic real-time tasks,"Hakan Aydin, Vinay Devadas, Dakai Zhu",2006/12,Conference 2006 27th IEEE International Real-Time Systems Symposium (RTSS'06),"In this paper, we consider the system-wide energy management problem for a set of periodic real-time tasks running on a DVS-enabled processor. Our solution uses a generalized power model, in which frequency-dependent and frequency-independent power components are explicitly considered. Further, variations in power dissipations and on-chip/off-chip access patterns of different tasks are encoded in the problem formulation. Using this generalized power model, we show that it is possible to obtain analytically the task-level energy-efficient speed below which DVS starts to affect overall energy consumption negatively. Then, we formulate the system-wide energy management problem as a non-linear optimization problem and provide a polynomial-time solution. We also provide a dynamic slack reclaiming extension which considers the effects of slow-down on the system-wide energy consumption. Our …",180
