titles,authors,date,source,descriptions,citations
"Marvin: A web-based system for representing, retrieving, and visualizing analogies","Harry J Foxwell, Daniel A Menascé",2004/12,Journal World wide web,"Analogies are essential in human cognition, reasoning, learning, communication, and problem solving. They can have a profound and broad effect on how we view and understand our world. In this paper we discuss the design, implementation, and evaluation of MARVIN (Markup for Analogy Representation and Visualization for the InterNet), a Web-based system for representing, retrieving, and visualizing human-conceived analogies that provides a medium and a common language for analogy practitioners to share their analogies. We developed a compact XML content model for analogy expressions for use in Web-based environments, and show that the model is capable of representing a wide range of human-conceived analogies. We demonstrate, using XSLT, several example methods for visualizing analogy expressions that use our model. We demonstrate methods for storing and retrieving such …",15
Java 2 software development kit,Harry J Foxwell,1999/10/1,Journal Linux Journal,"New versions of the Java Development Kit and Java Virtual Machine are available first on Sun's systems and on Microsoft Windows, but many months may pass before they appear on other platforms. Sun's Java Software division produces reference implementations only for Solaris and for Windows, and licenses source code to other system vendors who want to port the JDK or JVM to their own hardware and operating systems.",10
Big data and cloud computing: A review of supply chain capabilities and challenges,"Marcus Tanque, Harry J Foxwell",2018,Source Exploring the Convergence of Big Data and the Internet of Things,"Big data and cloud computing are transforming information technology. These comparable technologies are the result of dramatic developments in computational power, virtualization, network bandwidth, availability, storage capability, and cyber-physical systems. The crossroads of these two areas, involves the use of cloud computing services and infrastructure, to support large-scale data analytics research, providing relevant solutions or future possibilities for supply chain management. This chapter broadens the current posture of cloud computing and big data, as associate with the supply chain solutions. This chapter focuses on areas of significant technology and scientific advancements, which are likely to enhance supply chain systems. This evaluation emphasizes the security challenges and mega-trends affecting cloud computing and big data analytics pertaining to supply chain management.",8
Creating Good Data: A Guide to Dataset Structure and Data Representation,Harry J Foxwell,2020,Publisher Apress,"Create good data from the start, rather than fixing it after it is collected. By following the guidelines in this book, you will be able to conduct more effective analyses and produce timely presentations of research data.",6
Prefetching results of web searches,"Harry J Foxwell, Daniel A Menascé",1998/12/6,Conference Int. CMG Conference,"Users of WWW search sites, such as Yahoo and Lycos, receive dynamically generated Web pages that list URL “hits”, or document links, whose contents match query keywords. Users then click on some or all of these links to inspect the document, at which time the server for the link transmits the file. This paper examines the behavior of users of Web search sites. Usage patterns are described for both simple and complex search queries; metrics are suggested for determining which search query results to prefetch in order to reduce network delays as seen by the client.",5
Pro OpenSolaris,"Harry Foxwell, Christine Tran",2009/4/26,Publisher Springer,"If you’re familiar with the UNIX operating system, perhaps you wonder what it will look like in the future given its long and varied history. We think it will look a lot like OpenSolaris, which is heavily influenced by the open source developer communities, especially by Linux developers.",2
"A Web-based system for representing, retrieving, and visualizing analogies",Harry J Foxwell,2003,Institution George Mason University,"Analogies are essential in human cognition, reasoning, learning, communication, and problem solving. They can have a profound and broad effect on how we view and understand our world. In this dissertation we design, implement, and evaluate a Web-based system for representing, retrieving, and visualizing human-conceived analogies that provides a medium and a common language for analogy practitioners to share their analogies. To accomplish this, we review the components of analogies, and develop a general representation of their structure. We then develop a compact XML content model of this representation for use in Web-based environments, and show that the model is capable of representing a wide range of human-conceived analogies. We demonstrate, using XSLT, several example methods for visualizing analogy expressions that use our model. We demonstrate methods for storing and …",2
The ZFS File System,"Harry J Foxwell, Christine Tran",2009,Journal Pro OpenSolaris: A New Open Source OS for Linux Developers and Administrators,"Stored data must be remembered perfectly. Many computer technologies have been invented in an attempt to achieve perfect data recall in the presence of electronic, mechanical, and human errors. RAID disk technologies, tape backup systems, error correcting memory, remote data replication, and other techniques are used today to ensure that when data is written it can be quickly and reliably retrieved even after much time has elapsed, perhaps years.",1
Web-Based Representation and Visualization of Analogies.,"Harry J Foxwell, Daniel A Menascé",2002,Conference ICWI,"Humans use analogies to communicate, reason, and learn. But while the human brain excels at creating and understanding analogies, it does not easily recall useful analogies created or learned over time. General purpose tools and methods are needed that assist humans in representing, storing, and recalling useful analogies. Additionally, such tools must take advantage of the World Wide Web's ubiquity, global reach, and universal standards. We first identify commonly occurring patterns of analogy structure. Because understanding of instructional analogies is significantly improved when their structure is visualized, we develop a compact and general representation for analogies using XML, and demonstrate general methods for visualizing the structure of analogy expressions in Web-based environments.",1
ON DEMAND: Developing and Validating Learning Modules for Strengthening MS Graduates’ Applied Research Skills,"Ioulia Rytikova, Amrita Jose, Mihai Boicu, Harry Foxwell, James Baldo",2021/9/2,Journal Innovations in Teaching & Learning Conference Proceedings,The video will give educators an opportunity to discuss innovative pedagogical strategies and their effectiveness in promoting and building research skills in computing and data analytics related disciplines from both a student and instructor perspectives. Participants will be able to discuss strategies to build innovative curriculum for educators interested in incorporating research activities in their classes by “utilizing ready-to-use” Bb modules. They will learn how to integrate a variety of teaching and learning strategies into their courses to help their students succeed in their classes and workforce.,
WORKSHOP: Active Learning Strategies for Online Teaching: From Lesson Plan to Program Development (90 mins),"Ioulia Rytikova, Mihai Boicu, Harry Foxwell, Amrita Jose",2020/7/31,Journal Innovations in Teaching & Learning Conference Proceedings,"Incorporating active learning strategies in online teaching involves several challenges both at the level of course development but also at the level of global program development. This session is co-organized by Dr. Ioulia Rytikova and Dr. Mihai Boicu and is building on the participants long-term successful experience in active learning, course and program development. In this roundtable/panel discussion we propose to analyze from various perspectives several challenges faced in this process, including: learning materials (from textbooks to open resources), classroom format (from mini-lectures to lighting talks), objective grading and personalized feedback (from detailed rubrics to automatic grading), student assessment (exams vs. quizzes), and assistive technology (from learning management systems to intelligent teaching assistants).",
Cleaning Your Data,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"Okay, so you’ve read this book, learned how to create good data for your projects, and now all your new datasets are squeaky clean and ready for analysis! However, your research colleague borrowed the book but didn’t read it and now has a collection of messy datasets. Now what? Well, next we’ll learn about some methods for detecting bad data and for cleaning it up, often referred to as a component of “data munging” or “data wrangling.”",
Good Data Collection,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"We have learned how to create good data items and dataset formats, focusing primarily on the characteristics of the individual data items and on the organization of the datasets. But there is a big issue not yet discussed – how to choose what data items to include in your research and how to collect appropriate values for those items. This process is fraught with danger – the danger of bias. Bias is the data collection killer; nothing will compromise the quality of your data more than bias. Biased data leads to incorrect results and faulty conclusions.",
Representing Quantitative Data,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"In Chapter 2, we learned about four basic analytical data types. Quantitative data – interval and ratio – are among the most common types and are often the most problematic due to the great variety of measurement units and size ranges. Units vary by knowledge domain, usage conventions, national and historical origins, and formal or organizational standards. Sizes range from the infinitesimal to the cosmic in fields like economics, computer science, quantum physics, and astronomy. Ensuring good quantitative data requires selection and recording of appropriate units and defining them in the data dictionary for the dataset and avoiding any unit labels in the data itself. In this chapter, we review how common quantities and measurements are expressed and caution how mixing unit types can cause time-consuming data cleanup tasks.",
Planning Your Data Collection and Analysis,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"Chapter 2 emphasized that data types are classified according to their purpose, and Chapter 3 cautioned you about the myriad ways that measurements can be represented. Recall that the general purpose of data analysis is to describe some phenomenon, to explore some potentially informative relationships among the data items, and to model and predict the behavior of that phenomenon. And the inception of your inspiration to study it in the first place implies that you have some sense of what might be useful to measure and what relationships might be lurking in the data. This means you need to think carefully about what to measure and how to measure it. And this does not mean that you ignore potential biases or unfounded assumptions about the focus of your research. Anticipating the tools and methods of your analysis does not mean presupposing anything about your as-yet-uncollected data, but it does …",
Basic Data Types and When to Use Them,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,Decisions about how to represent data measurements for your research projects have important consequences – they directly determine what kinds of statistical and visualization methods can ultimately be used for analysis and presentation of your results. This means you need to select representation types thoughtfully with your analytical goals in mind while at the same time trying to avoid any form of bias in what you decide to measure and what you anticipate your data exploration and analysis tasks will look like.,
Dataset Examples and Use Cases,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"To illustrate some of the practices we learned about in the preceding chapters, let’s have a brief look at the characteristics of a few example datasets. We will examine some well-known datasets that pop up regularly in data analytics courses and textbooks for teaching about visualization, regression modeling, machine learning, and other data exploration methods. There are literally thousands of online datasets hosted by independent researchers, government agencies, corporations, and academics. These online datasets vary widely in the completeness and quality of their metadata and of the data itself and are worth reviewing for their ranges of “goodness.”",
Good Data Analytics,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"You’ve completed your research activities, collected (and cleaned) your dataset, and you’re ready to figure out what all that data means. Congratulations, you’ve been promoted to data analyst! Now your job is to extract actionable knowledge from it, for you and for your readers/clients, from that massive pile of numbers and symbols. But now is not the time to just get started thinking about your analysis. As we have emphasized in the previous chapters, you need to plan your analysis requirements long before collecting your data, with the goal of starting with good data.",
Good Datasets,"Harry J Foxwell, Harry J Foxwell",2020,Journal Creating Good Data: A Guide to Dataset Structure and Data Representation,"In the previous chapters, we learned about data items (analysis variables) – the components and contents of datasets. But a major decision for your research is how that data is to be formatted and stored and especially how to make it easy to analyze and share. Poorly designed and implemented datasets are just as problematic as any bad data they might contain. It’s hard to get good data out of bad datasets, and that can make life difficult for other analysts who want to use your data.",
