titles,authors,date,source,descriptions,citations
Signal processing for underwater acoustic communications,"Andrew C Singer, Jill K Nelson, Suleyman S Kozat",2009/1,Journal IEEE Communications Magazine,"The performance and complexity of signal processing systems for underwater acoustic communications has dramatically increased over the last two decades. With its origins in noncoherent modulation and detection for communication at rates under 100 b/s, phase-coherent digital communication systems employing multichannel adaptive equalization with explicit symbol-timing and phase tracking are being deployed in commercial and military systems, enabling rates in excess of 10 kb/s. Research systems have been shown to further dramatically increase performance through the use of spatial multiplexing. Iterative equalization and decoding has also proven to be an enabling technology for dramatically enhancing the robustness of such systems. This article provides a brief overview of signal processing methods and advances in underwater acoustic communications, discussing both single carrier and emerging …",306
BAD: bidirectional arbitrated decision-feedback equalization,"JK Nelson, Andrew C Singer, Upamanyu Madhow, CS McGahey",2005/3/7,Journal IEEE Transactions on Communications,"The bidirectional arbitrated decision-feedback equalizer (BAD), which has bit-error rate performance between a decision-feedback equalizer (DFE) and maximum a posteriori (MAP) detection, is presented. The computational complexity of the BAD algorithm is linear in the channel length, which is the same as that of the DFE, and significantly lower than the exponential complexity of the MAP detector. While the relative performance of BAD to those of the DFE and the MAP detector depends on the specific channel model, for an error probability of 10/sup -2/, the performance of BAD is typically 1-2 dB better than that of the DFE, and within 1 dB of the performance of MAP detection.",69
Convolutional neural network for hybrid fNIRS-EEG mental workload classification,"Marjan Saadati, Jill Nelson, Hasan Ayaz",2020,"Conference Advances in Neuroergonomics and Cognitive Engineering: Proceedings of the AHFE 2019 International Conference on Neuroergonomics and Cognitive Engineering, and the AHFE International Conference on Industrial Cognitive Ergonomics and Engineering Psychology, July 24-28, 2019, Washington DC, USA 10","The classification of workload memory tasks based on fNIRS and EEG signals requires solving high-dimensional pattern classification problems with a relatively small number of training patterns. In the use of conventional machine learning algorithms, feature selection is a fundamental difficulty given the large number of possible features and the small amount of available data. In this study, we bypass the challenges of feature selection and investigate the use of Convolutional Neural Networks (CNNs) for classifying workload memory tasks. CNNs are well suited for learning from the raw data without any a priori feature selection. CNNs take as input two-dimensional images, which differ in structure from the neural time series obtained on the scalp surface using EEG and fNIRS. Therefore, both the existing CNN architectures and fNIRS-EEG input must be adapted to allow fNIRS-EEG input to a CNN. In this …",46
Global optimization for multiple transmitter localization,"Jill K Nelson, Megan U Hazen, Maya R Gupta",2006/10/23,Conference MILCOM 2006-2006 IEEE Military Communications conference,"We propose a global optimization approach to locating multiple transmitters within a geographic area. A set of sensor nodes are assumed to be present in the region and to measure total power received at their respective locations. These measurements are communicated to a processing node, which uses particle swarm optimization to find the transmitter locations that minimize the difference between the true received power and the estimated power based on the chosen propagation model. Clustering is used to generate initial estimates of the transmitter locations, thereby increasing the likelihood that the particle-based optimizer reaches the global minimum. Simulation results show that global optimization is an effective method for multiple transmitter localization and that generating ""smart"" initial conditions via clustering can yield an average performance improvement of over 25% compared to random initial …",36
An EM technique for multiple transmitter localization,"Jill K Nelson, Maya R Gupta",2007/3/14,Conference 2007 41st Annual Conference on Information Sciences and Systems,"We propose an expectation-maximization (EM) technique for locating multiple transmitters based on power levels observed by a set of arbitrarily-placed receivers. Multiple transmitter localization is of interest for uncoordinated cognitive radio systems, which must identify and transmit over unused radio spectrum without cooperation from conventional transmitters. We employ the EM algorithm to reduce the dimensionality of the maximum-likelihood estimation problem. Because the EM algorithm finds only a locally optimal solution, we explore the use of clustering to generate ""smart"" initial estimates of the transmitter locations. Simulation results show that, as the number of sensors increases, the proposed EM technique achieves gains of up to an order of magnitude over constricted particle swarm optimization, a popular global optimization technique.",34
A quasi EM method for estimating multiple transmitter locations,"Jill K Nelson, Maya R Gupta, Jaime E Almodovar, William H Mortensen",2009/3/16,Journal IEEE Signal Processing Letters,"We consider estimating multiple transmitter locations based on received signal strength measurements by a sensor network of randomly located receivers. This problem is motivated by the search for available spectrum in cognitive radio applications. We create a quasi expectation maximization (EM) algorithm for localization under lognormal shadowing. Simulated performance is compared to random guessing and to global optimization using constriction particle swarm (CPSO). Results show that the proposed quasi EM algorithm outperforms both alternatives given a fixed number of guesses, and the performance gap grows as the number of transmitters increases.",33
Micromachined inertial sensors for vehicles,"N Barbour, E Brown, J Connelly, J Dowdle, G Brand, J Nelson, J O'Bannon",1997/11/12,Conference Proceedings of Conference on Intelligent Transportation Systems,"Micromachined silicon sensors offer tremendous cost, size, and reliability improvements for guidance, navigation, and control (GN&C). Currently the development of micro-electromechanical systems (MEMS) inertial sensors is largely supported by DoD; however, it will ultimately be driven by high-volume commercial markets with target prices below $25 per instrument. The paper describes advances in micromechanical gyro and accelerometer design and packaging. Performance of a prototype automotive traction control module, in pilot production, and a planned automobile suspension control module are described. The concept of a 3-cubic-inch, multi-purpose MEMS inertial system, based on a three-gyro, three-accelerometer system under development for a guided artillery shell, is discussed for automotive applications. Plans for future cost and size reduction are presented.",31
"Comparing student understanding of signals and systems using a concept inventory, a traditional exam and interviews","John R Buck, Kathleen E Wage, Margret A Hjalmarson, Jill K Nelson",2007/10/10,"Conference 2007 37th annual frontiers in education conference-global engineering: knowledge without borders, opportunities without passports","Concept inventories play a growing role in assessing student understanding in engineering curricula. A common application of concept inventories is a pre/post- test assessment in a course. For this reason, it is important to confirm the validity of any new concept inventory, i.e., to verify that the inventory measures what it is designed to assess. The signals and systems concept inventory (SSCI) is a 25-question multiple-choice exam assessing core concepts in undergraduate signals and systems courses. This paper presents two analyses supporting the validity of the SSCI. The first analysis compares the responses of 40 students to final exam questions with their responses to related SSCI questions. This analysis finds statistically-significant correlations between the SSCI and the final exam for questions on convolution and Fourier transform properties. The second analysis examines the interview responses of 18 …",28
Mental workload classification from spatial representation of fnirs recordings using convolutional neural networks,"Marjan Saadati, Jill Nelson, Hasan Ayaz",2019/10/13,Conference 2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP),"Mental workload classification is a core element of designing adaptive Human-Computer Interfaces and plays an essential role in increasing the safety and operator performance of complex high-precision human-machine systems in fields such as aerospace and robotic surgery. Among noninvasive neuroimaging techniques, functional Near Infrared Spectroscopy (fNIRS) is a promising sensing modality for decoding mental states. While a variety of both classical and more modern classification techniques have been explored for fNIRS data, Convolutional Neural Networks (CNNs) have received only minimal attention. A significant advantage of CNNs compared to other classification methods is that they don't require prior feature selection or computationally demanding preprocessing. In previous studies on using CNN for fNIRS signals, temporal information from the fNIRS time series was emphasized, but valuable …",26
Motivational factors predicting STEM and engineering career intentions for high school students,"Daniel M Mangu, Andrew R Lee, James A Middleton, Jill K Nelson",2015/10/21,Conference 2015 IEEE Frontiers in Education Conference (FIE),"The objective of this research was to determine various motivational factors that influence high school students towards intended careers in engineering. This study utilized data from the High School Longitudinal Study of 2009, which surveyed over 24,000 students in 9 th  grade and again in 11 th  grade. We classified students into four categories of intentions: 1) Not STEM Intending, those who did not select a STEM occupation in either the 2009 or 2011 administrations; 2) Leavers, students who selected a STEM occupation in 2009 but not in 2011, 3) Newcomers, those who did not originally specify a STEM career in 2009, but who did in 2011; and 4) Stayers, those who chose STEM careers in both 2009 and 2011. Repeated measures analysis of variance modeled the extent to which the motivational variables, measured for both mathematics and science, were related to students' career intentions. Results show …",26
