titles,authors,date,source,descriptions,citations
"The great society, Reagan’s revolution, and generations of presidential voting","Yair Ghitza, Andrew Gelman, Jonathan Auerbach",http://www.stat.columbia.edu/~gelman/research/unpublished/cohort_voting_20191017.pdf,Total citations Cited by 113201420152016201720182019202020212022202361315141510147143,,113
Age-aggregation bias in mortality trends,"Andrew Gelman, Jonathan Auerbach",2016/2/16,Journal Proceedings of the National Academy of Sciences,"In PNAS, Case and Deaton (1) show a figure illustrating the “marked increase in the all-cause mortality of middle-aged white non-Hispanic men and women in the United States between 1999 and 2013.” The authors state that their numbers “are not age-adjusted within the 10-y 45–54 age group”(1). We suspected an aggregation bias and examined whether the increase in aggregate mortality rates could be due to the changing composition of this age group. Adjusting for age confirmed this suspicion. Contrary to Case and Deaton’s figure (1), we find there is not a steady increase in mortality rates for this age group. Instead there is an increasing trend from 1999 to 2005 and a constant trend thereafter. Moreover, stratifying age-adjusted mortality rates by sex shows a marked increase only for women and not men, contrary to the article’s headline. Age-adjustment is not merely an academic exercise. Fig. 1A shows the …",73
A simple explanation for declining temperature sensitivity with warming,"EM Wolkovich, J Auerbach, CJ Chamberlain, DM Buonaiuto, AK Ettinger, I Morales‐Castilla, A Gelman",2021/10,Journal Global Change Biology,"Recently, multiple studies have reported declining phenological sensitivities (∆ days per ℃) with higher temperatures. Such observations have been used to suggest climate change is reshaping biological processes, with major implications for forecasts of future change. Here, we show that these results may simply be the outcome of using linear models to estimate nonlinear temperature responses, specifically for events that occur after a cumulative thermal threshold is met—a common model for many biological events. Corrections for the nonlinearity of temperature responses consistently remove the apparent decline. Our results show that rising temperatures combined with linear estimates based on calendar time produce the observations of declining sensitivity—without any shift in the underlying biology. Current methods may thus undermine efforts to identify when and how warming will reshape biological …",17
Expressions of loss predict aggressive comments on Twitter among gang-involved youth in Chicago,"Desmond Upton Patton, Owen Rambow, Jonathan Auerbach, Kevin Li, William Frey",2018/3/28,Journal NPJ digital medicine,"Recent studies suggest social media shapes the transmission of firearm violence in high-poverty, urban neighborhoods. However, the exact pathways by which content on social media becomes threatening has not been studied. We consider a dataset of tweets by gang-involved Chicago youth that are coded for expressions of aggression and/or loss. Using a permutation test and mixed-effects log linear regression, we find that aggression and loss tweets do not occur randomly, and furthermore that in a 2-day window after loss expressions we find an increase in aggressive tweets. We discuss implications for intervention.",16
Machine learning and data mining in complex genomic data—a review on the lessons learned in Genetic Analysis Workshop 19,"Inke R König, Jonathan Auerbach, Damian Gola, Elizabeth Held, Emily R Holzinger, Marc-André Legault, Rui Sun, Nathan Tintle, Hsin-Chou Yang",2016/12,Source BMC genetics,"In the analysis of current genomic data, application of machine learning and data mining techniques has become more attractive given the rising complexity of the projects. As part of the Genetic Analysis Workshop 19, approaches from this domain were explored, mostly motivated from two starting points. First, assuming an underlying structure in the genomic data, data mining might identify this and thus improve downstream association analyses. Second, computational methods for machine learning need to be developed further to efficiently deal with the current wealth of data. In the course of discussing results and experiences from the machine learning and data mining approaches, six common messages were extracted. These depict the current state of these approaches in the application to complex genomic data. Although some challenges remain for future studies, important forward steps were taken in the integration of different data types and the evaluation of the evidence. Mining the data for underlying genetic or phenotypic structure and using this information in subsequent analyses proved to be extremely helpful and is likely to become of even greater use with more complex data sets.",13
Does New York City really have as many rats as people?,Jonathan Auerbach,2014/10,Journal Significance,"Jonathan Auerbach, winner of the YSS/Significance Young Statisticians Writing Competition, uses statistical methods to challenge an urban legend.",13
Forecasting the urban skyline with extreme value theory,"Jonathan Auerbach, Phyllis Wan",2020/7/1,Journal International Journal of Forecasting,"The world’s urban population is expected to grow fifty percent by the year 2050 and exceed six billion. The major challenges confronting cities, such as sustainability, safety, and equality, will depend on the infrastructure developed to accommodate the increase. Urban planners have long debated the consequences of vertical expansion—the concentration of residents by constructing tall buildings—over horizontal expansion—the dispersal of residents by extending urban boundaries. Yet relatively little work has predicted the vertical expansion of cities and quantified the likelihood and therefore urgency of these consequences.",10
Causal modeling in a multi-omic setting: insights from GAW20,"Jonathan Auerbach, Richard Howey, Lai Jiang, Anne Justice, Liming Li, Karim Oualkacha, Sergi Sayols-Baixeras, Stella W Aslibekyan",2018/9,Journal BMC genetics,"Increasingly available multilayered omics data on large populations has opened exciting analytic opportunities and posed unique challenges to robust estimation of causal effects in the setting of complex disease phenotypes. The GAW20 Causal Modeling Working Group has applied complementary approaches (eg, Mendelian randomization, structural equations modeling, Bayesian networks) to discover novel causal effects of genomic and epigenomic variation on lipid phenotypes, as well as to validate prior findings from observational studies. Two Mendelian randomization studies have applied novel approaches to instrumental variable selection in methylation data, identifying bidirectional causal effects of CPT1A and triglycerides, as well as of RNMT and C6orf42, on high-density lipoprotein cholesterol response to fenofibrate. The CPT1A finding also emerged in a Bayesian network study. The Mendelian randomization studies have implemented both existing and novel steps to account for pleiotropic effects, which were independently detected in the GAW20 data via a structural equation modeling approach. Two studies estimated indirect effects of genomic variation (via DNA methylation and/or correlated phenotypes) on lipid outcomes of interest. Finally, a novel weighted R2 measure was proposed to complement other causal inference efforts by controlling for the influence of outlying observations. The GAW20 contributions illustrate the diversity of possible approaches to causal inference in the multi-omic context, highlighting the promises and assumptions of each method and the benefits of integrating both across methods and across omics …",8
Does voting by mail increase fraud? Estimating the change in reported voter fraud when states switch to elections by mail,"Jonathan Auerbach, Steve Pierson",2021/1/1,Journal Statistics and Public Policy,"We estimate the change in the reported number of voter fraud cases when states switch to conducting elections by mail. We consider two types of states in which voting is facilitated by mail: states where a large number of voters receive ballots by mail (receive-by-mail states, RBM) and a subset of these states where registered voters are automatically sent ballots by mail (vote-by-mail states, VBM). We then compare the number of voter fraud cases in RBM (VBM) states to the number of cases in non-RBM (non-VBM) states, using two approaches standard in the social sciences. We find no evidence that voting by mail increases the risk of voter fraud overall. Between 2016 and 2019, RBM (VBM) states reported similar fraud rates to non-RBM (non-VBM) states. Moreover, we estimate Washington would have reported 73 more cases of fraud between 2011 and 2019 had it not introduced its VBM law. While our analysis of …",5
The Quality of the 2020 Census: An Independent Assessment of Census Bureau Activities Critical to Data Quality,"Paul Biemer, Joseph Salvo, Jonathan Auerbach",2021/10/5,Journal arXiv preprint arXiv:2110.02135,"This report summarizes major findings from an independent evaluation of 2020 census operations. The American Statistical Association 2020 Census Quality Indicators Task Force selected the authors to conduct the evaluation using nonpublic operations data provided by the Census Bureau. The evaluation focused on the quality of state-level population counts released by the Census Bureau for congressional apportionment. The authors first partitioned the census enumeration process into five operation phases. Within each phase, one or more activities considered to be critical to census data quality were identified. Operational data from each activity were then analyzed to assess the risk of error, particularly as they related to similar activities in the 2010 census. Overall, the evaluation found that census operations relied on higher risk activities at a higher rate in 2020 than in 2010, suggesting that the risk of error may be higher in 2020 than in 2010. However, the available data were insufficient to determine whether the apportionment counts are of lower quality in 2020 than in 2010.",3
