titles,authors,date,source,descriptions,citations
Characterization of cerebral aneurysms for assessing risk of rupture by using patient-specific computational hemodynamics models,"Juan R Cebral, Marcelo A Castro, James E Burgess, Richard S Pergolizzi, Michael J Sheridan, Christopher M Putman",2005/11/1,Journal American Journal of Neuroradiology,"BACKGROUND AND PURPOSE: Hemodynamic factors are thought to play an important role in the initiation, growth, and rupture of cerebral aneurysms. This report describes a pilot clinical study of the association between intra-aneurysmal hemodynamic characteristics from computational fluid dynamic models and the rupture of cerebral aneurysms.",836
Efficient pipeline for image-based patient-specific analysis of cerebral aneurysm hemodynamics: technique and sensitivity,"Juan R Cebral, Marcelo Adrián Castro, Sunil Appanaboyina, Christopher M Putman, Daniel Millan, Alejandro F Frangi",2005/4/4,Journal IEEE transactions on medical imaging,"Hemodynamic factors are thought to be implicated in the progression and rupture of intracranial aneurysms. Current efforts aim to study the possible associations of hemodynamic characteristics such as complexity and stability of intra-aneurysmal flow patterns, size and location of the region of flow impingement with the clinical history of aneurysmal rupture. However, there are no reliable methods for measuring blood flow patterns in vivo. In this paper, an efficient methodology for patient-specific modeling and characterization of the hemodynamics in cerebral aneurysms from medical images is described. A sensitivity analysis of the hemodynamic characteristics with respect to variations of several variables over the expected physiologic range of conditions is also presented. This sensitivity analysis shows that although changes in the velocity fields can be observed, the characterization of the intra-aneurysmal flow …",680
Hemodynamics of cerebral aneurysms,"Daniel M Sforza, Christopher M Putman, Juan Raul Cebral",2009/1/21,Source Annual review of fluid mechanics,"The initiation and progression of cerebral aneurysms are degenerative processes of the arterial wall driven by a complex interaction of biological and hemodynamic factors. Endothelial cells on the artery wall respond physiologically to blood-flow patterns. In normal conditions, these responses are associated with nonpathological tissue remodeling and adaptation. The combination of abnormal blood patterns and genetics predisposition could lead to the pathological formation of aneurysms. Here, we review recent progress on the basic mechanisms of aneurysm formation and evolution, with a focus on the role of hemodynamic patterns.",547
Quantitative characterization of the hemodynamic environment in ruptured and unruptured brain aneurysms,"Juan R Cebral, Fernando Mut, Jane Weir, Christopher Putman",2011/1/1,Journal American Journal of Neuroradiology,"Hemodynamics are thought to play an important role in the mechanisms of aneurysm pathogenesis, progression, and rupture. The purpose of this study was to define quantitative measures related to qualitative flow characteristics previously analyzed and to investigate their relationship to aneurysm rupture.",501
Aneurysm rupture following treatment with flow-diverting stents: computational hemodynamics analysis of treatment,"JR Cebral, F Mut, M Raschi, E Scrivano, R Ceratto, P Lylyk, CM Putman",2011/1/1,Journal American journal of neuroradiology,"Flow-diverting approaches to intracranial aneurysm treatment had many promising early results, but recent apparently successful treatments have been complicated by later aneurysm hemorrhage. We analyzed 7 cases of aneurysms treated with flow diversion to explore the possible rupture mechanisms.",437
Association of hemodynamic characteristics and cerebral aneurysm rupture,"Juan R Cebral, Fernando Mut, Jane Weir, Christopher M Putman",2011/2/1,Journal American Journal of Neuroradiology,"Hemodynamic factors are thought to play an important role in the initiation, growth, and rupture of cerebral aneurysms. This report describes a study of the associations between qualitative intra-aneurysmal hemodynamics and the rupture of cerebral aneurysms.",425
Computational fluid dynamics modeling of intracranial aneurysms: effects of parent artery segmentation on intra-aneurysmal hemodynamics,"MA Castro, Christopher M Putman, JR Cebral",2006/9/1,Journal American Journal of Neuroradiology,PURPOSE: The purpose of this study is to show the influence of the upstream parent artery geometry on intraaneurysmal hemodynamics of cerebral aneurysms.,320
Conservative load projection and tracking for fluid-structure problems,"Juan Raul Cebral, Rainald Lohner",1997/4,Journal AIAA journal,"The loose coupling of computational Ŋ uid dynamics and computational structural dynamics solvers introduces some problems related to the information transfer between the codes. Some techniques developed to solve the problems of the load transfer and interface surface tracking are presented. The main criterion is to achieve conservation of total loads and total energy. The load projection scheme is based on Gaussian integration and fast interpolation algorithms for unstructured grids. The surface tracking algorithm, also based on interpolation, is important for many applications, including aeroelastic deformation of wings due to aerodynamic loads. The methodologies not only improve present Ŋ uidąstructure interaction simulations, but also increase the range of their applicability. These techniques are of general character and can be used in other multidisciplinary applications as well.",283
Hemodynamic patterns of anterior communicating artery aneurysms: a possible association with rupture,"MA Castro, CM Putman, MJ Sheridan, JR Cebral",2009/2/1,Journal American journal of neuroradiology,BACKGROUND AND PURPOSE: The anterior communicating artery (AcomA) is a predilect location of aneurysms which typically carry higher rupture risks than other locations in the anterior circulation. The purpose of this study was to characterize the different flow types present in AcomA aneurysms and to investigate possible associations with rupture.,246
From medical images to anatomically accurate finite element grids,"Juan Raul Cebral, Rainald Löhner",2001/7/20,Journal International Journal for Numerical Methods in Engineering,"The successful application of computational modelling of blood flow for the planning of surgical and interventional procedures to treat cardiovascular diseases strongly depends on the rapid construction of anatomical models. The large individual variability of the human vasculature and the strong dependence of blood flow characteristics on the vessel geometry require modelling on a patient‐specific basis. Various image processing and geometrical modelling techniques are integrated for the rapid construction of geometrical surface models of arteries starting from medical images. These discretely defined surfaces are then used to generate anatomically accurate finite element grids for hemodynamic simulations. The proposed methodology operates directly in 3D and consists of three stages. In the first stage, the images are filtered to reduce noise and segmented using a region‐growing algorithm in order to …",223
