titles,authors,date,source,descriptions,citations
Solving airline crew scheduling problems by branch-and-cut,"Karla L Hoffman, Manfred Padberg",1993/6,Journal Management science,The crew scheduling problem is one that has been studied almost continually for the past 40 years but all prior approaches have always approximated the problem of finding an optimal schedule for even the smallest of an airline's fleets. The problem is especially important today since costs for flying personnel of major U.S. carriers have grown and now often exceed $1.3 billion a year and are the second largest item (next to fuel cost) of the total operating cost of major U.S. carriers. Thus even small percentage savings amount to substantial dollar amounts. We present a branch-and-cut approach to solving to proven optimality large set partitioning problems arising within the airline industry. We first provide some background related to this important application and then describe the approach for solving representative problems in this problem class. The branch-and-cut solver generates cutting planes based on the …,790
Traveling salesman problem,"Karla L Hoffman, Manfred Padberg, Giovanni Rinaldi",2013/1,Journal Encyclopedia of operations research and management science,"The traveling salesman problem (TSP) is one which has commanded much attention of mathematicians and computer scientists specifically because it is so easy to describe and so difficult to solve. The problem can simply be stated as: if a traveling salesman wishes to visit exactly once each of a list of m cities (where the cost of traveling from city i to city j is cij) and then return to the home city, what is the least costly route the traveling salesman can take? A complete historical development of this and related problems can be found in Hoffman and Wolfe (1985), Applegate et al.(2006), and Cook (2011).",339
A successive underestimation method for concave minimization problems,"James E Falk, Karla R Hoffman",1976/8,Journal Mathematics of operations research,"A new method designed to globally minimize concave functions over linear polyhedra is described. Properties of the method are discussed, an example problem is solved, and computational considerations are discussed.",228
Improving LP-representations of zero-one linear programs for branch-and-cut,"Karla L Hoffman, Manfred Padberg",1991/5,Journal ORSA Journal on Computing,"We present various techniques for automatically improving the LP-representation of general zero-one linear programming problems. These include detection of redundant rows and blatant infeasibilities, coefficient reduction using the Euclidean algorithm, optimality fixing and variable elimination. Extensions to the case where special-ordered-set constraints are present are discussed as well. A summary of the branch-and-cut approach to general zero-one problems (including flowcharts) is given. We report numerical experiments to test the effect of such preprocessing within a branch-and-cut algorithm for eleven large-scale real-world zero-one linear-programming problems. An illustrative example is included in the Appendix.",212
LP-based combinatorial problem solving,"Karla Hoffman, Manfred Padberg",1985/12,Journal Annals of Operations Research,"A tutorial outline of the polyhedral theory that underlies linear programming (LP)-based combinatorial problem solving is given. Design aspects of a combinatorial problem solver are discussed in general terms. Three computational studies in combinatorial problem solving using the polyhedral theory developed in the past fifteen years are surveyed: one addresses the symmetric traveling salesman problem, another the optimal triangulation of input/output matrices, and the third the optimization of large-scale zero-one linear programming problems.",179
A method for globally minimizing concave functions over convex sets,Karla Leigh Hoffman,1981/12,Journal mathematical Programming,"A method is described for globally minimizing concave functions over convex sets whose defining constraints may be nonlinear. The algorithm generates linear programs whose solutions minimize the convex envelope of the original function over successively tighter polytopes enclosing the feasible region. The algorithm does not involve cuts of the feasible region, requires only simplex pivot operations and univariate search computations to be performed, allows the objective function to be lower semicontinuous and nonseparable, and is guaranteed to converge to the global solution. Computational aspects of the algorithm are discussed.",178
"Auctions for the safe, efficient, and equitable allocation of airspace system resources","Michael Ball, George Donohue, Karla Hoffman",2006,Journal Combinatorial auctions,"In this paper, we present evidence of the need for the specification of property rights associated with airport departure and arrival time slots and then provide the rationale and means for using auctions to allocate such property rights. We provide a historical look at slot allocation in the US and the consequences of prior and current practices on both safety and competition. It is shown that the particular characteristics of aviation slot allocation suggest the need for three types of market mechanisms: an auction of longterm leases of arrival and/or departure slots, a market that supports inter-airline exchange of long-term leases and a near-real-time market that allows for the exchange of slots on a particular day of operation. We describe how certain concepts and tools underlying Collaborative Decision Making (CDM) provide a natural basis for developing the nearreal-time market and present a broad overview of the special characteristics of aviation slot auctions and appropriate research topics.",170
Estimating domestic US airline cost of delay based on European model,"John Ferguson, Abdul Qadar Kara, Karla Hoffman, Lance Sherry",2013/8/1,Journal Transportation Research Part C: Emerging Technologies,"Researchers are applying more holistic approaches to the feedback control of the air transportation system. Many of these approaches rely on economic feedback, including the cost of delays to the airlines. Establishing an accurate mechanism for estimating the cost of a delays for each portion of a flight (gate costs, taxiing in and out costs, and en-route costs) is useful for many aspects of modeling airline behavior and for better understanding the likely impact of regulations. Cook et al. (2004) developed a rigorous methodology and collected data for estimating the components of airline delay costs for various segments of a scheduled flight. The model, based on confidential information from European airlines for 12 types of aircraft ca. 2003, was not transparent with regards to how each of the major components of cost (crew costs, fuel costs, maintenance, depreciation, etc.) impacted that total. This paper describes the …",112
Combinatorial optimization: Current successes and directions for the future,Karla L Hoffman,2000/12/1,Journal Journal of computational and applied mathematics,"Our ability to solve large, important combinatorial optimization problems has improved dramatically in the past decade. The availability of reliable software, extremely fast and inexpensive hardware and high-level languages that make the modeling of complex problems much faster have led to a much greater demand for optimization tools. This paper highlights the major breakthroughs and then describes some very exciting future opportunities. Previously, large research projects required major data collection efforts, expensive mainframes and substantial analyst manpower. Now, we can solve much larger problems on personal computers, much of the necessary data is routinely collected and tools exist to speed up both the modeling and the post-optimality analysis. With the information-technology revolution taking place currently, we now have the opportunity to have our tools embedded into supply-chain systems …",97
Modeling the IRS telephone taxpayer information system,"Carl M Harris, Karla L Hoffman, Patsy B Saunders",1987/8,Source Operations Research,"The Internal Revenue Service (IRS) toll-free, nationwide telephone system provides prompt tax-information assistance. In 1986, the IRS processed 37.8 million calls from taxpayers at 32 answering sites. This paper documents a critical review of the IRS approach to allocating its staff and equipment. We built a simulation-based model to test various allocation policies for deploying IRS resources. The simulation study included detailed sensitivity analysis on key network variables, and showed the feasibility of modeling a typical IRS location as a multiserver loss/delay queue with retrial and reneging. The second phase of this effort therefore centered around developing a prototype probabilistic model for determining the most effective way of providing service at reasonable levels and at minimum cost. The resulting model allows the IRS to determine from tables the best configuration of people and telephone lines for …",85
