titles,authors,date,source,descriptions,citations
A robust comparison of the KDDCup99 and NSL-KDD IoT network intrusion detection datasets through various machine learning algorithms,"Suchet Sapre, Pouyan Ahmadi, Khondkar Islam",2019/12/31,Journal arXiv preprint arXiv:1912.13204,"In recent years, as intrusion attacks on IoT networks have grown exponentially, there is an immediate need for sophisticated intrusion detection systems (IDSs). A vast majority of current IDSs are data-driven, which means that one of the most important aspects of this area of research is the quality of the data acquired from IoT network traffic. Two of the most cited intrusion detection datasets are the KDDCup99 and the NSL-KDD. The main goal of our project was to conduct a robust comparison of both datasets by evaluating the performance of various Machine Learning (ML) classifiers trained on them with a larger set of classification metrics than previous researchers. From our research, we were able to conclude that the NSL-KDD dataset is of a higher quality than the KDDCup99 dataset as the classifiers trained on it were on average 20.18% less accurate. This is because the classifiers trained on the KDDCup99 dataset exhibited a bias towards the redundancies within it, allowing them to achieve higher accuracies.",40
Analyzing navigational data and predicting student grades using support vector machine,"SriUdaya Damuluri, Khondkar Islam, Pouyan Ahmadi, Namra Shafiq Qureshi",2020/8/1,Journal Emerging Science Journal,"The advent of Learning Management System (LMS) has unfolded a unique opportunity to predict student grades well in advance which benefits both students and educational institutions. The objective of this study is to investigate student access patterns and navigational data of Blackboard (Bb), a form of LMS, to forecast final grades. This research study consists of students who are pursuing a Networking course in Information Science and Technology Department (IST) at George Mason University (GMU). The gathered data consists of a wide variety of attributes, such as the amount of time spent on lecture slides and other learning materials, number of times course contents are accessed, time and days of the week study material is reviewed, and student grades in various assessments. By analyzing these predictors using Support Vector Machine, one of the most efficient classification algorithms available, we are able to project final grades of students and identify those individuals who are at risk for failing the course so that they can receive proper guidance from instructors. After comparing actual grades with predicted grades, it is concluded that our developed model is able to accurately predict grades of 70% of the students. This study stands unique as it is the first to employ solely online LMS data to successfully deduce academic outcomes of students.",23
An Empirical Study of Face-to-Face and Distance Learning Sections of a Core Telecommunication course,"Omaima Almatrafi, Khondkar Islam, Aditya Johri, Karthik Nagappan, Aref Modanlu",2015/6/14,Conference 2015 ASEE Annual Conference & Exposition,"Examining Student Participation and Performance Across Online and Face-to-Face Courses Using a Learning Analytics ApproachWe present findings from a comparative study of online and face-to-face offerings of a course. Wecombined data acquired from a Learning Management System (LMS) and surveys conducted withstudents to investigate the relationships between student demographics, their participation patterns, andtheir course outcomes. RESEARCH CONTEXT: The semester long research was conducted across four sections of the corerequired Modern Telecommunications IT300 course. The study involved 98 students enrolled in all thesections. One of the four sections was an asynchronous distance education (DE) section, and the otherthree were face-to-face (F2F) sections. DATA ANALYSIS: The study compared several learning metrics of the four sections taking studentdemographics into account. One important segment of the research is the comparison of a F2F sectionwith the results of the DE section to assess the student learning outcomes. The performance of thestudents has been assessed in terms of the course grade, final grade, quizzes, assignments, and labs. Bothsections have similar assessment measures, but were taught by different instructors. The study usesstudent demographics such as gender, work and residency status, and relates them to student activities andperformance to determine their impact on learning effectiveness. The number of times each materialposted to the LMS was accessed and the time duration to complete an assessment, are just a couple ofexamples of data points used in the study. We also …",7
RFID implementation in supply chain management,"Pooja Reddy Podduturi, Trevor Maco, Pouyan Ahmadi, Khondkar Islam",2020/4/1,Journal International Journal of Interdisciplinary Telecommunications and Networking (IJITN),"A network that is based on a traditional telecommunications network and the Internet is known as the internet of things (IoT). The devices in such networks connect peers and form advanced collaborations. radio frequency identification (RFID) has become a hot topic in recent years with the development of the IOT. However, the traditional RFID reader systems have some drawbacks, such as: single node failure, limited effective reading distance of the reader, and slow reading speeds. The proposed system describes how to estimate the location of an object using RFID technology. This article also incorporates a peer-to-peer (P2P) system to locate individual objects in a supply chain management network, which enables scalable indexing of objects in large distributed traceable networks.",5
A survey on internet of things security issues and applications,"Pouyan Ahmadi, Khondkar Islam, Trevor Maco, Manilya Katam",2018/12/12,Conference 2018 International conference on computational science and computational intelligence (CSCI),"Internet of Things (IoT) is an emerging technology closely related to other research areas like Peer to Peer Networking, Mobile computing, Pervasive or Ubiquitous computing, Wireless Sensor Networks, Cyber Physical Systems, Real Time Analytics, etc. Technologies like ZigBee and Wi-Fi Direct can be widely deployed to achieve the notion of smart cities, eventually achieving a globally integrated smart world. However, there are ongoing issues like architecture design, hardware design, cost accountability, identity, privacy, and security issues for building new services and solutions in IoT. To resolve these issues, we can categorize them either as business-driven or research driven. Some of the research driven issues are architecture design, identity, privacy, and security. In this survey, we primarily focus on the architecture design, identity, privacy, and security issues associated with IoT. After a brief introduction on …",5
A comprehensive data sampling analysis applied to the classification of rare iot network intrusion types,"Suchet Sapre, Khondkar Islam, Pouyan Ahmadi",2021/1/9,Conference 2021 IEEE 18th Annual Consumer Communications & Networking Conference (CCNC),"With the rapid growth of Internet of Things (IoT) network intrusion attacks, there is a critical need for sophisticated and comprehensive intrusion detection systems (IDSs). Classifying infrequent intrusion types such as root-to-local (R2L) and user-to-root (U2R) attacks is a reoccurring problem for IDSs. In this study, various data sampling and class balancing techniques-Generative Adversarial Network (GAN)-based oversampling, k-nearest-neighbor (kNN) oversampling, NearMiss-1 undersampling, and class weights-were used to resolve the severe class imbalance affecting U2R and R2L attacks in the NSL-KDD intrusion detection dataset. Artificial Neural Networks (ANNs) were trained on the adjusted datasets, and their performances were evaluated with a multitude of classification metrics. Here, we show that using no data sampling technique (baseline), GAN-based oversampling, and NearMiss-l undersampling, all …",4
A cost-effective distributed architecture for content delivery and exchange over emerging wireless technologies,Khondkar R Islam,2013,Institution George Mason University,"Opportunities in education are lacking in many parts of the developed nations and are missing in most parts of the developing nations. This is, in significant part, due to shortages of classroom instructional resources such as quality teaching staff, hardware and software. Distance education (DE) has proved to be a successful teaching approach and overcomes some of the barriers imposed by classroom instruction, primarily due to the shortage of teachers.",4
An architecture for delivery of distance education in developing countries,"Khondkar R Islam, Charles M Snow",2011/10/20,Book Proceedings of the 2011 conference on Information technology education,"Distance Education (DE) is becoming more popular due to the flexibility it offers to students of all ages, across varied professions, to take classes from any location in the world. In the face of the slow growth of education in developing nations like Bangladesh, DE can be leveraged to boost literacy rates there. Teaching staff shortages are a prime contributing factor to this slow growth. Numerous distance learning tools are on the market for delivering instruction to students in remote locations. The question is how effectively these tools can be used by individuals accessing instruction materials from locations in a developing country where there is limited network capacity. This is an important concern since distance learning tools are network capacity intensive requiring at a minimum 200 Kbps data bit rate per student, which is not supported by most of the Internet and cellular phone service providers of these countries …",4
A Robust Comparison of the KDDCup99 and NSL-KDD Intrusion Detection Datasets by Utilizing Principle Component Analysis and Evaluating the Performance of Various Machine …,"Suchet Sapre, Pouyan Ahmadi, Khondkar Islam",2019/11/19,Journal Journal of Student-Scientists' Research,"In recent years, as intrusion attacks on IoT networks have grown exponentially, there is an immediate need for sophisticated intrusion detection systems (IDSs). A vast majority of current IDSs are data-driven, which means that the most important aspect of this area of research is the quality of the data acquired from IoT network traffic. Two of the most cited intrusion detection datasets are the KDDCup99 (KDD) and the NSL-KDD (NSL). The main goal of our project was to conduct a robust comparison of both datasets by evaluating the performance of various machine learning classifiers with a larger set of classification metrics than previous researchers. This was done by using numerous Python ML packages and data visualization tools. From our research, we were able to conclude that the NSL dataset is of a higher quality than the KDD dataset. This is because the classifiers trained on the KDD dataset exhibited a …",3
RFID implementation in supply chain management using P2P network overlays,"Pooja Podduturi, Pouyan Ahmadi, Khondkar Islam, Trevor Maco",2019/4/9,Conference 2019 Wireless Telecommunications Symposium (WTS),"A network that is based on a traditional telecommunications network and the Internet is known as ""The Internet of Things (IoT)"". The devices in such networks connect peers and form advanced collaborations. Radio Frequency Identification (RFID) has become a hot topic in recent years with the development of the IOT. However, the traditional RFID reader system has some drawbacks, such as: single node failure, limited effective reading distance of the reader, and slow reading speeds. The proposed system describes how to estimate the location of an object using RFID technology. This paper also incorporates a peer-to-peer (P2P) system to locate individual objects in a supply chain management network, which enables scalable indexing of objects in large distributed traceable networks.",3
Assessment formats and student learning performance: What is the relation?,"Khondkar Islam, Pouyan Ahmadi, Salman Yousaf",2017/11/15,Journal arXiv preprint arXiv:1711.10396,"Although compelling assessments have been examined in recent years, more studies are required to yield a better understanding of the several methods where assessment techniques significantly affect student learning process. Most of the educational research in this area does not consider demographics data, differing methodologies, and notable sample size. To address these drawbacks, the objective of our study is to analyse student learning outcomes of multiple assessment formats for a web-facilitated in-class section with an asynchronous online class of a core data communications course in the Undergraduate IT program of the Information Sciences and Technology (IST) Department at George Mason University (GMU). In this study, students were evaluated based on course assessments such as home and lab assignments, skill-based assessments, and traditional midterm and final exams across all four sections of the course. All sections have equivalent content, assessments, and teaching methodologies. Student demographics such as exam type and location preferences are considered in our study to determine whether they have any impact on their learning approach. Large amount of data from the learning management system (LMS), Blackboard (BB) Learn, had to be examined to compare the results of several assessment outcomes for all students within their respective section and amongst students of other sections. To investigate the effect of dissimilar assessment formats on student performance, we had to correlate individual question formats with the overall course grade. The results show that collective assessment formats …",3
Comparative Study of Traditional and Social Media Marketing Methodologies of an Online Technical Course,"K Islam, B Tretola, M. Mastronardi",2015/7,"Description The study compares traditional and social media marketing strategies in launching a new online 24-week Cisco Certified Network Associate (CCNA) course. The research course is non-credit and is offered by the Virtual Academy (VirtAc) in the Department of Applied Information Technology (AIT) of the Volgenau School of Engineering (VSE) at George Mason University (Mason). The research course is funded by a grant from Cisco. It is a fully online hybrid distance learning course that uses the asynchronous and synchronous delivery methods. The marketing team is cross-disciplinary with resources within Mason from the Marketing and AIT Departments.  The lessons learned in the areas of market segmentation, targeting, and positioning of the online course are analyzed. The marketing mix using the four P’s of price, promotion, place or delivery and product are applied using both traditional and new social media …","The study compares traditional and social media marketing strategies in launching a new online 24-week Cisco Certified Network Associate (CCNA) course. The research course is non-credit and is offered by the Virtual Academy (VirtAc) in the Department of Applied Information Technology (AIT) of the Volgenau School of Engineering (VSE) at George Mason University (Mason). The research course is funded by a grant from Cisco. It is a fully online hybrid distance learning course that uses the asynchronous and synchronous delivery methods. The marketing team is cross-disciplinary with resources within Mason from the Marketing and AIT Departments.  The lessons learned in the areas of market segmentation, targeting, and positioning of the online course are analyzed. The marketing mix using the four P’s of price, promotion, place or delivery and product are applied using both traditional and new social media …",3
