titles,authors,date,source,descriptions,citations
Modelling the molecular mechanisms of synaptic plasticity using systems biology approaches,"Jeanette Hellgren Kotaleski, Kim T Blackwell",2010/4,Source Nature Reviews Neuroscience,"Synaptic plasticity is thought to underlie learning and memory, but the complexity of the interactions between the ion channels, enzymes and genes that are involved in synaptic plasticity impedes a deep understanding of this phenomenon. Computer modelling has been used to investigate the information processing that is performed by the signalling pathways involved in synaptic plasticity in principal neurons of the hippocampus, striatum and cerebellum. In the past few years, new software developments that combine computational neuroscience techniques with systems biology techniques have allowed large-scale, kinetic models of the molecular mechanisms underlying long-term potentiation and long-term depression. We highlight important advancements produced by these quantitative modelling efforts and introduce promising approaches that use advancements in live-cell imaging.",212
Transient calcium and dopamine increase PKA activity and DARPP-32 phosphorylation,"Maria Lindskog, MyungSook Kim, Martin A Wikström, Kim T Blackwell, Jeanette Hellgren Kotaleski",2006/9,Journal PLoS computational biology,"Reinforcement learning theorizes that strengthening of synaptic connections in medium spiny neurons of the striatum occurs when glutamatergic input (from cortex) and dopaminergic input (from substantia nigra) are received simultaneously. Subsequent to learning, medium spiny neurons with strengthened synapses are more likely to fire in response to cortical input alone. This synaptic plasticity is produced by phosphorylation of AMPA receptors, caused by phosphorylation of various signalling molecules. A key signalling molecule is the phosphoprotein DARPP-32, highly expressed in striatal medium spiny neurons. DARPP-32 is regulated by several neurotransmitters through a complex network of intracellular signalling pathways involving cAMP (increased through dopamine stimulation) and calcium (increased through glutamate stimulation). Since DARPP-32 controls several kinases and phosphatases involved in striatal synaptic plasticity, understanding the interactions between cAMP and calcium, in particular the effect of transient stimuli on DARPP-32 phosphorylation, has major implications for understanding reinforcement learning. We developed a computer model of the biochemical reaction pathways involved in the phosphorylation of DARPP-32 on Thr34 and Thr75. Ordinary differential equations describing the biochemical reactions were implemented in a single compartment model using the software XPPAUT. Reaction rate constants were obtained from the biochemical literature. The first set of simulations using sustained elevations of dopamine and calcium produced phosphorylation levels of DARPP-32 similar to that measured …",132
The role of type 4 phosphodiesterases in generating microdomains of cAMP: large scale stochastic simulations,"Rodrigo F Oliveira, Anna Terrin, Giulietta Di Benedetto, Robert C Cannon, Wonryull Koh, MyungSook Kim, Manuela Zaccolo, Kim T Blackwell",2010/7/22,Journal PloS one,"Cyclic AMP (cAMP) and its main effector Protein Kinase A (PKA) are critical for several aspects of neuronal function including synaptic plasticity. Specificity of synaptic plasticity requires that cAMP activates PKA in a highly localized manner despite the speed with which cAMP diffuses. Two mechanisms have been proposed to produce localized elevations in cAMP, known as microdomains: impeded diffusion, and high phosphodiesterase (PDE) activity. This paper investigates the mechanism of localized cAMP signaling using a computational model of the biochemical network in the HEK293 cell, which is a subset of pathways involved in PKA-dependent synaptic plasticity. This biochemical network includes cAMP production, PKA activation, and cAMP degradation by PDE activity. The model is implemented in NeuroRD: novel, computationally efficient, stochastic reaction-diffusion software, and is constrained by intracellular cAMP dynamics that were determined experimentally by real-time imaging using an Epac-based FRET sensor (H30). The model reproduces the high concentration cAMP microdomain in the submembrane region, distinct from the lower concentration of cAMP in the cytosol. Simulations further demonstrate that generation of the cAMP microdomain requires a pool of PDE4D anchored in the cytosol and also requires PKA-mediated phosphorylation of PDE4D which increases its activity. The microdomain does not require impeded diffusion of cAMP, confirming that barriers are not required for microdomains. The simulations reported here further demonstrate the utility of the new stochastic reaction-diffusion algorithm for exploring …",122
Gap junctions between striatal fast-spiking interneurons regulate spiking activity and synchronization as a function of cortical activity,"Johannes Hjorth, Kim T Blackwell, Jeanette Hellgren Kotaleski",2009/4/22,Journal Journal of Neuroscience,"Striatal fast-spiking (FS) interneurons are interconnected by gap junctions into sparsely connected networks. As demonstrated for cortical FS interneurons, these gap junctions in the striatum may cause synchronized spiking, which would increase the influence that FS neurons have on spiking by the striatal medium spiny (MS) neurons. Dysfunction of the basal ganglia is characterized by changes in synchrony or periodicity, thus gap junctions between FS interneurons may modulate synchrony and thereby influence behavior such as reward learning and motor control. To explore the roles of gap junctions on activity and spike synchronization in a striatal FS population, we built a network model of FS interneurons. Each FS connects to 30–40% of its neighbors, as found experimentally, and each FS interneuron in the network is activated by simulated corticostriatal synaptic inputs. Our simulations show that the …",113
Quantitative estimate of synaptic inputs to striatal neurons during up and down states in vitro,"Kim T Blackwell, Uwe Czubayko, Dietmar Plenz",2003/10/8,Journal Journal of Neuroscience,"Up states are prolonged membrane potential depolarizations critical for synaptic integration and action potential generation in cortical and striatal neurons. They commonly result from numerous concurrent synaptic inputs, whereas neurons reside in a down state when synaptic inputs are few. By quantifying the composition, frequency, and amplitude of synaptic inputs for both states, we provide important constraints for state transitions in striatal network dynamics.",98
Dynamically stable associative learning neural network system,"Daniel L Alkon, Thomas P Vogl, Kim T Blackwell, Garth S Barbour",1998/10/13,Patent office US,"A dynamically stable associative learning neural system includes a plurality of neural network architectural units. A neural network architectural unit has as input both condition stimuli and unconditioned stimulus, an output neuron for accepting the input, and patch elements interposed between each input and the output neuron. The patches in the architectural unit can be modified and added. A neural network can be formed from a single unit, a layer of units, or multiple layers of units.",90
A comparative voltage and current-clamp analysis of feedback and feedforward synaptic transmission in the striatal microcircuit in vitro,"Nicholas Gustafson, Elakkat Gireesh-Dharmaraj, Uwe Czubayko, Kim T Blackwell, Dietmar Plenz",2006/2,Journal Journal of neurophysiology,"Striatal spiny projection (SP) neurons control movement initiation by integrating cortical inputs and inhibiting basal ganglia outputs. Central to this control lies a “microcircuit” that consists of a feedback pathway formed by axon collaterals between GABAergic SP neurons and a feedforward pathway from fast spiking (FS) GABAergic interneurons to SP neurons. Here, somatically evoked postsynaptic potentials (PSPs) and currents (PSCs) were compared for both pathways with dual whole cell patch recording in voltage- and current-clamp mode using cortex-striatum-substantia nigra organotypic cultures. On average, feedforward inputs were 1 ms earlier, more reliable, and about twice as large in amplitude compared with most feedback inputs. On the other hand, both pathways exhibited widely varying, partially overlapping amplitude distributions. This variability was already established for single FS neurons targeting …",88
Pattern-recognition by an artificial network derived from biologic neuronal systems,"Daniel L Alkon, KT Blackwell, GS Barbour, AK Rigler, TP Vogl",1990/3,Journal Biological Cybernetics,"A novel artificial neural network, derived from neurobiological observations, is described and examples of its performance are presented. This DYnamically STable Associative Learning (DYSTAL) network associatively learns both correlations and anticorrelations, and can be configured to classify or restore patterns with only a change in the number of output units. DYSTAL exhibits some particularly desirable properties: computational effort scales linearly with the number of connections, i.e., it is0(N) in complexity; performance of the network is stable with respect to network parameters over wide ranges of their values and over the size of the input field; storage of a very large number of patterns is possible; patterns need not be orthogonal; network connections are not restricted to multi-layer feed-forward or any other specific structure; and, for a known set of deterministic input patterns, the network weights can …",88
"Calcium: amplitude, duration, or location?","RC Evans, KT Blackwell",2015/2,Source The Biological Bulletin,"Calcium plays a role in long-term plasticity by triggering postsynaptic signaling pathways for both the strengthening (LTP) and weakening (LTD) of synapses. Since these are opposing processes, several hypotheses have been developed to explain how calcium can trigger LTP in some situations and LTD in others. These hypotheses fall broadly into three categories, based on the amplitude of calcium concentration, the duration of the calcium elevation, and the location of the calcium influx. Here we review the experimental evidence for and against each of these hypotheses and the recent computational models utilizing each. We argue that with new experimental techniques for the precise visualization of calcium and new computational techniques for the modeling of calcium diffusion, it is time to take a new look at the location hypothesis.",70
S top! border ahead: A utomatic detection of subthalamic exit during deep brain stimulation surgery,"Dan Valsky, Odeya Marmor‐Levin, Marc Deffains, Renana Eitan, Kim T Blackwell, Hagai Bergman, Zvi Israel",2017/1,Journal Movement Disorders,"Microelectrode recordings along preplanned trajectories are often used for accurate definition of the subthalamic nucleus (STN) borders during deep brain stimulation (DBS) surgery for Parkinson's disease. Usually, the demarcation of the STN borders is performed manually by a neurophysiologist. The exact detection of the borders is difficult, especially detecting the transition between the STN and the substantia nigra pars reticulata. Consequently, demarcation may be inaccurate, leading to suboptimal location of the DBS lead and inadequate clinical outcomes.",66
