titles,authors,date,source,descriptions,citations
Total delay impact study: a comprehensive assessment of the costs and impacts of flight delay in the United States,"Michael Ball, Cynthia Barnhart, Martin Dresner, Mark Hansen, Kevin Neels, AR Odoni, Everett Peterson, Lance Sherry, Antonio Trani, Bo Zou",2010/10/1,"Publisher University of California, Berkeley. Institute of Transportation Studies","Flight delay is a serious and widespread problem in the United States. Increasing flight delays place a significant strain on the US air travel system and cost airlines, passengers, and society at many billions of dollars each year. While a number of previous studies have attempted to estimate the total economic impact of delays, scientific knowledge about the cost of delay is still limited. The Federal Aviation Administration sponsored the five NEXTOR universities and the Brattle Group to conduct a comprehensive study on the total delay impact (TDI) in the United States. This report analyzes a variety of cost components caused by flight delays, including cost to airlines, cost to passengers, cost of lost demand, as well as the indirect impact of delay on the US economy. This study offers a broader consideration of relevant costs than conventional cost-of-delay estimates, and employs several innovative methodologies for assessing the magnitudes of these costs. Of particular note are the passenger delay cost estimates, which recognize that flight cancellations and missed connections can lead to substantial passenger delays not revealed in traditional flight delay statistics.",285
Anomaly detection in aircraft data using Recurrent Neural Networks (RNN),"Anvardh Nanduri, Lance Sherry",2016/4/19,Conference 2016 Integrated Communications Navigation and Surveillance (ICNS),"Anomaly Detection in multivariate, time-series data collected from aircraft's Flight Data Recorder (FDR) or Flight Operational Quality Assurance (FOQA) data provide a powerful means for identifying events and trends that reduce safety margins. The industry standard “Exceedance Detection” algorithm uses a list of specified parameters and their thresholds to identify known deviations. In contrast, Machine Learning algorithms detect unknown unusual patterns in the data either through semi-supervised or unsupervised learning. The Multiple Kernel Anomaly Detection (MKAD) algorithm based on One-class SVM identified 6 of 11 canonical anomalies in a large dataset but is limited by the need for dimensionality reduction, poor sensitivity to short term anomalies, and inability to detect anomalies in latent features. This paper describes the application of Recurrent Neural Networks (RNN) with Long Term Short Term …",175
Accuracy of reinforcement learning algorithms for predicting aircraft taxi-out times: A case-study of Tampa Bay departures,"Poornima Balakrishna, Rajesh Ganesan, Lance Sherry",2010/12/1,Journal Transportation Research Part C: Emerging Technologies,"Taxi-out delay is a significant portion of the block time of a flight. Uncertainty in taxi-out times reduces predictability of arrival times at the destination. This in turn results in inefficient use of airline resources such as aircraft, crew, and ground personnel. Taxi-out time prediction is also a first step in enabling schedule modifications that would help mitigate congestion and reduce emissions. The dynamically changing operation at the airport makes it difficult to accurately predict taxi-out time. In this paper we investigate the accuracy of taxi out time prediction using a nonparametric reinforcement learning (RL) based method, set in the probabilistic framework of stochastic dynamic programming. A case-study of Tampa International Airport (TPA) shows that on an average, with 93.7% probability, on any given day, our predicted mean taxi-out time for any given quarter, matches the actual mean taxi-out time for the same …",116
Total delay impact study,"Michael Ball, Cynthia Barnhart, Martin Dresner, Mark Hansen, Kevin Neels, Amedeo Odoni, Everett Peterson, Lance Sherry, Antonio Trani, Bo Zou, Rodrigo Britto",2010/10,"Journal NEXTOR Research Symposium, Washington DC","Flight delay is a serious and widespread problem in the United States. Increasing flight delays place a significant strain on the US air travel system and cost airlines, passengers, and society at many billions of dollars each year. While a number of previous studies have attempted to estimate the total economic impact of delays, scientific knowledge about the cost of delay is still limited. The Federal Aviation Administration sponsored the five NEXTOR universities and the Brattle Group to conduct a comprehensive study on the total delay impact (TDI) in the United States.",115
Estimating domestic US airline cost of delay based on European model,"John Ferguson, Abdul Qadar Kara, Karla Hoffman, Lance Sherry",2013/8/1,Journal Transportation Research Part C: Emerging Technologies,"Researchers are applying more holistic approaches to the feedback control of the air transportation system. Many of these approaches rely on economic feedback, including the cost of delays to the airlines. Establishing an accurate mechanism for estimating the cost of a delays for each portion of a flight (gate costs, taxiing in and out costs, and en-route costs) is useful for many aspects of modeling airline behavior and for better understanding the likely impact of regulations. Cook et al. (2004) developed a rigorous methodology and collected data for estimating the components of airline delay costs for various segments of a scheduled flight. The model, based on confidential information from European airlines for 12 types of aircraft ca. 2003, was not transparent with regards to how each of the major components of cost (crew costs, fuel costs, maintenance, depreciation, etc.) impacted that total. This paper describes the …",112
Display of altitude and path capture trajectories,"Lance C Sherry, Steven T Quarry",2005/3/22,Patent office US,"Pilot error is reduced and auto pilot operation is improved by the addition of capture information to the information provided on a cockpit display. The capture information, such as, for example, capture start point, last point to initiate capture, trajectory during capture, and capture overshoot region provide information to the pilot regarding the correct initiation of capture. Pilots are therefore better able to evaluate the ongoing performance of the automation or auto pilot systems and to trust that the auto pilot is functioning as desired. Furthermore, the pilot operating the aircraft in manual mode receives guidance based on this information to better know when to initiate capture of the assigned altitude or vertical path.",82
Apparatus and method for controlling the vertical profile of an aircraft,Lance Sherry,1994/8/16,Patent office US,"In an aircraft, there is included a Flight Management System (FMS), Autopilot and Autothrottle for controlling the aircraft. The apparatus has a plurality of outputs for definition of the real-time targets, controlled by the Autopilot and Autothrottle, to guide the vertical position of the aircraft to a desired vertical position along the desired vertical flightplan (or profile) according to a set of operational procedures. The FMS includes an apparatus that comprises an element which provides information denoting actual vertical position of the aircraft, and an element which generates information specifying the desired vertical position of the aircraft along the predetermined desired flightplan. Further, the apparatus determines the actual vertical position and desired vertical position to generate the real-time targets and modes for the Autopilot and Autothrottle, to achieve the predetermined desired flightplan from takeoff climb-out …",72
Methods and apparatus for annunciation of vehicle operational modes,"Lance C Sherry, Daniel E McCrobie",2001/2/13,Patent office US,"A vehicle control system contains a behavior annunciation function for generating a behavior mode output. The behavior mode annunciation system has a vehicle operational parameters database and a vehicle behavior mode database. In particular, the vehicle behavior annunciation system generates a behavior mode output by processing data from the vehicle operational parameters database and the vehicle behavior mode database to generate a behavior mode output. The behavior mode output is then communicated to the vehicle operator in a manner describing the general behavior of the vehicle.",66
Multifactor model for predicting delays at US airports,"Ning Xu, Lance Sherry, Kathryn Blackmond Laskey",2008/1,Journal Transportation Research Record,"Traffic flow management (TFM), in coordination with airline operation centers, manages the arrival and departure flow of aircraft at the nation's airports on the basis of airport arrival and departure rates for each 15-min segment throughout the day. The management of traffic flow has become so efficient in the United States that approximately 95% of delays now occur at the airports (not while airborne). Inefficiencies in traffic flow occur when nontraffic flow delays (e.g., carrier, turnaround, aircraft swapping, and local weather delays) are superimposed on the traffic flow delays. Researchers have correlated these nontraffic flow delays at airports with sets of causal factors and have created models to predict aggregate delays at airports on the time scale of a day. To be consistent with the way traffic flow is managed, a model of causal factors of delays in 15-min increments would provide the basis for improving the efficiency …",59
Analysis of airport stakeholders,"David Schaar, Lance Sherry",2010/5/11,"Conference 2010 Integrated Communications, Navigation, and Surveillance Conference Proceedings","Airports are of significant economic importance to regional businesses and to the quality of life of residents by providing access to safe, secure, rapid, affordable air transportation services. At the major U.S. airports, regional airport authorities operate the airports as public utilities providing infrastructure to service providers and their supply chain under “revenue neutral” financial regulations. As public entities with no stockholder profit motives, the airport authorities are obliged to work to balance the interests of all of their stakeholders to build the airport infrastructure, lease space to service providers, and ensure that the service providers collaborate to provide seamless, safe, secure service to the consumers of air travel services. A review of published airport benchmarks revealed that they are largely ambiguous on stakeholders and stakeholder boundaries.",58
Shared models of flight management system vertical guidance,"Lance Sherry, Peter G Polson",1999/4/1,Journal The International Journal of Aviation Psychology,"Solutions to operational and training issues with flight automation should be based on a complete model of the behaviors of the avionics software shared by pilots, developers, trainers, and human factors researchers. The operational procedure model, described in this article, represents the behavior of the avionics software as a set of intentions associated with situation–action rules. This article focuses on the guidance function incorporated in flight management systems and presents an operational procedure model of vertical guidance.",51
Turnaround prediction with stochastic process times and airport specific delay pattern,"Bernd Oreschko, Thomas Kunze, Michael Schultz, Hartmut Fricke, Vivek Kumar, Lance Sherry",2012/5,"Journal International Conference on Research in Airport Transportation (ICRAT), Berkeley","Making) goal of accurate turnaround time prediction in not met by traditional deterministic models or best guessing. During this research, the influence of the stochastic arrival process on the turnaround process is captured by modeling stochastically all elements of the turnaround as part of a Ground Manager (GMAN). Since arrival delay is one major factor influencing turnaround time process duration and variance, and delay occurs in larger amplitudes at US airports compared to European ones due the absence of slot control, the presented GMAN concept is tested with arrival delay data from the US NAS (National Airspace System). The arrival delay is collected from ASPM (Aviation System Performance Metrics) and custom probability distributions were fitted on the data for different airport categories. The results obtained from this analysis by showing the proof of concept of the GMAN, are discussed in this paper",45
Estimating taxi-out times with a reinforcement learning algorithm,"Poornima Balakrishna, Rajesh Ganesan, Lance Sherry, Benjamin S Levy",2008/10/26,Conference 2008 IEEE/AIAA 27th Digital Avionics Systems Conference,"Flight delays have a significant impact on the nationpsilas economy. Taxi-out delays in particular constitute a significant portion of the block time of a flight. In the future, it can be expected that accurate predictions of dasiawheels-offpsila time may be used in determining whether an aircraft can meet its allocated slot time, thereby fitting into an en-route traffic flow. Without an accurate taxi-out time prediction for departures, there is no way to effectively manage fuel consumption, emissions, or cost. Dynamically changing operations at the airport makes it difficult to accurately predict taxi-out time. This paper describes a method for estimating average taxi-out times at the airport in 15 minute intervals of the day and at least 15 minutes in advance of aircraft scheduled gate push-back time. A probabilistic framework of stochastic dynamic programming with a learning-based solution strategy called Reinforcement Learning (RL …",43
Analysis of performance and equity in ground delay programs,"Bengi Manley, Lance Sherry",2010/12/1,Journal Transportation Research Part C: Emerging Technologies,"The discrepancy between the projected demand for arrival slots at an airport and the projected available arrival slots on a given day is resolved by the Ground Delay Program (GDP). The current GDP rationing rule, Ration-by-Schedule, allocates the available arrival slots at the affected airport by scheduled arrival time of the flights with some adjustments to balance the equity between airlines. This rule does not take into account passenger flow and fuel flow performance in the rationing assignment tradeoff. This paper examines the trade-off between passenger delays and excess surface fuel burn as well as airline equity and passenger equity in GDP slot allocation using different rationing rules. A GDP Rationing Rule Simulator (GDP-RRS) is developed to calculate performance and equity metrics for all stakeholders using six alternate rules. The results show that there is a trade-off between GDP performance and …",42
High-volume tube-shape sectors (HTS): a network of high capacity ribbons connecting congested city pairs,"Arash Yousefi, George L Donohue, Lance Sherry",2004/10/28,Conference The 23rd Digital Avionics Systems Conference (IEEE Cat. No. 04CH37576),"We propose a network of high-volume tube-shape sectors (HTS) which is stretched between congested city pairs as a more efficient system for organizing and managing the aircraft flow, into and out of the large airports. One can think of this network as analogous to the system of interstate highways with passing lanes, breakdown areas, on-ramps and off-ramps, all designed to quickly move as much traffic as possible. This network would maximize the airspace throughput by more efficiently transporting aircraft, into and out of the congested airports. We apply visualization techniques to classify the current air traffic into different layers based on the demand profiles and route structure between origin and destination (OD) pairs. We also model the air traffic as flow of a fluid, where aircraft are the particles of the fluid. Velocity vectors for small volumes of the airspace are calculated as resultant of the velocity vectors for …",42
Decision support tool for predicting aircraft arrival rates from weather forecasts,"David A Smith, Lance Sherry",2008/5/5,"Conference 2008 Integrated Communications, Navigation and Surveillance Conference","The principle bottlenecks of the air traffic control system are the major commercial airports. Atlanta, Detroit, St. Louis, Minneapolis, Newark, Philadelphia, and LaGuardia all expect to be at least 98% capacity by 2012. Due to their cost and the environmental and noise issues associated with construction, it is unlikely that any new airports will be built in the near future. Therefore to make the National Airspace System run more efficiently, techniques to more effectively use the limited airport capacity must be developed Air Traffic Management has always been a tactical exercise, with decisions being made to counter near term problems. Since decisions are made quickly, limited time is available to plan out alternate options that may better alleviate arrival flow problems at airports. Extra time means nothing when there is no way to anticipate future operations, therefore predictive tools are required to provide advance …",36
Analyzing relationships between aircraft accidents and incidents: A data mining approach,"Z Nazeri, G Donohue, L Sherry",2008/6,"Journal Proceedings International Conference on Research in Air Transportation (ICRAT-2008), Fairfax, VA",,35
Impact of ground delay program rationing rules on passenger and airline equity,"Bengi Manley, Lance Sherry",2008/5/5,"Conference 2008 Integrated Communications, Navigation and Surveillance Conference","The discrepancy between the demand for arrival slots at an airport and the available arrival slots on a given day is resolved by the ground delay program (GDP). The current GDP rations the available arrival slots at the affected airport by scheduled arrival time of the flights with some adjustments to balance the equity between airlines. Current rationing rules do not take into account passenger flow efficiency in the rationing assignment tradeoff. This paper examines the tradeoff between flight delays and passenger delays as well as airline equity and passenger equity in GDP slot allocation. A GDP rationing rule simulator (GDP-RRS) is developed to calculate efficiency and equity metrics for all stakeholders. A comparison of alternate GDP rationing rules identified that passenger delays can be significantly decreased with a slight increase in total flight delays. Compared to the traditional ration-by-schedule, ration-by …",34
Anomaly detection in aircraft data using recurrent neural networks (rnn). 2016 Integrated Communications Navigation and Surveillance (ICNS),"Anvardh Nanduri, Lance Sherry",2016/4,"Journal IEEE, 5C2–1",,33
