titles,authors,date,source,descriptions,citations
Probabilistic deep spiking neural systems enabled by magnetic tunnel junction,"Abhronil Sengupta, Maryam Parsa, Bing Han, Kaushik Roy",2016/5/25,Journal IEEE Transactions on Electron Devices,"Deep spiking neural networks are becoming increasingly powerful tools for cognitive computing platforms. However, most of the existing studies on such computing models are developed with limited insights on the underlying hardware implementation, resulting in area and power expensive designs. Although several neuromimetic devices emulating neural operations have been proposed recently, their functionality has been limited to very simple neural models that may prove to be inefficient at complex recognition tasks. In this paper, we venture into the relatively unexplored area of utilizing the inherent device stochasticity of such neuromimetic devices to model complex neural functionalities in a probabilistic framework in the time domain. We consider the implementation of a deep spiking neural network capable of performing high-accuracy and lowlatency classification tasks, where the neural computing unit is …",105
Opportunities for neuromorphic computing algorithms and applications,"Catherine D Schuman, Shruti R Kulkarni, Maryam Parsa, J Parker Mitchell, Prasanna Date, Bill Kay",2022/1,Source Nature Computational Science,"Neuromorphic computing technologies will be important for the future of computing, but much of the work in neuromorphic computing has focused on hardware development. Here, we review recent results in neuromorphic computing algorithms and applications. We highlight characteristics of neuromorphic computing technologies that make them attractive for the future of computing and we discuss opportunities for future development of algorithms and applications on these systems.",78
Full-field thermal imaging of quasiballistic crosstalk reduction in nanoscale devices,"Amirkoushyar Ziabari, Pol Torres, Bjorn Vermeersch, Yi Xuan, Xavier Cartoixà, Alvar Torelló, Je-Hyeong Bahk, Yee Rui Koh, Maryam Parsa, Peide D Ye, F Xavier Alvarez, Ali Shakouri",2018/1/17,Journal Nature communications,"Understanding nanoscale thermal transport is of substantial importance for designing contemporary semiconductor technologies. Heat removal from small sources is well established to be severely impeded compared to diffusive predictions due to the ballistic nature of the dominant heat carriers. Experimental observations are commonly interpreted through a reduction of effective thermal conductivity, even though most measurements only probe a single aggregate thermal metric. Here, we employ thermoreflectance thermal imaging to directly visualise the 2D temperature field produced by localised heat sources on InGaAs with characteristic widths down to 100 nm. Besides displaying effective thermal performance reductions up to 50% at the active junctions in agreement with prior studies, our steady-state thermal images reveal that, remarkably, 1–3 μm adjacent to submicron devices the crosstalk is actually …",65
"Bayesian multi-objective hyperparameter optimization for accurate, fast, and efficient neural network accelerator design","Maryam Parsa, John P Mitchell, Catherine D Schuman, Robert M Patton, Thomas E Potok, Kaushik Roy",2020/7/21,Journal Frontiers in neuroscience,"In resource-constrained environments, such as low-power edge devices and smart sensors, deploying a fast, compact, and accurate intelligent system with minimum energy is indispensable. Embedding intelligence can be achieved using neural networks on neuromorphic hardware. Designing such networks would require determining several inherent hyperparameters. A key challenge is to find the optimum set of hyperparameters that might belong to the input/output encoding modules, the neural network itself, the application, or the underlying hardware. In this work, we present a hierarchical pseudo agent-based multi-objective Bayesian hyperparameter optimization framework (both software and hardware) that not only maximizes the performance of the network, but also minimizes the energy and area requirements of the corresponding neuromorphic hardware. We validate performance of our approach (in terms of accuracy and computation speed) on several control and classification applications on digital and mixed-signal (memristor-based) neural accelerators. We show that the optimum set of hyperparameters might drastically improve the performance of one application (i.e., 52–71% for Pole-Balance), while having minimum effect on another (i.e., 50–53% for RoboNav). In addition, we demonstrate resiliency of different input/output encoding, training neural network, or the underlying accelerator modules in a neuromorphic system to the changes of the hyperparameters.",37
Staged inference using conditional deep learning for energy efficient real-time smart diagnosis,"Maryam Parsa, Priyadarshini Panda, Shreyas Sen, Kaushik Roy",2017/7/11,Conference 2017 39th annual international conference of the IEEE engineering in medicine and biology society (EMBC),"Recent progress in biosensor technology and wearable devices has created a formidable opportunity for remote healthcare monitoring systems as well as real-time diagnosis and disease prevention. The use of data mining techniques is indispensable for analysis of the large pool of data generated by the wearable devices. Deep learning is among the promising methods for analyzing such data for healthcare applications and disease diagnosis. However, the conventional deep neural networks are computationally intensive and it is impractical to use them in real-time diagnosis with low-powered on-body devices. We propose Staged Inference using Conditional Deep Learning (SICDL), as an energy efficient approach for creating healthcare monitoring systems. For smart diagnostics, we observe that all diagnoses are not equally challenging. The proposed approach thus decomposes the diagnoses into preliminary …",21
Pabo: Pseudo agent-based multi-objective bayesian hyperparameter optimization for efficient neural accelerator design,"Maryam Parsa, Aayush Ankit, Amirkoushyar Ziabari, Kaushik Roy",2019/6/11,Conference IEEE/ACM International Conference on Computer-Aided Design (ICCAD),"The ever increasing computational cost of Deep Neural Networks (DNN) and the demand for energy efficient hardware for DNN acceleration has made accuracy and hardware cost co-optimization for DNNs tremendously important, especially for edge devices. Owing to the large parameter space and cost of evaluating each parameter in the search space, manually tuning of DNN hyperparameters is impractical. Automatic joint DNN and hardware hyperparameter optimization is indispensable for such problems. Bayesian optimization-based approaches have shown promising results for hyperparameter optimization of DNNs. However, most of these techniques have been developed without considering the underlying hardware, thereby leading to inefficient designs. Further, the few works that perform joint optimization are not generalizable and mainly focus on CMOS-based architectures. In this work, we present a …",20
Bayesian-based hyperparameter optimization for spiking neuromorphic systems,"Maryam Parsa, J Parker Mitchell, Catherine D Schuman, Robert M Patton, Thomas E Potok, Kaushik Roy",2019/12/9,Conference 2019 IEEE International Conference on Big Data (Big Data),"Designing a neuromorphic computing system involves selection of several hyperparameters that not only affect the accuracy of the framework, but also the energy efficiency and speed of inference and training. These hyperparameters might be inherent to the training of the spiking neural network (SNN), the input/output encoding of the real-world data to spikes, or the underlying neuromorphic hardware. In this work, we present a Bayesian-based hyperparameter optimization approach for spiking neuromorphic systems, and we show how this optimization framework can lead to significant improvement in designing accurate neuromorphic computing systems. In particular, we show that this hyperparameter optimization approach can discover the same optimal hyperparameter set for input encoding as a grid search, but with far fewer evaluations and far less time. We also show the impact of hardware-specific …",16
Resilience and robustness of spiking neural networks for neuromorphic systems,"Catherine D Schuman, J Parker Mitchell, J Travis Johnston, Maryam Parsa, Bill Kay, Prasanna Date, Robert M Patton",2020/7/19,Conference 2020 International Joint Conference on Neural Networks (IJCNN),"Though robustness and resilience are commonly quoted as features of neuromorphic computing systems, the expected performance of neuromorphic systems in the face of hardware failures is not clear. In this work, we study the effect of failures on the performance of four different training algorithms for spiking neural networks on neuromorphic systems: two back-propagation-based training approaches (Whetstone and SLAYER), a liquid state machine or reservoir computing approach, and an evolutionary optimization-based approach (EONS). We show that these four different approaches have very different resilience characteristics with respect to simulated hardware failures. We then analyze an approach for training more resilient spiking neural networks using the evolutionary optimization approach. We show how this approach produces more resilient networks and discuss how it can be extended to other …",14
Benchmarking the performance of neuromorphic and spiking neural network simulators,"Shruti R Kulkarni, Maryam Parsa, J Parker Mitchell, Catherine D Schuman",2021/8/4,Journal Neurocomputing,"Software simulators play a critical role in the development of new algorithms and system architectures in any field of engineering. Neuromorphic computing, which has shown potential in building brain-inspired energy-efficient hardware, suffers a slow-down in the development cycle due to a lack of flexible and easy-to-use simulators of either neuromorphic hardware itself or of spiking neural networks (SNNs), the type of neural network computation executed on most neuromorphic systems. While there are several openly available neuromorphic or SNN simulation packages developed by a variety of research groups, they have mostly targeted computational neuroscience simulations, and only a few have targeted small-scale machine learning tasks with SNNs. Evaluations or comparisons of these simulators have often targeted computational neuroscience-style workloads. In this work, we seek to evaluate the …",13
Evolving energy efficient convolutional neural networks,"Steven R Young, Pravallika Devineni, Maryam Parsa, J Travis Johnston, Bill Kay, Robert M Patton, Catherine D Schuman, Derek C Rose, Thomas E Potok",2019/12/9,Conference 2019 IEEE International Conference on Big Data (Big Data),"As deep neural networks have been deployed in more and more applications over the past half decade and are finding their way into an ever increasing number of operational systems, their energy consumption becomes a concern whether running in the datacenter or on edge devices. Hyperparameter optimization and automated network design for deep learning is a quickly growing field, but much of the focus has remained only on optimizing for the performance of the machine learning task. In this work, we demonstrate that the best performing networks created through this automated network design process have radically different computational characteristics (e.g. energy usage, model size, inference time), presenting the opportunity to utilize this optimization process to make deep learning networks more energy efficient and deployable to smaller devices. Optimizing for these computational characteristics is …",11
