titles,authors,date,source,descriptions,citations
Approximate computing for low power and security in the internet of things,"Mingze Gao, Qian Wang, Md Tanvir Arafin, Yongqiang Lyu, Gang Qu",2017/6/9,Journal Computer,"To save resources for Internet of Things (IoT) devices, a proposed approach segments operands and corresponding basic arithmetic operations that can be carried out by approximate function units for almost all applications. The approach also increases the security of IoT devices by hiding information for IP watermarking, digital fingerprinting, and lightweight encryption.",78
Voltage over-scaling-based lightweight authentication for IoT security,"Jiliang Zhang, Chaoqun Shen, Haihan Su, Md Tanvir Arafin, Gang Qu",2021/1/6,Journal IEEE Transactions on Computers,"It is a challenging task to deploy lightweight security protocols in resource-constrained IoT applications. A hardware-oriented lightweight authentication protocol based on device signature generated during voltage over-scaling (VOS) was recently proposed to address this issue. VOS-based authentication employs the computation unit such as adders to generate the process variation dependent error, which is combined with secret keys to create a two-factor authentication protocol. In this article, machine learning (ML)-based modeling attacks to break such authentication is presented. We also propose a challenge self-obfuscation structure (CSoS) which employs previous challenges combined with keys or random numbers to obfuscate the current challenge for the VOS-based authentication to resist ML attacks. Experimental results show that ANN, RNN, and CMA-ES can clone the challenge-response behavior of …",60
VOLtA: Voltage over-scaling based lightweight authentication for IoT applications,"Md Tanvir Arafin, Mingze Gao, Gang Qu",2017/1/16,Conference 2017 22nd Asia and South Pacific design automation conference (ASP-DAC),"Incorporating security protocols in IoT components is challenging due to their extremely constrained resources. We address this challenge by proposing a hardware-oriented lightweight authentication protocol based on device signature generated during voltage over-scaling (VOS). First, we demonstrate that VOS-based computing leaves a process variation dependent error signature in its approximate results. This error can be methodically profiled to extract information about the underlying process variation in the computation unit. We then combine this error profile with security key based authentication schemes to create a two-factor authentication mechanism. To understand the effectiveness of this protocol, we perform detailed security analysis under various attack scenarios. Finally, we simulate the authentication hardware using a process variation aware 45nm design library in HSpice. Simulation results show …",36
Security of neural networks from hardware perspective: A survey and beyond,"Qian Xu, Md Tanvir Arafin, Gang Qu",2021/1/18,Book Proceedings of the 26th Asia and South Pacific Design Automation Conference,"Recent advances in neural networks (NNs) and their applications in deep learning techniques have made the security aspects of NNs an important and timely topic for fundamental research. In this paper, we survey the security challenges and opportunities in the computing hardware used in implementing deep neural networks (DNN). First, we explore the hardware attack surfaces for DNN. Then, we report the current state-of-the-art hardware-based attacks on DNN with focus on hardware Trojan insertion, fault injection, and side-channel analysis. Next, we discuss the recent development on detecting these hardware-oriented attacks and the corresponding countermeasures. We also study the application of secure enclaves for the trusted execution of NN-based algorithms. Finally, we consider the emerging topic of intellectual property protection for deep learning systems. Based on our study, we find ample …",24
A survey on memristor modeling and security applications,"Md Tanvir Arafin, Carson Dunbar, Gang Qu, N McDonald, L Yan",2015/3/2,Conference Sixteenth International Symposium on Quality Electronic Design,"With the recent advances in memristors as a potential building block for future hardware, it becomes an important and timely topic to study the role that memristors may play in hardware security. To address this issue, this paper presents a survey on research activities on memristor modelling and potential application of memristors in hardware security. First, we give an overview of the current literature on memristor experimentation, characterization, and modeling which includes Chua's original theoretical prediction model, more detailed models based on recent memristor implementations, and the SPICE simulation models. Then, we report the current research efforts on memristor-based security in three major areas: (1) memristor hardware primitives (e.g., physical unclonable function) that are based on the memristor effective resistance model, (2) encryption schemes that leverage the chaotic behavior of the …",22
A low-cost gps spoofing detector design for internet of things (iot) applications,"Md Tanvir Arafin, Dhananjay Anand, Gang Qu",2017/5/10,Book Proceedings of the on Great Lakes Symposium on VLSI 2017,"The civilian Global Positioning System (GPS) is widely used for precise positioning, timekeeping, and synchronization in embedded systems. As a result, emerging digital infrastructure such as the Internet of Things (IoT) are dependent on GPS to locate and synchronize \textit{Things} in the network. From a security perspective, civilian GPS signals are vulnerable to malintent because they are not encrypted and can easily be spoofed. Several countermeasures have been proposed to detect GPS spoofing attacks, but most of them require extensive signal processing capabilities and additional electronic components to capture and analyze RF signals. These add-ons may not be available to IoT devices, and if present, they will affect the device\textquoteright s power budget significantly. Therefore, new techniques for spoofing detection and survival are required before integrating GPS receivers with IoT devices and …",20
RRAM based lightweight user authentication,"Md Tanvir Arafin, Gang Qu",2015/11/2,Conference 2015 IEEE/ACM international conference on Computer-Aided Design (ICCAD),"Resistance switching memories have emerged as a promising solution for low power and high density non-volatile storage. Unique electronic properties of resistive RAMs (and memristors) have attracted not only memory applications, but other applications such as neuromorphic computation and security as well. In this paper, we investigate how to take advantage of the availability of RRAM devices or components in the system to perform lightweight user authentication. Based on several well-known features of RRAM devices, we argue that the basic requirements for user authentication are met in RRAM devices. Then, we design three RRAM utility functions, namely Read State, Read Pulse Write State, and Copy State that are critical to develop RRAM based user authentication protocols. We propose two such protocol primitives to illustrate the concepts, layout the hardware design, and discuss the potential attacks …",14
Memristors for secret sharing-based lightweight authentication,"Md Tanvir Arafin, Gang Qu",2018/4/23,Journal IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"User authentication is one of the most fundamental security problems that design effective ways of identifying single or multiple entities using shared information, signatures, or intrinsic properties of the user(s). Password-based authentication is standard in the computer systems; however, passwords usually have low entropy content, and therefore vulnerable to dictionary attacks. Furthermore, password storage and simultaneous multiparty authentication also pose security and privacy concerns. Secret sharing-based techniques during password enrollment are found to be helpful in securing key storage in the authentication server, and in assisting multiparty authentication without exposing individual identity. However, secret sharing techniques, such as Shamir's secret sharing, are computationally expensive; therefore, its implementation in power-constrained systems is elusive. To address these problems, we have …",12
Method to mitigate voltage based attacks on key agreement over controller area network (CAN),"Shalabh Jain, Qian Wang, Md Tanvir Arafin, Jorge Guajardo Merchan",2021/3/23,Patent office US,"A method of operating at least one node in a communication network that uses a shared communication medium has been developed. The method includes adjusting, with a controller in a first node, a resistance of a first potentiometer in the first node to a first resistance level that the controller in the first node determines randomly, the first potentiometer in the first node being connected to an output of a transceiver in the first node and to a shared communication medium, and transmitting, with the transceiver in the first node, a first data bit through the output that is connected to the shared communication medium with the first potentiometer producing the first resistance level.",10
RIME: A scalable and energy-efficient processing-in-memory architecture for floating-point operations,"Zhaojun Lu, Md Tanvir Arafin, Gang Qu",2021/1/18,Book Proceedings of the 26th Asia and South Pacific Design Automation Conference,"Processing in-memory (PIM) is an emerging technology poised to break the memory-wall in the conventional von Neumann architecture. PIM reduces data movement from the memory systems to the CPU by utilizing memory cells for logic computation. However, existing PIM designs do not support high precision computation (e.g., floating-point operations) essential for critical data-intensive applications. Furthermore, PIM architectures require complex control module and costly peripheral circuits to harness the full potential of in-memory computation. These peripherals and control modules usually suffer from scalability and efficiency issues.",9
Probing attacks on physical layer key agreement for automotive controller area networks,"Shalabh Jain, Qian Wang, Md Tanvir Arafin, Jorge Guajardo",2018/12/17,Conference 2018 Asian Hardware Oriented Security and Trust Symposium (AsianHOST),"Efficient key management for automotive networks (CAN) is critical, governing the adoption of security in the next generation of vehicles. A recent promising approach for dynamic key agreement between groups of nodes, Plug-and-Secure for CAN, has been demonstrated to be information theoretically secure based on the physical properties of the CAN bus. In this paper, we illustrate side-channel attacks on the scheme, leading to nearly-complete leakage of the derived secret key bits to an adversary that is capable of probing the CAN bus. We identify the fundamental network properties that lead to such attacks and propose ideas to minimize the information leakage at the hardware, controller and system levels.",7
Hardware-based anti-counterfeiting techniques for safeguarding supply chain integrity,"Md Tanvir Arafin, Andrew Stanley, Praveen Sharma",2017/5/28,Conference 2017 IEEE International Symposium on Circuits and Systems (ISCAS),"Counterfeit integrated circuits (ICs) and systems have emerged as a menace to the supply chain of electronic goods and products. Simple physical inspection for counterfeit detection, basic intellectual property (IP) laws, and simple protection measures are becoming ineffective against advanced reverse engineering and counterfeiting practices. As a result, hardware security-based techniques have emerged as promising solutions for combating counterfeiting, reverse engineering, and IP theft. However, these solutions have their own merits and shortcomings, and therefore, these options must be carefully studied. In this work, we present a comparative overview of available hardware security solutions to fight against IC counterfeiting. We provide a detailed comparison of the techniques in terms of integration effort, deployability, and security matrices that would assist a system designer to adopt any one of these …",7
Secret sharing and multi-user authentication: From visual cryptography to RRAM circuits,"Md Tanvir Arafin, Gang Qu",2016/5/18,Book Proceedings of the 26th edition on Great Lakes Symposium on VLSI,"In this era of Internet of Things (IoT), connectivity exists everywhere, among everything (including people) at all times. Therefore, security, trust, and privacy become crucial to the design and implementation of IoT devices [12]. However, it is challenging to build security into IoT devices because most of them are constrained by extremely limited resources such as the battery, memory, and computation power etc. Inspired by the concept of visual cryptography [4] that requires the least amount of computation and a recent work on pure hardware-based single-user authentication [6], we present a novel solution to the secret sharing and multi-user authentication problem. Our solution is built on the observation that non-volatile resistive memories display nice monotonic and additive properties during resistive state transitions. We demonstrate how to design a hardware dependent multi-user authentication protocol using …",7
Performance optimization for terahertz quantum cascade laser at higher temperature using genetic algorithm,"Md Tanvir Arafin, Nazifah Islam, Sourav Roy, Saiful Islam",2012/12,Journal Optical and Quantum Electronics,"The aim of this work is to establish an approach for obtaining improved design parameters for high temperature operation of terahertz quantum cascade lasers using a multi-objective evolutionary algorithm. For studying the lasing conditions of a quantum cascade laser, a self-consistent model is adopted. This model uses standard wave function approximation and effective mass approximation with relevant scattering mechanisms to solve Schrodinger’s equation for the cascaded quantum wells. Fermi’s Golden Rule is then used to calculate the corresponding lifetime of each eigen states. To describe the coherent evolution of wave functions and phase breaking, density matrix formalism is employed. Subsequently, laser rate equations are used for calculating the parameters related to electronic transport in the device. These parameters are then utilized for investigating the temperature dependence of existing …",7
