titles,authors,date,source,descriptions,citations
Experimental evaluation of an educational game for improved learning in introductory computing,"Michael Eagle, Tiffany Barnes",2009/3/4,Journal ACM SIGCSE Bulletin,"We are developing games to increase student learning and attitudes in introductory CS courses. Wu's Castle is a game where students program changes in loops and arrays in an interactive, visual way. The game provides immediate feedback and helps students visualize code execution in a safe environment. We compared the game to a traditional programming assignment in an introductory CS course. In our study, half of the students were randomly selected to play the learning game first and half to write a program first. Our results show that students who play our learning game first outperform those who write a program before playing the game. Students in the game-first group felt they spent less time on the assignments, and all students preferred the learning game over the program. These results suggest that games like Wu's Castle can help prepare students to create deeper, more robust understanding of …",175
Experimental Evaluation of Automatic Hint Generation for a Logic Tutor,"John Stamper, Michael Eagle, Tiffany Barnes, Marvin Croy",2013,Journal International Journal of Artificial Intelligence in Education,"We have augmented the Deep Thought logic tutor with a Hint Factory that generates data-driven, context-specific hints for an existing computer aided instructional tool. We investigate the impact of the Hint Factory's automatically generated hints on educational outcomes in a switching replications experiment that shows that hints help students persist in a deductive logic proofs tutor. Three instructors taught two semester-long courses, each teaching one semester using a logic tutor with hints, and one semester using the tutor without hints, controlling for the impact of different instructors on course outcomes. Our results show that students in the courses using a logic tutor augmented with automatically generated hints attempted and completed significantly more logic proof problems, were less likely to abandon the tutor, performed significantly better on a post-test implemented within the tutor, and achieved higher …",121
A framework for using hypothesis-driven approaches to support data-driven learning analytics in measuring computational thinking in block-based programming environments,"Shuchi Grover, Satabdi Basu, Marie Bienkowski, Michael Eagle, Nicholas Diana, John Stamper",2017/8/28,Journal ACM Transactions on Computing Education (TOCE),"Systematic endeavors to take computer science (CS) and computational thinking (CT) to scale in middle and high school classrooms are underway with curricula that emphasize the enactment of authentic CT skills, especially in the context of programming in block-based programming environments. There is, therefore, a growing need to measure students’ learning of CT in the context of programming and also support all learners through this process of learning computational problem solving. The goal of this research is to explore hypothesis-driven approaches that can be combined with data-driven ones to better interpret student actions and processes in log data captured from block-based programming environments with the goal of measuring and assessing students’ CT skills. Informed by past literature and based on our empirical work examining a dataset from the use of the Fairy Assessment in the Alice …",90
Wu's castle: teaching arrays and loops in a game,"Michael Eagle, Tiffany Barnes",2008/6/30,Book Proceedings of the 13th annual conference on Innovation and technology in computer science education,"We are developing games to teach introductory computer science concepts to increase student motivation and engagement in learning to program. Wu's Castle is a two-dimensional role playing game that teaches loops and arrays in an interactive, visual way. In this game, the player interactively programs magical creatures to create armies of snowmen. The game provides immediate feedback and helps students visualize the execution of their code in a safe environment. We tested the game in a CS1 course, where students could earn extra credit to play Wu's Castle. Our results show learning gains for game players, compared both through pre- and post-tests differences and improved performance on relevant final exam questions when compared to students who did not play the game. The results of this study suggest that Wu's Castle implements good practices for teaching programming within a game.",79
An instructor dashboard for real-time analytics in interactive programming assignments,"Nicholas Diana, Michael Eagle, John Stamper, Shuchi Grover, Marie Bienkowski, Satabdi Basu",2017/3/13,Book Proceedings of the seventh international learning analytics & knowledge conference,"Many introductory programming environments generate a large amount of log data, but making insights from these data accessible to instructors remains a challenge. This research demonstrates that student outcomes can be accurately predicted from student program states at various time points throughout the course, and integrates the resulting predictive models into an instructor dashboard. The effectiveness of the dashboard is evaluated by measuring how well the dashboard analytics correctly suggest that the instructor help students classified as most in need. Finally, we describe a method of matching low-performing students with high-performing peer tutors, and show that the inclusion of peer tutors not only increases the amount of help given, but the consistency of help availability as well.",74
Audience participation games: Blurring the line between player and spectator,"Joseph Seering, Saiph Savage, Michael Eagle, Joshua Churchin, Rachel Moeller, Jeffrey P Bigham, Jessica Hammer",2017/6/10,Book Proceedings of the 2017 Conference on Designing Interactive Systems,"Audience Participation Games challenge traditional assumptions about gameplay by blurring the line between audience and player, allowing audience members to impact gameplay in a meaningful way. Their recent rise in popularity has created new opportunities for game research and development. To better understand this design space, we developed several versions of two prototype games as design probes. We livestreamed them to an online audience in order to develop a framework for audience motivations and participation styles, to explore ways in which mechanics can affect audience members' sense of agency, and to identify promising design spaces. Our results show the breadth of opportunities and challenges that designers face in creating engaging Audience Participation Games.",67
Assessing implicit science learning in digital games,"Elizabeth Rowe, Jodi Asbell-Clarke, Ryan S Baker, Michael Eagle, Andrew G Hicks, Tiffany M Barnes, Rebecca A Brown, Teon Edwards",2017/11/1,Journal Computers in Human Behavior,"Building on the promise shown in game-based learning research, this paper explores methods for Game-Based Learning Assessments (GBLA) using a variety of educational data mining techniques (EDM). GBLA research examines patterns of behaviors evident in game data logs for the measurement of implicit learning—the development of unarticulated knowledge that is not yet expressible on a test or formal assessment. This paper reports on the study of two digital games showing how the combination of human coding with EDM has enabled researchers to measure implicit learning of Physics. In the game Impulse, researchers combined human coding of video with educational data mining to create a set of automated detectors of students' implicit understanding of Newtonian mechanics. For Quantum Spectre, an optics puzzle game, human coding of Interaction Networks was used to identify common student …",66
Program representation for automatic hint generation for a data-driven novice programming tutor,"Wei Jin, Tiffany Barnes, John Stamper, Michael John Eagle, Matthew W Johnson, Lorrie Lehmann",2012,"Conference Intelligent Tutoring Systems: 11th International Conference, ITS 2012, Chania, Crete, Greece, June 14-18, 2012. Proceedings 11","We describe a new technique to represent, classify, and use programs written by novices as a base for automatic hint generation for programming tutors. The proposed linkage graph representation is used to record and reuse student work as a domain model, and we use an overlay comparison to compare in-progress work with complete solutions in a twist on the classic approach to hint generation. Hint annotation is a time consuming component of developing intelligent tutoring systems. Our approach uses educational data mining and machine learning techniques to automate the creation of a domain model and hints from student problem-solving data. We evaluate the approach with a sample of partial and complete, novice programs and show that our algorithms can be used to generate hints over 80 percent of the time. This promising rate shows that the approach has potential to be a source for …",63
Interaction Networks: Generating High Level Hints Based on Network Community Clustering.,"Michael Eagle, Matthew Johnson, Tiffany Barnes",2012/6,Journal International Educational Data Mining Society,"We introduce a novel data structure, the Interaction Network, for representing interaction-data from open problem solving environment tutors. We show how using network community detecting techniques are used to identify sub-goals in problems in a logic tutor. We then use those community structures to generate high level hints between sub-goals. The preliminary results show that using network analysis techniques are promising for exploring and understanding user data from open problem solving environments. (Contains 3 figures.) [For the complete proceedings,",48
Communities of Performance & Communities of Preference.,"Rebecca Brown, Collin F Lynch, Yuan Wang, Michael Eagle, Jennifer L Albert, Tiffany Barnes, Ryan Shaun Baker, Yoav Bergner, Danielle S McNamara",2015/6,Conference EDM (Workshops),"The current generation of Massive Open Online Courses (MOOCs) operate under the assumption that good students will help poor students, thus alleviating the burden on instructors and Teaching Assistants (TAs) of having thousands of students to teach. In practice, this may not be the case. In this paper, we examine social network graphs drawn from forum interactions in a MOOC to identify natural student communities and characterize them based on student performance and stated preferences. We examine the community structure of the entire course, students only, and students minus low performers and hubs. The presence of these communities and the fact that they are homogeneous with respect to grade but not motivations has important implications for planning in MOOCs.",31
