titles,authors,date,source,descriptions,citations
Seven aspects of mixed-initiative reasoning: An introduction to this special issue on mixed-initiative assistants,"Gheorghe Tecuci, Mihai Boicu, Michael T Cox",2007/6/15,Journal AI Magazine,"Mixed-initiative assistants are agents that interact seamlessly with humans to extend their problem-solving capabilities or provide new capabilities. Developing such agents requires the synergistic integration of many areas of AI, including knowledge representation, problem solving and planning, knowledge acquisition and learning, multiagent systems, discourse theory, and human-computer interaction. This paper introduces seven aspects of mixed-initiative reasoning (task, control, awareness, communication, personalization, architecture, and evaluation) and discusses them in the context of several state-of-the-art mixed-initiative assistants. The goal is to provide a framework for understanding and comparing existing mixed-initiative assistants and for developing general design principles and methods.",78
Knowledge engineering: building cognitive assistants for evidence-based reasoning,"Gheorghe Tecuci, Dorin Marcu, Mihai Boicu, David A Schum",2016/9/8,Publisher Cambridge University Press,"This book presents a significant advancement in the theory and practice of knowledge engineering, the discipline concerned with the development of intelligent agents that use knowledge and reasoning to perform problem solving and decision-making tasks. It covers the main stages in the development of a knowledge-based agent: understanding the application domain, modeling problem solving in that domain, developing the ontology, learning the reasoning rules, and testing the agent. The book focuses on a special class of agents: cognitive assistants for evidence-based reasoning that learn complex problem-solving expertise directly from human experts, support experts, and nonexperts in problem solving and decision making, and teach their problem-solving expertise to students. A powerful learning agent shell, Disciple-EBR, is included with the book, enabling students, practitioners, and researchers to develop cognitive assistants rapidly in a wide variety of domains that require evidence-based reasoning, including intelligence analysis, cybersecurity, law, forensics, medicine, and education.",45
The Disciple–Rkf Learning and Reasoning Agent,"Gheorghe Tecuci, Mihai Boicu, Cristina Boicu, Dorin Marcu, Bogdan Stanescu, Marcel Barbulescu",2005/11,Journal Computational Intelligence,"Over the years we have developed the Disciple theory, methodology, and family of tools for building knowledge‐based agents. This approach consists of developing an agent shell that can be taught directly by a subject matter expert in a way that resembles how the expert would teach a human apprentice when solving problems in cooperation. This paper presents the most recent version of the Disciple approach and its implementation in the Disciple–RKF (rapid knowledge formation) system. Disciple–RKF is based on mixed‐initiative problem solving, where the expert solves the more creative parts of the problem and the agent solves the more routine ones, integrated teaching and learning, where the agent helps the expert to teach it, by asking relevant questions, and the expert helps the agent to learn, by providing examples, hints, and explanations, and multistrategy learning, where the agent integrates multiple …",45
Training and using Disciple agents: A case study in the military center of gravity analysis domain,"Gheorghe Tecuci, Mihai Boicu, Dorin Marcu, Bogdan Stanescu, Cristina Boicu, Jerome Comello",2002/3/15,Journal AI Magazine,"This article presents the results of a multifaceted research and development effort that synergistically integrates AI research with military strategy research and practical deployment of agents into education. It describes recent advances in the DISCIPLE approach to agent development by subject-matter experts with limited assistance from knowledge engineers, the innovative application of DISCIPLE to the development of agents for the strategic center of gravity analysis, and the deployment and evaluation of these agents in several courses at the US Army War College.",45
An Integrated Shell and Methodology for Rapid Development of Knowledge-Based Agents.,"Gheorghe Tecuci, Mihai Boicu, Kathryn Wright, Seok Won Lee, Dorin Marcu, Michael Bowman",1999/7/18,Conference AAAI/IAAI,"This paper introduces the concept of learning agent shell as a new class of tools for rapid development of practical endto-end knowledge-based agents, by domain experts, with limited assistance from knowledge engineers. A learning agent shell consists of a learning and knowledge acquisition engine as well as an inference engine and supports building an agent with a knowledge base consisting of an ontology and a set of problem solving rules. The paper describes a specific learning agent shell and its associated agent building methodology. The process of developing an agent relies on importing ontologies from existing repositories of knowledge, and on teaching the agent how to perform various tasks, in a way that resembles how an expert would teach a human apprentice when solving problems in cooperation. The shell and methodology represent a practical integration of knowledge representation, knowledge acquisition, learning and problem solving. This work is illustrated with an example of developing a hierarchical non-linear planning agent.",45
"Intelligence analysis as discovery of evidence, hypotheses, and arguments: Connecting the dots","Gheorghe Tecuci, David A Schum, Dorin Marcu, Mihai Boicu",2016/8/30,Publisher Cambridge University Press,"This unique book on intelligence analysis covers several vital but often overlooked topics. It teaches the evidential and inferential issues involved in'connecting the dots' to draw defensible and persuasive conclusions from masses of evidence: from observations we make, or questions we ask, we generate alternative hypotheses as explanations or answers; we make use of our hypotheses to generate new lines of inquiry and discover new evidence; and we test the hypotheses with the discovered evidence. To facilitate understanding of these issues and enable the performance of complex analyses, the book introduces an intelligent analytical tool, called Disciple-CD. Readers will practice with Disciple-CD and learn how to formulate hypotheses; develop arguments that reduce complex hypotheses to simpler ones; collect evidence to evaluate the simplest hypotheses; and assess the relevance and the believability of evidence, which combine in complex ways to determine its inferential force and the probabilities of the hypotheses.",43
An Innovative Application from the DARPA Knowledge Bases Programs: Rapid Development of a Course-of-Action Critiquer,"Gheorghe Tecuci, Mihai Boicu, Mike Bowman, Dorin Marcu",2001/6/15,Journal Ai Magazine,"This article presents a learning agent shell and methodology for building knowledge bases and agents and their innovative application to the development of a critiquing agent for military courses of action, a challenge problem set by the Defense Advanced Research Projects Agency's High-Performance Knowledge Bases Program. The learning agent shell includes a general problem-solving engine and a general learning engine for a generic knowledge base structured into two main components:(1) an ontology that defines the concepts from an application domain and (2) a set of task-reduction rules expressed with these concepts. The development of the critiquing agent was done by importing ontological knowledge from cyc and teaching the agent how an expert performs the critiquing task. The learning agent shell, the methodology, and the developed critiquer were evaluated in several intensive studies, demonstrating good results.",39
"Disciple-LTA: Learning, tutoring and analytic assistance","Gheorghe Tecuci, Mihai Boicu, Dorin Marcu, C Boicu, M Barbulescu",2008/7,Journal Journal of Intelligence Community Research and Development,,38
Development and deployment of a disciple agent for center of gravity analysis,"Gheorghe Tecuci, Mihai Boicu, Dorin Marcu, Bogdan Stanescu, Cristina Boicu, Jerry Comello, Antonio Lopez, James Donlon, William Cleckner",2002/7/27,Conference AAAI/IAAI,"This paper presents new significant advances in the Disciple approach for building knowledge-based systems by subject matter experts. It describes the innovative application of this approach to the development of an agent for the analysis of strategic centers of gravity in military conflicts. This application has been deployed in several courses at the US Army War College, and its use has been evaluated. The presented results are those of a multi-faceted research and development effort that synergistically integrates research in Artificial Intelligence, Center of Gravity analysis, and practical deployment of an agent into Education.",36
Cognitive assistants for analysts,"Gheorghe Tecuci, Mihai Boicu, Dorin Marcu, Cristina Boicu, Marcel Barbulescu, Cindy Ayers, David Cammons",2007,Journal Journal of Intelligence Community Research and Development,"Traditional intelligence analysis suffers from several systemic problems including: information overload; intelligence sharing difficulties; lack of time, methods, and resources for analytic collaboration with area experts; limited capabilities in regard to the consideration of multiple hypotheses; sociocultural and socio-psychological bias informing the analytic process; lack of time and resources for critical analysis and after-action review;“group-think”(a lack of diverse opinions informing the process) and “paralysis by analysis”; loss of analytic expertise due to downsizing and attrition; lack of time and resources needed to train new analysts; and limited availability and use of tools to improve the analytic process (Lowenthal, 1999; National Commission on Terrorist Attacks Upon the United States, 2004; Wheaton, 2001).",35
