titles,authors,date,source,descriptions,citations
"Design and performance analysis of a dual-band microstrip patch antenna for mobile WiMAX, WLAN, Wi-Fi and bluetooth applications","Md Ashikur Rahman, Moinul Hossain, Ibnul Sanjid Iqbal, Syed Sobhan",2014/5/23,"Conference 2014 International Conference on Informatics, Electronics & Vision (ICIEV)","The design and performance analysis of a dual-band rectangular shaped microstrip patch antenna prototype designed on a Flame Retardant 4 (FR-4) substrate with a dielectric constant of 4.3 is presented in this paper. The proposed antenna with a compact area of 45×28 mm 2  has an operating bandwidth of about 180 MHz (frequency ranges 2.49-2.67 GHz) with resonant frequency at 2.57 GHz and Ultra-wideband (frequency ranges 4.75GHz-6.75GHz) with resonant frequency at 5.91 GHz. This antenna covers almost 90% of the Mobile WiMAX operating band (frequency range 2.5-2.7 GHz) and whole band of the Unlicensed National Information Infrastructure (U-NII) low band (frequency ranges 5.15-5.35 GHz), U-NII mid band (frequency range 5.47-5.725 GHz) and U-NII high band (frequency range 5.725-5.875 GHz) used for mobile WiMAX, Wireless LAN, Bluetooth and Wi-Fi operations. This antenna also covers …",19
Off-sensing and route manipulation attack: A cross-layer attack in cognitive radio based wireless mesh networks,"Moinul Hossain, Jiang Xie",2018/4/16,Conference IEEE INFOCOM 2018-IEEE Conference on Computer Communications,"Cognitive Radio (CR) has garnered much attention in the last decade, while the security issues are not fully studied yet. Existing research on attacks and defenses in CR - based networks focuses mostly on individual network layers, whereas cross-layer attacks remain fortified against single-layer defenses. In this paper, we shed light on a new vulnerability in cross-layer routing protocols and demonstrate how a perpetrator can exploit this vulnerability to manipulate traffic flow around it. We propose this cross-layer attack in CR-based wireless mesh networks (CR-WMNs), which we call off-sensing and route manipulation (OS-RM) attack. In this cross-layer assault, off-sensing attack is launched at the lower layers as the point of attack but the final intention is to manipulate traffic flow around the perpetrator. We also introduce a learning strategy for a perpetrator, so that it can gather information from the collaboration with …",15
Third eye: Context-aware detection for hidden terminal emulation attacks in cognitive radio-enabled IoT networks,"Moinul Hossain, Jiang Xie",2020/1/21,Journal IEEE Transactions on Cognitive Communications and Networking,"Recently, the Internet of Things (IoT) technology has been drawing increasing attention because it has a great potential to positively impact human life in a broad range of applications. Nonetheless, the dense deployment of multiple co-located IoT networks that may follow different wireless protocols will essentially bring new network vulnerabilities. In this paper, we introduce a novel attack scenario in co-located cognitive radio (CR) enabled IoT networks, where a reactive attacker can emulate the radiation pattern of a hidden terminal (the attacker is from a different network) and can interfere with the transmissions from its hidden counterparts, namely the hidden terminal emulation (HTE) attack. As the dense deployment of IoT nodes-from different networks and technologies-will naturally create such hidden terminal scenarios among IoT devices of different networks, it provides the HTE attacker plausible deniability to …",14
Impact of off-sensing attacks in cognitive radio networks,"Moinul Hossain, Jiang Xie",2017/12/4,Conference GLOBECOM 2017-2017 IEEE Global Communications Conference,"Cognitive Radio (CR) is a promising solution to solve the spectrum scarcity problem. It enables opportunistic access to the available licensed spectrum for secondary users (SUs). However, CR networks (CRNs) possess security vulnerabilities and are susceptible to attacks. One of the most common attacks in CRNs, under which perpetrators exploit channel availability, is Primary User Emulation (PUE) attack. Here, a perpetrator mimics the signal characteristics of a benign primary user (PU) and transmits the signal to prevent SUs to access the spectrum. Researchers have proposed many solutions based on periodic sensing of the spectrum. However, all of the existed solutions have a strong assumption that the perpetrator's transmission coincides with the sensing intervals of SUs. In this paper, we introduce a new room of vulnerability in the conventional sensing approaches, where a perpetrator attacks only when …",10
Covert spectrum handoff: An attack in spectrum handoff processes in cognitive radio networks,"Moinul Hossain, Jiang Xie",2018/12/9,Conference 2018 IEEE Global Communications Conference (GLOBECOM),"Spectrum handoff is an integral part of a cognitive radio-based network (CRN). It ensures the operational integrity of opportunistic spectrum access, the avoidance of harmful interference with licensed or primary users (PUs), and the delay requirement during a handoff. However, due to the random nature of PU activity, interference between primary and secondary users (SUs) are difficult to prevent. Proactive spectrum handoff aims to control this harmful interference between PUs and SUs by predicting the future activity of PUs and initiating spectrum handoff before a PU reappears. Though a few security aspects of CRNs attracted attention of researchers, vulnerabilities in the distributed proactive spectrum handoff process remain unstudied. In this paper, we introduce a vulnerability in the proactive spectrum handoff process and demonstrate how a selfish attacker can exploit this vulnerability to achieve personal gain …",9
Performance analysis of RLS and VSS-LMS channel estimation techniques for 4G MIMO OFDM systems,"Moinul Hossain, SM Farhad, Md Tauseef Riasat",2012/12/22,Conference 2012 15th International Conference on Computer and Information Technology (ICCIT),"In this paper recursive least (RLS) square and variable step size least mean (VSS-LMS) square adaptive channel estimator are described for multiple input multiple output (MIMO) orthogonal frequency division multiplexing (OFDM) system. Both the techniques uses adaptive estimator which are capable of updating the parameters of estimator continuously and therefore knowledge of channel and noise statistics are not necessary, only knowledge of receive signal is required. From the simulation result it is observed that RLS CE method works better in terms of quick convergence rate than VSS-LMS CE for MIMO OFDM system. In addition, the utilization of more multiple antennas at the transmitter and/or receiver provides a much higher performance compared with fewer antennas.",9
Detection of hidden terminal emulation attacks in cognitive radio-enabled IoT networks,"Moinul Hossain, Jiang Xie",2019/5/20,Conference ICC 2019-2019 IEEE International Conference on Communications (ICC),"Recently, the Internet of Things (IoT) technology has been drawing increasing attention in that it has a great potential to positively impact human life in a broad range of applications. However, the dense deployment of multiple co-located IoT networks that may follow different wireless protocols would engender new vulnerabilities. In this paper, we introduce a novel attack scenario in co-located IoT networks, where a reactive jammer can emulate the transmission characteristics of a hidden terminal from another network and can interfere with its hidden counterparts, namely the hidden terminal emulation (HTE) attack. As the dense deployment of IoT nodes will naturally create such hidden terminal scenarios, it provides the HTE attacker plausible deniability to reactively interfere with its hidden counterparts; hence, the HTE attacker remains immune to conventional reactive jamming detection techniques. In this paper …",8
Hide and seek: A defense against off-sensing attack in cognitive radio networks,"Moinul Hossain, Jiang Xie",2019/4/29,Conference IEEE INFOCOM 2019-IEEE Conference on Computer Communications,"In a cognitive radio-based network (CRN), secondary users opportunistically access underutilized spectrum resources and stop utilizing these resources when licensed or primary users reappear. Recently, a new attack, off-sensing (OS), has shed light on a vulnerability in the FCC policy of CRN. OS-attack utilizes the off-sensing interval of a victim to perpetrate the attack and to manipulate the victim's spectrum availability. However, prior work on OS-attack considers a deterministic approach that is unrealistic and is futile to fortify against conventional defense techniques. In this paper, we propose a new random approach, the random-OS attack, which adapts to realistic scenarios and is difficult to detect using conventional techniques. Then, we propose a novel safeguard approach based on the Markov decision process to defend the proposed attack, namely hide and seek. We also introduce an OS-attack detection …",8
Hide and seek: A Markov-based defense strategy against off-sensing attack in cognitive radio networks,"Moinul Hossain, Jiang Xie",2020/7/24,Journal IEEE Transactions on Network Science and Engineering,"In a cognitive radio-based network (CRN), secondary users (SUs) opportunistically access underutilized spectrum resources and stop utilizing these resources when licensed or primary users (PUs) reappear. However, this way of opportunistic spectrum access is susceptible to novel vulnerabilities. Recently, a new attack, off-sensing (OS), has shed light on a vulnerability in the Federal Communications Commission (FCC) policy of CRN, which affects the channel utilization of the victim SU by creating an illusion of a PU's presence. However, prior work on OS-attack considers a deterministic approach that is unrealistic and is futile to fortify against conventional defense techniques. In this paper, we propose a new random approach, the random-OS attack, which adapts to realistic scenarios and is difficult to detect using conventional techniques. Then, we model the interaction between the victim SU and attackers as a …",7
A wireless video streaming system based on OFDMA with multi-layer H. 264 coding and adaptive radio resource allocation,"Sheikh Md Rabiul Islam, Moinul Hossain",2011/11/3,Conference 2011 International Conference on Image Information Processing,"With the advancement of video-compression technology and the wide deployment of wireless networks, there is an increasing demand for wireless video communication services, and many design challenges remain to be overcome. In this work, an adaptive framework is proposed and simulated for multi-user video transmission over OFDMA-based communication system for the efficient streaming of multi-layered H.264 video over wireless channels. The aim of the proposed method is to combine adaptive sub-carrier allocation and bit loading with the transmission of the H.264 SVC(Scalable Video Coding ) encoded video sequences in order to increase the number of supported users in the system and provide the best quality of service(QoS) to the sub-carriers. The scalable extension H.264/MPEG4-AVC video codec is used to obtain two different bitstreams: a base-layer (carrying the most critical information content …",4
