titles,authors,date,source,descriptions,citations
Statistical digital signal processing and modeling,Monson H Hayes,1996/4/19,Publisher John Wiley & Sons,"The main thrust is to provide students with a solid understanding of a number of important and related advanced topics in digital signal processing such as Wiener filters, power spectrum estimation, signal modeling and adaptive filtering. Scores of worked examples illustrate fine points, compare techniques and algorithms and facilitate comprehension of fundamental concepts. Also features an abundance of interesting and challenging problems at the end of every chapter.",3998
The reconstruction of a multidimensional sequence from the phase or magnitude of its Fourier transform,MHMH Hayes,1982/4,"Journal IEEE Transactions on Acoustics, Speech, and Signal Processing","This paper addresses two fundamental issues involved in the reconstruction of a multidimensional sequence from either the phase or magnitude of its Fourier transform. The first issue relates to the uniqueness of a multidimensional sequence in terms of its phase or magnitude. Although phase or magnitude information alone is not sufficient, in general, to uniquely specify a sequence, a large class of sequences are shown to be recoverable from their phase or magnitude. The second issue which is addressed in this paper concerns the actual reconstruction of a multidimensional sequence from its phase or magnitude. For those sequences which are uniquely specified by their phase, several practical algorithms are described which may be used to reconstruct a sequence from its phase. Several examples of phase-only reconstruction are also presented. Unfortunately, however, even for those sequences which are …",562
Signal reconstruction from phase or magnitude,"Monson Hayes, Jae Lim, Alan Oppenheim",1980/12,"Journal IEEE Transactions on Acoustics, Speech, and Signal Processing","In this paper, we develop a set of conditions under which a sequence is uniquely specified by the phase or samples of the phase of its Fourier transform, and a similar set of conditions under which a sequence is uniquely specified by the magnitude of its Fourier transform. These conditions are distinctly different from the minimum or maximum phase conditions, and are applicable to both one-dimensional and multidimensional sequences. Under the specified conditions, we also develop several algorithms which may be used to reconstruct a sequence from its phase or magnitude.",561
Hidden Markov models for face recognition,"Ara V Nefian, Monson H Hayes",1998/5/15,"Conference Proceedings of the 1998 IEEE International Conference on Acoustics, Speech and Signal Processing, ICASSP'98 (Cat. No. 98CH36181)","The work presented in this paper focuses on the use of hidden Markov models for face recognition. A new method based on the extraction of 2D-DCT feature vectors is described, and the recognition results are compared with other face recognition approaches. The method introduced reduces significantly the computational complexity of previous HMM-based face recognition system, while preserving the same recognition rate.",530
Eigenface-domain super-resolution for face recognition,"Bahadir K Gunturk, Aziz Umit Batur, Yucel Altunbasak, Monson H Hayes, Russell M Mersereau",2003/6/11,Journal IEEE transactions on image processing,"Face images that are captured by surveillance cameras usually have a very low resolution, which significantly limits the performance of face recognition systems. In the past, super-resolution techniques have been proposed to increase the resolution by combining information from multiple images. These techniques use super-resolution as a preprocessing step to obtain a high-resolution image that is later passed to a face recognition system. Considering that most state-of-the-art face recognition systems use an initial dimensionality reduction method, we propose to transfer the super-resolution reconstruction from pixel domain to a lower dimensional face space. Such an approach has the advantage of a significant decrease in the computational complexity of the super-resolution reconstruction. The reconstruction algorithm no longer tries to obtain a visually improved high-quality image, but instead constructs the …",423
Exploiting human actions and object context for recognition tasks,"Darnell J Moore, Irfan A Essa, Monson H Hayes",1999/9/20,Conference Proceedings of the seventh IEEE international conference on computer vision,"Our goal is to exploit human motion and object context to perform action recognition and object classification. Towards this end, we introduce a framework for recognizing actions and objects by measuring image-, object- and action-based information from video. Hidden Markov models are combined with object context to classify hand actions, which are aggregated by a Bayesian classifier to summarize activities. We also use Bayesian methods to differentiate the class of unknown objects by evaluating detected actions along with low-level, extracted object features. Our approach is appropriate for locating and classifying objects under a variety of conditions including full occlusion. We show experiments where both familiar and previously unseen objects are recognized using action and context information.",418
A novel lane detection system with efficient ground truth generation,"Amol Borkar, Monson Hayes, Mark T Smith",2011/12/8,Journal IEEE Transactions on Intelligent Transportation Systems,"A new night-time lane detection system and its accompanying framework are presented in this paper. The accompanying framework consists of an automated ground truth process and systematic storage of captured videos that will be used for training and testing. The proposed Advanced Lane Detector 2.0 (ALD 2.0) is an improvement over the ALD 1.0 or Layered Approach with integration of pixel remapping, outlier removal, and prediction with tracking. Additionally, a novel procedure to generate the ground truth data for lane marker locations is also proposed. The procedure consists of an original process called time slicing, which provides the user with unique visualization of the captured video and enables quick generation of ground truth information. Finally, the setup and implementation of a database hosting lane detection videos and standardized data sets for testing are also described. The ALD 2.0 is …",294
Using iterated function systems to model discrete sequences,"S MAZEL David, HH Moson",1992,Journal IEEE Trans on Signal Processing,"In this paper, two iterated function system (IFS) models are explored for the representation of single-valued discrete-time sequences: the self-affine fractal model and the piecewise self-affine fractal model. We present algorithms, one of which is suitable for a multiprocessor implementation, for identification of the parameters of each model. Applications of these models to a variety of data types are given where signalto-noise ratios are presented, quantization effects of the model parameters are investigated, and compression ratios are computed.",283
An embedded HMM-based approach for face detection and recognition,"Ara V Nefian, Monson H Hayes",1999/3/15,"Conference 1999 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings. ICASSP99 (Cat. No. 99CH36258)","We describe an embedded hidden Markov model (HMM)-based approach for face detection and recognition that uses an efficient set of observation vectors obtained from the 2D-DCT coefficients. The embedded HMM can model the two dimensional data better than the one-dimensional HMM and is computationally less complex than the two-dimensional HMM. This model is appropriate for face images since it exploits an important facial characteristic: frontal faces preserve the same structure of ""super states"" from top to bottom, and also the same left-to-right structure of ""states"" inside each of these ""super states"".",264
Face detection and recognition using hidden Markov models,"Ara V Nefian, Monson H Hayes",1998/10/7,Conference Proceedings 1998 international conference on image processing. icip98 (cat. no. 98cb36269),"The work presented in this paper describes a hidden Markov model (HMM)-based framework for face recognition and face detection. The observation vectors used to characterize the states of the HMM are obtained using the coefficients of the Karhunen-Loeve transform (KLT). The face recognition method presented reduces significantly the computational complexity of previous HMM-based face recognition systems, while slightly improving the recognition rate. Consistent with the HMM model of the face, this paper introduces a novel HMM-based face detection approach using the same feature extraction techniques used for face recognition.",244
