titles,authors,date,source,descriptions,citations
Recent advances in mobile edge computing and content caching,"Sunitha Safavat, Naveen Naik Sapavath, Danda B Rawat",2020/5/1,Source Digital Communications and Networks,"The demand for digital media services is increasing as the number of wireless subscriptions is growing exponentially. In order to meet this growing need, mobile wireless networks have been advanced at a tremendous pace over recent days. However, the centralized architecture of existing mobile networks, with limited capacity and range of bandwidth of the radio access network and low bandwidth back-haul network, can not handle the exponentially increasing mobile traffic. Recently, we have seen the growth of new mechanisms of data caching and delivery methods through intermediate caching servers. In this paper, we present a survey on recent advances in mobile edge computing and content caching, including caching insertion and expulsion policies, the behavior of the caching system, and caching optimization based on wireless networks. Some of the important open challenges in mobile edge computing …",84
Wireless virtualization architecture: Wireless networking for Internet of Things,"Naveen Naik Sapavath, Danda B Rawat",2019/9/19,Journal IEEE Internet of Things Journal,"In this article, we design, develop, and evaluate a wireless virtualization (WiVi) architecture for wireless networking for emerging Internet of Things (IoT) or 5G network applications by using a three-layer game theory model. WiVi is regarded as an emerging network paradigm to support different network service requirements (delay sensitive, bandwidth hungry, high data rate, etc.) for different IoT applications. In the proposed three-layer game model, interactions among three entities: 1) wireless resource providers (WRPs); 2) mobile virtual network operators (MVNOs); and 3) their subscribed wireless users (i.e., IoT devices), are formulated as strategies to optimize their respective utilities. The WiVi enables WRPs (also known as layer-1 leaders in the three-layer game) to sublease their wireless resources to MVNOs (also known as layer-2 leaders in the three-layer game) through RF slicing and adaptively setting their …",31
On the machine learning–based smart beamforming for wireless virtualization with large‐scale MIMO system,"Naveen Naik Sapavath, Sunitha Safavat, Danda B Rawat",2019/9,Journal Transactions on Emerging Telecommunications Technologies,"In this paper, we study a machine learning enabled smart beam scheduling approach for wireless virtualization in large‐scale multiple‐input–multiple‐output (MIMO) system. Large‐scale MIMO is regarded as an emerging technology to enhance data rate of future wireless networks and the wireless virtualization is regarded as an efficient paradigm to enhance the radio frequency (RF) spectrum utilization by subleasing RF slices of wireless infrastructure providers to mobile virtual network operators (MVNOs). We leverage machine learning approach for scheduling the beams in large‐scale MIMO where RF slices with the help of subsets of antennas are subleased for MVNOs. Performance of the proposed approach is evaluated using simulation results. The results show that the proposed approach outperforms the state of the art approach.",12
Performance evaluation of deception system for deceiving cyber adversaries in adaptive virtualized wireless networks,"Danda B Rawat, Naveen Sapavath, Min Song",2019/11/7,Book Proceedings of the 4th ACM/IEEE Symposium on Edge Computing,"Malicious actions by cyber-adversaries are growing exponentially which makes it difficult to combat cyber-attacks for emerging networked cyber physical systems (CPS) and Internet of Things (IoT). Furthermore, wireless networks - major communication media for most emerging CPS and IoT applications - are highly vulnerable to cyber attacks because of their nature of open communications. In this paper, we evaluate the performance of the cyber deception system to combat cyber adversaries in virtualized wireless networking framework where software defined network (SDN) controller creates mobile virtual network operators (MVNOs) and continuously senses the network, observes the connections and creates deception MVNO to direct cyber adversaries. The deception MVNO can be used to learn about cyber adversaries in terms of their capabilities, intent and how much damage they can do in the system and so …",8
Maximizing secrecy rate and payoff through wireless virtualization in heterogeneous wireless networks,"Naveen Naik Sapavath, Dema Saad Alorini, Danda B Rawat, Moses Garuba",2019/2/18,"Conference 2019 International Conference on Computing, Networking and Communications (ICNC)","In this paper, we study secrecy rate maximization through wireless virtualization in heterogeneous wireless networks where Mobile Virtual Network Operators (MVNOs) borrow frequency slices from Wireless Infrastructure Providers (WIPs) and serve the end users. For subleasing their frequency slices to MVNOs, WIPs use their service level agreements (SLA) with MVNOs to divide and reconfigure their RF bands. Then, we use two stage game for maximizing the payoff of MVNOs and secrecy rates (aka payoff) of end users. The performance of the proposed game is evaluated using numerical results where MVNOs offer lowers price to attract more users or more requests from users and the end users adapt their strategies to improve their secrecy rates.",5
Machine learning for rf slicing using csi prediction in software defined large-scale mimo wireless networks,"Naveen Naik Sapavath, Danda B Rawat, Min Song",2020/5/11,Journal IEEE Transactions on Network Science and Engineering,"In this paper, we investigate the machine learning approaches (sparse Bayesian linear regression (SBLR) and support vector machine (SVM)) for channel state information (CSI) prediction and dynamic radio frequency (RF) slicing for software defined virtual wireless networks in large-scale multi-input multi-output (MIMO) wireless networks. Specifically, a subset of the antennas of virtual wireless networks transmits pilot symbols for estimating the CSI and use the estimated CSI dataset to train and estimate the remaining channels and future CSI for virtual networks using machine learning algorithms. This helps not only to predict the CSI with least overhead and fulfills the service demands of users but also to reduce the power consumption and computation overhead in the network. Predicted CSI is leveraged for RF slicing for virtual wireless networks. Simulation results show that the proposed SBLR for predicting CSI …",3
Prediction and detection of cyberattacks using AI model in virtualized wireless networks,"Naveen Naik Sapavath, Eric Muhati, Danda B Rawat",2021/6/26,Conference 2021 8th IEEE International Conference on Cyber Security and Cloud Computing (CSCloud)/2021 7th IEEE International Conference on Edge Computing and Scalable Cloud (EdgeCom),"Securing communication between any two wireless devices or users is challenging without compromising sensitive/personal data. To address this problem, we have developed an artificial intelligence (AI) algorithm to secure communication on virtualized wireless networks. To detect cyberattacks in a virtualized environment is challenging compared to traditional wireless networks setting. However, we successfully investigate an efficient cyberattack detection algorithm using an AI algorithm in a Bayesian learning model for detecting cyberattacks on the fly. We have studied the results of Random Forest and deep neural network (DNN) models to detect the cyberattacks on a virtualized wireless network, having considered the required transmission power as a threshold value to classify suspicious activities in our model. We present both formal mathematical analysis and numerical results to support our claims. The …",2
Learning Model for Cyber-attack Index Based Virtual Wireless Network Selection,"Naveen Sapavath, Danda B Rawat",2021/6/28,Book Proceedings of the 3rd ACM Workshop on Wireless Security and Machine Learning,"With the availability of different wireless networks in wireless virtualization, dynamic network selection in a given heterogeneous environment is challenging task when there is cyber security and data privacy requirements for wireless users. Selection of low cyber risk network can result in good service experience to the users. Network selection in virtualized wireless environment is determined by various factors such as Quality of Experience (QoE), data loss prevention, security and privacy. In this paper, we propose a learning model for dynamic network selection based on cyber-attack index (CI) value of networks. We have develop a recommendation system which recommends user to select the most secure network with least CI value. A mathematical model based on least squares and convex optimization is presented which predicts the CI of network with goal of maximizing the number of wireless users …",1
Artificial Intelligence Assisted Wireless Resource Allocation for Wireless Network Virtualization,"Naveen Naik Sapavath, Danda B Rawat",2021/1/9,Conference 2021 IEEE 18th Annual Consumer Communications & Networking Conference (CCNC),"Dynamic wireless resource allocation is one of the challenging problem in wireless networks to offer services with high data rate, high spectral efficiency, minimum energy and low latency when there is a high demand of limited wireless resources. To address this problem, we investigate an efficient wireless resource allocation scheme using fully connected convolutional neural network (CNN) with long time short memory (LSTM) algorithm for predicting demand of mobile virtual network operators (MVNOs) to sublease spectrum from wireless infrastructure providers (WIPs) to serve MVNOs' users. WIPs sublease wireless resources to MVNOs on the fly and MVNOs act like independent wireless service providers for their end users. While maximizing their payoffs and resource utilization, it is necessary for WIPs and MVNOs to allocate wireless resources adaptively to meet users' requirements. We present both formal …",
Advances in AI-Based Security for Internet of Things in Wireless Virtualization Environment,"Naveen Naik Sapavath, Danda B Rawat, Kayhan Zrar Ghafoor",2020/12/30,Book Security and Organization within IoT and Smart Cities,"Mobile virtual Network Operators (MVNOs) and Wireless Infrastructure Provider (WIPs) make profits from centralized management and interactive resource sharing to end users, which enhances the spectrum efficiency and scalability of Internet of Things (IoT) applications in the wireless virtualization environment. But due to the large number of wireless devices and with the fast growth in various wireless services and different applications, IoT devices are vulnerable to possible cyber-attacks and there is a need to prevent these attacks. The latest challenges faced by IoT devices are insufficient privacy protection, lack of IoT device management and lack of physical hardening. Connectivity of the massive number of Internet of Things devices will increase the possibility of malware attacks. At the same time, it enables AI/ML based analytics to offer security solutions based on exploiting the behavioral patterns of the local …",
