titles,authors,date,source,descriptions,citations
Lean construction: From theory to implementation,"Ossama Salem, J Solomon, A Genaidy, I Minkarah",2006/10,Journal Journal of management in engineering,"This article compares the techniques developed for lean construction with those developed for lean manufacturing. Lean manufacturing and lean construction techniques share many common elements despite the obvious differences in their assembly environments and processes. Manufacturing plants and construction sites are different in many ways that might explain why lean production theories and practices do not fully fit the construction industry. Though many lean construction tools and elements are still in an embryonic state, lean construction techniques are gaining popularity because they can affect the bottom line of projects. Additionally, this paper presents a study of a construction project in which specific lean construction elements were tested. Each technique was evaluated in terms of its impact on the performance of the project. Based on the findings of the study, a new “lean assessment tool” is …",568
Workplace bullying: a systematic review of risk factors and outcomes,"Farman A Moayed, Nancy Daraiseh, Richard Shell, Sam Salem",2006/5/1,Source Theoretical Issues in Ergonomics Science," Background: Studies investigating workplace bullying started in the early 1990s in Scandinavian countries. Research has been conducted regarding bullying definitions, behaviours, prevalence rates, risk factors and outcomes such as sickness absences, psychological effects, chronic and cardiovascular diseases and lower job satisfaction. To date, no systematic review has been conducted regarding this subject.",306
Site implementation and assessment of lean construction techniques,"O Salem, J Solomon, A Genaidy, M Luegring",2005/10/1,Journal Lean construction journal,"The goal of this paper is to test the effectiveness of some lean construction tools, in particular, those tools that can be applied in medium size construction firms. Due to the success of the lean production system in manufacturing, the construction industry has adapted lean techniques to eliminate waste and increase profit. A field study was conducted to evaluate the effectiveness of some lean construction techniques including last planner, increased visualization, daily huddle meetings, first run studies, the 5s process, and fail safe for quality. The data collection methods included direct observations, interviews, questionnaires, and documentary analysis. The effectiveness of the lean construction tools was evaluated through the lean implementation measurement standard and performance criteria. It was found that last planner, increased visualization, daily huddle meetings, and first run studies achieved more effective outcomes than expected. However, the results of implementation of 5s process and fail safe for quality did not meet the expectations of the tool champions and the research team. It was found that there is need for behavioral changes and training for effective use of lean tools. Most of the lean construction tools selected for the project are either ready to use, or are recommended with some modifications. A summary of the results is provided, and future research needs are outlined.",295
Risk-based life-cycle costing of infrastructure rehabilitation and construction alternatives,"Ossama Salem, Simaan AbouRizk, Samuel Ariaratnam",2003/3,Journal Journal of Infrastructure Systems,"Infrastructure engineers and managers have to be aware of the economical consequences of selecting a particular rehabilitation and construction alternative for civil infrastructure units such as pavements, bridges, and pipelines. This research presents a new approach for estimating life-cycle costs and evaluating infrastructure rehabilitation and construction alternatives, derived from probability theory and simulation application. In this study, highway pavement data are used to demonstrate the model concept and development. The developed risk-based life-cycle cost model considers the time to failure of each pavement rehabilitation/construction alternative and provides additional knowledge about the uncertainty levels that accompany the estimated life-cycle costs. This paper describes the various components of the developed model, the factors affecting pavement performance and service life, the statistical …",173
Moving from lean manufacturing to lean construction: Toward a common sociotechnological framework,"Omar Paez, Sam Salem, Julie Solomon, Ash Genaidy",2005/3,Journal Human Factors and Ergonomics in Manufacturing & Service Industries,"Since the early 1990s, the construction industry has taken some interest in the application of lean production to its own case. A new body of research led by the International Group for Lean Construction (IGLC) has been exploring new techniques for the industry. In this article the techniques developed for lean construction are compared with those of lean manufacturing. Differences between the manufacturing and the construction cases showed why lean production does not fully suit the construction industry. Although some elements are in an embryonic state, lean construction has built a set of techniques that are transferable to any constructor. Lean manufacturing and lean construction share many common elements despite their different techniques. The need for a joint combination of technical and human elements shows that both approaches conform to a common sociotechnological design. © 2005 Wiley …",119
Workplace stress factors and ‘burnout’among information technology professionals: A systematic review,"Tushyati Maudgalya, Scott Wallace, Nancy Daraiseh, Sam Salem",2006/5/1,Source Theoretical Issues in Ergonomics Science," Background: Burnout is a widely acknowledged stress outcome. As the prevalence of burnout has been observed in several other professions, it is very plausible that it could be prevalent in the Information Technology (IT) field.",102
Job satisfaction of women in construction trades,"SHILPA Dabke, O Salem, A Genaidy, Nancy Daraiseh",2008/3,Journal Journal of construction engineering and management,"Existing research on women in construction focuses on engineers and entrepreneurs, yet little to no attention has been given to women in trades. Thus, the aim of this research is to review the literature on tradeswomen and to conduct a localized study to determine if demographic variables affect satisfaction with work, pay, opportunities, supervision, and people on the job for tradeswomen. These variables include age, education, number of dependents, number of trade years, duration of work, and frequency of work outside of the local area. Thirty-nine tradeswomen from the Cincinnati area were surveyed to assess their satisfaction or dissatisfaction with construction work. Currently, the literature review indicates that research on tradeswomen is limited and largely restricted to identifying measures that can attract and retain women in construction trades. Studies on motivation and job satisfaction of construction …",98
Psychosocial factors and musculoskeletal disorders in the construction industry: a systematic review,"Tarek M Sobeih, O Salem, Nancy Daraiseh, Ash Genaidy, Richard Shell",2006/5/1,Source Theoretical Issues in Ergonomics Science," Background: Recent reports indicate that construction workers are at a significant risk of musculoskeletal disorders. While there are several reviews investigating the association between psychosocial factors and musculoskeletal disorders, there are none focusing on those specific to the construction industry.",93
Application of lean manufacturing principles to construction,"O Salem, E Zimmer",2005/10/1,Journal Lean construction journal,,86
The work compatibility improvement framework: an integrated perspective of the human-at-work system,"Ash Genaidy, Sam Salem, Waldemar Karwowski, Omar Paez, Setenay Tuncel",2007/1/15,Source Ergonomics,"The industrial revolution demonstrated the limitations of a pure mechanistic approach towards work design. Human work is now seen as a complex entity that involves different scientific branches and blurs the line between mental and physical activities. Job design has been a traditional concern of applied psychology, which has provided insight into the interaction between the individual and the work environment.",83
Effectiveness of behaviour based safety interventions to reduce accidents and injuries in workplaces: critical appraisal and meta-analysis,"Setenay Tuncel, Harshad Lotlikar, Sam Salem, Nancy Daraiseh",2006/5/1,Journal Theoretical Issues in Ergonomics Science, Background: Behaviour-based safety (BBS) is one of the promising methods implemented in industry to reduce the incidence of accidents and injuries. Researchers have reported diverse BBS applications in various industries. The diversity of applications and results reveals a need for systematic review and meta-analysis to evaluate the overall effectiveness of BBS to improve workers’ safety and health.,82
Modeling failure of wastewater collection lines using various section-level regression models,"Baris Salman, Ossama Salem",2012/6/1,Journal Journal of Infrastructure Systems,"Wastewater utilities are aiming to implement asset management strategies to minimize costly emergency repairs, to justify expenditures, and to optimize future renewal actions. Consequently, development of deterioration models that explain the behavior of wastewater lines and provide predictions regarding potential future condition levels is gaining importance. In this paper, deterioration models are generated to estimate the probability of failure values for sewer sections. A set of variables was obtained by examining the inventory and inspection databases of a sewer network. Three statistical methods (ordinal regression, multinomial logistic regression, and binary logistic regression) were employed in successive steps. Proportionality of odds assumption was tested for ordinal regression models, and suitability of this particular method was discussed. Estimated condition ratings were compared with observed data …",79
