titles,authors,date,source,descriptions,citations
"Visible Light Communication, Networking and Sensing: A Survey, Potential and Challenges","Parth H. Pathak, Xiaotao Feng, Pengfei Hu, Prasant Mohapatra",2015/10,Journal IEEE Communications Surveys and Tutorials,"The solid-state lighting is revolutionizing the indoor illumination. Current incandescent and fluorescent lamps are being replaced by the LEDs at a rapid pace. Apart from extremely high energy efficiency, the LEDs have other advantages such as longer lifespan, lower heat generation, and improved color rendering without using harmful chemicals. One additional benefit of LEDs is that they are capable of switching to different light intensity at a very fast rate. This functionality has given rise to a novel communication technology (known as visible light communication-VLC) where LED luminaires can be used for high speed data transfer. This survey provides a technology overview and review of existing literature of visible light communication and sensing. This paper provides a detailed survey of 1) visible light communication system and characteristics of its various components such as transmitter and receiver; 2 …",1393
WiWho: WiFi-based person identification in smart spaces,"Yunze Zeng, Parth H Pathak, Prasant Mohapatra",2016/4/11,Conference 2016 15th ACM/IEEE International Conference on Information Processing in Sensor Networks (IPSN),"There has been a growing interest in equipping the objects and environment surrounding the user with sensing capabilities. Smart indoor spaces such as smart homes and offices can implement the sensing and processing functionality, relieving users from the need of wearing or carrying smart devices. Enabling such smart spaces requires device-free effortless sensing of user's identity and activities. Device-free sensing using WiFi has shown great potential in such scenarios, however, fundamental questions such as person identification have remained unsolved. In this paper, we present WiWho, a framework that can identify a person from a small group of people in a device-free manner using WiFi. We show that Channel State Information (CSI) used in recent WiFi can identify a person's steps and walking gait. The walking gait being distinguishing characteristics for different people, WiWho uses CSI-based gait for …",368
A survey of network design problems and joint design approaches in wireless mesh networks,"Parth H Pathak, Rudra Dutta",2010/6/28,Source IEEE Communications surveys & tutorials,"Over the last decade, the paradigm of Wireless Mesh Networks (WMNs) has matured to a reasonably commonly understood one, and there has been extensive research on various areas related to WMNs such as design, deployment, protocols, performance, etc. The quantity of research being conducted in the area of wireless mesh design has dramatically increased in the past few years, due to increasing interest in this paradigm as its potential for the ""last few miles"", and the possibility of significant wireless services in metropolitan area networks. This recent work has focused increasingly on joint design problems, together with studies in designing specific aspects of the WMN such as routing, power control etc. in isolation. While excellent surveys and tutorials pertaining to WMNs exist in literature, the explosive growth of research in the area of specific design issues, and especially joint design, has left them behind …",307
Finger-writing with smartwatch: A case for finger and hand gesture recognition using smartwatch,"Chao Xu, Parth H Pathak, Prasant Mohapatra",2015/2/12,Book Proceedings of the 16th International Workshop on Mobile Computing Systems and Applications,"Smartwatch is becoming one of the most popular wearable device with many major smartphone manufacturers such as Samsung and Apple releasing their smartwatches recently. Apart from the fitness applications, the smartwatch provides a rich user interface that has enabled many applications like instant messaging and email. Since the smartwatch is worn on the wrist, it introduces a unique opportunity to understand user's arm, hand and possibly finger movements using its accelerometer and gyroscope sensors. Although user's arm and hand gestures are likely to be identified with ease using the smartwatch sensors, it is not clear how much of user's finger gestures can be recognized. In this paper, we show that motion energy measured at the smartwatch is sufficient to uniquely identify user's hand and finger gestures. We identify essential features of accelerometer and gyroscope data that reflect the movements …",269
Uncovering privacy leakage in BLE network traffic of wearable fitness trackers,"Aveek K Das, Parth H Pathak, Chen-Nee Chuah, Prasant Mohapatra",2016/2/23,Book Proceedings of the 17th international workshop on mobile computing systems and applications,"There has been a tremendous increase in popularity and adoption of wearable fitness trackers. These fitness trackers predominantly use Bluetooth Low Energy (BLE) for communicating and syncing the data with user's smartphone. This paper presents a measurement-driven study of possible privacy leakage from BLE communication between the fitness tracker and the smartphone. Using real BLE traffic traces collected in the wild and in controlled experiments, we show that majority of the fitness trackers use unchanged BLE address while advertising, making it feasible to track them. The BLE traffic of the fitness trackers is found to be correlated with the intensity of user's activity, making it possible for an eavesdropper to determine user's current activity (walking, sitting, idle or running) through BLE traffic analysis. Furthermore, we also demonstrate that the BLE traffic can represent user's gait which is known to be …",152
Monitoring vital signs using millimeter wave.,"Zhicheng Yang, Parth H Pathak, Yunze Zeng, Xixi Liran, Prasant Mohapatra",2016/7/5,Conference ACM MobiHoc,"Continuous monitoring of human's breathing and heart rates is useful in maintaining better health and early detection of many health issues. Designing a technique that can enable contactless and ubiquitous vital sign monitoring is a challenging research problem. This paper presents mmVital, a system that uses 60 GHz millimeter wave (mmWave) signals for vital sign monitoring. We show that the mmWave signals can be directed to human's body and the RSS of the reflections can be analyzed for accurate estimation of breathing and heart rates. We show how the directional beams of mmWave can be used to monitor multiple humans in an indoor space concurrently. mmVital relies on a novel human finding procedure where a human can be located within a room by reflection loss based object/human classification. We evaluate mmVital using a 60 GHz testbed in home and office environment and show that it …",140
Analyzing Shopper’s Behavior through WiFi Signals,"Yunze Zeng, Parth H Pathak, Prasant Mohapatra",2015,Conference The 2nd Workshop on Physical Analytics with ACM Mobisys 2015,"Substantial progress in WiFi-based indoor localization has proven that pervasiveness of WiFi can be exploited beyond its traditional use of internet access to enable a variety of sensing applications. Understanding shopper's behavior through physical analytics can provide crucial insights to the business owner in terms of effectiveness of promotions, arrangement of products and efficiency of services. However, analyzing shopper's behavior and browsing patterns is challenging. Since video surveillance can not used due to high cost and privacy concerns, it is necessary to design novel techniques that can provide accurate and efficient view of shopper's behavior. In this work, we propose WiFi-based sensing of shopper's behavior in a retail store. Specifically, we show that various states of a shopper such as standing near the entrance to view a promotion or walking quickly to proceed towards the intended item can …",125
Accelword: Energy efficient hotword detection through accelerometer,"Li Zhang, Parth H Pathak, Muchen Wu, Yixin Zhao, Prasant Mohapatra",2015/5/18,"Book Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services","Voice control has emerged as a popular method for interacting with smart-devices such as smartphones, smartwatches etc. Popular voice control applications like Siri and Google Now are already used by a large number of smartphone and tablet users. A major challenge in designing a voice control application is that it requires continuous monitoring of user?s voice input through the microphone. Such applications utilize hotwords such as ""Okay Google"" or ""Hi Galaxy"" allowing them to distinguish user?s voice command and her other conversations. A voice control application has to continuously listen for hotwords which significantly increases the energy consumption of the smart-devices.",115
Colorbars: Increasing data rate of led-to-camera communication using color shift keying,"Pengfei Hu, Parth H Pathak, Xiaotao Feng, Hao Fu, Prasant Mohapatra",2015/12/1,Book proceedings of the 11th ACM conference on Emerging Networking experiments and technologies,"LED-to-camera communication allows LEDs deployed for illumination purposes to modulate and transmit data which can be received by camera sensors available in mobile devices like smartphones, wearable smart-glasses etc. Such communication has a unique property that a user can visually identify a transmitter (i.e. LED) and specifically receive information from the transmitter. It can support a variety of novel applications such as augmented reality through mobile devices, navigation using smart signs, fine-grained location specific advertisement etc. However, the achievable data rate in current LED-to-camera communication techniques remains very low (≈ 12 bytes per second) to support any practical application. In this paper, we present ColorBars, an LED-to-camera communication system that utilizes Color Shift Keying (CSK) to modulate data using different colors transmitted by the LED. It exploits the …",96
A First Look at 802.11 ac in Action: Energy Efficiency and Interference Characterization,"Yunze Zeng, Parth H Pathak, Prasant Mohapatra",2014,Conference IFIP Networking 2014,"This paper is first of its kind in presenting a detailed characterization of IEEE 802.11ac using real experiments. 802.11ac is the latest WLAN standard that is rapidly being adapted due to its potential to deliver very high throughput. The throughput increase in 802.11ac can be attributed to three factors — larger channel width (80/160 MHz), support for denser modulation (256 QAM) and increased number of spatial streams for MIMO. We provide an experiment evaluation of these factors and their impact using a 18-nodes 802.11ac testbed. Our findings provide numerous insights on benefits and challenges associated with using 802.11ac in practice. Since utilization of larger channel width is one of the most significant changes in 802.11ac, we focus our study on understanding its impact on energy efficiency and interference. Using experiments, we show that utilizing larger channel width is in general less energy …",85
