titles,authors,date,source,descriptions,citations
Chemical Vapor Deposition of Thin Crystals of Layered Semiconductor SnS2 for Fast Photodetection Application. Nano Lett,"G Su, VG Hadjiev, PE Loya, J Zhang, S Lei, S Maharjan, P Dong",2015,Journal Nano Letter,"Layered two-dimensional (2D) semiconductors, such as MoS2 and SnS2, have been receiving intensive attention due to their technological importance for the next-generation electronic/photonic applications. We report a novel approach to the controlled synthesis of thin crystal arrays of SnS2 at predefined locations on chip by chemical vapor deposition with seed engineering and have demonstrated their application as fast photodetectors with photocurrent response time ∼5 μs. This opens a pathway for the large-scale production of layered 2D semiconductor devices, important for applications in integrated nanoelectronic/photonic systems.",427
A growing appreciation for the role of LiF in the solid electrolyte interphase,"Jian Tan, John Matz, Pei Dong, Jianfeng Shen, Mingxin Ye",2021/4,Source Advanced Energy Materials,"Rechargeable lithium batteries (RLBs) have revolutionized energy storage technology. However, short lifetime and safety issues have hampered their further commercialization, which is mainly attributable to the unstable solid‐electrolyte interphase (SEI) and uncontrolled lithium dendrite growth. In recent years, research on SEI has been pursued with determination worldwide. However, the structure and composition of the SEI have long been debated. Especially, the role of the main component, LiF, remains elusive. In this review, the structure and composition of SEIs are focused upon and the role of LiF in SEI is further analyzed. To this end, first, the development history of the SEI model is recounted. Second, the fundamental understanding of SEI is recalled. Third, the anode materials that can generate LiF in the SEI are categorized and discussed. Fourth, the characterization techniques of SEI layers are …",213
Surface functionalization of two-dimensional metal chalcogenides by Lewis acid–base chemistry,"Sidong Lei, Xifan Wang, Bo Li, Jiahao Kang, Yongmin He, Antony George, Liehui Ge, Yongji Gong, Pei Dong, Zehua Jin, Gustavo Brunetto, Weibing Chen, Zuan-Tao Lin, Robert Baines, Douglas S Galvão, Jun Lou, Enrique Barrera, Kaustav Banerjee, Robert Vajtai, Pulickel Ajayan",2016/5,Journal Nature Nanotechnology,"Precise control of the electronic surface states of two-dimensional (2D) materials could improve their versatility and widen their applicability in electronics and sensing. To this end, chemical surface functionalization has been used to adjust the electronic properties of 2D materials. So far, however, chemical functionalization has relied on lattice defects and physisorption methods that inevitably modify the topological characteristics of the atomic layers. Here we make use of the lone pair electrons found in most of 2D metal chalcogenides and report a functionalization method via a Lewis acid–base reaction that does not alter the host structure. Atomic layers of n-type InSe react with Ti4+ to form planar p-type [Ti4+n(InSe)] coordination complexes. Using this strategy, we fabricate planar p–n junctions on 2D InSe with improved rectification and photovoltaic properties, without requiring heterostructure growth procedures or …",196
Transforming Nickel Hydroxide into 3D Prussian Blue Analogue Array to Obtain Ni2P/Fe2P for Efficient Hydrogen Evolution Reaction,"Yuancai Ge, Pei Dong, Steven R Craig, Pulickel M Ajayan, Mingxin Ye, Jianfeng Shen",2018/7,Journal Advanced Energy Materials,"For the first time, a 3D Prussian blue analogue (PBA) with well‐defined spatial organization is fabricated by using a nickel hydroxide array as a precursor. The nickel hydroxide arrays are synthesized in titanium foil and reacted with K3[Fe(CN)6]. The plate‐like morphology of the nickel hydroxide is perfectly preserved and combined with abundant PBA nanocubes. After phosphidation at 350 °C, the obtained sample demonstrated excellent hydrogen evolution reaction (HER) activity in both acid and alkaline solutions to reach a current density of 10 mA cm−2 with an overpotential of only 70 and 121 mV, respectively. With an overpotential of 266 mV, it can reach a larger current density of 500 mA cm−2 in acid. The efficient HER activity of the obtained sample is mainly ascribed to its structural advantage with various active metal sites derived from the nickel hydroxide and PBA precursor. In addition, long‐term stability …",175
Recent developments of transition metal phosphides as catalysts in the energy conversion field,"Yu Pei, Yu Cheng, Jiyi Chen, Will Smith, Pei Dong, Pulickel M Ajayan, Mingxin Ye, Jianfeng Shen",2018,Source Journal of materials chemistry A,"Catalysts play an important role in the energy conversion reaction process. With the continuous development of the energy sector, researchers are constantly exploring and developing new high-performance, inexpensive catalysts to meet the demand. Transition metal phosphides (TMPs) as ever-evolving catalytic materials have received more and more attention. Many studies have suggested that transition metal phosphides could be ideal catalysts due to their low cost, abundance, and high efficiency. In many areas, TMPs can be applied as stable and efficient catalytic materials. Therefore, many kinds of TMPs are designed and synthesized by different methods. This article has summarized the recent research progress of TMPs, including their preparation methods and morphologies. Moreover, the application and catalytic performance of TMPs in different catalytic fields are further elaborated, and views on the …",174
Three-dimensional printed graphene foams,"Junwei Sha, Yilun Li, Rodrigo Villegas Salvatierra, Tuo Wang, Pei Dong, Yongsung Ji, Seoung-Ki Lee, Chenhao Zhang, Jibo Zhang, Robert H Smith, Pulickel M Ajayan, Jun Lou, Naiqin Zhao, James M Tour",2017/6/13,Journal Acs Nano,"An automated metal powder three-dimensional (3D) printing method for in situ synthesis of free-standing 3D graphene foams (GFs) was successfully modeled by manually placing a mixture of Ni and sucrose onto a platform and then using a commercial CO2 laser to convert the Ni/sucrose mixture into 3D GFs. The sucrose acted as the solid carbon source for graphene, and the sintered Ni metal acted as the catalyst and template for graphene growth. This simple and efficient method combines powder metallurgy templating with 3D printing techniques and enables direct in situ 3D printing of GFs with no high-temperature furnace or lengthy growth process required. The 3D printed GFs show high-porosity (∼99.3%), low-density (∼0.015g cm–3), high-quality, and multilayered graphene features. The GFs have an electrical conductivity of ∼8.7 S cm–1, a remarkable storage modulus of ∼11 kPa, and a high damping …",172
Optoelectronic memory using two-dimensional materials,"Sidong Lei, Fangfang Wen, Bo Li, Qizhong Wang, Yihan Huang, Yongji Gong, Yongmin He, Pei Dong, James Bellah, Antony George, Liehui Ge, Jun Lou, Naomi J Halas, Robert Vajtai, Pulickel M Ajayan",2015/1/14,Journal Nano letters,"An atomically thin optoelectronic memory array for image sensing is demonstrated with layered CuIn7Se11 and extended to InSe and MoS2 atomic layers. Photogenerated charge carriers are trapped and subsequently retrieved from the potential well formed by gating a 2D material with Schottky barriers. The atomically thin layered optoelectronic memory can accumulate photon-generated charges during light exposure, and the charges can be read out later for data processing and permanent storage. An array of atomically thin image memory pixels was built to illustrate the potential of fabricating large-scale 2D material-based image sensors for image capture and storage.",172
Recent advances in alternative cathode materials for iodine-free dye-sensitized solar cells,"Feng Hao, Pei Dong, Qiang Luo, Jianbao Li, Jun Lou, Hong Lin",2013,Source Energy & Environmental Science,"Over the last decades, iodine-free redox couples have been widely investigated as alternatives for the ubiquitous triiodide/iodide redox shuttle in dye-sensitized solar cells (DSCs). This is mainly motivated by desires to overcome the disadvantages associated with the latter, such as large energy loss in the dye regeneration process, visible light absorption and corrosiveness towards current-collecting metal grids. However, conventional Pt cathodes show poor catalytic activity towards those iodine-free redox couples, resulting in poor fill factors and relatively moderate power conversion efficiencies. The ultimate solution to address this challenge is to develop alternative economical Pt-free catalysts. This review selectively discusses and summarizes the recent advances in novel cathode materials for electrolytes free of iodine-based redox couples, mainly including inorganic transition metal compounds, organic …",139
Surface tension components based selection of cosolvents for efficient liquid phase exfoliation of 2D materials,"Jianfeng Shen, Jingjie Wu, Man Wang, Pei Dong, Jingxuan Xu, Xiaoguang Li, Xiang Zhang, Junhua Yuan, Xifan Wang, Mingxin Ye, Robert Vajtai, Jun Lou, Pulickel M Ajayan",2016/5,Journal Small,"A proper design of direct liquid phase exfoliation (LPE) for 2D materials as graphene, MoS2, WS2, h‐BN, Bi2Se3, MoSe2, SnS2, and TaS2 with common cosolvents is carried out based on considering the polar and dispersive components of surface tensions of various cosolvents and 2D materials. It has been found that the exfoliation efficiency is enhanced by matching the ratio of surface tension components of cosolvents to that of the targeted 2D materials, based on which common cosolvents composed of IPA/water, THF/water, and acetone/water can be designed for sufficient LPE process. In this context, the library of low‐toxic and low‐cost solvents with low boiling points for LPE is infinitely enlarged when extending to common cosolvents. Polymer‐based composites reinforced with a series of different 2D materials are compared with each other. It is demonstrated that the incorporation of cosolvents‐exfoliated 2D …",128
Controlled synthesis of Mo-doped Ni 3 S 2 nano-rods: an efficient and stable electro-catalyst for water splitting,"Zheng Cui, Yuancai Ge, Hang Chu, Robert Baines, Pei Dong, Jianhua Tang, Yang Yang, Pulickel M Ajayan, Mingxin Ye, Jianfeng Shen",2017,Journal Journal of Materials Chemistry A,"Fabrication of stable, efficient, and inexpensive bifunctional electro-catalysts for water splitting has become increasingly attractive. Herein, for the first time, the direct growth of Mo-doped Ni3S2 on Ni foams using sodium molybdate as the Mo source at different temperatures is demonstrated. Effects of temperature on the morphology and water splitting performance of Mo-doped Ni3S2 were discussed in detail. It is found that the atomic stoichiometric ratios of Mo and Ni can be controlled by the adjusting of reaction temperature, while the obtained electro-catalysts demonstrate various morphologies, capacitances and chemisorption free energies of hydrogen, which lead to different current densities and hydrogen evolution efficiencies. The electro-catalyst synthesized at 200 °C (200-SMN/NF) demonstrates the best regular morphology and electrochemical properties. When employed in oxygen evolution reactions, 200 …",124
