titles,authors,date,source,descriptions,citations
"Crumpled graphene photodetector with enhanced, strain‐tunable, and wavelength‐selective photoresponsivity","Pilgyu Kang, Michael Cai Wang, Peter M Knapp, SungWoo Nam",2016/6,Journal Advanced Materials,"A stretchable photodetector with enhanced, strain-tunable photoresponsivity is developed based on crumpled graphene by engineering 2D graphene into 3D structures. This crumpled graphene photodetector demonstrates≈ 400% enhanced photoresponsivity led by an order-of-magnitude enhanced extinction of graphene and 100% modulation in photoresponsivity with 200% applied strain. Finally, strain-tunable, wavelength-selective photodetection is shown by integrated colloidal photonic crystals–crumpled graphene photodetector devices.",178
"Mechanically self-assembled, three-dimensional graphene–gold hybrid nanostructures for advanced nanoplasmonic sensors","Juyoung Leem, Michael Cai Wang, Pilgyu Kang, SungWoo Nam",2015/11/11,Journal Nano letters,"Hybrid structures of graphene and metal nanoparticles (NPs) have been actively investigated as higher quality surface enhanced Raman spectroscopy (SERS) substrates. Compared with SERS substrates, which only contain metal NPs, the additional graphene layer provides structural, chemical, and optical advantages. However, the two-dimensional (2D) nature of graphene limits the fabrication of the hybrid structure of graphene and NPs to 2D. Introducing three-dimensionality to the hybrid structure would allow higher detection sensitivity of target analytes by utilizing the three-dimensional (3D) focal volume. Here, we report a mechanical self-assembly strategy to enable a new class of 3D crumpled graphene–gold (Au) NPs hybrid nanoplasmonic structures for SERS applications. We achieve a 3D crumpled graphene–Au NPs hybrid structure by the delamination and buckling of graphene on a thermally activated …",151
"Heterogeneous, three-dimensional texturing of graphene","Michael Cai Wang, SungGyu Chun, Ryan Steven Han, Ali Ashraf, Pilgyu Kang, SungWoo Nam",2015/3/11,Journal Nano letters,"We report a single-step strategy to achieve heterogeneous, three-dimensional (3D) texturing of graphene and graphite by using a thermally activated shape-memory polymer substrate. Uniform arrays of graphene crumples can be created on the centimeter scale by controlling simple thermal processing parameters without compromising the electrical properties of graphene. In addition, we show the capability to selectively pattern crumples from otherwise flat graphene and graphene/graphite in a localized manner, which has not been previously achievable using other methods. Finally, we demonstrate 3D crumpled graphene field-effect transistor arrays in a solution-gated configuration. The presented approach has the capability to conform onto arbitrary 3D surfaces, a necessary prerequisite for adaptive electronics, and will enable facile large-scale topography engineering of not only graphene but also other thin …",100
A stretchable crumpled graphene photodetector with plasmonically enhanced photoresponsivity,"Minsu Kim, Pilgyu Kang, Juyoung Leem, SungWoo Nam",2017,Journal Nanoscale,"Graphene has been widely explored for flexible, high-performance photodetectors due to its exceptional mechanical strength, broadband absorption, and high carrier mobility. However, the low stretchability and limited photoabsorption of graphene have restricted its applications in flexible and highly sensitive photodetection systems. Various hybrid systems based on photonic or plasmonic nanostructures have been introduced to improve the limited photoresponsivity of graphene photodetectors. In most cases, the hybrid systems succeeded in the enhancement of photoresponsivity, but showed limited mechanical stretchability. Here, we demonstrate a stretchable photodetector based on a crumpled graphene–gold nanoparticle (AuNP) hybrid structure with ∼1200% enhanced photoresponsivity, compared to a conventional flat graphene-only photodetector, and exceptional mechanical stretchability up to a 200 …",78
High resolution reversible color images on photonic crystal substrates,"Pilgyu Kang, Samuel O Ogunbo, David Erickson",2011/8/16,Journal Langmuir,"When light is incident on a crystalline structure with appropriate periodicity, some colors will be preferentially reflected (Joannopoulos, J. D.; Meade, R. D.; Winn, J. N. Photonic crystals : molding the flow of light; Princeton University Press: Princeton, NJ, 1995; p ix, 137 pp). These photonic crystals and the structural color they generate represent an interesting method for creating reflective displays and drawing devices, since they can achieve a continuous color response and do not require back lighting (Joannopoulos, J. D.; Villeneuve, P. R.; Fan, S. H. Photonic crystals: Putting a new twist on light. Nature1997, 386, 143–149; Graham-Rowe, D. Tunable structural colour. Nat. Photonics2009, 3, 551–553.; Arsenault, A. C.; Puzzo, D. P.; Manners, I.; Ozin, G. A. Photonic-crystal full-colour displays. Nat. Photonics2007, 1, 468–472; Walish, J. J.; Kang, Y.; Mickiewicz, R. A.; Thomas, E. L. Bioinspired Electrochemically …",73
Mechanically reconfigurable architectured graphene for tunable plasmonic resonances,"Pilgyu Kang, Kyoung-Ho Kim, Hong-Gyu Park, SungWoo Nam",2018/6/13,Journal Light: Science & Applications,"Graphene nanostructures with complex geometries have been widely explored for plasmonic applications, as their plasmonic resonances exhibit high spatial confinement and gate tunability. However, edge effects in graphene and the narrow range over which plasmonic resonances can be tuned have limited the use of graphene in optical and optoelectronic applications. Here we present a novel approach to achieve mechanically reconfigurable and strongly resonant plasmonic structures based on crumpled graphene. Our calculations show that mechanical reconfiguration of crumpled graphene structures enables broad spectral tunability for plasmonic resonances from mid- to near-infrared, acting as a new tuning knob combined with conventional electrostatic gating. Furthermore, a continuous sheet of crumpled graphene shows strong confinement of plasmons, with a high near-field intensity enhancement of ~1 …",57
Bioelectronics with two-dimensional materials,"Pilgyu Kang, Michael Cai Wang, SungWoo Nam",2016/8/1,Source Microelectronic Engineering,"In this article, we review the emerging field of bioelectronics with two-dimensional (2D) materials. Recently, 2D materials including graphene, transition metal dichalcogenides (TMDs), and other elementary 2D crystals, have emerged as functional materials in bioelectronic applications benefitting from their superior electrical, optical, and mechanical properties compared to conventional bulk semiconductor and metallic materials. The 2D dimensional materials enable advanced bioelectronics by allowing easy integration due to their atomic thinness, biocompatibility, mechanical flexibility and conformity. Electronics with 2D materials have thus far enabled various applications in chemical, biochemical and neurobiological sensing. Here we review bioelectronics with a variety of 2D materials including graphene, a popular material in the recent decade, as well as other emerging 2D materials such as TMDs including …",54
Rapid stencil mask fabrication enabled one-step polymer-free graphene patterning and direct transfer for flexible graphene devices,"Keong Yong, Ali Ashraf, Pilgyu Kang, SungWoo Nam",2016/4/27,Journal Scientific reports,"We report a one-step polymer-free approach to patterning graphene using a stencil mask and oxygen plasma reactive-ion etching, with a subsequent polymer-free direct transfer for flexible graphene devices. Our stencil mask is fabricated via a subtractive, laser cutting manufacturing technique, followed by lamination of stencil mask onto graphene grown on Cu foil for patterning. Subsequently, micro-sized graphene features of various shapes are patterned via reactive-ion etching. The integrity of our graphene after patterning is confirmed by Raman spectroscopy. We further demonstrate the rapid prototyping capability of a stretchable, crumpled graphene strain sensor and patterned graphene condensation channels for potential applications in sensing and heat transfer, respectively. We further demonstrate that the polymer-free approach for both patterning and transfer to flexible substrates allows the realization of …",51
Colloidal photonic crystal strain sensor integrated with deformable graphene phototransducer,"Peter Snapp, Pilgyu Kang, Juyoung Leem, SungWoo Nam",2019/8,Journal Advanced Functional Materials,"Flexible, architectured, photonic nanostructures such as colloidal photonic crystals (CPCs) can serve as colorimetric strain sensors, where external applied strain leads to a noticeable color change. However, CPCs' response to strain is difficult to quantify without the use of optical spectroscopy. Integration of flexible electrical readout of CPCs' color change is a challenge due to a lack of flexible/stretchable electrical transducers. This work details a colorimetric strain sensor with optoelectrical quantification based on an integrated system of CPCs over a crumpled graphene phototransducer, which optoelectrically quantifies CPCs, response to strain. The hybrid system enables direct visual perception of strain, while strain quantification via electrical measurement of the hybrid system outperforms that of crumpled graphene strain sensors by more than 100 times. The unique combination of a photonic sensing element …",46
Laser-induced photothermal generation of flexible and salt-resistant monolithic bilayer membranes for efficient solar desalination,"Minsu Kim, Kwansoo Yang, Yong Seok Kim, Jong Chan Won, Pilgyu Kang, Yun Ho Kim, Byoung Gak Kim",2020/8/30,Journal Carbon,"Harvesting solar energy and generating steam through solar thermal energy are viable approaches with diverse applications such as power generation, desalination, and water purification. Particularly, for efficient and stable solar desalination, hierarchically porous materials are desired to enable the required multiple functionalities. However, high thermal/chemical energy required and time consumed remain roadblocks. In this study, a facile, fast, and scalable laser-induced photothermal method to achieve flexible monolithic bilayer sheets (MBS) of hierarchically porous graphitic carbon (HPGC) and polymeric foam for use in salt-resistant and flexible solar steam generators is reported. The MBS-based self-floating solar steam generator shows outstanding solar desalination performance with a solar thermal efficiency of 83.2% (1-sun) and a high salt-rejection ratio (99.9%). Efficient solar thermal energy …",43
