titles,authors,date,source,descriptions,citations
Help your mobile applications with fog computing,"Mohammed A Hassan, Mengbai Xiao, Qi Wei, Songqing Chen",2015/6/22,"Conference 2015 12th Annual IEEE International Conference on Sensing, Communication, and Networking-Workshops (SECON Workshops)","Cloud computing has paved a way for resource-constrained mobile devices to speed up their computing tasks and to expand their storage capacity. However, cloud computing is not necessary a panacea for all mobile applications. The high network latency to cloud data centers may not be ideal for delay-sensitive applications while storing everything on public clouds risks users' security and privacy. In this paper, we discuss two preliminary ideas, one for mobile application offloading and the other for mobile storage expansion, by leveraging the edge intelligence offered by fog computing to help mobile applications. Preliminary experiments conducted based on implemented prototypes show that fog computing can provide an effective and sometimes better alternative to help mobile applications.",133
Dynamic ultrasound imaging applications to quantify musculoskeletal function,"Siddhartha Sikdar, Qi Wei, Nelson Cortes",2014/7,Source Exercise and sport sciences reviews,Advances in imaging methods have led to new capability to study muscle and tendon motion in vivo. Direct measurements of muscle and tendon kinematics using imaging may lead to improved understanding of musculoskeletal function. This review presents quantitative ultrasound methods for muscle dynamics that can be used to assess in vivo musculoskeletal function when integrated with other conventional biomechanical measurements.,46
Pomac: Properly offloading mobile applications to clouds,"Mohammed A Hassan, Kshitiz Bhattarai, Qi Wei, Songqing Chen",2014,Journal Energy (J),"Prior research on mobile computation offloading has mainly focused on how to offload as well as what to offload. However, the problem of whether the offloading should be done attracted much less attention. In addition, existing offloading schemes either require special compilation or modification to the applications’ source code or binary, making them difficult to be deployed in practice. In this work, we introduce POMAC, a framework to enable dynamic and transparent mobile application offloading to clouds. A prototype has been implemented on the Dalvik virtual machine and our preliminary evaluations show that POMAC can outperform existing schemes significantly and work with real-world applications seamlessly.",37
Physically-based modeling and simulation of extraocular muscles,"Qi Wei, Shinjiro Sueda, Dinesh K Pai",2010/12/1,Source Progress in biophysics and molecular biology,"Dynamic simulation of human eye movements, with realistic physical models of extraocular muscles (EOMs), may greatly advance our understanding of the complexities of the oculomotor system and aid in treatment of visuomotor disorders. In this paper we describe the first three dimensional (3D) biomechanical model which can simulate the dynamics of ocular motility at interactive rates. We represent EOMs using “strands”, which are physical primitives that can model an EOM’s complex nonlinear anatomical and physiological properties. Contact between the EOMs, the globe, and orbital structures can be explicitly modeled. Several studies were performed to assess the validity and utility of the model. EOM deformation during smooth pursuit was simulated and compared with published experimental data; the model reproduces qualitative features of the observed nonuniformity. The model is able to reproduce …",36
Biomechanical simulation of human eye movement,"Qi Wei, Shinjiro Sueda, Dinesh K Pai",2010,"Conference Biomedical Simulation: 5th International Symposium, ISBMS 2010, Phoenix, AZ, USA, January 23-24, 2010. Proceedings 5","Understanding the neural control and mechanics of human eye movement has significant implications for treating vision disorders. A computational model incorporating physiological properties and nonlinear kinematics of the oculomotor plant’s geometry and extraocular muscle (EOM) mechanics is desirable for scientific studies and clinical applications. We simulate realistic three-dimensional eye fixation using a new biomechanical simulation framework. We model EOMs as a collection of “strands,” which are modeling elements for musculotendon mechanics based on splines with inertia. Anatomical variations in EOM and globe geometry across individuals can be taken into account. Complicated nonlinear EOM mechanics as well as the recently discovered pulleys are included in the computation. The resulting model generates realistic gaze positions and trajectories given EOM innervations.",20
Fast physically based musculoskeletal simulation,"Dinesh K Pai, Shinjiro Sueda, Qi Wei",2005/7/31,Book ACM SIGGRAPH 2005 Sketches,"Human movement is complex and subtle because it involves the coordinated action of a large number of muscles under neural control. Simulation holds the promise of providing a powerful and inexpensive way to generate and study this complexity. The models available today can be broadly divided into two categories, due to their very different modeling choices.",16
Investigating redundant Internet video streaming traffic on iOS devices: Causes and solutions,"Yao Liu, Qi Wei, Lei Guo, Bo Shen, Songqing Chen, Yingjie Lan",2013/11/28,Journal IEEE transactions on multimedia,"The Internet has witnessed rapidly increasing streaming traffic to various mobile devices. In this paper, through analysis of a server-side workload and experiments in a controlled lab environment, we find that current practice has introduced a significant amount of redundant traffic. In particular, for the popular iOS based mobile devices, accessing popular Internet streaming services typically involves about 10%-70% redundant traffic. Such a practice not only over-utilizes and wastes resources on the server side and the network (cellular or Internet), but also consumes additional battery power on user's mobile devices and leads to possible monetary cost. To alleviate such a situation without changing the server side or the client side, we design and implement CStreamer that can transparently work between existing mobile clients and servers. We have implemented a prototype and installed on Amazon EC2 …",14
Ultrasongraphic age‐related changes of the pelvic floor muscles in nulliparous women and their association with pelvic floor symptoms: A pilot study,"Jonia Alshiek, Mehrsa Jalalizadeh, Qi Wei, Parag Chitnis, S Abbas Shobeiri",2019/6,Journal Neurourology and urodynamics,"To assess age‐related changes in the pelvic floor muscular hiatus and their association with symptoms of pelvic organ prolapse, urinary and fecal incontinence, and sexual function.",12
Fast ray-tracing of human eye optics on graphics processing units,"Qi Wei, Saket Patkar, Dinesh K Pai",2014/5/1,Journal Computer methods and programs in biomedicine,"We present a new technique for simulating retinal image formation by tracing a large number of rays from objects in three dimensions as they pass through the optic apparatus of the eye to objects. Simulating human optics is useful for understanding basic questions of vision science and for studying vision defects and their corrections. Because of the complexity of computing such simulations accurately, most previous efforts used simplified analytical models of the normal eye. This makes them less effective in modeling vision disorders associated with abnormal shapes of the ocular structures which are hard to be precisely represented by analytical surfaces. We have developed a computer simulator that can simulate ocular structures of arbitrary shapes, for instance represented by polygon meshes. Topographic and geometric measurements of the cornea, lens, and retina from keratometer or medical imaging data …",12
Rectus extraocular muscle paths and staphylomata in high myopia,"Yunping Li, Qi Wei, Alan Le, Bola Ayoub Gawargious, Joseph L Demer",2019/5/1,Journal American journal of ophthalmology,"Purpose To investigate the relationship between displacement of extraocular muscles (EOMs) and staphyloma in high myopia using magnetic resonance imaging (MRI). Design Retrospective case-control study. Methods Setting: Institutional study. Population: Twenty-nine highly myopic patients (46 eyes), 11 age-matched healthy control subjects (21 eyes), and 34 patients (66 eyes) with sagging eye syndrome. Procedures: MRI was analyzed for aspect ratio (AR) of the ocular cross section, locations of staphylomata and EOMs, and status of superior rectus to lateral rectus (SR-LR) band ligament. Main Outcome Measures: Association between staphylomata with EOM paths and the LR-SR band. Results Several associations of staphylomata were statistically significant (P<. 05). Most staphylomata were superotemporal. Myopic patients with staphyloma had larger ARs in quasi-coronal images than in myopic subjects …",10
Vastus lateralis and vastus medialis produce distinct mediolateral forces on the patella but similar forces on the tibia in the rat,"Thomas G Sandercock, Qi Wei, Yasin Y Dhaher, Dinesh K Pai, Matthew C Tresch",2018/11/16,Journal Journal of biomechanics,"Improper activation of the quadriceps muscles vastus medialis (VM) and vastus lateralis (VL) has been implicated in the development of patellofemoral pain (PFP). This explanation of PFP assumes that VM and VL produce opposing mediolateral forces on the patella. Although studies have provided evidence for opposing actions of VM and VL on the patella, other studies have suggested that their actions might be similar. In this study, we took advantage of the experimental accessibility of the rat to directly measure the forces on the patella produced by VM and VL. We found that VM and VL produce opposing mediolateral forces on the patella when the patella was lifted away from the femur. These distinct mediolateral forces were not transmitted to the tibia, however: forces measured at the distal tibia were very similar for VM and VL. Further, when the patella was placed within the trochlear groove, the forces on the …",10
ELICIT: Efficiently identify computation-intensive tasks in mobile applications for offloading,"Mohammed A Hassan, Qi Wei, Songqing Chen",2015/8/6,"Conference 2015 IEEE International Conference on Networking, Architecture and Storage (NAS)","As mobile devices are battery powered and have less computing resources, plenty of research has been conducted on how to efficiently offload computing-intensive tasks in a mobile application to more powerful counterpart. However, prior research either implicitly assumes that the computing-intensive tasks are known in advance or the application developers will make special notations about them. In this paper, we design a framework Elicit to efficiently identify the computation-intensive tasks in mobile applications for offloading. Furthermore, we also consider the response time savings dynamically when deciding whether to offload a task based on the runtime system resources. A prototype of Elicit is built based on the Dalvik VM. Our evaluation with some popular Android applications from Google Play shows that Elicit can efficiently find an application's computing-intensive task and save response time and …",10
Codeplugin: Plugging deduplication into erasure coding for cloud storage,"Mengbai Xiao, Mohammed A Hassan, Weijun Xiao, Qi Wei, Songqing Chen",2015,Conference 7th {USENIX} Workshop on Hot Topics in Cloud Computing (HotCloud 15),"Cloud storage systems play a key role in many cloud services. To tolerate multiple simultaneous disk failures and reduce the storage overhead, today cloud storage systems often employ erasure coding schemes. To simplify implementations, existing systems, such as MicrosoftAzure and EMC Atmos, only support file appending operations. However, this feature leads to a nontrivial and increasing portion of redundant data on cloud storage systems.",10
A real time haptic simulator of spine surgeries,"Qi Xing, Jim X Chen, Jihui Li, Ali Moshirfar, Mark M Theiss, Qi Wei",2015/11/13,Book Proceedings of the 21st ACM Symposium on Virtual Reality Software and Technology,"Spine surgeries are high risk operations which require the surgeons to have ample experiences. For young surgeons, effective and extensive training is critical. This paper presents a real time haptic spine surgical simulator that will be used to train residents, fellows and spine surgeons in a hospital training program. It provides a realistic environment for the trainees to practice spine surgeries and has the advantages of being interactive, low-cost, representative, and repeatable over conventional training approaches. Haptic Phantom offers the users force feedback, differentiating our system from other screen-based training systems. Computational efficiency was achieved by developing advanced graphical rendering methods. The volumetric data was classified into surface voxel cloud and inner voxel cloud by the adjacency graph which stored the relationship among voxels. To speed up the collision detection and …",9
Physically consistent registration of extraocular muscle models from MRI,"Qi Wei, Dinesh K Pai",2008/8/20,Conference 2008 30th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"Building realistic subject-specific models of the orbit from medical images is important in biomechanical simulations to improve our understanding of extraocular muscle function and the mechanism of human eye movement. With advances in MRI techniques, configurations of orbital structures in different gazes can be captured. We propose to integrate estimated material properties of extraocular muscles in the surface reconstruction to achieve consistent parameterization across gazes. A constrained optimization problem is solved, which generates parametric surfaces satisfying material property constraints. The resultant anatomically accurate and physically meaningful models are discretized in the corresponding deformed material coordinates and consistent with the real tissue deformation. Material correspondences are provided directly. This will ease biomechanical simulation and inverse model parameter …",9
