titles,authors,date,source,descriptions,citations
Data-Driven Distributionally Robust Chance-Constrained Optimization with Wasserstein Metric,"Ran Ji, Miguel Lejeune",2021,Journal Journal of Global Optimization,"We study distributionally robust chance-constrained programming (DRCCP) optimization problems with data-driven Wasserstein ambiguity sets. The proposed algorithmic and reformulation framework applies to all types of distributionally robust chance-constrained optimization problems subjected to individual as well as joint chance constraints, with random right-hand side and technology vector, and under two types of uncertainties, called uncertain probabilities and continuum of realizations. For the uncertain probabilities (UP) case, we provide new mixed-integer linear programming reformulations for DRCCP problems. For the continuum of realizations case with random right-hand side, we propose an exact mixed-integer second-order cone programming (MISOCP) reformulation and a linear programming (LP) outer approximation. For the continuum of realizations (CR) case with random technology …",50
Data-driven optimization of reward-risk ratio measures,"Ran Ji, Miguel A Lejeune",2020/11/18,Journal INFORMS Journal on Computing,"We investigate a class of fractional distributionally robust optimization problems with uncertain probabilities. They consist in the maximization of ambiguous fractional functions representing reward-risk ratios and have a semi-infinite programming epigraphic formulation. We derive a new fully parameterized closed-form to compute a new bound on the size of the Wasserstein ambiguity ball. We design a data-driven reformulation and solution framework. The reformulation phase involves the derivation of the support function of the ambiguity set and the concave conjugate of the ratio function. We design modular bisection algorithms which enjoy the finite convergence property. This class of problems has wide applicability in finance, and we specify new ambiguous portfolio optimization models for the Sharpe and Omega ratios. The computational study shows the applicability and scalability of the framework to solve …",30
Risk-budgeting multi-portfolio optimization with portfolio and marginal risk constraints,"Ran Ji, Miguel A Lejeune",2018/3,Journal Annals of Operations Research,Multi-portfolio optimization problems and the incorporation of marginal risk contribution constraints have recently received a sustained interest from academia and financial practitioners. We propose a class of new stochastic risk budgeting multi-portfolio optimization models that impose portfolio as well as marginal risk constraints. The models permit the simultaneous and integrated optimization of multiple sub-portfolios in which the marginal risk contribution of each individual security is accounted for. A risk budget defined with a downside risk measure is allocated to each security. We consider the two cases in which the asset universes of the sub-portfolios are either disjoint (diversification of style) or overlap (diversification of judgment). The proposed models take the form of stochastic programming problems and include each a probabilistic constraint with multi-row random technology matrix. We expand a …,25
"Properties, formulations, and algorithms for portfolio optimization using Mean-Gini criteria","Ran Ji, Miguel A Lejeune, Srinivas Y Prasad",2017/1,Journal Annals of Operations Research,"We study an extended set of Mean-Gini portfolio optimization models that encompasses a general version of the mean-risk formulation, the Minimal Gini model (MinG) that minimizes Gini’s Mean Differences, and the new risk-adjusted Mean-Gini Ratio (MGR) model. We analyze the properties of the various models, prove that a performance measure based on a Risk Adjusted version of the Mean Gini Ratio (RAMGR) is coherent, and establish the equivalence between maximizing this performance measure and solving for the maximal Mean-Gini ratio. We propose a linearization approach for the fractional programming formulation of the MGR model. We also conduct a thorough evaluation of the various Mean-Gini models based on four data sets that represent combinations of bullish and bearish scenarios in the in-sample and out-of-sample phases. The performance is (i) analyzed with respect to eight return …",15
A machine learning integrated portfolio rebalance framework with risk-aversion adjustment,"Zhenlong Jiang, Ran Ji, Kuo-Chu Chang",2020/7/16,Journal Journal of Risk and Financial Management,"We propose a portfolio rebalance framework that integrates machine learning models into the mean-risk portfolios in multi-period settings with risk-aversion adjustment. In each period, the risk-aversion coefficient is adjusted automatically according to market trend movements predicted by machine learning models. We employ Gini’s Mean Difference (GMD) to specify the risk of a portfolio and use a set of technical indicators generated from a market index (e.g., S&P 500 index) to feed the machine learning models to predict market movements. Using a rolling-horizon approach, we conduct a series of computational tests with real financial data to evaluate the performance of the machine learning integrated portfolio rebalance framework. The empirical results show that the XGBoost model provides the best prediction of market movement, while the proposed portfolio rebalance strategy generates portfolios with superior out-of-sample performances in terms of average returns, time-series cumulative returns, and annualized returns compared to the benchmarks.",10
Distributionally Robust Portfolio Optimization with Linearized STARR Performance Measure,"Ran Ji, Miguel Lejeune, Zhengyang Fan",2021/7/14,Journal Quantitative Finance,"We study the distributionally robust linearized stable tail adjusted return ratio (DRLSTARR) portfolio optimization problem, in which the objective is to maximize the worst-case linearized stable tail adjusted return ratio (LSTARR) performance measure under data-driven Wasserstein ambiguity. We consider two types of imperfectly known uncertainties, named uncertain probabilities and continuum of realizations, associated with the losses of assets. We account for two typical combinatorial trading constraints, called buy-in threshold and diversification constraints, to reflect stock market restrictions. Leveraging conic duality theory to tackle the distributionally robust worst-case expectation, the proposed problems are reformulated into mixed-integer linear programming problems. We carry out a series of empirical tests to illustrate the scalability and effectiveness of the proposed solution framework, and to evaluate the …",6
Newsvendor Model as an Exchange Option on Demand and Supply Uncertainty,"Ran Ji, Bardia Kamrad",2019/10,Journal Production and Operations Management,"Using a contingent claims framework, we develop a single period model in the context of an exchange option in a discounted value maximization setting. Given this framework, we study the classic problem of determining stockpiling levels prior to demand realization when the procured/produced levels are subject to random yield variations. In this set up, both demand and yield variables are modeled as Wiener processes. A pure noise (zero drift) process initially models yield dynamics. Later, we consider improving the average yield rates, subsidized through increasing unit costs in a constrained cost environment. In either case, “yield adjusted” critical fractiles, the optimal order/production levels, and their corresponding expected values are established. As a special case, we relax the yield uncertainty constraint and instead use the long‐term average yield estimate to assess the yield's impact on production …",5
A distributionally robust chance-constrained model for humanitarian relief network design,"Zhenlong Jiang, Ran Ji, Sasha Dong",2021/9/14,Journal Available at SSRN: https://ssrn.com/abstract=3929286,"We propose a novel two-stage distributionally robust joint chance-constrained (DRJCC) model to design a resilient humanitarian relief network with uncertainties in demand and unit allocation cost of relief items in the post-disaster environment. This model determines the locations of the supply facilities with pre-positioning inventory levels and the transportation plans. We investigate the problem under two types of ambiguity sets: moment-based ambiguity and Wasserstein ambiguity. For moment-based ambiguity, we reformulate the problem into a mixed-integer conic program and solve it efficiently via a sequential optimization procedure by finding the optimal scaling parameters iteratively. For Wasserstein ambiguity, we reformulate the problem into a mixed-integer linear program. We conduct comprehensive numerical experiments to assess the computational efficiency of the proposed reformulation and algorithmic framework, and evaluate the reliability of the generated network by the proposed model. Through a case study in the Gulf Coast area, we demonstrate that the DRJCC model under Wasserstein ambiguity achieves a better trade-off between cost and network reliability in out-of-sample tests than the moment-based DRJCC model and the classical stochastic programming model.",4
Dynamic portfolio optimization with risk-aversion adjustment utilizing technical indicators,"Ran Ji, Miguel A Lejeune, Srinivas Y Prasad",2017/7/10,Conference 2017 20th International Conference on Information Fusion (Fusion),"We propose a dynamic portfolio rebalancing approach within the mean-risk framework, in which the riskaversion coefficient is adjusted according to market trend information captured by a technical indicator. We employ Gini's Mean Difference as the risk measure and the moving average as the technical indicator. We conduct a thorough empirical evaluation with a rolling horizon approach using the S&P 500 market data. The empirical results reveal that the proposed portfolio rebalancing strategy with time-varying risk-aversion adjustments generates portfolios with higher returns than those obtained with a strategy in which the risk-aversion coefficient is fixed.",4
"Integrated supplier selection, scheduling, and routing problem for perishable product supply chain: A distributionally robust approach","Omid Hashemi-Amiri, Fahimeh Ghorbani, Ran Ji",2023/1/1,Journal Computers & Industrial Engineering,"Due to the global outbreak of COVID-19, the perishable product supply chains have been impacted in different ways, and consequently, the risks of food insecurity have been increased in many affected countries. The uncertainty in supply and demand of perishable products, are among the most influential factors impacting the supply chain networks. Accordingly, the provision and distribution of food and other perishable commodities have become much more important than in the past. In this study, a bi-objective optimization model is proposed for a three-echelon perishable food supply chain (PFSC) network with multiple products to formulate an integrated supplier selection, production scheduling, and vehicle routing problem. The proposed model aims to mitigate the risks of demand and supply uncertainties and reinforce the distribution-related decisions by simultaneously optimizing the total network costs and …",3
