titles,authors,date,source,descriptions,citations
LEAP+ Efficient security mechanisms for large-scale distributed sensor networks,"Sencun Zhu, Sanjeev Setia, Sushil Jajodia",2006/11/1,Journal ACM Transactions on Sensor Networks (TOSN),"We describe LEAP+ (Localized Encryption and Authentication Protocol), a key management protocol for sensor networks that is designed to support in-network processing, while at the same time restricting the security impact of a node compromise to the immediate network neighborhood of the compromised node. The design of the protocol is motivated by the observation that different types of messages exchanged between sensor nodes have different security requirements, and that a single keying mechanism is not suitable for meeting these different security requirements. LEAP+ supports the establishment of four types of keys for each sensor node: an individual key shared with the base station, a pairwise key shared with another sensor node, a cluster key shared with multiple neighboring nodes, and a global key shared by all the nodes in the network. LEAP+ also supports (weak) local source authentication …",2697
An interleaved hop-by-hop authentication scheme for filtering of injected false data in sensor networks,"Sencun Zhu, Sanjeev Setia, Sushil Jajodia, Peng Ning",2004/5/12,"Conference IEEE Symposium on Security and Privacy, 2004. Proceedings. 2004","Sensor networks are often deployed in unattended environments, thus leaving these networks vulnerable to false data injection attacks in which an adversary injects false data into the network with the goal of deceiving the base station or depleting the resources of the relaying nodes. Standard authentication mechanisms cannot prevent this attack if the adversary has compromised one or a small number of sensor nodes. In this paper, we present an interleaved hop-by-hop authentication scheme that guarantees that the base station will detect any injected false data packets when no more than a certain number t nodes are compromised. Further, our scheme provides an upper bound B for the number of hops that a false data packet could be forwarded before it is detected and dropped, given that there are up to t colluding compromised nodes. We show that in the worst case B is O(t/sup 2/). Through performance …",817
Establishing pairwise keys for secure communication in ad hoc networks: A probabilistic approach,"Sencun Zhu, Shouhuai Xu, Sanjeev Setia, Sushil Jajodia",2003/11/4,"Conference 11th IEEE International Conference on Network Protocols, 2003. Proceedings.","A prerequisite for a secure communication between two nodes in an ad hoc network is that the nodes share a key to bootstrap their trust relationship. In this paper, we present a scalable and distributed protocol that enables two nodes to establish a pairwise shared key on the fly, without requiring the use of any on-line key distribution center. The design of our protocol is based on a novel combination of two techniques - probabilistic key sharing and threshold secret sharing. Our protocol is scalable since every node only needs to possess a small number of keys, independent of the network size, and it is computationally efficient because it only relies on symmetric key cryptography based operations. We show that a pairwise key established between two nodes using our protocol is secure against a collusion attack by up to a certain number of compromised nodes. We also show through a set of simulations that our …",480
Kronos: A scalable group re-keying approach for secure multicast,"Sanjeev Setia, Samir Koussih, Sushil Jajodia, Eric Harder",2000/5/14,Conference Proceeding 2000 IEEE Symposium on Security and Privacy. S&P 2000,"The authors describe a novel approach to scalable group re-keying for secure multicast. Our approach, which we call Kronos, is based upon the idea of periodic group re-keying. We first motivate our approach by showing that if a group is re-keyed on each membership change, as the size of the group increases and/or the rate at which members leave and join the group increases, the frequency of rekeying becomes the primary bottle neck for scalable group re-keying. In contrast, Kronos can scale to handle large and dynamic groups because the frequency of re-keying is independent of the size and membership dynamics of the group. Next, we describe how Kronos can be used in conjunction with distributed key management frameworks such as IGKMP (T. Hardjono et al., 1998) that use a single group-wide session key for encrypting communications between members of the group. Using a detailed simulation, we …",405
LHAP: a lightweight hop-by-hop authentication protocol for ad-hoc networks,"Sencun Zhu, Shouhuai Xu, Sanjeev Setia, Sushil Jajodia",2003/5/19,"Conference 23rd International Conference on Distributed Computing Systems Workshops, 2003. Proceedings.","Most ad hoc networks do not implement any network access control, leaving these networks vulnerable to resource consumption attacks where a malicious node injects packets into the network with the goal of depleting the resources Of the nodes relaying the packets. To thwart or prevent such attacks, it is necessary to employ authentication mechanisms that ensure that only authorized nodes can inject traffic into the network. In this paper we present LHAP a scalable and light-weight authentication protocol for ad hoc networks. LHAP is based on two techniques: (i) hop-by-hop authentication for verifying the authenticity of all the packets transmitted in the network and (ii) one-way key chain and TESLA for packet authentication and for reducing the overhead for establishing trust among nodes. We analyze the security of LHAP and show LHAP is a lightweight security protocol through detailed performance analysis.",206
Secure data aggregation in wireless sensor networks,"Sankardas Roy, Mauro Conti, Sanjeev Setia, Sushil Jajodia",2012/3/2,Journal IEEE Transactions on Information Forensics and Security,"In a large sensor network, in-network data aggregation significantly reduces the amount of communication and energy consumption. Recently, the research community has proposed a robust aggregation framework called synopsis diffusion which combines multipath routing schemes with duplicate-insensitive algorithms to accurately compute aggregates (e.g., predicate Count, Sum) in spite of message losses resulting from node and transmission failures. However, this aggregation framework does not address the problem of false subaggregate values contributed by compromised nodes resulting in large errors in the aggregate computed at the base station, which is the root node in the aggregation hierarchy. This is an important problem since sensor networks are highly vulnerable to node compromises due to the unattended nature of sensor nodes and the lack of tamper-resistant hardware.",195
Efficient distributed detection of node replication attacks in sensor networks,"Bo Zhu, Venkata Gopala Krishna Addada, Sanjeev Setia, Sushil Jajodia, Sankardas Roy",2007/12/10,Conference Twenty-Third Annual Computer Security Applications Conference (ACSAC 2007),"Wireless sensor nodes lack hardware support for tamper- resistance and are often deployed in unattended environments, thus leaving them vulnerable to capture and compromise by an adversary. In a node replication attack, an adversary uses the credentials of a compromised node to surreptitiously introduce replicas of that node into the network. These replicas are then used to launch a variety of attacks that subvert the goal of the sensor application, and the operation of the underlying protocols. We present a novel distributed approach called Localized Multicast for detecting node replication attacks. We evaluate the performance and security of our approach both theoretically and via simulation. Our results show that Localized Multicast is more efficient than previous distributed approaches in terms of communication and memory costs. Further, in our approach, the probability of detecting node replicas is much …",171
Availability and utility of idle memory in workstation clusters,"Anurag Acharya, Sanjeev Setia",1999/5/1,Book Proceedings of the 1999 ACM SIGMETRICS international conference on Measurement and modeling of computer systems,"In this paper, we examine the availability and utility of idle memory in workstation clusters. We attempt to answer the following questions. First, how much of the total memory in a workstation cluster can be expected to be idle? This provides an estimate of the opportunity for hosting guest data. Second, how much memory can be expected to be idle on individual workstations? This helps determine the recruitment policy-how much memory should be recruited on individual hosts? Third, what is the distribution of memory idle-times? This indicates how long guest data can be expected to survive; applications that access their data-sets frequently within the expected life-time of guest data are more likely to benefit from exploiting idle memory. Fourth, how much performance improvement can be achieved for offthe-shelf clusters without customizing the operating system and/or the processor firmware? Finally, how long and …",167
GKMPAN: An efficient group rekeying scheme for secure multicast in ad-hoc networks,"Sencun Zhu, Sanjeev Setia, Shouhuai Xu, Sushil Jajodia",2006/1/1,Journal Journal of Computer Security,"We present GKMPAN, an efficient and scalable group rekeying protocol for secure multicast in ad hoc networks. Our protocol exploits the property of ad hoc networks that each member of a group is both a host and a router, and distributes the group key to member nodes via a secure hop-by-hop propagation scheme. A probabilistic scheme based on pre-deployed symmetric keys is used for implementing secure channels between members for group key distribution. GKMPAN also includes a novel distributed scheme for efficiently updating the pre-deployed keys. GKMPAN has three attractive properties. First, it is significantly more efficient than group rekeying schemes that were adapted from those proposed for wired networks. Second, GKMPAN has the property of partial statelessness; that is, a node can decode the current group key even if it has missed a certain number of previous group rekeying operations. This …",153
Secure data aggregation in wireless sensor networks: Filtering out the attacker's impact,"Sankardas Roy, Mauro Conti, Sanjeev Setia, Sushil Jajodia",2014/2/20,Journal IEEE Transactions on Information Forensics and Security,"Wireless sensor networks (WSNs) are increasingly used in many applications, such as volcano and fire monitoring, urban sensing, and perimeter surveillance. In a large WSN, in-network data aggregation (i.e., combining partial results at intermediate nodes during message routing) significantly reduces the amount of communication overhead and energy consumption. The research community proposed a loss-resilient aggregation framework called synopsis diffusion, which uses duplicate-insensitive algorithms on top of multipath routing schemes to accurately compute aggregates (e.g., predicate count or sum). However, this aggregation framework does not address the problem of false subaggregate values contributed by compromised nodes. This attack may cause large errors in the aggregate computed at the base station, which is the root node in the aggregation hierarchy. In this paper, we make the synopsis …",135
Localized multicast: efficient and distributed replica detection in large-scale sensor networks,"Bo Zhu, Sanjeev Setia, Sushil Jajodia, Sankardas Roy, Lingyu Wang",2010/3/18,Journal IEEE Transactions on Mobile Computing,"Due to the poor physical protection of sensor nodes, it is generally assumed that an adversary can capture and compromise a small number of sensors in the network. In a node replication attack, an adversary can take advantage of the credentials of a compromised node to surreptitiously introduce replicas of that node into the network. Without an effective and efficient detection mechanism, these replicas can be used to launch a variety of attacks that undermine many sensor applications and protocols. In this paper, we present a novel distributed approach called Localized Multicast for detecting node replication attacks. The efficiency and security of our approach are evaluated both theoretically and via simulation. Our results show that, compared to previous distributed approaches proposed by Parno et al., Localized Multicast is more efficient in terms of communication and memory costs in large-scale sensor …",123
Performance analysis of job scheduling policies in parallel supercomputing environments,"Vijay K Naik, Mark S Squillante, Sanjeev K Setia",1993/12/1,Book Proceedings of the 1993 ACM/IEEE conference on Supercomputing,"In this paper we analyze ih?’ee geneTa! classes of scheduling policies undef’a workload typical of h’gescale scientific computing. These policies diffeT in the manner in which pTocessom are partitioned among the jobs as well as the way in which jobs aTe prio% zed for execution on the partitions. OUT Tesults indicate that existing static schemes do not perform well under vaTying woTkloads. Adaptive policies tend to make beiieT scheduling decisions, but iheiT ability to adjust to woTkioad changes is limited. Dynamic partitioning policies, on the otheT hand, yield the best peTfoTmance and can be tuned to pI’ovide desired peTfoTmance differences among jobs with vaTying Tesource demands.",117
CORD: Energy-efficient reliable bulk data dissemination in sensor networks,"Leijun Huang, Sanjeev Setia",2008/4/13,Conference IEEE INFOCOM 2008-The 27th Conference on Computer Communications,"This paper presents CORD, a reliable bulk data dissemination protocol for propagating a large data object to all the nodes in a large scale sensor network. Unlike well- known reliable data dissemination protocols such as Deluge whose primary design criterion is to reduce the latency of object propagation, CORD's primary goal is to minimize energy consumption. To achieve its goals CORD employs a two phase approach in which the object is delivered to a subset of nodes in the network that form a connected dominating set in the first phase, and to the remaining nodes in the second phase. Further, CORD installs a coordinated sleep schedule on the nodes in the network whereby nodes that are not involved in receiving or transmitting data can turn off their radios to reduce their energy consumption. We evaluated the performance of CORD experimentally on both an indoor and outdoor sensor network testbed and …",98
Interleaved hop-by-hop authentication against false data injection attacks in sensor networks,"Sencun Zhu, Sanjeev Setia, Sushil Jajodia, Peng Ning",2007/8/1,Journal ACM Transactions on Sensor Networks (TOSN),"Sensor networks are often deployed in unattended environments, thus leaving these networks vulnerable to false data injection attacks in which an adversary injects false data into the network with the goal of deceiving the base station or depleting the resources of the relaying nodes. Standard authentication mechanisms cannot prevent this attack if the adversary has compromised one or a small number of sensor nodes. We present three interleaved hop-by-hop authentication schemes that guarantee that the base station can detect injected false data immediately when no more than t nodes are compromised, where t is a system design parameter. Moreover, these schemes enable an intermediate forwarding node to detect and discard false data packets as early as possible. Our performance analysis shows that our scheme is efficient with respect to the security it provides, and it also allows a tradeoff between …",95
A fault-tolerant algorithm for replicated data management,"Sampath Rangarajan, Sanjeev Setia, Satish K Tripathi",1995/12,Journal IEEE Transactions on parallel and distributed systems,"We examine the tradeoff between message overhead and data availability that arises in the design of fault-tolerant algorithms for replicated data management in distributed systems. We propose a property called asymptotically high resiliency which is useful for evaluating the fault-tolerance of replica control algorithms and distributed mutual exclusion algorithms. We present a new algorithm for replica control that can be tailored (through a design parameter) to achieve the desired balance between low message overhead and high data availability. Further, we show that for a message overhead of O(/spl radic/(Nlog N)), our algorithm can achieve asymptotically high resiliency.",91
Attack-resilient hierarchical data aggregation in sensor networks,"Sankardas Roy, Sanjeev Setia, Sushil Jajodia",2006/10/30,Book Proceedings of the fourth ACM workshop on Security of ad hoc and sensor networks,"In a large sensor network, in-network data aggregation, i.e., combining partial results at intermediate nodes during message routing, significantly reduces the amount of communication and hence the energy consumed. Recently several researchers have proposed robust aggregation frameworks, which combine multi-path routing schemes with duplicate-insensitive algorithms, to accurately compute aggregates (e.g., Sum, Count, Average) in spite of message losses resulting from node and transmission failures. However, these aggregation frameworks have been designed without security in mind. Given the lack of hardware support for tamper-resistance and the unattended nature of sensor nodes, sensor networks are highly vulnerable to node compromises. We show that even if a few compromised nodes contribute false sub-aggregate values, this results in large errors in the aggregate computed at the root of the …",78
