titles,authors,date,source,descriptions,citations
Cooperative multi-agent learning: The state of the art,"Liviu Panait, Sean Luke",2005/11,Source Autonomous agents and multi-agent systems,"Cooperative multi-agent systems (MAS) are ones in which several agents attempt, through their interaction, to jointly solve tasks or to maximize utility. Due to the interactions among the agents, multi-agent problem complexity can rise rapidly with the number of agents or their behavioral sophistication. The challenge this presents to the task of programming solutions to MAS problems has spawned increasing interest in machine learning techniques to automate the search and optimization process. We provide a broad survey of the cooperative multi-agent learning literature. Previous surveys of this area have largely focused on issues common to specific subareas (for example, reinforcement learning, RL or robotics). In this survey we attempt to draw from multi-agent learning work in a spectrum of areas, including RL, evolutionary computation, game theory, complex systems, agent modeling, and robotics. We …",1632
Mason: A multiagent simulation environment,"Sean Luke, Claudio Cioffi-Revilla, Liviu Panait, Keith Sullivan, Gabriel Balan",2005/7,Journal Simulation,"MASON is a fast, easily extensible, discrete-event multi-agent simulation toolkit in                 Java, designed to serve as the basis for a wide range of multi-agent simulation                 tasks ranging from swarm robotics to machine learning to social complexity                 environments. MASON carefully delineates between model and visualization, allowing                 models to be dynamically detached from or attached to visualizers, and to change                 platforms mid-run. This paper describes the MASON system, its motivation, and its                 basic architectural design. It then compares MASON to related multi-agent libraries                 in the public domain, and discusses six applications of the system built over the                 past year which suggest its breadth of utility.",1386
Essentials of Metaheuristics,Sean Luke,2009,Publisher Lulu,,1114
Mason: A new multi-agent simulation toolkit,"Sean Luke, Claudio Cioffi-Revilla, Liviu Panait, Keith Sullivan",2004/5/9,Journal Proceedings of the 2004 swarmfest workshop,"We introduce MASON, a fast, easily extendable, discreteevent multi-agent simulation toolkit in Java. MASON was designed to serve as the basis for a wide range of multiagent simulation tasks ranging from swarm robotics to machine learning to social complexity environments. MASON carefully delineates between model and visualization, allowing models to be dynamically detached from or attached to visualizers, and to change platforms mid-run. We describe the MASON system, its motivation, and its basic architectural design. We then discuss five applications of MASON we have built over the past year to suggest its breadth of utility.",458
Ontology-based web agents,"Sean Luke, Lee Spector, David Rager, James Hendler",1997/2/8,Book Proceedings of the first international conference on Autonomous agents,"This paper describes SHOE, a set of Simple HTML Ontology Extensions which allow World-Wide Web authors to annotate their pages with semantic knowledge such as “I am a graduate student” or “This person is my graduate advisor”. These annotations are expressed in terms of ontological knowledge which can be generated by using or extending standard ontologies available on the Web. This makes it possible to ask Web agent queries such as “Find me all graduate students in Maryland who are working on a project funded by DoD initiative 123-4567"", instead of simplistickeyword searches enabled by current search engines. We have also developed a web-crawling agent, Exposé, which interns SHOE knowledge from web documents, making these kinds queries a reality.",351
SHOE: A knowledge representation language for internet applications,"Jeff Heflin, James Hendler, Sean Luke",1999/10/28,"Description It is our contention that the World Wide Web poses challenges to knowledge representation systems that fundamentally change the way we should design KR languages.  In this paper, we describe the Simple HTML Ontology Extensions (SHOE), a KR language which allows web pages to be annotated with semantics. We present a formalism for the language and discuss the features which make it well suited for the Web. We describe the syntax and semantics of this language, and discuss the differences from traditional KR systems that make it more suited to modern web applications. We also describe some generic tools for using the language and demonstrate its capabilities by describing two prototype systems that use it.  We also discuss some future tools currently being developed for the language.  The language, tools, and details of the applications are all available on the World Wide Web at http://www.cs.umd.edu/projects/plus/SHOE. (Also cross-referenced as UMIACS-TR-99-71)","It is our contention that the World Wide Web poses challenges to knowledge representation systems that fundamentally change the way we should design KR languages.  In this paper, we describe the Simple HTML Ontology Extensions (SHOE), a KR language which allows web pages to be annotated with semantics. We present a formalism for the language and discuss the features which make it well suited for the Web. We describe the syntax and semantics of this language, and discuss the differences from traditional KR systems that make it more suited to modern web applications. We also describe some generic tools for using the language and demonstrate its capabilities by describing two prototype systems that use it.  We also discuss some future tools currently being developed for the language.  The language, tools, and details of the applications are all available on the World Wide Web at http://www.cs.umd.edu/projects/plus/SHOE. (Also cross-referenced as UMIACS-TR-99-71)",341
Lexicographic parsimony pressure,"Sean Luke, Liviu Panait",2002/7/9,Book Proceedings of the 4th Annual Conference on Genetic and Evolutionary Computation,"We introduce a technique called lexicographic parsimony pressure, for controlling the significant growth of genetic programming trees during the course of an evolutionary computation run. Lexicographic parsimony pressure modifies selection to prefer smaller trees only when fitnesses are equal (or equal in rank). This technique is simple to implement and is not affected by specific differences in fitness values, but only by their relative ranking. In two experiments we show that lexicographic parsimony pressure reduces tree size while maintaining good fitness values, particularly when coupled with Kozastyle maximum tree depth limits.",303
Genetic programming needs better benchmarks,"James McDermott, David R White, Sean Luke, Luca Manzoni, Mauro Castelli, Leonardo Vanneschi, Wojciech Jaskowski, Krzysztof Krawiec, Robin Harper, Kenneth De Jong, Una-May O'Reilly",2012/7/7,Book Proceedings of the 14th annual conference on Genetic and evolutionary computation,"Genetic programming (GP) is not a field noted for the rigor of its benchmarking. Some of its benchmark problems are popular purely through historical contingency, and they can be criticized as too easy or as providing misleading information concerning real-world performance, but they persist largely because of inertia and the lack of good alternatives. Even where the problems themselves are impeccable, comparisons between studies are made more difficult by the lack of standardization. We argue that the definition of standard benchmarks is an essential step in the maturation of the field. We make several contributions towards this goal. We motivate the development of a benchmark suite and define its goals; we survey existing practice; we enumerate many candidate benchmarks; we report progress on reference implementations; and we set out a concrete plan for gathering feedback from the GP community that …",280
Evolving teamwork and coordination with genetic programming,"Sean Luke, Lee Spector",1996/7/28,Journal Genetic Programming,"Some problems can be solved only by multi–agent teams. In using genetic programming to produce such teams, one faces several design decisions. First, there are questions of team diversity and of breeding strategy. In one commonly used scheme, teams consist of clones of single individuals; these individuals breed in the normal way and are cloned to form teams during fitness evaluation. In contrast, teams could also consist of distinct individuals. In this case one can either allow free interbreeding between members of different teams, or one can restrict interbreeding in various ways. A second design decision concerns the types of coordination–facilitating mechanisms provided to individual team members; these range from sensors of various sorts to complex communication systems. This paper examines three breeding strategies (clones, free, and restricted) and three coordination mechanisms (none, deictic sensing, and name–based sensing) for evolving teams of agents in the Serengeti world, a simple predator/prey environment. Among the conclusions are the fact that a simple form of restricted interbreeding outperforms free interbreeding in all teams with distinct individuals, and the fact that name–based sensing consistently outperforms deictic sensing.",271
Ecj: A java-based evolutionary computation research system,"Sean Luke, Liviu Panait, Gabriel Balan, Sean Paus, Zbigniew Skolicki, Jeff Bassett, Robert Hubley, A Chircop",2006/2,Journal Downloadable versions and documentation can be found at the following url: http://cs. gmu. edu/eclab/projects/ecj,,266
A comparison of bloat control methods for genetic programming,"Sean Luke, Liviu Panait",2006/9,Journal Evolutionary computation,"Genetic programming has highlighted the problem of bloat, the uncontrolled growth of the average size of an individual in the population. The most common approach to dealing with bloat in tree-based genetic programming individuals is to limit their maximal allowed depth. An alternative to depth limiting is to punish individuals in some way based on excess size, and our experiments have shown that the combination of depth limiting with such a punitive method is generally more effective than either alone. Which such combinations are most effective at reducing bloat? In this article we augment depth limiting with nine bloat control methods and compare them with one another. These methods are chosen from past literature and from techniques of our own devising. esting with four genetic programming problems, we identify where each bloat control method performs well on a per-problem basis, and under what …",256
Co-evolving soccer softbot team coordination with genetic programming,"Sean Luke, Charles Hohn, Jonathan Farris, Gary Jackson, James Hendler",1998,Conference RoboCup-97: Robot Soccer World Cup I 1,"In this paper we explain how we applied genetic programming to behavior-based team coordination in the RoboCup Soccer Server domain. Genetic programming is a promising new method for automatically generating functions and algorithms through natural selection. In contrast to other learning methods, genetic programming's automatic programming makes it a natural approach for developing algorithmic robot behaviors. The RoboCup Soccer Server was a very challenging domain for genetic programming, but we were pleased with the results. At the end, genetic programming had produced teams of soccer softbots which had learned to cooperate to play a good game of simulator soccer.",245
Better GP benchmarks: community survey results and proposals,"David R White, James McDermott, Mauro Castelli, Luca Manzoni, Brian W Goldman, Gabriel Kronberger, Wojciech Jaśkowski, Una-May O’Reilly, Sean Luke",2013/3,Journal Genetic Programming and Evolvable Machines,"We present the results of a community survey regarding genetic programming benchmark practices. Analysis shows broad consensus that improvement is needed in problem selection and experimental rigor. While views expressed in the survey dissuade us from proposing a large-scale benchmark suite, we find community support for creating a “blacklist” of problems which are in common use but have important flaws, and whose use should therefore be discouraged. We propose a set of possible replacement problems.",236
Genetic programming produced competitive soccer softbot teams for robocup97,Sean Luke,1998/7/22,Journal Genetic Programming,"At RoboCup, teams of autonomous robots or software softbots compete in simulated soccer matches to demonstrate cooperative robotics techniques in a very difficult, real-time, noisy environment. At the IJCAI/RoboCup97 softbot competition, all entries but ours used human-crafted cooperative decision-making behaviors. We instead entered a softbot team whose high-level decision making behaviors had been entirely evolved using genetic programming. Our team won its first two games against human-crafted opponent teams, and received the RoboCup Scientific Challenge Award. This report discusses the issues we faced and the approach we took to use GP to evolve our robot soccer team for this difficult environment.",194
Two fast tree-creation algorithms for genetic programming,Sean Luke,2000/9,Journal IEEE Transactions on Evolutionary Computation,"Genetic programming is an evolutionary optimization method that produces functional programs to solve a given task. These programs commonly take the form of trees representing LISP s-expressions, and a typical evolutionary run produces a great many of these trees. For this reason, a good tree-generation algorithm is very important to genetic programming. This paper presents two new tree-generation algorithms for genetic programming and for ""strongly typed"" genetic programming, a common variant. These algorithms are fast, allow the user to request specific tree sizes, and guarantee probabilities of certain nodes appearing in trees. The paper analyzes these two algorithms, and compares them with traditional and recently proposed approaches.",191
