titles,authors,date,source,descriptions,citations
Novel applications of ultrasound technology to visualize and characterize myofascial trigger points and surrounding soft tissue,"Siddhartha Sikdar, Jay P Shah, Tadesse Gebreab, Ru-Huey Yen, Elizabeth Gilliams, Jerome Danoff, Lynn H Gerber",2009/11/1,Journal Archives of physical medicine and rehabilitation,,481
Myofascial trigger points then and now: a historical and scientific perspective,"Jay P Shah, Nikki Thaker, Juliana Heimur, Jacqueline V Aredo, Siddhartha Sikdar, Lynn Gerber",2015/7/1,Source PM&R,"The intent of this article is to discuss the evolving role of the myofascial trigger point (MTrP) in myofascial pain syndrome (MPS) from both a historical and scientific perspective. MTrPs are hard, discrete, palpable nodules in a taut band of skeletal muscle that may be spontaneously painful (i.e., active) or painful only on compression (i.e., latent). MPS is a term used to describe a pain condition that can be acute or, more commonly, chronic and involves the muscle and its surrounding connective tissue (e.g. fascia). According to Travell and Simons, MTrPs are central to the syndrome—but are they necessary? Although the clinical study of muscle pain and MTrPs has proliferated over the past two centuries, the scientific literature often seems disjointed and confusing. Unfortunately, much of the terminology, theories, concepts, and diagnostic criteria are inconsistent, incomplete, or controversial. To address these …",424
Fully dense UNet for 2-D sparse photoacoustic tomography artifact removal,"Steven Guan, Amir A Khan, Siddhartha Sikdar, Parag V Chitnis",2019/4/23,Journal IEEE journal of biomedical and health informatics,"Photoacoustic imaging is an emerging imaging modality that is based upon the photoacoustic effect. In photoacoustic tomography (PAT), the induced acoustic pressure waves are measured by an array of detectors and used to reconstruct an image of the initial pressure distribution. A common challenge faced in PAT is that the measured acoustic waves can only be sparsely sampled. Reconstructing sparsely sampled data using standard methods results in severe artifacts that obscure information within the image. We propose a modified convolutional neural network (CNN) architecture termed fully dense UNet (FD-UNet) for removing artifacts from two-dimensional PAT images reconstructed from sparse data and compare the proposed CNN with the standard UNet in terms of reconstructed image quality.",273
Objective sonographic measures for characterizing myofascial trigger points associated with cervical pain,"Jeffrey J Ballyns, Jay P Shah, Jennifer Hammond, Tadesse Gebreab, Lynn H Gerber, Siddhartha Sikdar",2011/10,Journal Journal of ultrasound in medicine,"The purpose of this study was to determine whether the physical properties and vascular environment of active myofascial trigger points associated with acute spontaneous cervical pain, asymptomatic latent trigger points, and palpably normal muscle differ in terms of the trigger point area, pulsatility index, and resistivity index, as measured by sonoelastography and Doppler imaging.",192
Dry needling alters trigger points in the upper trapezius muscle and reduces pain in subjects with chronic myofascial pain,"Lynn H Gerber, Jay Shah, William Rosenberger, Kathryn Armstrong, Diego Turo, Paul Otto, Juliana Heimur, Nikki Thaker, Siddhartha Sikdar",2015/7/1,Journal PM&R,To determine whether dry needling of an active myofascial trigger point (MTrP) reduces pain and alters the status of the trigger point to either a non–spontaneously tender nodule or its resolution.,159
Novel method for predicting dexterous individual finger movements by imaging muscle activity using a wearable ultrasonic system,"Siddhartha Sikdar, Huzefa Rangwala, Emily B Eastlake, Ira A Hunt, Andrew J Nelson, Jayanth Devanathan, Andrew Shin, Joseph J Pancrazio",2013/8/28,Journal IEEE Transactions on Neural Systems and Rehabilitation Engineering,"Recently there have been major advances in the electro-mechanical design of upper extremity prosthetics. However, the development of control strategies for such prosthetics has lagged significantly behind. Conventional noninvasive myoelectric control strategies rely on the amplitude of electromyography (EMG) signals from flexor and extensor muscles in the forearm. Surface EMG has limited specificity for deep contiguous muscles because of cross talk and cannot reliably differentiate between individual digit and joint motions. We present a novel ultrasound imaging based control strategy for upper arm prosthetics that can overcome many of the limitations of myoelectric control. Real time ultrasound images of the forearm muscles were obtained using a wearable mechanically scanned single element ultrasound system, and analyzed to create maps of muscle activity based on changes in the ultrasound …",139
Real-time classification of hand motions using ultrasound imaging of forearm muscles,"Nima Akhlaghi, Clayton A Baker, Mohamed Lahlou, Hozaifah Zafar, Karthik G Murthy, Huzefa S Rangwala, Jana Kosecka, Wilsaan M Joiner, Joseph J Pancrazio, Siddhartha Sikdar",2015/11/5,Journal IEEE Transactions on Biomedical Engineering,"Surface electromyography (sEMG) has been the predominant method for sensing electrical activity for a number of applications involving muscle-computer interfaces, including myoelectric control of prostheses and rehabilitation robots. Ultrasound imaging for sensing mechanical deformation of functional muscle compartments can overcome several limitations of sEMG, including the inability to differentiate between deep contiguous muscle compartments, low signal-to-noise ratio, and lack of a robust graded signal. The objective of this study was to evaluate the feasibility of real-time graded control using a computationally efficient method to differentiate between complex hand motions based on ultrasound imaging of forearm muscles. Dynamic ultrasound images of the forearm muscles were obtained from six able-bodied volunteers and analyzed to map muscle activity based on the deformation of the contracting …",117
Ultrasonic characterization of the upper trapezius muscle in patients with chronic neck pain,"Diego Turo, Paul Otto, Jay P Shah, Juliana Heimur, Tadesse Gebreab, Maryam Zaazhoa, Katherine Armstrong, Lynn H Gerber, Siddhartha Sikdar",2013/4,Journal Ultrasonic imaging,"Myofascial trigger points (MTrPs) are palpable, tender nodules in taut bands of skeletal muscle that are painful on compression. MTrPs are characteristic findings in myofascial pain syndrome (MPS). The role of MTrPs in the pathophysiology of MPS is unknown. Localization, diagnosis, and clinical outcome measures of painful MTrPs can be improved by objectively characterizing and quantitatively measuring their properties. The goal of this study was to evaluate whether ultrasound imaging and elastography can differentiate symptomatic (active) MTrPs from normal muscle. Patients with chronic (>3 months) neck pain with spontaneously painful, palpable (i.e., active) MTrPs and healthy volunteers without spontaneous pain (having palpably normal muscle tissue) were recruited for this study. The upper trapezius muscles in all subjects were imaged, and the echotexture was analyzed using entropy filtering of B-mode …",112
Understanding the vascular environment of myofascial trigger points using ultrasonic imaging and computational modeling,"Siddhartha Sikdar, Robin Ortiz, Tadesse Gebreab, Lynn H Gerber, Jay P Shah",2010/8/31,Conference 2010 Annual International Conference of the IEEE Engineering in Medicine and Biology,"Myofascial pain syndrome (MPS) is a common, yet poorly understood, acute and chronic pain condition. MPS is characterized by local and referred pain associated with hyperirritable nodules known as myofascial trigger points (MTrPs) that are stiff, localized spots of exquisite tenderness in a palpable taut band of skeletal muscle. Recently, our research group has developed new ultrasound imaging methods to visualize and characterize MTrPs and their surrounding soft tissue. The goal of this paper was to quantitatively analyze Doppler velocity waveforms in blood vessels in the neighborhood of MTrPs to characterize their vascular environment. A lumped parameter compartment model was then used to understand the physiological origin of the flow velocity waveforms. 16 patients with acute neck pain were recruited for the study and the blood vessels in the upper trapezius muscle in the neighborhood of palpable …",110
Assessment of myofascial trigger points (MTrPs): a new application of ultrasound imaging and vibration sonoelastography,"Siddhartha Sikdar, Jay P Shah, Elizabeth Gilliams, Tadesse Gebreab, Lynn H Gerber",2008/8/20,Conference 2008 30th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"Myofascial trigger points (MTrPs) are palpable hyperirritable nodules in skeletal muscle that are associated with chronic musculoskeletal pain. The goal of this study was to image MTrPs in the upper trapezius muscle using 2D gray scale ultrasound (US) and vibration sonoelastography (VSE) for differentiating the soft tissue characteristics of MTrPs compared to surrounding muscle. MTrPs appeared as hypoechoeic elliptically-shaped focal regions within the trapezius muscle on 2D US. Audio-frequency vibrations (100–250 Hz) were induced in the trapezius muscle of four volunteers with clinically identifiable MTrPs, and the induced vibration amplitudes were imaged using the color Doppler variance mode, and were further quantified using spectral Doppler analysis. Spectral Doppler analysis showed that vibration amplitudes were 27% lower on average within the MTrP compared to surrounding tissue (p<0.05). Color …",109
Asymptomatic carotid stenosis is associated with cognitiveáimpairment,"Brajesh K Lal, Moira C Dux, Siddhartha Sikdar, Carly Goldstein, Amir A Khan, John Yokemick, Limin Zhao",2017/10/1,Journal Journal of vascular surgery,"Cerebrovascular risk factors (eg, hypertension, coronary artery disease) and stroke can lead to vascular cognitive impairment. The Asymptomatic Carotid Stenosis and Cognitive Function study evaluated the isolated impact of asymptomatic carotid stenosis (no prior ipsilateral or contralateral stroke or transient ischemic attack) on cognitive function. Cerebrovascular hemodynamic and carotid plaque characteristics were analyzed to elucidate potential mechanisms affecting cognition.",108
A systematic comparison between subjects with no pain and pain associated with active myofascial trigger points,"Lynn H Gerber, Siddhartha Sikdar, Katee Armstrong, Guoqing Diao, Juliana Heimur, John Kopecky, Diego Turo, Paul Otto, Tadesse Gebreab, Jay Shah",2013/11,Journal PM&R,"To determine whether standard evaluations of pain distinguish subjects with no pain from those with myofascial pain syndromes (MPS) and active myofascial trigger points (MTrPs) and to assess whether self‐reports of mood, function, and health‐related quality of life differ between these groups.",103
Ultrasonic technique for assessing wall vibrations in stenosed blood vessels,"Kirk W Beach, Yongmin Kim, Siddhartha Sikdar",2010/6/15,Patent office US,"A real-time signal processing technique for ultrasonic imaging of tissue vibrations for localizing the source of a bruit in a 2D image with respect to the anatomy and/or for obtaining simultaneous information about vibrations and the underlying blood flow. The bruit can be quantitatively assessed using an ensemble of ultrasound echoes. Signal processing enables estimation of wall displacement and the display of time-resolved vibration spectrum. Vibrations are detected and color-coded according to their amplitude and frequency and overlaid on the B-mode and/or color-flow image in real time. Proposed vibration imaging algorithms use data acquired during conventional ultrasonic color-flow imaging and the clutter signal, normally suppressed in color-flow imaging, to detect and characterize tissue vibrations. Three vibration imaging algorithms based on parametric modeling of vibrations and other criteria distinguish …",86
Office‐based elastographic technique for quantifying mechanical properties of skeletal muscle,"Jeffrey J Ballyns, Diego Turo, Paul Otto, Jay P Shah, Jennifer Hammond, Tadesse Gebreab, Lynn H Gerber, Siddhartha Sikdar",2012/8,Journal Journal of ultrasound in medicine,"Our objectives were to develop a new, efficient, and easy‐to‐administer approach to ultrasound elastography and assess its ability to provide quantitative characterization of viscoelastic properties of skeletal muscle in an outpatient clinical environment. We sought to show its validity and clinical utility in assessing myofascial trigger points, which are associated with myofascial pain syndrome.",82
Novel use of ultrasound elastography to quantify muscle tissue changes after dry needling of myofascial trigger points in patients with chronic myofascial pain,"Diego Turo, Paul Otto, Murad Hossain, Tadesse Gebreab, Katherine Armstrong, William F Rosenberger, Hui Shao, Jay P Shah, Lynn H Gerber, Siddhartha Sikdar",2015/12,Journal Journal of Ultrasound in Medicine,To compare a mechanical heterogeneity index derived from ultrasound vibration elastography with physical findings before and after dry‐needling treatment of spontaneously painful active myofascial trigger points in the upper trapezius muscle.,66
A single mediaprocessor-based programmable ultrasound system,"Siddhartha Sikdar, Ravi Managuli, Lixin Gong, Vijay Shamdasani, Tsuyoshi Mitake, Tetsuya Hayashi, Yongmin Kim",2003/3/20,Journal IEEE Transactions on Information Technology in Biomedicine,"We have developed a programmable ultrasound imaging system using a single commercially available mediaprocessor. We have efficiently mapped all of the necessary B-mode processing algorithms on the underlying processor architecture, including envelope detection, dynamic range compression, lateral and axial filtering, persistence processing, and scan conversion. Our system can handle varying specifications ranging from 128 vectors and 512 samples per vector to more than 256 vectors and 1024 samples per vector. For an image size of 330 vectors and 512 samples per vector, it can process 30 frames per second using a 300-MHz MAP-CA mediaprocessor from Hitachi/Equator Technologies. This programmable ultrasound machine will not only offer significant advantages in terms of low cost, portability, scalability, and reduced development time, but also provide a flexible platform for developing and …",65
Proprioceptive sonomyographic control: A novel method for intuitive and proportional control of multiple degrees-of-freedom for individuals with upper extremity limb loss,"Ananya S Dhawan, Biswarup Mukherjee, Shriniwas Patwardhan, Nima Akhlaghi, Guoqing Diao, Gyorgy Levay, Rahsaan Holley, Wilsaan M Joiner, Michelle Harris-Love, Siddhartha Sikdar",2019/7/1,Journal Scientific reports,"Technological advances in multi-articulated prosthetic hands have outpaced the development of methods to intuitively control these devices. In fact, prosthetic users often cite ""difficulty of use"" as a key contributing factor for abandoning their prostheses. To overcome the limitations of the currently pervasive myoelectric control strategies, namely unintuitive proportional control of multiple degrees-of-freedom, we propose a novel approach: proprioceptive sonomyographiccontrol. Unlike myoelectric control strategies which measure electrical activation of muscles and use the extracted signals to determine the velocity of an end-effector; our sonomyography-based strategy measures mechanical muscle deformation directly with ultrasound and uses the extracted signals to proportionally control the position of an end-effector. Therefore, our sonomyography-based control is congruent with a prosthetic user’s innate …",60
