titles,authors,date,source,descriptions,citations
MyTime: Designing and Evaluating an Intervention for Smartphone Non-Use,"Alexis Hiniker, Sungsoo (Ray) Hong, Kohon Tadayoshi, Julie Kientz",2016,Conference 2016 CHI Conference on Human Factors in Computing System,"Though many people report an interest in self-limiting certain aspects of their phone use, challenges adhering to self-defined limits are common. We conducted a design exercise and online survey to map the design space of interventions for smartphone non-use and distilled these into a small taxonomy of intervention categories. Using these findings, we implemented ""MyTime,"" an intervention to support people in achieving goals related to smartphone non-use. We conducted a deployment study with 23 participants over two weeks and found that participants reduced their time with the apps they feel are a poor use of time by 21% while their use of the apps they feel are a good use of time remained unchanged. We found that a small taxonomy describes users' diverse set of desired behavior changes relating to smartphone non-use, and that these desired changes predict: 1) the hypothetical features they are …",115
"Human factors in model interpretability: Industry practices, challenges, and needs","Sungsoo Ray Hong, Jessica Hullman, Enrico Bertini",2020/5/28,Journal Proceedings of the ACM on Human-Computer Interaction,"As the use of machine learning (ML) models in product development and data-driven decision-making processes became pervasive in many domains, people's focus on building a well-performing model has increasingly shifted to understanding how their model works. While scholarly interest in model interpretability has grown rapidly in research communities like HCI, ML, and beyond, little is known about how practitioners perceive and aim to provide interpretability in the context of their existing workflows. This lack of understanding of interpretability as practiced may prevent interpretability research from addressing important needs, or lead to unrealistic solutions. To bridge this gap, we conducted 22 semi-structured interviews with industry practitioners to understand how they conceive of and design for interpretability while they plan, build, and use their models. Based on a qualitative analysis of our results, we …",99
Touchscreen prompts for preschoolers: designing developmentally appropriate techniques for teaching young children to perform gestures,"Alexis Hiniker, Kiley Sobel, Sungsoo Ray Hong, Hyewon Suh, India Irish, Daniella Kim, Julie A. Kientz","Proceedings of the 14th International Conference on Interaction Design and Children (Boston, Massachusetts2015), ACM",Volume 2771851,,79
Universal Remote Controller and Remote Control Method Thereof,"Sungsoo (Ray) Hong, Chang-seog Ko, Hyo-in Ahn",2013/6/13,Patent office US,"A universal remote controller and a remote control method thereof are provided. The remote controller includes a display screen, a communication module configured to communicate with a plurality of devices, an input unit configured to receive a user command, a controlling unit configured to receive identification information from a device of the plurality of devices which is pointed at by the remote controller through the communication module, control the display screen to display a user interface customized for the device corresponding to the identification information, and receive information input through the user interface for communication with the device so that the remote controller can operate with the device.",44
Efficient elicitation approaches to estimate collective crowd answers,"John Joon Young Chung, Jean Y Song, Sindhu Kutty, Sungsoo Hong, Juho Kim, Walter S Lasecki",2019/11/7,Journal Proceedings of the ACM on Human-Computer Interaction,"When crowdsourcing the creation of machine learning datasets, statistical distributions that capture diverse answers can represent ambiguous data better than a single best answer. Unfortunately, collecting distributions is expensive because a large number of responses need to be collected to form a stable distribution. Despite this, the efficient collection of answer distributions-that is, ways to use less human effort to collect estimates of the eventual distribution that would be formed by a large group of responses-is an under-studied topic. In this paper, we demonstrate that this type of estimation is possible and characterize different elicitation approaches to guide the development of future systems. We investigate eight elicitation approaches along two dimensions: annotation granularity and estimation perspective. Annotation granularity is varied by annotating i) a single ""best"" label, ii) all relevant labels, iii) a ranking …",35
Collaborative Visual Analysis of Sentiment in Twitter Events,"Michael Brooks, John J Robinson, Megan K Torkildson, Sungsoo (Ray) Hong, Cecilia R Aragon",2014/1/1,"Conference Cooperative Design, Visualization, and Engineering","Researchers across many fields are increasingly using data from social media sites to address questions about individual and group social behaviors. However, the size and complexity of these data sets challenge traditional research methods; many new tools and techniques have been developed to support research in this area. In this paper, we present our experience designing and evaluating Agave, a collaborative visual analysis system for exploring events and sentiment over time in large tweet data sets. We offer findings from evaluating Agave with researchers experienced with social media data, focusing on how users interpreted sentiment labels shown in the interface and on the value of collaboration for stimulating exploratory analysis.",34
Aila: Attentive interactive labeling assistant for document classification through attention-based deep neural networks,"Minsuk Choi, Cheonbok Park, Soyoung Yang, Yonggyu Kim, Jaegul Choo, Sungsoo Ray Hong",2019/5/2,Book Proceedings of the 2019 CHI conference on human factors in computing systems,"Document labeling is a critical step in building various machine learning applications. However, the step can be time-consuming and arduous, requiring a significant amount of human efforts. To support an efficient document labeling environment, we present a system called Attentive Interactive Labeling Assistant (AILA). In its core, AILA uses Interactive Attention Module (IAM), a novel module that visually highlights words in a document that labelers may pay attention to when labeling a document. IAM utilizes attention-based Deep Neural Networks which not only support a prediction of which words to highlight but also enable labelers to indicate words that should be assigned a high attention weight while labeling to improve the future quality of word prediction.We evaluated the labeling efficiency and the accuracy by comparing the conditions with and without IAM in our study. The results showed that participants' …",32
Coco’s Videos: An Empirical Investigation of Video-Player Design Feature and Children’s Media Use,"Alexis Hiniker, Sharon Heung, Sungsoo (Ray) Hong, Julie Kientz",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,Volume 18,,29
Traffigram: distortion for clarification via isochronal cartography,"Sungsoo (Ray) Hong, Yea-Seul Kim, Jong-Chul Yoon, Cecilia R Aragon",2014/4/26,Conference ACM SIGCHI 2014,"Most geographic maps visually represent physical distance; however, travel time can in some cases be more important than distance because it directly indicates availability. The technique of creating maps from temporal data is known as isochronal cartography, and is a form of distortion for clarification. In an isochronal map, congestion expands areas, while ideal travel conditions make the map shrink in comparison to the actual distance scale of a traditional map. Although there have been many applications of this technique, detailed user studies of its efficacy remain scarce, and there are conflicting views on its practical value. To attempt to settle this issue, we utilized a user-centered design process to determine which features of isochronal cartography might be most usable in practice. We developed an interactive cartographic visualization system, Traffigram, that features a novel combination of efficient …",26
Visus: An interactive system for automatic machine learning model building and curation,"Aécio Santos, Sonia Castelo, Cristian Felix, Jorge Piazentin Ono, Bowen Yu, Sungsoo Ray Hong, Cláudio T Silva, Enrico Bertini, Juliana Freire",2019/7/5,Book Proceedings of the Workshop on Human-In-the-Loop Data Analytics,"While the demand for machine learning (ML) applications is booming, there is a scarcity of data scientists capable of building such models. Automatic machine learning (AutoML) approaches have been proposed that help with this problem by synthesizing end-to-end ML data processing pipelines. However, these follow a best-effort approach and a user in the loop is necessary to curate and refine the derived pipelines. Since domain experts often have little or no expertise in machine learning, easy-to-use interactive interfaces that guide them throughout the model building process are necessary. In this paper, we present Visus, a system designed to support the model building process and curation of ML data processing pipelines generated by AutoML systems. We describe the framework used to ground our design choices and a usage scenario enabled by Visus. Finally, we discuss the feedback received in user …",25
