titles,authors,date,source,descriptions,citations
Health Monitoring and Management Using Internet-of-Things (IoT) Sensing with Cloud-based Processing: Opportunities and Challenges,"Moeen Hassanalieragh, Alex Page, Tolga Soyata, Gaurav Sharma, Mehmet Aktas, Gonzalo Mateos, Burak Kantarci, Silvana Andreescu",2015,"Conference Services Computing Conference (SCC), IEEE International","Among the panoply of applications enabled by the Internet of Things (IoT), smart and connected health care is a particularly important one. Networked sensors, either worn on the body or embedded in our living environments, make possible the gathering of rich information indicative of our physical and mental health. Captured on a continual basis, aggregated, and effectively mined, such information can bring about a positive transformative change in the health care landscape. In particular, the availability of data at hitherto unimagined scales and temporal longitudes coupled with a new generation of intelligent processing algorithms can: (a) facilitate an evolution in the practice of medicine, from the current post facto diagnose-and-treat reactive paradigm, to a proactive framework for prognosis of diseases at an incipient stage, coupled with prevention, cure, and overall management of health instead of disease, (b …",886
Cloud-Vision: Real-time face recognition using a mobile-cloudlet-cloud acceleration architecture,"Tolga Soyata, Rajani Muraleedharan, Colin Funai, Minseok Kwon, Wendi Heinzelman",2012/7/1,"Conference Computers and Communications (ISCC), IEEE Symposium on","Face recognition applications for airport security and surveillance can benefit from the collaborative coupling of mobile and cloud computing as they become widely available today. This paper discusses our work with the design and implementation of face recognition applications using our mobile-cloudlet-cloud architecture named MOCHA and its initial performance results. The challenge lies with how to perform task partitioning from mobile devices to cloud and distribute compute load among cloud servers (cloudlet) to minimize the response time given diverse communication latencies and server compute powers. Our preliminary simulation results show that optimal task partitioning algorithms significantly affect response time with heterogeneous latencies and compute powers. Motivated by these results, we design, implement, and validate the basic functionalities of MOCHA as a proof-of-concept, and develop …",511
"Resistive computation: avoiding the power wall with low-leakage, STT-MRAM based computing","Xiaochen Guo, Engin Ipek, Tolga Soyata",2010/6/19,"Conference Computer Architecture (ISCA), ACM International Symposium on","As CMOS scales beyond the 45nm technology node, leakage concerns are starting to limit microprocessor performance growth. To keep dynamic power constant across process generations, traditional MOSFET scaling theory prescribes reducing supply and threshold voltages in proportion to device dimensions, a practice that induces an exponential increase in subthreshold leakage. As a result, leakage power has become comparable to dynamic power in current-generation processes, and will soon exceed it in magnitude if voltages are scaled down any further. Beyond this inflection point, multicore processors will not be able to afford keeping more than a small fraction of all cores active at any given moment. Multicore scaling will soon hit a power wall.",252
RF Energy Harvesting for Embedded Systems: A Survey of Tradeoffs and Methodology,"Tolga Soyata, Lucian Copeland, Wendi Heinzelman",2016/2,Journal IEEE Circuits and Systems Magazine (MCAS),"This paper presents an overview of passive Radio Frequency (RF) energy reception and power harvesting circuits for isolated communications and computing systems lacking access to primary power sources. A unified understanding of the energy harvesting alternatives is provided, followed by an elaborate study of RF energy harvesting within the context of embedded systems. A detailed discussion of RF technologies ranging from the directed communications signal reception to dispersed ambient power harvesting is provided. A comparative focus on design tradeoffs and process alterations is provided to represent the diversity in the applications requiring wireless RF harvesting units. Also included is an analysis of system combinations, and how wake up units, active storage, and duty cycling play roles in the consumption and harvesting of RF energy.",249
A survey of healthcare Internet of Things (HIoT): A clinical perspective,"Hadi Habibzadeh, Karthik Dinesh, Omid Rajabi Shishvan, Andrew Boggio-Dandry, Gaurav Sharma, Tolga Soyata",2019/10/9,Journal IEEE Internet of Things Journal,"In combination with current sociological trends, the maturing development of Internet of Things devices is projected to revolutionize healthcare. A network of body-worn sensors, each with a unique ID, can collect health data, that is, orders-of-magnitude richer than what is available today from sporadic observations in clinical/hospital environments. When databased, analyzed, and compared against information from other individuals using data analytics, Healthcare Internet of Things data enables the personalization and modernization of care with radical improvements in outcomes and reductions in cost. In this article, we survey the existing and emerging technologies that can enable this vision for the future of healthcare, particularly, in the clinical practice of healthcare. Three main technology areas underlie the development of this field: 1) sensing, where there is an increased drive for miniaturization and power …",230
"A survey on cybersecurity, data privacy, and policy issues in cyber-physical system deployments in smart cities","Hadi Habibzadeh, Brian H Nussbaum, Fazel Anjomshoa, Burak Kantarci, Tolga Soyata",2019/6/21,Journal Sustainable Cities and Society,"Deployments of Cyber Physical Systems (CPSs) in smart cities are poised to significantly improve healthcare, transportation services, utilities, safety, and environmental health. However, these efficiencies and service improvements will come at a price: increased vulnerability and risk. Smart city deployments have already begun to proliferate, as have the upsides, efficiencies, and cost-savings they can facilitate. There are, however, proliferating challenges and costs as well. These challenges include important technical questions, but equally important policy and organizational questions. It is important to understand that these policy and technical implementation hurdles are perhaps equally likely to slow or disable smart city implementation efforts. In this paper, a survey of the theoretical and practical challenges and opportunities are enumerated not only in terms of their technical aspects, but also in terms of policy …",159
Towards Emotionally-Aware AI Smart Classroom: Current Issues and Directions for Engineering and Education,"Yelin Kim, Tolga Soyata, Reza Feyzi Behnagh",2018/1/10,Journal IEEE Access,"Future smart classrooms that we envision will significantly enhance learning experience and seamless communication among students and teachers using real-time sensing and machine intelligence. Existing developments in engineering have brought the state-of-the-art to an inflection point, where they can be utilized as components of a smart classroom. In this paper, we propose a smart classroom system that consists of these components. Our proposed system is capable of making real-time suggestions to an in-class presenter to improve the quality and memorability of their presentation by allowing the presenter to make real-time adjustments/corrections to their non-verbal behavior, such as hand gestures, facial expressions, and body language. We base our suggested system components on existing research in affect sensing, deep learning-based emotion recognition, and real-time mobile-cloud computing …",148
"Quantifying User Reputation Scores, Data Trustworthiness, and User Incentives in Mobile Crowd-Sensing","Maryam Pouryazdan, Burak Kantarci, Tolga Soyata, Luca Foschini, Houbing Song",2017/1/27,Journal IEEE Access,"Ubiquity of mobile devices with rich sensory capabilities has given rise to the mobile crowd-sensing (MCS) concept, in which a central authority (the platform) and its participants (mobile users) work collaboratively to acquire sensory data over a wide geographic area. Recent research in MCS highlights the following facts: 1) a utility metric can be defined for both the platform and the users, quantifying the value received by either side; 2) incentivizing the users to participate is a non-trivial challenge; 3) correctness and truthfulness of the acquired data must be verified, because the users might provide incorrect or inaccurate data, whether due to malicious intent or malfunctioning devices; and 4) an intricate relationship exists among platform utility, user utility, user reputation, and data trustworthiness, suggesting a co-quantification of these inter-related metrics. In this paper, we study two existing approaches that quantify …",142
Anchor-Assisted and Vote-based Trustworthiness Assurance in Smart City Crowdsensing,"Maryam Pouryazdan, Burak Kantarci, Tolga Soyata, Houbing Song",2016,Journal IEEE Access,"Smart city sensing calls for crowdsensing via mobile devices that are equipped with various built-in sensors. As incentivizing users to participate in distributed sensing is still an open research issue, the trustworthiness of crowdsensed data is expected to be a grand challenge if this cloud-inspired recruitment of sensing services is to be adopted. Recent research proposes reputation-based user recruitment models for crowdsensing; however, there is no standard way of identifying adversaries in smart city crowdsensing. This paper adopts previously proposed vote-based approaches, and presents a thorough performance study of vote-based trustworthiness with trusted entities that are basically a subset of the participating smartphone users. Those entities are called trustworthy anchors of the crowdsensing system. Thus, an anchor user is fully trustworthy and is fully capable of voting for the trustworthiness of other …",133
Emerging Security Mechanisms for Medical Cyber Physical Systems,"Ovunc Kocabas, Tolga Soyata, Mehmet Aktas",2016/1/22,"Journal Computational Biology and Bioinformatics (TCBB), IEEE/ACM Transactions on","The following decade will witness a surge in remote health-monitoring systems that are based on body-worn monitoring devices. These Medical Cyber Physical Systems (MCPS) will be capable of transmitting the acquired data to a private or public cloud for storage and processing. Machine learning algorithms running in the cloud and processing this data can provide decision support to healthcare professionals. There is no doubt that the security and privacy of the medical data is one of the most important concerns in designing an MCPS. In this paper, we depict the general architecture of an MCPS consisting of four layers: data acquisition, data aggregation, cloud processing, and action. Due to the differences in hardware and communication capabilities of each layer, different encryption schemes must be used to guarantee data privacy within that layer. We survey conventional and emerging encryption schemes …",129
