titles,authors,date,source,descriptions,citations
"Large-amplitude, spatially correlated fluctuations in BOLD fMRI signals during extended rest and early sleep stages","Masaki Fukunaga, Silvina G Horovitz, Peter van Gelderen, Jacco A de Zwart, J Martijn Jansma, Vasiliki N Ikonomidou, Renxin Chu, Roel HR Deckers, David A Leopold, Jeff H Duyn",2006/10/1,Journal Magnetic resonance imaging,"A number of recent studies of human brain activity using blood-oxygen-level-dependent (BOLD) fMRI and EEG have reported the presence of spatiotemporal patterns of correlated activity in the absence of external stimuli. Although these patterns have been hypothesized to contain important information about brain architecture, little is known about their origin or about their relationship to active cognitive processes such as conscious awareness and monitoring of the environment. In this study, we have investigated the amplitude and spatiotemporal characteristics of resting-state activity patterns and their dependence on the subjects' alertness. For this purpose, BOLD fMRI was performed at 3.0 T on 12 normal subjects using a visual stimulation protocol, followed by a 27 min rest period, during which subjects were allowed to fall asleep. In subjects who were asleep at the end of the scan, we found (a) a higher …",379
Relationship of cortical atrophy to fatigue in patients with multiple sclerosis,"Clelia Pellicano, Antonio Gallo, Xiaobai Li, Vasiliki N Ikonomidou, Iordanis E Evangelou, Joan M Ohayon, Susan K Stern, Mary Ehrmantraut, Fredric Cantor, Henry F McFarland, Francesca Bagnato",2010/4/12,Journal Archives of neurology,Fatigue is a common and disabling symptom of multiple sclerosis (MS). Previous studies reported that damage of the corticostriatothalamocortical circuit is critical in its occurrence.,175
Translocator protein PET imaging for glial activation in multiple sclerosis,"Unsong Oh, Masahiro Fujita, Vasiliki N Ikonomidou, Iordanis E Evangelou, Eiji Matsuura, Erin Harberts, Joan Ohayon, Victor W Pike, Yi Zhang, Sami S Zoghbi, Robert B Innis, Steven Jacobson",2011/9,Journal Journal of neuroimmune pharmacology,"Glial activation in the setting of central nervous system inflammation is a key feature of the multiple sclerosis (MS) pathology. Monitoring glial activation in subjects with MS, therefore, has the potential to be informative with respect to disease activity. The translocator protein 18 kDa (TSPO) is a promising biomarker of glial activation that can be imaged by positron emission tomography (PET). To characterize the in vivo TSPO expression in MS, we analyzed brain PET scans in subjects with MS and healthy volunteers in an observational study using [11C]PBR28, a newly developed translocator protein-specific radioligand. The [11C]PBR28 PET showed altered compartmental distribution of TSPO in the MS brain compared to healthy volunteers (p = 0.019). Focal increases in [11C]PBR28 binding corresponded to areas of active inflammation as evidenced by significantly greater binding in regions of …",124
How the serotonin transporter 5-HTTLPR polymorphism influences amygdala function: the roles of in vivo serotonin transporter expression and amygdala structure,"A Kobiella, M Reimold, DE Ulshöfer, VN Ikonomidou, C Vollmert, S Vollstädt-Klein, M Rietschel, G Reischl, A Heinz, MN Smolka",2011/8,Journal Translational Psychiatry,"The serotonin transporter-linked promoter region (5-HTTLPR) polymorphism of the serotonin transporter gene is associated with amygdala response during negative emotion. The aim of this study was to investigate whether this genotype effect on amygdala function is mediated by current serotonin transporter (5-HTT) levels or rather by genetically induced influences during neurodevelopment, shaping brain structure. A total of 54 healthy subjects underwent functional and structural magnetic resonance imaging,[11 C] DASB positron emission tomography and 5-HTTLPR genotyping to analyze the interrelationships between amygdala activation during processing of unpleasant stimuli, 5-HTTLPR genotype, amygdala volumes and 5-HTT levels in the midbrain and in other brain regions. In line with previous research, carriers of the short allele (S) showed increased amygdala activation. Path analysis demonstrated …",124
Mapping resting-state functional connectivity using perfusion MRI,"Kai-Hsiang Chuang, Peter Van Gelderen, Hellmut Merkle, Jerzy Bodurka, Vasiliki N Ikonomidou, Alan P Koretsky, Jeff H Duyn, S Lalith Talagala",2008/5/1,Journal Neuroimage,"Resting-state, low-frequency (<0.08 Hz) fluctuations of blood oxygenation level-dependent (BOLD) magnetic resonance signal have been shown to exhibit high correlation among functionally connected regions. However, correlations of cerebral blood flow (CBF) fluctuations during the resting state have not been extensively studied. The main challenges of using arterial spin labeling perfusion magnetic resonance imaging to detect CBF fluctuations are low sensitivity, low temporal resolution, and contamination from BOLD. This work demonstrates CBF-based quantitative functional connectivity mapping by combining continuous arterial spin labeling (CASL) with a neck labeling coil and a multi-channel receiver coil to achieve high perfusion sensitivity. In order to reduce BOLD contamination, the CBF signal was extracted from the CASL signal time course by high frequency filtering. This processing strategy is …",123
An adaptive filter for suppression of cardiac and respiratory noise in MRI time series data,"Roel HR Deckers, Peter van Gelderen, Mario Ries, Olivier Barret, Jeff H Duyn, Vasiliki N Ikonomidou, Masaki Fukunaga, Gary H Glover, Jacco A de Zwart",2006/12/1,Journal Neuroimage,"The quality of MRI time series data, which allows the study of dynamic processes, is often affected by confounding sources of signal fluctuation, including the cardiac and respiratory cycle. An adaptive filter is described, reducing these signal fluctuations as long as they are repetitive and their timing is known. The filter, applied in image domain, does not require temporal oversampling of the artifact-related fluctuations. Performance is demonstrated for suppression of cardiac and respiratory artifacts in 10-minute brain scans on 6 normal volunteers. Experimental parameters resemble a typical fMRI experiment (17 slices; 1700 ms TR). A second dataset was acquired at a rate well above the Nyquist frequency for both cardiac and respiratory cycle (single slice; 100 ms TR), allowing identification of artifacts specific to the cardiac and respiratory cycles, aiding assessment of filtering performance. Results show significant …",97
Impact of chemotherapy for childhood leukemia on brain morphology and function,"Marina Genschaft, Thomas Huebner, Franziska Plessow, Vasiliki N Ikonomidou, Nasreddin Abolmaali, Franziska Krone, Andre Hoffmann, Elisabeth Holfeld, Peter Vorwerk, Christof Kramm, Bernd Gruhn, Elisabeth Koustenis, Pablo Hernaiz-Driever, Rakesh Mandal, Meinolf Suttorp, Thomas Hummel, Chrysanthy Ikonomidou, Clemens Kirschbaum, Michael N Smolka",2013/11/12,Journal PloS one,"Using multidisciplinary treatment modalities the majority of children with cancer can be cured but we are increasingly faced with therapy-related toxicities. We studied brain morphology and neurocognitive functions in adolescent and young adult survivors of childhood acute, low and standard risk lymphoblastic leukemia (ALL), which was successfully treated with chemotherapy. We expected that intravenous and intrathecal chemotherapy administered in childhood will affect grey matter structures, including hippocampus and olfactory bulbs, areas where postnatal neurogenesis is ongoing.",82
Accelerated parallel imaging for functional imaging of the human brain,"Jacco A de Zwart, Peter van Gelderen, Xavier Golay, Vasiliki N Ikonomidou, Jeff H Duyn",2006/5,Source NMR in Biomedicine: An International Journal Devoted to the Development and Application of Magnetic Resonance In vivo,"Accelerated parallel imaging (PI) techniques have recently been applied to functional imaging experiments of the human brain in order to improve the performance of commonly used single‐shot techniques like echo‐planar imaging (EPI). Potential benefits of PI‐fMRI include the reduction of geometrical distortions due to off‐resonance signals, the reduction of signal‐loss in areas with substantial signal inhomogeneity, increases of the spatial and temporal resolution of the fMRI experiment and reduction of gradient acoustic noise. Although PI generally leads to a substantial decrease in image signal‐to‐noise ratio (SNR), its effect on the temporal stability of the signal, which ultimately determines fMRI performance, is only partially determined by image SNR. Therefore, the penalty for using PI is generally not as severe as the SNR reduction. The majority of problems related to single‐shot techniques become more …",73
Untangling the R2* contrast in multiple sclerosis: a combined MRI-histology study at 7.0 Tesla,"Francesca Bagnato, Simon Hametner, Emma Boyd, Verena Endmayr, Yaping Shi, Vasiliki Ikonomidou, Guanhua Chen, Siddharama Pawate, Hans Lassmann, Seth Smith, E Brian Welch",2018/3/21,Journal PLoS One,"T2*-weighted multi-echo gradient-echo magnetic resonance imaging and its reciprocal R2* are used in brain imaging due to their sensitivity to iron content. In patients with multiple sclerosis who display pathological alterations in iron and myelin contents, the use of R2* may offer a unique way to untangle mechanisms of disease. Coronal slices from 8 brains of deceased multiple sclerosis patients were imaged using a whole-body 7.0 Tesla MRI scanner. The scanning protocol included three-dimensional (3D) T2*-w multi-echo gradient-echo and 2D T2-w turbo spin echo (TSE) sequences. Histopathological analyses of myelin and iron content were done using Luxol fast blue and proteolipid myelin staining and 3,3′-diaminobenzidine tetrahydrochloride enhanced Turnbull blue staining. Quantification of R2*, myelin and iron intensity were obtained. Variations in R2* were found to be affected differently by myelin and iron content in different regions of multiple sclerosis brains. The data shall inform clinical investigators in addressing the role of T2*/R2* variations as a biomarker of tissue integrity in brains of MS patients, in vivo.",44
T1 cortical hypointensities and their association with cognitive disability in multiple sclerosis,"Francesca Bagnato, Zeena Salman, Robert Kane, Sungyoung Auh, Fredric K Cantor, Mary Ehrmantraut, Antonio Gallo, Vasiliki N Ikonomidou, Joan Ohayon, Clelia Pellicano, Susan K Stern, Henry F McFarland",2010/10,Journal Multiple Sclerosis Journal,"Background: Neocortical lesions (NLs) largely contribute to the pathology of multiple sclerosis (MS), although their relevance in patients’ disability remains unknown.",34
