titles,authors,date,source,descriptions,citations
A Review of Merged High Resolution Satellite Precipitation Product Accuracy During the Tropical Rainfall Measuring Mission (TRMM) - Era,"Viviana Maggioni, Patrick Meyers, Monique Robinson",2016,Journal Journal of Hydrometeorology,"A great deal of expertise in satellite precipitation estimation has been developed during the Tropical Rainfall Measuring Mission (TRMM) era (1998–2015). The quantification of errors associated with satellite precipitation products (SPPs) is crucial for a correct use of these datasets in hydrological applications, climate studies, and water resources management. This study presents a review of previous work that focused on validating SPPs for liquid precipitation during the TRMM era through comparisons with surface observations, both in terms of mean errors and detection capabilities across different regions of the world. Several SPPs have been considered: TMPA 3B42 (research and real-time products), CPC morphing technique (CMORPH), Global Satellite Mapping of Precipitation (GSMaP; both the near-real-time and the Motion Vector Kalman filter products), PERSIANN, and PERSIANN–Cloud Classification …",335
On the performance of satellite precipitation products in riverine flood modeling: A review,"Viviana Maggioni, Christian Massari",2018,Journal Journal of Hydrology,"This work is meant to summarize lessons learned on using satellite precipitation products for riverine flood modeling and to propose future directions in this field of research. Firstly, the most common satellite precipitation products (SPPs) during the Tropical Rainfall Measuring Mission (TRMM) and Global Precipitation Mission (GPM) eras are reviewed. Secondly, we discuss the main errors and uncertainty sources in these datasets that have the potential to affect streamflow and runoff model simulations. Thirdly, past studies that focused on using SPPs for predicting streamflow and runoff are analyzed. As the impact of floods depends not only on the characteristics of the flood itself, but also on the characteristics of the region (population density, land use, geophysical and climatic factors), a regional analysis is required to assess the performance of hydrologic models in monitoring and predicting floods. The …",167
Modeling errors in daily precipitation measurements: Additive or multiplicative?,"Yudong Tian, George J Huffman, Robert F Adler, Ling Tang, Mathew Sapiano, Viviana Maggioni, Huan Wu",2013/5/28,Journal Geophysical Research Letters,"The definition and quantification of uncertainty depend on the error model used. For uncertainties in precipitation measurements, two types of error models have been widely adopted: the additive error model and the multiplicative error model. This leads to incompatible specifications of uncertainties and impedes intercomparison and application. In this letter, we assess the suitability of both models for satellite‐based daily precipitation measurements in an effort to clarify the uncertainty representation. Three criteria were employed to evaluate the applicability of either model: (1) better separation of the systematic and random errors; (2) applicability to the large range of variability in daily precipitation; and (3) better predictive skills. It is found that the multiplicative error model is a much better choice under all three criteria. It extracted the systematic errors more cleanly, was more consistent with the large variability of …",158
Benchmarking high-resolution global satellite rainfall products to radar and rain-gauge rainfall estimates,"Emmanouil N Anagnostou, Viviana Maggioni, Efthymios I Nikolopoulos, Tadesse Meskele, Faisal Hossain, Anastasios Papadopoulos",2009/12/31,Journal IEEE Transactions on Geoscience and Remote Sensing,"This paper presents an in-depth investigation of the error properties of two high-resolution global-scale satellite rain retrievals verified against rainfall fields derived from a moderate-resolution rain-gauge network (25-30-km intergage distances) covering a region in the midwestern U.S. (Oklahoma Mesonet). Evaluated satellite retrievals include the NASA Tropical Rainfall Measuring Mission multisatellite precipitation analysis and the National Oceanic and Atmospheric Administration Climate Prediction Center morphing technique. The two satellite products are contrasted against a rain-gauge-adjusted radar rainfall product from the WSR-88D network in continental U.S. This paper presents an error characterization of the Mesonet rainfall fields based on an independent small-scale, but very dense (100-m intergage distances), rain-gauge network (named Micronet). The Mesonet error analysis, although significantly …",115
Propagation of satellite precipitation uncertainties through a distributed hydrologic model: A case study in the Tocantins–Araguaia basin in Brazil,"Diniz F.L.D. Falck Aline S., Maggioni V., Tomasella J., Vila D.",2015/8,Journal Journal of Hydrology,"This study investigates the applicability of error corrections to satellite-based precipitation products in streamflow simulations. A three-year time series (2008–2011) is considered across 19 sub-basins of the Tocantins–Araguaia basin (764,000 km2), located in the center-north region of Brazil. A raingauge network (24 h accumulation) of approximately 300 collection points (∼1 gauge every 2500 km2) is used as reference for evaluating the following four satellite rainfall products: the Tropical Rainfall Measuring Mission real-time 3B42 product (3B42RT), the Climate Prediction Center morphing technique (CMORPH), the Global Satellite Mapping of Precipitation (GSMaP), and the NOAA Hydroestimator (HYDRO-E). Ensemble streamflow simulations, for both dry and rainy seasons, are obtained by forcing the Distributed Hydrological Model developed by the Brazilian National Institute for Space Research (MHD–INPE …",103
An error model for uncertainty quantification in high-time-resolution precipitation products,"Viviana Maggioni, Mathew RP Sapiano, Robert F Adler, Yudong Tian, George J Huffman",2014/6/1,Journal Journal of Hydrometeorology,"Adler, RF, and Coauthors, 2003: The version-2 global precipitation climatology project (GPCP) monthly precipitation analysis (1979–present). J. Hydrometeor., 4, 1147–1167, doi: 10.1175/1525-7541 (2003) 004< 1147: TVGPCP> 2.0. CO; 2.",78
Estimating uncertainties in high-resolution satellite precipitation products: systematic or random error?,"Viviana Maggioni, Mathew RP Sapiano, Robert F Adler",2016/4/1,Journal Journal of Hydrometeorology,"This study proposes a method to quantify systematic and random components of the error associated with satellite precipitation products. Specifically, the Precipitation Uncertainties for Satellite Hydrology (PUSH) model is expanded to provide an estimate of those components of the root-mean-square error. The framework is tested on the TRMM Multisatellite Precipitation Analysis (TMPA) 3B42, real time (3B42RT), and 3B42, version 7 (3B42V7), products over the contiguous United States, using the NOAA Climate Prediction Center (CPC) Unified gauge product as reference. Results show that 3B42V7 exhibits much smaller errors than the real-time product and that the major component of the error associated with both TMPA 3B42 products is random, as the systematic error is almost completely removed by the bias adjustment applied to the two products. A strong dependence of both systematic and random error …",76
Effects of resolution of satellite-based rainfall estimates on hydrologic modeling skill at different scales,"Humberto Vergara, Yang Hong, Jonathan J Gourley, Emmanouil N Anagnostou, Viviana Maggioni, Dimitrios Stampoulis, Pierre-Emmanuel Kirstetter",2014/4,Journal Journal of Hydrometeorology,"             Uncertainty due to resolution of current satellite-based rainfall products is believed to be an important source of error in applications of hydrologic modeling and forecasting systems. A method to account for the input’s resolution and to accurately evaluate the hydrologic utility of satellite rainfall estimates is devised and analyzed herein. A radar-based Multisensor Precipitation Estimator (MPE) rainfall product (4 km, 1 h) was utilized to assess the impact of resolution of precipitation products on the estimation of rainfall and subsequent simulation of streamflow on a cascade of basins ranging from approximately 500 to 5000 km             2             . MPE data were resampled to match the Tropical Rainfall Measuring Mission’s (TRMM) 3B42RT satellite rainfall product resolution (25 km, 3 h) and compared with its native resolution data to estimate errors in rainfall fields. It was found that resolution degradation …",68
Investigating the applicability of error correction ensembles of satellite rainfall products in river flow simulations,"Viviana Maggioni, Humberto J Vergara, Emmanouil N Anagnostou, Jonathan J Gourley, Yang Hong, Dimitrios Stampoulis",2013/8/1,Journal Journal of Hydrometeorology,"This study uses a stochastic ensemble-based representation of satellite rainfall error to predict the propagation in flood simulation of three quasi-global-scale satellite rainfall products across a range of basin scales. The study is conducted on the Tar-Pamlico River basin in the southeastern United States based on 2 years of data (2004 and 2006). The NWS Multisensor Precipitation Estimator (MPE) dataset is used as the reference for evaluating three satellite rainfall products: the Tropical Rainfall Measuring Mission (TRMM) real-time 3B42 product (3B42RT), the Climate Prediction Center morphing technique (CMORPH), and the Precipitation Estimation from Remotely Sensed Imagery Using Artificial Neural Networks–Cloud Classification System (PERSIANN-CCS). Both ground-measured runoff and streamflow simulations, derived from the NWS Research Distributed Hydrologic Model forced with the MPE dataset …",68
Characteristics and Diurnal Cycle of GPM Rainfall Estimates over the Central Amazon Region,"Rômulo Oliveira, Viviana Maggioni, Daniel Vila, Carlos Morales",2016/6/25,Journal remote sensing,"Studies that investigate and evaluate the quality, limitations and uncertainties of satellite rainfall estimates are fundamental to assure the correct and successful use of these products in applications, such as climate studies, hydrological modeling and natural hazard monitoring. Over regions of the globe that lack in situ observations, such studies are only possible through intensive field measurement campaigns, which provide a range of high quality ground measurements, e.g., CHUVA (Cloud processes of tHe main precipitation systems in Brazil: A contribUtion to cloud resolVing modeling and to the GlobAl Precipitation Measurement) and GoAmazon (Observations and Modeling of the Green Ocean Amazon) over the Brazilian Amazon during 2014/2015. This study aims to assess the characteristics of Global Precipitation Measurement (GPM) satellite-based precipitation estimates in representing the diurnal cycle over the Brazilian Amazon. The Integrated Multi-satellitE Retrievals for Global Precipitation Measurement (IMERG) and the Goddard Profiling Algorithm—Version 2014 (GPROF2014) algorithms are evaluated against ground-based radar observations. Specifically, the S-band weather radar from the Amazon Protection National System (SIPAM), is first validated against the X-band CHUVA radar and then used as a reference to evaluate GPM precipitation. Results showed satisfactory agreement between S-band SIPAM radar and both IMERG and GPROF2014 algorithms. However, during the wet season, IMERG, which uses the GPROF2014 rainfall retrieval from the GPM Microwave Imager (GMI) sensor, significantly overestimates the …",52
