titles,authors,date,source,descriptions,citations
Modnn: Local distributed mobile computing system for deep neural network,"Jiachen Mao, Xiang Chen, Kent W Nixon, Christopher Krieger, Yiran Chen",2017/3/27,"Conference Design, Automation & Test in Europe Conference & Exhibition (DATE), 2017","Although Deep Neural Networks (DNN) are ubiquitously utilized in many applications, it is generally difficult to deploy DNNs on resource-constrained devices, e.g., mobile platforms. Some existing attempts mainly focus on client-server computing paradigm or DNN model compression, which require either infrastructure supports or special training phases, respectively. In this work, we propose MoDNN - a local distributed mobile computing system for DNN applications. MoDNN can partition already trained DNN models onto several mobile devices to accelerate DNN computations by alleviating device-level computing cost and memory usage. TWo model partition schemes are also designed to minimize non-parallel data delivery time, including both wakeup time and transmission time. Experimental results show that when the number of worker nodes increases from 2 to 4, MoDNN can accelerate the DNN …",220
How convolutional neural network see the world-A survey of convolutional neural network visualization methods,"Zhuwei Qin, Fuxun Yu, Chenchen Liu, Xiang Chen",2018/4/30,Journal arXiv preprint arXiv:1804.11191,"Nowadays, the Convolutional Neural Networks (CNNs) have achieved impressive performance on many computer vision related tasks, such as object detection, image recognition, image retrieval, etc. These achievements benefit from the CNNs outstanding capability to learn the input features with deep layers of neuron structures and iterative training process. However, these learned features are hard to identify and interpret from a human vision perspective, causing a lack of understanding of the CNNs internal working mechanism. To improve the CNN interpretability, the CNN visualization is well utilized as a qualitative analysis method, which translates the internal features into visually perceptible patterns. And many CNN visualization works have been proposed in the literature to interpret the CNN in perspectives of network structure, operation, and semantic concept. In this paper, we expect to provide a comprehensive survey of several representative CNN visualization methods, including Activation Maximization, Network Inversion, Deconvolutional Neural Networks (DeconvNet), and Network Dissection based visualization. These methods are presented in terms of motivations, algorithms, and experiment results. Based on these visualization methods, we also discuss their practical applications to demonstrate the significance of the CNN interpretability in areas of network design, optimization, security enhancement, etc.",214
How is energy consumed in smartphone display applications?,"Xiang Chen, Yiran Chen, Zhan Ma, Felix CA Fernandes",2013/2/26,Book Proceedings of the 14th Workshop on Mobile Computing Systems and Applications,"Smartphones have emerged as a popular and frequently used platform for the consumption of multimedia. New display technologies, such as AMOLED, have been recently introduced to smartphones to fulfill the requirements of these multimedia applications. However, as an AMOLED screen's power consumption is determined by the display content, such applications are often limited by the battery life of the device they are running on, inspiring many researches to develop new power management schemes. In this work, we evaluate the power consumption of several applications on a series of Samsung smartphones and take a deep look into AMOLED's power consumption and its relative contributions for multimedia apps. We improve AMOLED power analysis by considering the dynamic factors in displaying, and analyze the individual factors affecting power consumption when streaming video, playing a video …",186
Elfish: Resource-aware federated learning on heterogeneous edge devices,"Zirui Xu, Zhao Yang, Jinjun Xiong, Janlei Yang, Xiang Chen",2019,Journal Ratio,"Leveraging scalable data parallelism and effective model parameter aggregation, Federated Learning has been widely used to unite resource-constrained devices for neural network training-on-edge. However, when federated learning deploys identical neural network models to heterogeneous edge devices, the ones with weak computation capacities may significantly delay the synchronized parameter aggregation, causing severe computational straggler issues. Although stragglers can be accelerated by training model optimization, the optimized models usually result-in diverged structures due to heterogeneous devices’ resource constraints and significantly defect the collaborative convergence. Therefore, most solutions can only be compromised with asynchronous edge collaboration, without fundamentally eliminating computational stragglers. In this work, we propose ELFISH—a resource-aware federated learning framework to tackle these challenges. In ELFISH, neural network models’ training consumption will be firstly profiled in terms of different computation resources. Guided by profiling, a “softtraining” method is proposed for straggler acceleration, which partially trains the model by masking a particular number of resourceintensive neurons. Rather than generating a deterministically optimized model with diverged structure, different sets of neurons will be dynamically masked every training cycle and will be recovered and updated during parameter aggregation, ensuring comprehensive model updates overtime. The corresponding parameter aggregation scheme is also proposed to balance the contribution from soft-trained models and …",70
Mednn: A distributed mobile system with enhanced partition and deployment for large-scale dnns,"Jiachen Mao, Zhongda Yang, Wei Wen, Chunpeng Wu, Linghao Song, Kent W Nixon, Xiang Chen, Hai Li, Yiran Chen",2017/11/13,Conference 2017 IEEE/ACM International Conference on Computer-Aided Design (ICCAD),"Deep Neural Networks (DNNs) are pervasively used in a significant number of applications and platforms. To enhance the execution efficiency of large-scale DNNs, previous attempts focus mainly on client-server paradigms, relying on powerful external infrastructure, or model compression, with complicated pre-processing phases. Though effective, these methods overlook the optimization of DNNs on distributed mobile devices. In this work, we design and implement MeDNN, a local distributed mobile computing system with enhanced partitioning and deployment tailored for large-scale DNNs. In MeDNN, we first propose Greedy Two Dimensional Partition (GTDP), which can adaptively partition DNN models onto several mobile devices w.r.t. individual resource constraints. We also propose Structured Model Compact Deployment (SMCD), a mobile-friendly compression scheme which utilizes a structured sparsity …",69
Quality-retaining OLED dynamic voltage scaling for video streaming applications on mobile devices,"Xiang Chen, Jian Zheng, Yiran Chen, Mengying Zhao, Chun Jason Xue",2012/6/3,Book Proceedings of the 49th Annual Design Automation Conference,"This paper developed a dynamic voltage scaling (DVS) technique for the power management of the OLED display on mobile devices in video streaming applications. An optimal voltage control scheme is proposed under input constraints. Fine-grained DVS technique is applied to maximize the power saving by leveraging the locality of the display content. The display quality is retained by monitoring structural-similarity-index (SSIM) during the optimization, subject to the hardware constraints like voltage regulator response time. Simulation results on four typical video test benchmarks show that the proposed technique saves 19.05%~49.05% OLED power on average while maintaining a high display quality (SSIM > 0.98) all the time. The power saving efficiency of the proposed technique varies at different display resolutions, refresh rates, and display contents.",62
Progressive weight pruning of deep neural networks using ADMM,"Shaokai Ye, Tianyun Zhang, Kaiqi Zhang, Jiayu Li, Kaidi Xu, Yunfei Yang, Fuxun Yu, Jian Tang, Makan Fardad, Sijia Liu, Xiang Chen, Xue Lin, Yanzhi Wang",2018/10/17,Journal arXiv preprint arXiv:1810.07378,"Deep neural networks (DNNs) although achieving human-level performance in many domains, have very large model size that hinders their broader applications on edge computing devices. Extensive research work have been conducted on DNN model compression or pruning. However, most of the previous work took heuristic approaches. This work proposes a progressive weight pruning approach based on ADMM (Alternating Direction Method of Multipliers), a powerful technique to deal with non-convex optimization problems with potentially combinatorial constraints. Motivated by dynamic programming, the proposed method reaches extremely high pruning rate by using partial prunings with moderate pruning rates. Therefore, it resolves the accuracy degradation and long convergence time problems when pursuing extremely high pruning ratios. It achieves up to 34 times pruning rate for ImageNet dataset and 167 times pruning rate for MNIST dataset, significantly higher than those reached by the literature work. Under the same number of epochs, the proposed method also achieves faster convergence and higher compression rates. The codes and pruned DNN models are released in the link bit.ly/2zxdlss",44
Admm for efficient deep learning with global convergence,"Junxiang Wang, Fuxun Yu, Xiang Chen, Liang Zhao",2019/7/25,Book Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,"Alternating Direction Method of Multipliers (ADMM) has been used successfully in many conventional machine learning applications and is considered to be a useful alternative to Stochastic Gradient Descent (SGD) as a deep learning optimizer. However, as an emerging domain, several challenges remain, including 1) The lack of global convergence guarantees, 2) Slow convergence towards solutions, and 3) Cubic time complexity with regard to feature dimensions. In this paper, we propose a novel optimization framework for deep learning via ADMM (dlADMM) to address these challenges simultaneously. The parameters in each layer are updated backward and then forward so that the parameter information in each layer is exchanged efficiently. The time complexity is reduced from cubic to quadratic in (latent) feature dimensions via a dedicated algorithm design for subproblems that enhances them utilizing …",43
Fingershadow: An {OLED} power optimization based on smartphone touch interactions,"Xiang Chen, Kent W Nixon, Hucheng Zhou, Yunxin Liu, Yiran Chen",2014,Conference 6th Workshop on Power-Aware Computing and Systems (HotPower 14),"Despite that OLED screen has been increasingly adopt-ed in smartphones to save power; screen is still one of the most energy-consuming modules in smartphones. Techniques such as local dimming are proposed to fur-ther reduce the power consumption of OLED screen, but it is hard to decide which part of the screen could be dimmed, and it often results in compromised user expe-rience. Intuitively, when a user interacts with a smartphone via the touch screen, the screen areas are covered by the user’s fingers and even some of the neighboring areas could be safely dimmed. Thus, in this paper, we propose FingerShadow, a new technique which does local dimming for the screen areas covered by user fingers to save more power, without compro-mising the user visual experience. We have studied 10 users’ touch interaction behaviors and found that on average 11.14% of the screen were covered by fingers. For these 10 users, we estimate that FingerShadow can achieve 5.07%~ 22.32% power saving, averaging 12.96%, with negligible overhead. We discuss the chal-lenges and future research work to implement Finger-Shadow in existing smartphone systems.",43
Fine-grained dynamic voltage scaling on OLED display,"Xiang Chen, Jian Zeng, Yiran Chen, Wei Zhang, Hai Li",2012/1/12,Conference 17th Asia and South Pacific Design Automation Conference,"Organic Light Emitting Diode (OLED) has emerged as the new generation display technique for mobile multimedia devices. Compared to existing technologies OLEDs are thinner, brighter, lighter, and cheaper. However, OLED panels are still the biggest contributor to the total power consumption of mobile devices. In this work, we proposed a fine-grained dynamic voltage scaling (FDVS) technique to reduce the OLED power. An OLED panel is partitioned into multiple display areas of which the supply voltage is adaptively adjusted based on the displayed content. A DVS-friendly OLED driver design is also proposed to enhance the color accuracy of the OLED pixels at the scaled supply voltage. Our experimental results show that compared to the existing global DVS technique, FDVS technique can achieve 25.9%~43.1% more OLED power saving while maintaining a high image quality measured by Structural …",43
