titles,authors,date,source,descriptions,citations
"Rass: A real-time, accurate, and scalable system for tracking transceiver-free objects","Dian Zhang, Yunhuai Liu, Xiaonan Guo, Lionel M Ni",2012/5/1,Journal IEEE Transactions on Parallel and Distributed Systems,"Transceiver-free object tracking is to trace a moving object that does not carry any communication device in an environment with some monitoring nodes predeployed. Among all the tracking technologies, RF-based technology is an emerging research field facing many challenges. Although we proposed the original idea, until now there is no method achieving scalability without sacrificing latency and accuracy. In this paper, we put forward a real-time tracking system RASS, which can achieve this goal and is promising in the applications like the safeguard system. Our basic idea is to divide the tracking field into different areas, with adjacent areas using different communication channels. So, the interference among different areas can be prevented. For each area, three communicating nodes are deployed on the ceiling as a regular triangle to monitor this area. In each triangle area, we use a Support Vector …",189
Friend or foe? Your wearable devices reveal your personal pin,"Chen Wang, Xiaonan Guo, Yan Wang, Yingying Chen, Bo Liu",2016/5/30,Book Proceedings of the 11th ACM on Asia conference on computer and communications security,"The proliferation of wearable devices, e.g., smartwatches and activity trackers, with embedded sensors has already shown its great potential on monitoring and inferring human daily activities. This paper reveals a serious security breach of wearable devices in the context of divulging secret information (i.e., key entries) while people accessing key-based security systems. Existing methods of obtaining such secret information relies on installations of dedicated hardware (e.g., video camera or fake keypad), or training with labeled data from body sensors, which restrict use cases in practical adversary scenarios. In this work, we show that a wearable device can be exploited to discriminate mm-level distances and directions of the user's fine-grained hand movements, which enable attackers to reproduce the trajectories of the user's hand and further to recover the secret key entries. In particular, our system confirms the …",150
FitCoach: Virtual Fitness Coach Empowered by Wearable Mobile Devices,"Xiaonan Guo, Jian Liu, Yingying Chen",2017,Conference IEEE International Conference on Computer Communications (INFOCOM 2017),"Acknowledging the powerful sensors on wearables and smartphones enabling various applications to improve users' life styles and qualities (e.g., sleep monitoring and running rhythm tracking), this paper takes one step forward developing FitCoach, a virtual fitness coach leveraging users' wearable mobile devices (including wrist-worn wearables and arm-mounted smartphones) to assess dynamic postures (movement patterns & positions) in workouts. FitCoach aims to help the user to achieve effective workout and prevent injury by dynamically depicting the short-term and long-term picture of a user's workout based on various sensors in wearable mobile devices. In particular, FitCoach recognizes different types of exercises and interprets fine-grained fitness data (i.e., motion strength and speed) to an easy-to-understand exercise review score, which provides a comprehensive workout performance evaluation and …",76
Wi-counter: smartphone-based people counter using crowdsourced wi-fi signal data,"Haochao Li, Eddie CL Chan, Xiaonan Guo, Jiang Xiao, Kaishun Wu, Lionel M Ni",2015/8,Journal IEEE Transactions on Human-Machine Systems,"Reliable people counting is crucial to many urban applications. However, most existing people counting systems are sensor-based and can only work in some fixed gateways or checkpoints where sensors have been installed. This high dependence on the exact locations of sensors leads to low accuracy. To overcome these limitations, in this paper, we propose a smartphone-based people counting system, Wi-Counter, by leveraging the pervasive Wi-Fi infrastructure. To collect comprehensive Wi-Fi signals and people count information based on crowdsource, Wi-Counter first adopts a preprocessor to overcome the noisy, discrepant, and fragile data based on the Wiener filter and Newton interpolation. It then makes use of the designated five-layer neural network to learn the relation model between the Wi-Fi signals and the number of people. By analyzing the received Wi-Fi signals, Wi-Counter can estimate the number …",60
On distinguishing the multiple radio paths in rss-based ranging,"Dian Zhang, Yunhuai Liu, Xiaonan Guo, Min Gao, Lionel M Ni",2012/3/25,Conference 2012 Proceedings IEEE INFOCOM,"Among the various ranging techniques, Radio Signal Strength (RSS) based approaches attract intensive research interests because of its low cost and wide applicability. RSS-based ranging is apt to be affected by the multipath phenomenon which allows the radio signals to reach the destination through multiple propagation paths. To address this issue, previous works try to profile the environment and refer this profile in run-time. In practical dynamic environments, however, the profile frequently changes and the painful retraining is needed. Rather than such static ways of profiling the environments, in this paper, we try to accommodate the environmental dynamics automatically in real-time. The key observation is that given a pair of nodes, the RSS at different spectrum channels will be different. This difference carries the valuable phase information of the radio signals. By analyzing these RSS values, we are able to …",57
WiFi-Enabled Smart Human Dynamics Monitoring,"Xiaonan Guo, Bo Liu, Cong Shi, Hongbo Liu, Yingying Chen, Mooi Choo Chuah",2017,Conference ACM SenSys,"The rapid pace of urbanization and socioeconomic development encourage people to spend more time together and therefore monitoring of human dynamics is of great importance, especially for facilities of elder care and involving multiple activities. Traditional approaches are limited due to their high deployment costs and privacy concerns (e.g., camera-based surveillance or sensor-attachment-based solutions). In this work, we propose to provide a fine-grained comprehensive view of human dynamics using existing WiFi infrastructures often available in many indoor venues. Our approach is low-cost and device-free, which does not require any active human participation. Our system aims to provide smart human dynamics monitoring through participant number estimation, human density estimation and walking speed and direction derivation. A semi-supervised learning approach leveraging the non-linear …",53
Device-free personalized fitness assistant using WiFi,"Xiaonan Guo, Jian Liu, Cong Shi, Hongbo Liu, Yingying Chen, Mooi Choo Chuah",2018/12/27,"Journal Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","There is a growing trend for people to perform regular workouts in home/office environments because work-at-home people or office workers can barely squeeze in time to go to dedicated exercise places (e.g., gym). To provide personalized fitness assistance in home/office environments, traditional solutions, e.g., hiring personal coaches incur extra cost and are not always available, while new trends requiring wearing smart devices around the clock are cumbersome. In order to overcome these limitations, we develop a device-free fitness assistant system in home/office environments using existing WiFi infrastructure. Our system aims to provide personalized fitness assistance by differentiating individuals, automatically recording fine-grained workout statistics, and assessing workout dynamics. In particular, our system performs individual identification via deep learning techniques on top of workout interpretation. It …",52
MU-ID: Multi-user identification through gaits using millimeter wave radios,"Xin Yang, Jian Liu, Yingying Chen, Xiaonan Guo, Yucheng Xie",2020/7/6,Conference IEEE INFOCOM 2020-IEEE Conference on Computer Communications,"Multi-user identification could facilitate various large-scale identity-based services such as access control, automatic surveillance system, and personalized services, etc. Although existing solutions can identify multiple users using cameras, such vision-based approaches usually raise serious privacy concerns and require the presence of line-of-sight. Differently, in this paper, we propose MU-ID, a gait-based multi-user identification system leveraging a single commercial off-the-shelf (COTS) millimeter-wave (mmWave) radar. Particularly, MU-ID takes as input frequency-modulated continuous-wave (FMCW) signals from the radar sensor. Through analyzing the mmWave signals in the range-Doppler domain, MU-ID examines the users' lower limb movements and captures their distinct gait patterns varying in terms of step length, duration, instantaneous lower limb velocity, and inter-lower limb distance, etc. Additionally …",47
MODLoc: Localizing multiple objects in dynamic indoor environment,"Xiaonan Guo, Dian Zhang, Kaishun Wu, Lionel M Ni",2013/11/12,Journal IEEE Transactions on Parallel and Distributed Systems,"Radio frequency (RF) based technologies play an important role in indoor localization, since Radio Signal Strength (RSS) can be easily measured by various wireless devices without additional cost. Among these, radio map based technologies (also referred as fingerprinting technologies) are attractive due to high accuracy and easy deployment. However, these technologies have not been extensively applied on real environment for two fatal limitations. First, it is hard to localize multiple objects. When the number of target objects is unknown, constructing a radio map of multiple objects is almost impossible. Second, environment changes will generate different multipath signals and severely disturb the RSS measurement, making laborious retraining inevitable. Motivated by these, in this paper, we propose a novel approach, called Line-of-sight radio map matching, which only reserves the LOS signal among nodes …",40
Shopprofiler: Profiling shops with crowdsourcing data,"Xiaonan Guo, Eddie CL Chan, Ce Liu, Kaishun Wu, Siyuan Liu, Lionel M Ni",2014/4/27,Conference IEEE INFOCOM 2014-IEEE Conference on computer communications,"Sensing data from mobile phones provide us exciting and profitable applications. Recent research focuses on sensing indoor environment, but suffers from inaccuracy because of the limited reachability of human traces or requires human intervention to perform sophisticated tasks. In this paper, we present ShopProfiler, a shop profiling system on crowdsourcing data. First, we extract customer movement patterns from traces. Second, we improve accuracy of building floor plan by adopting a gradient-based approach and then localize shops through WiFi heat map. Third, we categorize shops by designing an SVM classifier in shop space to support multi-label classification. Finally, we infer brand name from SSID by applying string similarity measurement. Based on over five thousand traces in three big malls in two different countries, we conclude that ShopProfiler achieves better accuracy in building refined floor plan …",38
