,Google Scholar topics,ID,names,Research Interest
0,,0,ariela sofer,"optimization,"
1,,3,sanjeev setia,
2,,5,abolfazl safikhani,
3,,8,david kepplinger,"robust statistics for high-dimensional data, regularized estimation and feature selection, computational statistics, non-convex optimization,"
4,,13,pramita bagchi,
5,,19,john stufken,
6,,20,jonathan auerbach,
7,,23,lily wang,
8,,30,ahmed bin zaman,
9,,32,bo han,
10,,35,alexander brodsky,"databases,"
11,,38,carlotta domeniconi,"artificial intelligence,"
12,,40,daniel barbara,"databases,honors and awards,outstanding researcher, cs department,  george mason university,"
13,,42,eric osterweil,
14,,43,fei li,"algorithms and theory of computation,"
15,,44,gheorghe tecuci,"data mining, decision support systems, predictive analytics, artificial intelligence, data analytics, big data, personalized learning, educational data mining, expert systems, intelligent agents, machine learning, learning analytics, information security and assurance, knowledge engineering, knowledge acquisition, science of evidence, semantic web, cognitive assistants,"
16,,45,hakan aydin,"computer systems, parallel and distributed systems, real-time and embedded systems, power-aware computing, fault tolerance,"
17,,46,jana kosecka,
18,,47,jeff offutt,"software engineering,"
19,,49,paul ammann,"software engineering,"
20,,53,sean luke,
21,,57,zoran duric,
22,,58,erion plaku,
23,,61,foteini baldimtsi,
24,,62,giuseppe ateniese,
25,,65,haikun huang,
26,,69,jessica lin,"data mining, data analytics, machine learning,"
27,,70,jinwei ye,
28,,74,kevin andrea,
29,,75,kevin moran,
30,,78,lishan yang,
31,,79,maha shamseddine,
32,,80,mark snyder,
33,,81,mingrui liu,
34,,82,parth pathak,
35,,85,sanmay das,
36,,89,shuochao yao,
37,,91,songqing chen,"computer and network security, computer networks, computer systems, parallel and distributed systems, mobile computing,"
38,,93,wassim itani,
39,,95,wing lam,
40,,96,xiaokuan zhang,"system security and privacy, including side-channel security, mibil security, iot security.  "
41,,98,xuesu xiao,
42,,99,yotam gingold,"computer games technology, computer graphics, human-computer interaction, crowdsourcing,honors and awards,google faculty research award,  google,"
43,,101,ziwei zhu,
44,,102,ziyu yao,
45,,104,aditya johri,
46,,107,kun sun,
47,,108,michael eagle,
48,,110,emanuela marasco,
49,,114,hemant purohit,
50,,118,irina hashmi,
51,,119,jianli pan,
52,,121,kevin lybarger,
53,,122,khondkar islam,
54,,123,lei yang,
55,,126,massimiliano albanese,
56,,127,michael lyons,
57,,128,mihai boicu,
58,,129,myeong lee,
59,,133,ozlem uzuner,
60,,134,pouyan ahmadi,
61,,136,sadegh torabi,
62,,138,sharmin sultana,
63,,139,sherif hashem,
64,,141,vivian genaro motti,
65,,142,xiaonan guo,
66,,144,zhisheng yan,
67,,147,burak tanyu,"geotechnical engineering,"
68,,150,david lattanzi,
69,,152,mohan venigalla,"transportation engineering,"
70,,153,wenying ji,
71,,155,girum urgessa,
72,,157,kuo tian,
73,,161,shanjiang zhu,
74,,163,viviana maggioni,"environmental engineering, water resources engineering, hydrology, remote sensing, land surface modeling, uncertainty analysis, land data assimilation systems,"
75,,165,cameron nowzari,
76,,170,bijan jabbari,"communications, computing and networking theory, with applications to wireless communications systems such as lte & 5g wireless, iot, machine learning, cognitive networks,"
77,,175,nathalia peixoto,
78,,179,yariv ephraim,"detection and estimation, statistical signal processing,"
79,,182,jill nelson,"statistical and adaptive signal processing; detection and estimation for applications in sonar, target tracking, and communications; machine learning; wireless communications; stem education; faculty teaching development and adoption of student-centered teaching practices,"
80,,183,kai zeng,"5g wireless security, spectrum sharing, cps/iot security, machine learning, physical layer security, network forensics,"
81,,188,maryam parsa,
82,,189,monson hayes,
83,,190,ningshi yao,
84,,192,ping xu,
85,,193,qiliang li,"electronics; intelligent sensor system; chemical sensors,"
86,,196,tolga soyata,
87,,197,weiwen jiang,
88,,199,xuan wang,
89,,201,ali raz,
90,,205,john shortle,"air transportation, queuing theory, simulation, stochastic processes, energy systems,"
91,,206,karla hoffman,
92,,208,lance sherry,
93,,210,ran ji,
94,,211,vadim sokolov,
95,,212,edward huang,"decision analysis, optimization, systems architecture, transportation engineering, model-based systems engineering,,,,"
96,,213,janis terpenny,
97,,214,jie xu,"air transportation, data mining, optimization, probabilistic modeling, simulation, systems architecture, predictive analytics,"
98,,215,paulo costa,
99,,216,rajesh ganesan,"air transportation, decision support systems, optimization, probabilistic modeling, simulation, stochastic processes,honors and awards,teacher of distinction award,  center for teaching excellence,informs qsr council member- elected position,  informs, ,"
100,,217,rochelle jones,
101,,218,shima mohebbi,
102,,219,shou matsumoto,
103,,222,tianshu feng,
104,,223,ahmed bashatah,
105,,224,bengt ljungquist,
106,,227,diek wheeler,
107,,230,juan cebral,"biomechanics,"
108,,233,vasiliki ikonomidou,
109,,234,eugene kim,
110,,235,holger dannenberg,
111,,240,qi wei,"computer simulation and modeling, computer graphics, robotics, biomechanics, biomedical imaging, musculoskeletal modeling, rehabilitation engineering, sensorimotor integration,"
112,,241,quentin sanders,
113,,242,remi veneziano,
114,,245,siddhartha sikdar,"biomechanics, assistive technology, biomedical imaging, musculoskeletal modeling, neuroengineering, neuroprosthetics, rehabilitation engineering, sensorimotor integration, ultrasound,"
115,,246,suman alishetty,
116,,247,ali beheshti,
117,,250,colin reagle,"heat transfer, fluid mechanics, sustainable energy systems,"
118,,252,daigo shishika,
119,,253,shaghayegh bagheri,
120,,258,pei dong,
121,,259,pilgyu kang,
122,,260,robert handler,
123,,261,van jones,
124,,268,duminda wijesekera,
125,,271,linghan zhang,
126,,272,md tanvir arafin,
127,,273,mingkui wei,
128,,276,moinul hossain,
129,,277,naveen naik sapavath,
