,names,ProfileLinks
0,Ariela Sofer,https://scholar.google.com//citations?hl=en&user=pHJbqawAAAAJ
1,Sanjeev Setia,https://scholar.google.com//citations?hl=en&user=UlbFDqoAAAAJ
2,Abolfazl Safikhani,https://scholar.google.com//citations?hl=en&user=eUAQs5gAAAAJ
3,David Kepplinger,https://scholar.google.com//citations?hl=en&user=Tw5_yA8AAAAJ
4,Pramita Bagchi,https://scholar.google.com//citations?hl=en&user=5PYa_jMAAAAJ
5,John Stufken,https://scholar.google.com//citations?hl=en&user=qrWcLn8AAAAJ
6,Jonathan Auerbach,https://scholar.google.com//citations?hl=en&user=-4lKbKAAAAAJ
7,Lily Wang,https://scholar.google.com//citations?hl=en&user=fmsRm20AAAAJ
8,Ahmed Bin Zaman,https://scholar.google.com//citations?hl=en&user=cPyKjK0AAAAJ
9,Bo Han,https://scholar.google.com//citations?hl=en&user=BhRa314AAAAJ
10,Alexander Brodsky,https://scholar.google.com//citations?hl=en&user=AsyAUTIAAAAJ
11,Carlotta Domeniconi,https://scholar.google.com//citations?hl=en&user=aKkIMogAAAAJ
12,Daniel Barbara,https://scholar.google.com//citations?hl=en&user=wtZwMSgAAAAJ
13,Eric Osterweil,https://scholar.google.com//citations?hl=en&user=Jw1ccPYAAAAJ
14,Fei Li,https://scholar.google.com//citations?hl=en&user=ql6BXwcAAAAJ
15,Gheorghe Tecuci,https://scholar.google.com//citations?hl=en&user=OrhUjqEAAAAJ
16,Hakan Aydin,https://scholar.google.com//citations?hl=en&user=MTMmNecAAAAJ
17,Jana Kosecka,https://scholar.google.com//citations?hl=en&user=sQ6l4sMAAAAJ
18,Jeff Offutt,https://scholar.google.com//citations?hl=en&user=fAeRp3kAAAAJ
19,Paul Ammann,https://scholar.google.com//citations?hl=en&user=-j0V55IAAAAJ
20,Sean Luke,https://scholar.google.com//citations?hl=en&user=jwxhFAQAAAAJ
21,Zoran Duric,https://scholar.google.com//citations?hl=en&user=bVaZTY4AAAAJ
22,Erion Plaku,https://scholar.google.com//citations?hl=en&user=DK3QY9sAAAAJ
23,Fang-Yi Yu,https://scholar.google.com//citations?hl=en&user=LhLBzWEAAAAJ
24,Foteini Baldimtsi,https://scholar.google.com//citations?hl=en&user=Wrx-9LUAAAAJ
25,Giuseppe Ateniese,https://scholar.google.com//citations?hl=en&user=EyZJ08MAAAAJ
26,Haikun Huang,https://scholar.google.com//citations?hl=en&user=ZeC-CDUAAAAJ
27,Jessica Lin,https://scholar.google.com//citations?hl=en&user=tRHOWkcAAAAJ
28,Jinwei Ye,https://scholar.google.com//citations?hl=en&user=ESpjkZoAAAAJ
29,Jyh-Ming Lien,https://scholar.google.com//citations?hl=en&user=EnrEVb0AAAAJ
30,Kevin Andrea,https://scholar.google.com//citations?hl=en&user=iqZGec4AAAAJ
31,Kevin Moran,https://scholar.google.com//citations?hl=en&user=CllWHUcAAAAJ
32,Lishan Yang,https://scholar.google.com//citations?hl=en&user=y_n3bHoAAAAJ
33,Maha Shamseddine,https://scholar.google.com//citations?hl=en&user=u4oGELMAAAAJ
34,Mark Snyder,https://scholar.google.com//citations?hl=en&user=jZBTDosAAAAJ
35,Mingrui Liu,https://scholar.google.com//citations?hl=en&user=KFoEnFQAAAAJ
36,Parth Pathak,https://scholar.google.com//citations?hl=en&user=VP4egzMAAAAJ
37,Sanmay Das,https://scholar.google.com//citations?hl=en&user=HRSDO6IAAAAJ
38,Shuochao Yao,https://scholar.google.com//citations?hl=en&user=JyE51wcAAAAJ
39,Songqing Chen,https://scholar.google.com//citations?hl=en&user=T7IRM8EAAAAJ
40,Wassim Itani,https://scholar.google.com//citations?hl=en&user=vuUUR9YAAAAJ
41,Wing Lam,https://scholar.google.com//citations?hl=en&user=OXYaXQsAAAAJ
42,Xiaokuan Zhang,https://scholar.google.com//citations?hl=en&user=HbuPL5IAAAAJ
