titles,authors,date,source,descriptions,citations
"Secure databases: Constraints, inference channels, and monitoring disclosures","Alexander Brodsky, Csilla Farkas, Sushil Jajodia",2000/11,Journal IEEE Transactions on Knowledge and Data Engineering,"Investigates the problem of inference channels that occur when database constraints are combined with non-sensitive data to obtain sensitive information. We present an integrated security mechanism, called the Disclosure Monitor, which guarantees data confidentiality by extending the standard mandatory access control mechanism with a Disclosure Inference Engine. This generates all the information that can be disclosed to a user based on the user's past and present queries and the database and metadata constraints. The Disclosure Inference Engine operates in two modes: a data-dependent mode, when disclosure is established based on the actual data items, and a data-independent mode, when only queries are utilized to generate the disclosed information. The disclosure inference algorithms for both modes are characterized by the properties of soundness (i.e. everything that is generated by the …",217
Logical design for temporal databases with multiple granularities,"X Sean Wang, Claudio Bettini, Alexander Brodsky, Sushil Jajodia",1997/6/1,Journal ACM Transactions on Database Systems (TODS),"The purpose of good database logical design is to eliminate data redundancy and isertion and deletion anomalies. In order to achieve this objective for temporal databases, the notions of temporal types, which formalize time granularities, and temporal functional dependencies (TFDs) are intrduced. A temporal type is a monotonic mapping from ticks of time (represented by positive integers) to time sets (represented by subsets of reals) and is used to capture various standard and user-defined calendars. A TFD is a proper extension of the traditional functional dependency and takes the form X  →μ Y, meaning that there is a unique value for Y during one tick of the temporal type μ for one particular X value. An axiomatization for TFDs is given. Because a finite set TFDs usually implies an infinite number of TFDs, we introduce the notion of and give an axiomatization for a finite closure to effectively capture a finite set of …",193
Toward practical constraint databases,"Alexander Brodsky, Joxan Jaffar, Michael J Maher",1993/8/24,Book Proceedings of the 19th International Conference on Very Large Data Bases,,97
Information disclosure under realistic assumptions: Privacy versus optimality,"Lei Zhang, Sushil Jajodia, Alexander Brodsky",2007/10/28,"Conference 14th ACM Conference on Computer and Communications Security, Proceedings of","The problem of information disclosure has attracted much interest from the research community in recent years. When disclosing information, the challenge is to provide as much information as possible (optimality) while guaranteeing a desired safety property for privacy (such as l-diversity). A typical disclosure algorithm uses a sequence of disclosure schemas to output generalizations in the nonincreasing order of data utility; the algorithm releases the first generalization that satisfies the safety property. In this paper, we assert that the desired safety property cannot always be guaranteed if an adversary has the knowledge of the underlying disclosure algorithm. We propose a model for the additional information disclosed by an algorithm based on the definition of deterministic disclosure function (DDF), and provide definitions of p-safe and p-optimal DDFs. We give an analysis for the complexity to compute a p …",91
The LyriC language: Querying constraint objects,"Alexander Brodsky, Yoram Kornatzky",1995/6/1,Journal ACM SIGMOD Record,"We propose a novel data model and its language for querying object-oriented databases where objects may hold spatial, temporal or constraint data, conceptually represented by linear equality and inequality constraints. The proposed LyriC language is designed to provide a uniform and flexible framework for diverse application realms such as (1) constraint-based design in two-, three-, or higher-dimensional space, (2) large-scale optimization and analysis, based mostly on linear programming techniques, and (3) spatial and geographic databases. LyriC extends flat constraint query languages, especially those for linear constraint databases, to structurally complex objects. The extension is based on the object-oriented paradigm, where constraints are treated as first-class objects that are organized in classes. The query language is an extension of the language XSQL, and is built around the idea of extended path …",80
The LyriC Language: Querying Constraint Objects,"Alexander Brodsky, Yoram Kornatzky",1995,"Conference ACM SIGMOD Conference on Management of Data (SIGMOD 1995), Proceedings of","We propose a novel data model and its language for querying object-oriented databases where objects may hold spatial, temporal or constraint data, conceptually represented by linear equality and inequality constraints. The proposed LyriC language is designed to provide a uniform and flexible framework for diverse application realms such as (1) constraint-based design in two-, three-, or higher-dimensional space, (2) large-scale optimization and analysis, based mostly on linear programming techniques, and (3) spatial and geographic databases. LyriC extends flat constraint query languages, especially those for linear constraint databases, to structurally complex objects. The extension is based on the object-oriented paradigm, where constraints are treated as first-class objects that are organized in classes. The query language is an extension of the language XSQL, and is built around the idea of extended path …",80
Toward information sharing: Benefit and risk access control (barac),"Lei Zhang, Alexander Brodsky, Sushil Jajodia",2006/6/5,"Conference 7th IEEE International Workshop on Policies for Distributed Systems and Networks (Policy 2006), Proceedings of","This paper describes an access control model, called BARAC, that is based on balancing risks of information disclosure with benefits of information sharing. The model configuration associates risk and benefit vectors with every read and update transaction. An allowed transactions graph captures allowed transactions and flow paths that can be used to carry out the transactions. The total system is required to be profitable, in that the total system benefit must overweigh the total system risk; and the allowed transaction graph is required to be optimal, in that its profit cannot be improved by adding transactions or removing transactions. Both the system configuration and the allowed transaction graph can be dynamically modified, while preserving the required properties. The dynamic modifications are done in the scope of hierarchies of tasks and responsible parties, that control the task structure and risk budget …",79
Inference of monotonicity constraints in datalog programs,"Alexander Brodsky, Yehoshua Sagiv",1989/3/29,"Conference 8th ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems (PODS 1989) , Proceedings of the","Datalog (i.e., function-free logic) programs with monotonicity constraints on extensional predicates are considered. A monotonicity constraint states that one argument of a predicate is always less than another argument, according to some partial order. Relations of an extensional database are required to satisfy the monotonicity constraints imposed on their predicates. More specifically, a partial order is defined on the domain (i.e., set of constants) of the database, and every tuple of each relation satisfies the monotonicity constraints imposed on its predicate. An algorithm is given for inferring all monotonicity constraints that hold in relations of the intensional database from monotonicity constraints that hold in the extensional database. A complete inference algorithm is also given for disjunctions of monotonicity and equality constraints. It is shown that the inference of monotonicity constraints in programs is a complete …",68
"Decision-Guidance Management Systems (DGMS): Seamless Integration of Data Acquisition, Learning, Prediction and Optimization","Alexander Brodsky, X Sean Wang",2008/1/7,"Conference System Sciences (HICSS) 41st Hawaii International Conference on , Proceedings of","A decision guidance management system (DGMS) is a productivity platform for fast development of applications that require a closed-loop data acquisition, learning, prediction, and decision optimization. This paper introduces the DGMS concept, and the first DGMS data model with its query language, DG-SQL. The DGMS data model is an extension of the relational model with probability distributions over a set of attributes as random variables. DG-SQL supports a seamless integration of (1) querying the data collection and construction of learning sets, (2) learning from the learning sets, using parameterized transformers and optionally defining an estimation utility, such as sum of squares of errors, to be minimized; (3) probabilistic prediction and simulation, using expressions that involve random variables, such as expectation, variance and probability of a logical formula; and (4) stochastic or deterministic …",55
System and method for adaptive trade specification and match-making optimization,"Alexander Brodsky, Alan Gozhansky, Sonya Karpishpan, Marcel Katz, Stanislav Zelivinski",2002,Patent office US,"Electronic commerce is facilitated through adaptive trade specifications and matchmaking optimization. Adaptive trade specifications provide a standard format for traders to specify what they want to obtain and what they are willing to give for it, in both qualitative and quantitative terms, as well as constraints and an objective such as maximum profit or minimum price. The standard format of the adaptive trade specifications allows the matchmaking optimization process to find the optimal match between traders. For example, if a buyer wishes to minimize the price of a desired purchase, subject to certain constraints, the standard format allows location of sellers meeting the constraints and performs one of various types of optimization to match the buyer with one or more sellers. Thus, one or more mutually agreeable transactions can be recommended.",51
