titles,authors,date,source,descriptions,citations
System architecting and design space characterization,"Ali K Raz, C Robert Kenley, Daniel A DeLaurentis",2018/5,Journal Systems Engineering,"This article provides a process for system architecting that incorporates a holistic approach for architecture design space characterization by integrating decision alternatives in functional, physical, and allocational design spaces and accounting for interactions. System architects are faced with numerous decisions for system form, functions, and operations when defining a system architecture. Systems designers are tasked with selecting design options which provide the necessary functionality in support of the architecture. Since modern systems, especially system‐of‐systems, are composed of interacting and interwoven functions and elements, it is imperative to holistically evaluate variations in the system architecture and system design, and discover interactions among and between architecture decisions and design decisions. In this article, this design space characterization is made an integral part of the system …",35
A System-of-Systems perspective for information fusion system design and evaluation,"Ali K Raz, C Robert Kenley, Daniel A DeLaurentis",2017/5/1,Journal Information Fusion,"This paper provides a System-of-Systems (SoS) perspective for integrated design and evaluation of an Information Fusion System (IFS). IFS is comprised of distributed and heterogeneous systems that accomplish low-level and high-level information fusion (LLIF and HLIF) functionality. LLIF and HLIF functions are developed independent from one another but require collaboration to achieve the IFS mission objectives. The distribution and heterogeneity of systems, in addition to the multiplicity of LLIF and HLIF functions, creates an extensively large design space for the IFS. We apply a SoS engineering architecting process to obtain integrated architectures of IFS and propose guidelines to constrain an otherwise infinite design space of Information Fusion System-of-Systems (IF-SoS). Furthermore, we elaborate a multi-agent system modeling approach and pair it with Design of Experiments for objective evaluation of …",34
Enabling Autonomy in Command and Control via Game-Theoretic Models and Machine Learning with a Systems Perspective,"Ali K Raz, Erik Blasch, Robert Cruise, Sriraam Natarajan",2019,Book AIAA Scitech 2019 Forum,"Future Command and Control (C2) systems will leverage advances in technology, coordination of distributed users, and a large number of data and modeling sources. Examples rapidly being envisioned include autonomous cars,",21
Cyber-physical command guided swarm,"R Cruise, E Blasch, S Natarajan, A Raz",2018,Journal DSIAC Journal,,21
Engineering for emergence in information fusion systems: A review of some challenges,"Ali K Raz, James Llinas, Ranjeev Mittu, William F Lawless",2020/1/1,Source Human-Machine Shared Contexts,"Modern information fusion (IF) systems are faced with evolving operational environments where human and intelligent systems will function as a team to achieve mission objectives. These evolving operational contexts demand a full spectrum dynamic response of “data to decision” from IF systems. Traditional information extraction and fusion levels typically address the “data” end of the spectrum, while recent advancement in machine learning (ML) and artificial intelligence (AI) approaches is being used for the “decision” end of the spectrum. However, the IF system behavior emerges from the various complex interactions that take place between different fusion levels (including human interaction), the operational context, and the employed AI/ML techniques. In this chapter we explore this emergent behavior of the IF system and argue that holistic system design and evaluation techniques, as offered by system …",12
Identifying interactions for information fusion system design using machine learning techniques,"Ali K Raz, Paul Wood, Linas Mockus, Daniel A DeLaurentis, James Llinas",2018/7/10,Conference 2018 21st International Conference on Information Fusion (FUSION),"An Information Fusion System (IFS) is a complex system consisting of various interdependent elements such as sensors, information processors, fusers, sense-makers, and resource managers, etc. These elements are typically designed and evaluated independently, but isolated performance evaluation does not scale to a system-level performance in complex systems. Since the IFS capability results from the collective behavior of these elements, identifying interactions becomes critical for engineering an IFS. In this paper, we investigate machine learning techniques (deep neural networks and general linear models) to provide holistic performance evaluation of the IFS, where the objective is to understand IFS design implications based on variations and interactions of its constituents elements. The challenge for employing machine learning techniques is the availability of a data set to build a predictive performance …",12
Control diffusion of information collection for situation understanding using Boosting MLNs,"Erik Blasch, Robert Cruise, Sriraam Natarajan, Ali K Raz, Tim Kelly",2018/7/10,Conference 2018 21st International Conference on Information Fusion (FUSION),"Information fusion includes the integration of data for situational understanding. As a situation unfolds, maintaining awareness depends on diverse collections of data. In complex and dynamic scenarios, human operators face the difficult task of choosing which data to collect next. Hence, there is a need for multilayered fusion processes that exploit multiple models and levels of abstraction for understanding and sense-making Data collection has its roots in sensor management; however, there is an analogous need for data management - such as the incorporation of public domain data. Mature sensor management includes methods to utilize platform, sensor, and scene modeling so as to guide the user for future data collection. Additionally, these physics-based models could be a method to guide human-derived information models. Using the Data Fusion Information Group Model (DFIG), we develop an equivalent …",12
Projecting adoption of truck powertrain technologies and CO2 emissions in line-haul networks,"Ana Guerrero de la Peña, Navindran Davendralingam, Ali K Raz, Daniel DeLaurentis, Gregory Shaver, Vivek Sujan, Neera Jain",2020/7/1,Journal Transportation Research Part D: Transport and Environment,"In this paper we present a mixed-integer linear program to represent the decision-making process for heterogeneous fleets selecting vehicles and allocating them on freight delivery routes to minimize total cost of ownership. This formulation is implemented to project alternative powertrain technology adoption and utilization trends for a set of line-haul fleets operating on a regional network. Alternative powertrain technologies include compressed (CNG) and liquefied natural gas (LNG) engines, hybrid electric diesel, battery electric (BE), and hydrogen fuel cell (HFC). Future policies, economic factors, and availability of fueling and charging infrastructure are input assumptions to the proposed modeling framework. Powertrain technology adoption, vehicle utilization, and resulting CO2 emissions predictions for a hypothetical, representative regional highway network are illustrated. A design of experiments (DOE) is used …",11
Towards intelligent architecting of aerospace system-of-systems,"Cesare Guariniello, Linas Mockus, Ali K Raz, Daniel A DeLaurentis",2019/3/2,Conference 2019 IEEE Aerospace Conference,"System-of-Systems (SoS) are composed of large scale independent and complex heterogeneous systems which collaborate to create capabilities not achievable by a single system, for example air transportation system, satellite constellations, and space exploration architectures. Much of the research effort in the field of SoS has focused on the analysis of these complex entities, while there are still major gaps in developing tools for automated synthesis and engineering of SoS that consider all the various aspects in this problem domain. The gap we address in this paper is a mapping of clusters of SoS architecture alternatives, segmented by performance along multiple metrics, to architectural features. Building upon our previous research where we used a SoS Analytic Work Bench in combination with Model-Based Systems Engineering artifacts to perform analysis of aerospace systems, we propose to build a …",11
System-of-Systems Architecture Metrics for Information Fusion: A Network Theoretic Formulation,"Ali K. Raz, Daniel A. DeLaurenits",2017,Conference AIAA Information Systems-AIAA Infotech @ Aerospace,"A seminal model in information fusion is the Joint Directorate of Laboratories (JDL) Data Fusion Model (DFM) 1, 2 which facilitates elicitation of the various functions that enable information fusion. An information fusion system (IFS), then, is a system whose functional decomposition is given by the functional elicitation of the JDL-DFM. Given that the information fusion capability results from collaboration of multiple systems, it is no surprise that JDL-DFM functions are accomplished by heterogeneous and geospatially distributed independent systems which collectively realize the IFS. Hence, an IFS is in essence a System-of-Systems (SoS). How this collaboration of multiple systems is structured, along with the allocation of different functions to multiple systems—namely the Information Fusion SoS (IF-SoS) architecture—can have a significant impact on the IFS mission objectives.",11
