titles,authors,date,source,descriptions,citations
Highlights from the era of open source web-based tools,"Kristin R Anderson, Julie A Harris, Lydia Ng, Pjotr Prins, Sara Memar, Bengt Ljungquist, Daniel Fürth, Robert W Williams, Giorgio A Ascoli, Dani Dumitriu",2021/2/3,Source Journal of Neuroscience,"High digital connectivity and a focus on reproducibility are contributing to an open science revolution in neuroscience. Repositories and platforms have emerged across the whole spectrum of subdisciplines, paving the way for a paradigm shift in the way we share, analyze, and reuse vast amounts of data collected across many laboratories. Here, we describe how open access web-based tools are changing the landscape and culture of neuroscience, highlighting six free resources that span subdisciplines from behavior to whole-brain mapping, circuits, neurons, and gene variants.",12
Discrepancies between cortical and behavioural long‐term readouts of hyperalgesia in awake freely moving rats,"B Ljungquist, T Jensen, L Etemadi, J Thelin, G Lind, M Garwicz, P Petersson, F Tsanakalis, J Schouenborg",2016/11,Journal European Journal of Pain,"It is still unclear to what extent the most common animal models of pain and analgesia, based on indirect measures such as nocifensive behaviours, provide valid measures of pain perception.",7
Large scale similarity search across digital reconstructions of neural morphology,"Bengt Ljungquist, Masood A Akram, Giorgio A Ascoli",2022/8/1,Journal Neuroscience Research,"Most functions of the nervous system depend on neuronal and glial morphology. Continuous advances in microscopic imaging and tracing software have provided an increasingly abundant availability of 3D reconstructions of arborizing dendrites, axons, and processes, allowing their detailed study. However, efficient, large-scale methods to rank neural morphologies by similarity to an archetype are still lacking. Using the NeuroMorpho.Org database, we present a similarity search software enabling fast morphological comparison of hundreds of thousands of neural reconstructions from any species, brain regions, cell types, and preparation protocols. We compared the performance of different morphological measurements: 1) summary morphometrics calculated by L-Measure, 2) persistence vectors, a vectorized descriptor of branching structure, 3) the combination of the two. In all cases, we also investigated the …",6
Efficient metadata mining of web-accessible neural morphologies,"Masood A Akram, Bengt Ljungquist, Giorgio A Ascoli",2022/1/1,Source Progress in biophysics and molecular biology,"Advancements in neuroscience research have led to steadily accelerating data production and sharing. The online community repository of neural reconstructions NeuroMorpho.Org grew from fewer than 1000 digitally traced neurons in 2006 to more than 140,000 cells today, including glia that now constitute 10.1% of the content. Every reconstruction consists of a detailed 3D representation of branch geometry and connectivity in a standardized format, from which a collection of morphometric features is extracted and stored. Moreover, each entry in the database is accompanied by rich metadata annotation describing the animal subject, anatomy, and experimental details. The rapid expansion of this resource in the past decade was accompanied by a parallel rise in the complexity of the available information, creating both opportunities and challenges for knowledge mining. Here, we introduce a new summary …",6
Investigation of requirements selection quality in market-driven software processes using an open source discrete event simulation framework,"Björn Regnell, Bengt Ljungquist, Thomas Thelin, Lena Karlsson",2004,"Journal Proceedings of the 5th International Workshop on Software Process Simulation and Modeling (ProSim), Stevenage, UK","When developing commercial software products it is crucial to select the right requirements for the right release and to have a short mean-time-to-market (MTTM) in order to be competitive. We report on a simulation of a model of market-driven requirements engineering processes with requirements selection quality as a key aspect. The simulator is built using an open source simulation framework and an evaluation of this framework is provided. The simulator enables investigation of how MTTM is affected by variations of internal and external process parameters. The results indicate that it is beneficial to put resources on a requirements screening phase, as this reduces the risk of process overload.",5
A bit-encoding based new data structure for time and memory efficient handling of spike times in an electrophysiological setup,"Bengt Ljungquist, Per Petersson, Anders J Johansson, Jens Schouenborg, Martin Garwicz",2018/4,Journal Neuroinformatics,"Recent neuroscientific and technical developments of brain machine interfaces have put increasing demands on neuroinformatic databases and data handling software, especially when managing data in real time from large numbers of neurons. Extrapolating these developments we here set out to construct a scalable software architecture that would enable near-future massive parallel recording, organization and analysis of neurophysiological data on a standard computer. To this end we combined, for the first time in the present context, bit-encoding of spike data with a specific communication format for real time transfer and storage of neuronal data, synchronized by a common time base across all unit sources. We demonstrate that our architecture can simultaneously handle data from more than one million neurons and provide, in real time (< 25 ms), feedback based on analysis of previously recorded …",4
"A novel framework for storage, analysis and integration through mediation of large-scale electrophysiological data","Bengt Ljungquist, Per Petersson, Jens Schouenborg, Anders J Johansson, Martin Garwicz",2011/4/27,Conference 2011 5th International IEEE/EMBS Conference on Neural Engineering,"We present a framework based on object orientation with novel principles for how to store, analyze and integrate electrophysiological data. These principles are: (I) Using a Decorator pattern for storing analysis data in an object model, (II) using a Core Classes data structure for integration through mediation in a service bus architecture, and (III) choosing the single unit as the finest structure of the object model. With these principles, we address the problems of (1) how to relate the analysis data to the original electrophysiological data by utilizing design patterns, (2) how to integrate data from different data sources, both at application and organization levels and (3) avoiding performance problems by choosing the correct level of object granularity for the data.",3
Spike feature stability during long-term recordings.,"Bengt Ljungquist, Per Petersson, Jonas Thelin, Jens Schouenborg, Anders Johansson, Martin Garwicz",2010,"Conference 40th Annual Meeting of the Society for Neuroscience, 2010",,1
Developing a Mobile Interface for NeuroMorpho. Org,"Matthew Kurapatti, Giorgio Ascoli Giorgio Ascoli, Praveen Menon, Navy Merianda, Bengt Ljungquist",2019/11/19,Journal Journal of Student-Scientists' Research,"NeuroMorpho. Org is an online repository that provides more than 110,000 digital neuronal reconstructions and their associated metadata from more than 560 laboratories around the world. The diverse user base of this resource includes not only neuroscience professionals, such as researchers and educators but also other groups, such as artists and the general public. Previously, it has been difficult to connect from a mobile device due to the lack of a suitable interface. Through the development of a mobile application, we are better able to support usage by less technically versed users. However, it will also serve as a tool for researchers to quickly look up data while on the go or as a complementary interface to a standard computer in general. By utilizing React Native’s library and the Expo client to develop and test the application, we efficiently built an interface that is friendly to both Android and iOS users. In this …",
Bitcoding the brain. Integration and organization of massive parallel neuronal data.,Bengt Ljungquist,2018,Volume 2018,,
