titles,authors,date,source,descriptions,citations
Spreading codes for direct sequence CDMA and wideband CDMA cellular networks,"Esmael H Dinan, Bijan Jabbari",1998/9,Journal IEEE communications magazine,"This article presents an overview of the spreading techniques for use in direct sequence CDMA cellular networks. We review the theoretical background for sequences used in CDMA and wideband CDMA, and discuss the main characteristics of the maximal length, Gold (1967, 1968), and Kasami sequences, as well as variable- and fixed-length orthogonal codes. We also describe different methods of multiple spreading for channelization and scrambling in CDMA and W-CDMA realizations.",929
Handover and channel assignment in mobile cellular networks,"Sirin Tekinay, Bijan Jabbari",1991/11,Journal IEEE Communications magazine,"A taxonomy of channel assignment strategies is provided, and the complexity in each cellular component is discussed. Various handover scenarios and the roles of the base station and the mobile switching center are considered. Prioritization schemes are discussed, and the required intelligence distribution among the network components is defined.< >",689
A measurement-based prioritization scheme for handovers in mobile cellular networks,"Sirin Tekinay, Bijan Jabbari",1992/10,Journal IEEE Journal on selected Areas in Communications,"A method of improving the quality of service in mobile cellular systems based on prioritization of handover requests is presented. The objective is to improve perceived quality of cellular service by minimizing both the probability of forced termination of ongoing calls due to handover failures and the degradation in spectrum utilization. A model based on a multiple-priority nonpreemptive queuing discipline is developed. New calls are blocked if all channels are occupied. Handover requests are queued such that as soon as a channel is available, it is offered to the mobile subscriber with the measurement results closest to the minimum acceptable power level for communication. Service rate is given by channel occupancy time distribution and is assumed to be exponential. The performance of a cellular system employing the proposed handover policy is evaluated analytically and by simulation, and results are …",487
Teletraffic aspects of evolving and next-generation wireless communication networks,Bijan Jabbari,1996/12,Journal IEEE Personal Communications,"The design of cellular and microcellular networks is being influenced or changed by the continuous growth in number of subscribers and traffic volume in mobile telecommunications. The author discusses some important aspects of next-generation wireless networks with their implications for teletraffic. Simple models for homogeneous systems, to serve as approximate solutions, are presented. The author addresses some issues relevant to heterogeneous systems and briefly discuss typical approaches when possible. The reader is presented with a number of references to present and past work in the area.",239
DRAGON: a framework for service provisioning in heterogeneous grid networks,"Tom Lehman, Jerry Sobieski, Bijan Jabbari",2006/3/20,Journal IEEE Communications Magazine,"Dynamic resource allocation in GMPLS optical networks (DRAGON) defines a research and experimental framework for high-performance networks required by grid computing and e-science applications. The DRAGON project is developing technology and deploying network infrastructure which allows dynamic provisioning of network resources in order to establish deterministic paths in direct response to end-user requests. This includes multidomain provisioning of traffic-engineering paths using a distributed control plane across heterogeneous network technologies while including mechanisms for authentication, authorization, accounting (AAA), and scheduling. A reference implementation of this framework has been instantiated in the Washington, DC area and is being utilized to conduct research and development into the deployment of optical networks technologies toward the satisfaction of very-high …",208
Teletraffic modeling and analysis of flexible hierarchical cellular networks with speed-sensitive handoff strategy,"Bijan Jabbari, Woldemar F.  Fuhrmann",1997/10,Journal IEEE Journal on selected areas in communications,"Hierarchical cellular networks with subscribers of varying mobility are considered. Microcells are used to address the high-intensity traffic of mainly slow mobility areas, and macrocells are overlaid over the microcells to cater mainly to high-mobility lower density traffic. The two tiers of microcells and macrocells provide a secondary resource for new traffic as well as handoffs for mobile subscribers of different mobility classes. Furthermore, resources in alternate layers are monitored to assign the appropriate resource types when they become available. We develop an analytical model to evaluate the performance of such systems, and quantify the gain obtained by providing overflow to alternate resources as well as the advantages in resource reassignment according to the speed classification.",207
Network issues for wireless communications,"Bijan Jabbari, Giovanni Colombo, Akihisa Nakajima, Jayant Kulkarni",1995/1,Journal IEEE Communications magazine,"This article specifically focuses on wireless personal communications, i.e., wireless access, that provides either terminal or personal mobility. In particular, we discuss some important issues in networking, traffic, and performance. Although within radio and networking aspects there are significant commonalities between traditional cellular mobile communications and wireless personal communications, there exist distinct differences due to radio propagation and fading effects, interference environment, smaller cell sizes, type and pattern of mobility, and call delivery. Indeed, with respect to networking issues, a large set of system choices, characteristics of traffic to be carried, and important parameters have to be considered. These include the problems involved in selecting an appropriate multiaccess technology to efficiently handle the required subscriber service profile across a multiplicity of systems to complete a …",192
Self-organizing packet radio ad hoc networks with overlay (SOPRANO),"Ali N Zadeh, Bijan Jabbari, Raymond Pickholtz, Branimir Vojcic",2002/6,Journal IEEE communications magazine,"The SOPRANO project involves a novel adaptive and scalable wireless network architecture utilizing a mixture of cellular and multihop packet radio system topologies with the potential to support a variety of applications including high-data rate Internet and multimedia traffic at a reasonable degree of implementation complexity. This article discusses the potential benefits of this structure and addresses several relevant issues necessary to support such a network. More specifically, it focuses on connection establishment and self-organization, investigates the formulation of an optimum transmission strategy, and examines some of the techniques by which we can augment the capacity or enhance the system performance in this multihop network. We also present capacity bounds that illustrate how these techniques help in trading off conserved power for a multifold capacity advantage.",183
Multiscale video representation using multiresolution motion compensation and wavelet decomposition,"Sohail Zafar, Y-Q Zhang, Bijan Jabbari",1993/1,Journal IEEE Journal on selected areas in communications,A multiscale video representation using wavelet decomposition and variable-block-size multiresolution motion estimation (MRME) is presented. The multiresolution/multifrequency nature of the discrete wavelet transform makes it an ideal tool for representing video sources with different resolutions and scan formats. The proposed variable-block-size MRME scheme utilizes motion correlation among different scaled subbands and adapts to their importance at different layers. The algorithm is well suited for interframe HDTV coding applications and facilitates conversions and interactions between different video coding standards. Four scenarios for the proposed motion-compensated coding schemes are compared. A pel-recursive motion estimation scheme is implemented in a multiresolution form. The proposed approach appears suitable for the broadcast environment where various standards may coexist …,155
Motion-classified autoregressive modeling of variable bit rate video,"Ferit Yegenoglu, Bijan Jabbari, Y-Q Zhang",1993/2,Journal IEEE Transactions on Circuits and Systems for Video Technology,"A motion-adaptive variable-bit-rate (VBR) video codec is considered, and a motion-classified model is developed to represent the characteristics of various classes of motion activities, including scene changes. The codec switches between interframe, motion-compensated, and intraframe coding corresponding to low, medium, and high amounts of motion and scene changes, respectively. The model captures the motion of various video scenes by providing the statistics of VBR-coded video traffic through a first-order autoregressive process with time-varying parameters. The parameters of this model are obtained from a VBR-coded sample video sequence with the objective of matching the bit-rate distribution and the autocorrelation among the bit rates. The validity and accuracy of the model are evaluated, and the characteristics of aggregated traffic sources obtained with the model are discussed.< >",146
