titles,authors,date,source,descriptions,citations
Novel injectable neutral solutions of chitosan form biodegradable gels in situ,"A Chenite, C Chaput, D Wang, C Combes, MD Buschmann, CD Hoemann, JC Leroux, BL Atkinson, F Binette, A Selmani",2000/11/1,Journal Biomaterials,"A novel approach to provide, thermally sensitive neutral solutions based on chitosan/polyol salt combinations is described. These formulations possess a physiological pH and can be held liquid below room temperature for encapsulating living cells and therapeutic proteins; they form monolithic gels at body temperature. When injected in vivo the liquid formulations turn into gel implants in situ. This system was used successfully to deliver biologically active growth factors in vivo as well as an encapsulating matrix for living chondrocytes for tissue engineering applications. This study reports for the first time the use of polymer/polyol salt aqueous solutions as gelling systems, suggesting the discovery of a prototype for a new family of thermosetting gels highly compatible with biological compounds.",1701
Tissue engineering of cartilage using an injectable and adhesive chitosan-based cell-delivery vehicle,"CD Hoemann, J Sun, A Legare, MD McKee, MD Buschmann",2005/4/1,Journal Osteoarthritis and cartilage,,400
In vitro osteogenesis assays: influence of the primary cell source on alkaline phosphatase activity and mineralization,"CD18842361 Hoemann, H El-Gabalawy, MD McKee",2009/6/1,Source Pathologie Biologie,"In trabecular bone fracture repair in vivo, osteogenesis occurs through endochondral ossification under hypoxic conditions, or through woven bone deposition in the vicinity of blood vessels. In vitro osteogenesis assays are routinely used to test osteoblastic responses to drugs, hormones, and biomaterials for bone and cartilage repair applications. These cell culture models recapitulate events that occur in woven bone synthesis, and are carried out using primary osteoblasts, osteoblast precursors such as bone marrow-derived mesenchymal stromal cells (BMSCs), or various osteoblast cell lines. With time in culture, cell differentiation is typically assessed by examining levels of alkaline phosphatase activity (an early osteoblast marker) and by evaluating the assembly of a collagen (type I)-containing fibrillar extracellular matrix that mineralizes. In this review, we have made a comparative analysis of published …",369
Chitosan-glycerol phosphate/blood implants improve hyaline cartilage repair in ovine microfracture defects,"Caroline D Hoemann, Mark Hurtig, Evgeny Rossomacha, Jun Sun, Anik Chevrier, Matthew S Shive, Michael D Buschmann",2005/12/1,Journal JBJS,"Background: Microfracture is a surgical procedure that is used to treat focal articular cartilage defects. Although joint function improves following microfracture, the procedure elicits incomplete repair. As blood clot formation in the microfracture defect is an essential initiating event in microfracture therapy, we hypothesized that the repair would be improved if the microfracture defect were filled with a blood clot that was stabilized by the incorporation of a thrombogenic and adhesive polymer, specifically, chitosan. The objectives of the present study were to evaluate (1) blood clot adhesion in fresh microfracture defects and (2) the quality of the repair, at six months postoperatively, of microfracture defects that had been treated with or without chitosan-glycerol phosphate/blood clot implants, using a sheep model.",366
Composition and method for the repair and regeneration of cartilage and other tissues,"Caroline D Hoemann, Michael D Buschmann, Marc D McKee",2006/12/12,Patent office US,"2006-07-24 Assigned to MCGILL UNIVERSITY, OFFICE OF TECHNOLOGY TRANSFER reassignment MCGILL UNIVERSITY, OFFICE OF TECHNOLOGY TRANSFER ASSIGNMENT OF ASSIGNORS INTEREST (SEE DOCUMENT FOR DETAILS). Assignors: MCKEE, MARC D",355
The potential of chitosan-based gels containing intervertebral disc cells for nucleus pulposus supplementation,"Peter Roughley, Caroline Hoemann, Eric DesRosiers, Fackson Mwale, John Antoniou, Mauro Alini",2006/1/1,Journal Biomaterials,"The suitability of chitosan-based hydrogels as scaffolds for the encapsulation of intervertebral disc (IVD) cells and the accumulation of a functional extracellular matrix mimicking that of the nucleus pulposus (NP) was investigated. The specific hypothesis under study was that the cationic chitosan would form an ideal environment in which large quantities of newly synthesized anionic proteoglycan could be entrapped. Indeed, all the formulations of cell-seeded chitosan hydrogels, studied under in vitro culture conditions, showed that the majority of proteoglycan produced by encapsulated NP cells was retained within the gel rather than released into the culture medium. This was not always the case when annulus fibrosus cells were encapsulated, as unlike the nucleus cells the annulus cells often did not survive when cultured in chitosan. The results support the concept that chitosan may be a suitable scaffold for cell …",306
Drilling and microfracture lead to different bone structure and necrosis during bone‐marrow stimulation for cartilage repair,"Hongmei Chen, Jun Sun, Caroline D Hoemann, Viorica Lascau‐Coman, Wei Ouyang, Marc D McKee, Matthew S Shive, Michael D Buschmann",2009/11,Journal Journal of Orthopaedic Research,"Bone marrow stimulation is performed using several surgical techniques that have not been systematically compared or optimized for a desired cartilage repair outcome. In this study, we investigated acute osteochondral characteristics following microfracture and comparing to drilling in a mature rabbit model of cartilage repair. Microfracture holes were made to a depth of 2 mm and drill holes to either 2 mm or 6 mm under cooled irrigation. Animals were sacrificed 1 day postoperatively and subchondral bone assessed by histology and micro‐CT. We confirmed one hypothesis that microfracture produces fractured and compacted bone around holes, essentially sealing them off from viable bone marrow and potentially impeding repair. In contrast, drilling cleanly removed bone from the holes to provide access channels to marrow stroma. Our second hypothesis that drilling would cause greater osteocyte death than …",288
Frequent provirus insertional mutagenesis of Notch1 in thymomas of MMTVD/myc transgenic mice suggests a collaboration of c-myc and Notch1 for oncogenesis.,"Luc Girard, Zaher Hanna, Normand Beaulieu, Caroline D Hoemann, Carole Simard, Christine A Kozak, Paul Jolicoeur",1996/8/1,Journal Genes & development,"The MMTVD/myc transgenic mice spontaneously develop oligoclonal CD4+CD8+ T-cell tumors. We used provirus insertional mutagenesis in these mice to identify putative collaborators of c-myc. We found that Notch1 was mutated in a high proportion (52%) of these tumors. Proviruses were inserted upstream of the exon coding for the transmembrane domain and in both transcriptional orientations. These mutations led to high expression of truncated Notch1 RNAs and proteins (86-110 kD). In addition, many Notch1-rearranged tumors showed elevated levels of full-length Notch1 transcripts, whereas nearly all showed increased levels of full-length (330-kD) or close to full-length (280-kD) Notch1 proteins. The 5' end of the truncated RNAs were determined for some tumors by use of RT-PCR and 5' RACE techniques. Depending on the orientation of the proviruses, viral LTR or cryptic promoters appeared to be utilized …",266
Chitosan–glycerol phosphate/blood implants elicit hyaline cartilage repair integrated with porous subchondral bone in microdrilled rabbit defects,"CD Hoemann, J Sun, MD McKee, A Chevrier, E Rossomacha, G-E Rivard, M Hurtig, MD Buschmann",2007/1/1,Journal Osteoarthritis and Cartilage,,248
"Meniscus structure in human, sheep, and rabbit for animal models of meniscus repair","Anik Chevrier, Monica Nelea, Mark B Hurtig, Caroline D Hoemann, Michael D Buschmann",2009/9,Journal Journal of orthopaedic research,"Meniscus injury is a frequently encountered clinical orthopedic issue and is epidemiologically correlated to osteoarthritis. The development of new treatments for meniscus injury is intimately related to the appropriateness of animal models for their investigation. The purpose of this study was to structurally compare human menisci to sheep and rabbit menisci to generate pertinent animal models for meniscus repair. Menisci were analyzed histologically, immunohistochemically, and by environmental scanning electron microscopy (ESEM). In all species, collagen I appeared throughout most menisci, but was absent from the inner portion of the tip in some samples. Collagen II was present throughout the inner main meniscal body, while collagen VI was found in pericellular and perivascular regions. The glycosaminoglycan‐rich inner portion of menisci was greater in area for rabbit and sheep compared to human. Cells …",216
"Chitosan–glycerol phosphate/blood implants increase cell recruitment, transient vascularization and subchondral bone remodeling in drilled cartilage defects","A Chevrier, CD Hoemann, J Sun, MD Buschmann",2007/3/1,Journal Osteoarthritis and Cartilage,,214
