titles,authors,date,source,descriptions,citations
Cooperative team strategies for multi-player perimeter-defense games,"Daigo Shishika, James Paulos, Vijay Kumar",2020/4,Journal IEEE Robotics and Automation Letters,"This letter studies a variant of the multi-player reach-avoid game played between intruders and defenders with applications to perimeter defense. The intruder team tries to score by sending as many intruders as possible to the target area, while the defender team tries to minimize this score by intercepting them. Finding the optimal strategies of the game is challenging due to the high dimensionality of the joint state space. Existing works have proposed approximation methods to reduce the design of the defense strategy into assignment problems, however, they suffer from either suboptimal defender performance or computational complexity. Based on a novel decomposition method, this letter proposes a scalable (polynomial-time) assignment algorithm that accommodates cooperative behaviors and outperforms the existing defense strategies. For a certain class of initial configurations, we derive the exact score by …",78
Local-game decomposition for multiplayer perimeter-defense problem,"Daigo Shishika, Vijay Kumar",2018/12/17,Conference 2018 IEEE Conference on Decision and Control (CDC),"This paper studies a multi-player game between intruders and defenders. The intruder team tries to score by sending as many intruders as possible to the target. The defender team tries to minimize this score by intercepting the intruders. Finding the strategies for both teams and estimating the outcome of the game is challenging due to the high dimensionality of the joint state space. The state-of-the-art method decomposes the game into two-player games and reduces the design of the defense strategy to an assignment problem, whose solution gives an upper bound on the score. We investigate the cooperative aspects of the multi-player game that are not captured in the aforementioned approach and propose a decomposition method that leads to the formation of local sub-teams. We use the method to design a cooperative-intrusion strategy that guarantees a lower bound on the score. The presented results …",74
Team composition for perimeter defense with patrollers and defenders,"Daigo Shishika, James Paulos, Michale R Dorothy, M Ani Hsieh, Vijay Kumar",2019/12,Conference 2019 58th IEEE Conference on Decision and Control (CDC),"We study team composition in the context of a multi-player pursuit-evasion game between intruders and defenders. The game has been previously studied assuming full state information on both teams. We extend this problem by requiring defenders to detect intruders using a limited sensor footprint before pursuit can begin. We simplify the policy synthesis for a heterogeneous team by decomposing the perimeter defense task into patrol and defense subtasks each performed by a homogeneous team. We derive a nonlinear relationship between the robot capabilities, the team sizes, and the overall defensive team performance. This interaction is then used to consider how to select the robots for each subtask when various types of robots with heterogeneous capabilities are available. We present how to accommodate parameter uncertainties and the coupling between the two subtasks in the team composition.",36
A review of multi agent perimeter defense games,"Daigo Shishika, Vijay Kumar",2020,"Source Decision and Game Theory for Security: 11th International Conference, GameSec 2020, College Park, MD, USA, October 28–30, 2020, Proceedings 11","This paper reviews a series of works done on the multi-agent perimeter defense scenario, in which a team of intruders try to score by reaching the target region while a team of defenders try to minimize the score by intercepting those intruders. We describe how the small-scale differential games are solved and are leveraged to design team strategies in the large-scale swarm versus swarm scenarios. Three different approaches to analyze the large-scale games (MM, MIS, and LGR) are introduced with comments on their relative strengths and weaknesses. As a unique contribution of this paper, we discuss how the existing results can be extended into more general problem formulations. Furthermore, we point out the limitations of the current work and suggest potential directions for future research.",30
Male motion coordination in anopheline mating swarms,"Daigo Shishika, Nicholas C Manoukis, Sachit Butail, Derek A Paley",2014/9/12,Journal Scientific reports,"The Anopheles gambiae species complex comprises the primary vectors of malaria in much of sub-Saharan Africa. Most of the mating in these species occurs in swarms composed almost entirely of males. Intermittent, organized patterns in such swarms have been observed, but a detailed description of male-male interactions has not previously been available. We identify frequent, time-varying interactions characterized by periods of parallel flight in data from 8 swarms of Anopheles gambiae and 3 swarms of Anopheles coluzzii filmed in 2010 and 2011 in the village of Donéguébogou, Mali. We use the cross correlation of flight direction to quantify these interactions and to induce interaction graphs, which show that males form synchronized subgroups whose size and membership change rapidly. A swarming model with damped springs between each male and the swarm centroid shows good agreement with the …",22
Decentralization of multiagent policies by learning what to communicate,"James Paulos, Steven W Chen, Daigo Shishika, Vijay Kumar",2019/5/20,Conference 2019 International Conference on Robotics and Automation (ICRA),"Effective communication is required for teams of robots to solve sophisticated collaborative tasks. In practice it is typical for both the encoding and semantics of communication to be manually defined by an expert; this is true regardless of whether the behaviors themselves are bespoke, optimization based, or learned. We present an agent architecture and training methodology using neural networks to learn task-oriented communication semantics based on the example of a communication-unaware expert policy. A perimeter defense game illustrates the system's ability to handle dynamically changing numbers of agents and its graceful degradation in performance as communication constraints are tightened or the expert's observability assumptions are broken.",21
Perimeter-defense game between aerial defender and ground intruder,"Elijah S Lee, Daigo Shishika, Vijay Kumar",2020/12/14,Conference 2020 59th IEEE Conference on Decision and Control (CDC),"We study a variant of pursuit-evasion game in the context of perimeter defense. In this problem, the intruder aims to reach the base plane of a hemisphere without being captured by the defender, while the defender tries to capture the intruder. The perimeter-defense game was previously studied under the assumption that the defender moves on a circle. We extend the problem to the case where the defender moves on a hemisphere. To solve this problem, we analyze the strategies based on the breaching point at which the intruder tries to reach the target and predict the goal position, defined as optimal breaching point, that is achieved by the optimal strategies on both players. We provide the barrier that divides the state space into defender-winning and intruder-winning regions and prove that the optimal strategies for both players are to move towards the optimal breaching point. Simulation results are presented to …",20
Guarding a circular target by patrolling its perimeter,"Alexander Von Moll, Meir Pachter, Daigo Shishika, Zachariah Fuchs",2020/12/14,Conference 2020 59th IEEE Conference on Decision and Control (CDC),"In this paper, the problem of guarding a circular target wherein the Defender(s) is constrained to move along its perimeter is posed and solved using a differential game theoretic approach. Both the one-Defender and two-Defender scenarios are analyzed and solved. The mobile Attacker seeks to reach the perimeter of the circular target, whereas the Defender(s) seeks to align itself with the Attacker, thereby ending the game. In the former case, the Attacker wins, and the Attacker and Defender play a zero sum differential game where the payoff/cost is the terminal angular separation. In the latter case, the Defender(s) wins, and the Attacker and Defender play a zero sum differential game where the cost/payoff is the Attacker's terminal distance to the target. This formulation is representative of a scenario in which the Attacker inflicts damage on the target as a function of its terminal distance. The state-feedback …",16
Adaptive partitioning for coordinated multi-agent perimeter defense,"Douglas G Macharet, Austin K Chen, Daigo Shishika, George J Pappas, Vijay Kumar",2020/10/24,Conference 2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"Multi-Robot Systems have been recently employed in different applications and have advantages over single-robot systems, such as increased robustness and task performance efficiency. We consider such assemblies specifically in the scenario of perimeter defense, where the task is to defend a circular perimeter by intercepting radially approaching targets. Possible intruders appear randomly at a fixed distance from the perimeter and with azimuthal location determined by some unknown probability density. Coordination among multiple defenders is a complex combinatorial optimization problem. In this work, we focus on the following two aspects: (i) estimating the probability density that describes the direction from which the next intruders are going to arrive, and (ii) partitioning of the space so that the defenders focus on capturing a disjoint subset of intruders. Results show that the proposed strategy increases the …",16
Mosquito-inspired distributed swarming and pursuit for cooperative defense against fast intruders,"Daigo Shishika, Derek A Paley",2019/10/15,Journal Autonomous Robots,"Inspired by the swarming behavior of male mosquitoes that aggregate to attract and subsequently pursue a female mosquito, we study how random swarming motion in autonomous vehicles affects the success of target capture. We consider the scenario in which multiple guardians with limited perceptual range and bounded acceleration are deployed to protect an area from an intruder. The main challenge for the guardian (male mosquito) is to quickly respond to a fast intruder (female) by matching its velocity. We focus on the motion strategy for the guardians before they perceive the intruder, which we call the swarming phase. In the parameter space consisting of the intruder’s speed and guardians’ ability (i.e., maximum acceleration and perceptual range) we identify necessary and sufficient conditions for target capture. We propose a swarming algorithm inspired by the behavior of male mosquitoes to …",12
