titles,authors,date,source,descriptions,citations
Review of robotic infrastructure inspection systems,"David Lattanzi, Gregory Miller",2017/9/1,Source Journal of Infrastructure Systems,"In order to minimize the costs, risks, and disruptions associated with structural inspections, robotic systems have increasingly been studied as an enhancement to current inspection practices. Combined with the increasing variety of commercially available robots, the last two decades have seen dramatic growth in the application of such systems. The use of these systems spans the breadth of civil infrastructure works, and the variety of implemented robotic systems is growing rapidly. However, the highly interdisciplinary nature of research in this field means that results are disseminated across a broad variety of publications. This review paper aggregates these studies in an effort to distill the state of the art in inspection robotics, as well as to assess outstanding challenges in the field and possibilities for the future. Overall, analysis of these studies illustrates that the design of inspection robots is often a case-specific …",172
Unmanned aerial vehicle inspection of the Placer River Trail Bridge through image-based 3D modelling,"Ali Khaloo, David Lattanzi, Keith Cunningham, Rodney Dell’Andrea, Mark Riley",2018/1/2,Journal Structure and Infrastructure Engineering,"Unmanned aerial vehicles (UAV) are now a viable option for augmenting bridge inspections. Utilising an integrated combination of a UAV and computer vision can decrease costs, expedite inspections and facilitate bridge access. Any such inspection must consider the design of the UAV, the choice of cameras, data acquisition, geometrical resolution, safety regulations and pilot protocols. The Placer River Trail Bridge in Alaska recently served as a test bed for a UAV inspection methodology that integrates these considerations. The end goal was to produce a three-dimensional (3D) model of the bridge using UAV-captured images and a hierarchical Dense Structure-from-Motion algorithm. To maximise the quality of the model and its benefits to inspectors, this goal guided UAV design and mission planning. The resulting inspection methodology integrates UAV design, data capture and data analysis together to …",161
Robust automated concrete damage detection algorithms for field applications,"David Lattanzi, Gregory R Miller",2014/3/1,Journal Journal of Computing in Civil Engineering,"This paper presents a computer vision framework supporting automated infrastructure damage detection, with a specific focus on surface crack detection in concrete. The approach presented is designed to provide a significant increase in robustness relative to existing methods when faced with widely varying field conditions while operating fast enough to be used in large scale applications. In particular, a clustering method for segmentation is developed that exploits inherent characteristics of fracture images to achieve consistent performance, combined with robust feature extraction to improve recognition algorithm classifier outcomes. The approach is shown to perform well in detecting cracks across a broad range of surface and lighting conditions, which can cause existing techniques to exhibit significant reductions in detection accuracy and/or detection speed.",71
Robust normal estimation and region growing segmentation of infrastructure 3D point cloud models,"Ali Khaloo, David Lattanzi",2017/10/1,Journal Advanced Engineering Informatics,"Modern remote sensing technologies such as three-dimensional (3D) laser scanners and image-based 3D scene reconstruction are in increasing demand for applications in civil infrastructure design, maintenance, operation, and as-built construction verification. The complex nature of the 3D point clouds these technologies generate, as well as the often massive scale of the 3D data, make it inefficient and time consuming to manually analyze and manipulate point clouds, and highlights the need for automated analysis techniques. This paper presents one such technique, a new region growing algorithm for the automated segmentation of both planar and non-planar surfaces in point clouds. A core component of the algorithm is a new point normal estimation method, an essential task for many point cloud processing algorithms. The newly developed estimation method utilizes robust multivariate statistical outlier …",68
3D scene reconstruction for robotic bridge inspection,"David Lattanzi, Gregory R Miller",2015/6/1,Journal Journal of Infrastructure Systems,"This paper provides a comparative study of two methods for reconstructing three-dimensional (3D) scenes from monocular two-dimensional (2D) images with respect to their applicability to robotic civil infrastructure inspection. The two methods considered are dense structure from motion (DSfM) and image mosaicing (IM). The primary metrics used in the comparison include: (1) the accuracy of the reconstructions for inspection measurement purposes, (2) the nature and prevalence of reconstruction artifacts, and (3) resolution demands for adequate reconstruction accuracy. A series of small-scale model reconstructions using both approaches were developed and compared. Findings from the small-scale tests were then applied to a full-scale field test of the robotic reconstruction system. Both methods generally produced geometrically accurate reconstructions, but the DSfM method was found to be more adaptable to …",58
Utilizing UAV and 3D computer vision for visual inspection of a large gravity dam,"Ali Khaloo, David Lattanzi, Adam Jachimowicz, Charles Devaney",2018,Journal Frontiers in Built Environment,"Dams are a critical infrastructure system for many communities, but they are also one of the most challenging to inspect. Dams are typically very large and complex structures, and the result is that inspections are often time-intensive and require expensive, specialized equipment and training to provide inspectors with comprehensive access to the structure. The scale and nature of dam inspections also introduces additional safety risks to the inspectors. Unmanned aerial vehicles (UAV) have the potential to address many of these challenges, particularly when used as a data acquisition platform for photogrammetric three-dimensional (3D) reconstruction and analysis, though the nature of both UAV and modern photogrammetric methods necessitates careful planning and coordination for integration. This paper presents a case study on one such integration at the Brighton Dam, a large-scale concrete gravity dam in Maryland, USA. A combination of multiple UAV platforms and multi-scale photogrammetry was used to create two comprehensive and high-resolution 3D point clouds of the dam and surrounding environment at intervals. These models were then assessed for their overall quality, as well as their ability to resolve flaws and defects that were artificially applied to the structure between inspection intervals. The results indicate that the integrated process is capable of generating models that accurately render a variety of defect types with sub-millimeter accuracy. Recommendations for mission planning and imaging specifications are provided as well.",56
Hierarchical dense structure-from-motion reconstructions for infrastructure condition assessment,"Ali Khaloo, David Lattanzi",2017/1/1,Journal Journal of Computing in Civil Engineering,"Accurate condition assessment of in-service infrastructure systems is critical for system-wide prioritization decisions. Current protocols require lengthy inspections and expensive equipment to examine large infrastructure systems. Furthermore, changes in inspection protocols over time can create discontinuities in recording and understanding the time history of a structure. To address these challenges, a systematic and adaptive technique for converting two-dimensional (2D) digital images into three-dimensional (3D) models has been developed, with the goal of creating high-resolution and scale-accurate inspection records. The developed reconstruction technique utilizes multiscale imaging to reconstruct a structure with varying levels of details and geometric complexity. The captured images are then converted into photorealistic, accurate, and dense 3D scene reconstructions by utilizing a hierarchical adaptation …",55
Deformation tracking in 3D point clouds via statistical sampling of direct cloud-to-cloud distances,"Bahman Jafari, Ali Khaloo, David Lattanzi",2017/12,Journal Journal of Nondestructive Evaluation,"Dense three-dimensional (3D) point clouds of infrastructure systems, generated from laser scanners or through multi-view photogrammetry, have significant potential as a source of nondestructive evaluation information. The growing maturity of these techniques make them capable of reconstructing photorealistic 3D models with accuracy on the millimeter scale, adequate for inspection and evaluation practices. Manual analysis of these point clouds is often time consuming and labor intensive and does not provide explicit information on structural performance and health conditions, highlighting the need for new techniques to efficiently analyze these models. This paper presents a new 3D point cloud change analysis approach for tracking small movements over time through localized spatial analytics. This technique uses a combination of a direct point-wise distance metric in conjunction with statistical …",47
Measures of the seismic vulnerability of reinforced concrete buildings in Haiti,"Patrick O'Brien, Marc Eberhard, Olafur Haraldsson, Ayhan Irfanoglu, David Lattanzi, Steven Lauer, Santiago Pujol",2011/10,Journal Earthquake Spectra,"Following the 12 January 2010 Haiti earthquake, teams of students and faculty members from the United States and Haiti surveyed 170 reinforced concrete (RC) buildings in Port-au-Prince and Léogâne. This paper summarizes the survey results and compares them with results from a similar survey done after the 1999 earthquakes near Düzce, Turkey. The survey results demonstrate that the frequency of damage in RC buildings was higher in Haiti than in Turkey. This increased level of damage is consistent with practical screening criteria based on cross-sectional areas of building columns and walls. Based on these criteria, 90% of the structures surveyed in Haiti would have been classified as seismically vulnerable before the earthquake. Damage was more frequent in structures with captive columns. A two-tiered screening process is suggested to rapidly assess the vulnerability of scores of poorly built low-rise …",43
Damage detection and finite-element model updating of structural components through point cloud analysis,"Kasra Ghahremani, Ali Khaloo, Sara Mohamadi, David Lattanzi",2018/9/1,Journal Journal of Aerospace Engineering,"Accurate and rapid condition assessment of in-service structural components is critical to ensure safety and serviceability. One major assessment consideration is the detection and quantification of structural section loss due to deterioration, for instance, from corrosion. Modern three-dimensional (3D) imaging techniques, which generate high-resolution 3D point clouds, are capable of detecting and measuring these deteriorations. However, despite advancements in the fields of automated point cloud analysis for as-built modeling and structural inspection, the potential use of spatial 3D data for updating numerical finite-element (FE) models of structures is still an emergent topic. This paper presents a localized methodology for the automatic and systematic detection and quantification of damages in structural components using high-fidelity 3D point cloud data, followed by a corresponding local update to an FE model …",27
