titles,authors,date,source,descriptions,citations
Fast approximation of betweenness centrality through sampling,"Matteo Riondato, Evgenios M Kornaropoulos",2016/3,Journal Data Mining and Knowledge Discovery,"Betweenness centrality is a fundamental measure in social network analysis, expressing the importance or influence of individual vertices in a network in terms of the fraction of shortest paths that pass through them. Exact computation in large networks is prohibitively expensive and fast approximation algorithms are required in these cases. We present two efficient randomized algorithms for betweenness estimation. The algorithms are based on random sampling of shortest paths and offer probabilistic guarantees on the quality of the approximation. The first algorithm estimates the betweenness of all vertices: all approximated values are within an additive factor ɛ from the real values, with probability at least 1-δ. The second algorithm focuses on the top-K vertices with highest betweenness and approximate their betweenness within a multiplicative factor ɛ, with probability at least $1-δ. This is the first algorithm that …",260
Data recovery on encrypted databases with k-nearest neighbor query leakage,"Evgenios M Kornaropoulos, Charalampos Papamanthou, Roberto Tamassia",2019,Conference 2019 IEEE Symposium on Security and Privacy (S&P),"Recent works by Kellaris et al. (CCS'16) and Lacharite et al. (SP'18) demonstrated attacks of data recovery for encrypted databases that support rich queries such as range queries. In this paper, we develop the first data recovery attacks on encrypted databases supporting one-dimensional k-nearest neighbor (k-NN) queries, which are widely used in spatial data management. Our attacks exploit a generic k-NN query leakage profile: the attacker observes the identifiers of matched records. We consider both unordered responses, where the leakage is a set, and ordered responses, where the leakage is a k-tuple ordered by distance from the query point. As a first step, we perform a theoretical feasibility study on exact reconstruction, i.e., recovery of the exact plaintext values of the encrypted database. For ordered responses, we show that exact reconstruction is feasible if the attacker has additional access to some …",66
The State of the Uniform: Attacks on Encrypted Databases Beyond the Uniform Query Distribution.,"Evgenios M Kornaropoulos, Charalampos Papamanthou, Roberto Tamassia",2020,Journal 2020 IEEE Symposium on Security and Privacy (S&P),"Recent foundational work on leakage-abuse attacks on encrypted databases has broadened our understanding of what an adversary can accomplish with a standard leakage profile. Nevertheless, all known value reconstruction attacks succeed under strong assumptions that may not hold in the real world. The most prevalent assumption is that queries are issued uniformly at random by the client. We present the first value reconstruction attacks that succeed without any knowledge about the query or data distribution. Our approach uses the search-pattern leakage, which exists in all known structured encryption schemes but has not been fully exploited so far. At the core of our method lies a support size estimator, a technique that utilizes the repetition of search tokens with the same response to estimate distances between encrypted values without any assumptions about the underlying distribution. We develop …",58
Systems and methods for securely detecting data similarities,"Evgenios Kornaropoulos, Petros Efstathopoulos",2018/4/10,Patent office US,"A computer-implemented method for securely detecting data similarities may include (1) identifying a private data object subject to comparison to determine a similarity with at least one potentially similar data object,(2) establishing a connection between a client system and a server that is not authorized to access the private data object,(3) generating a summary of the private data object by applying a summary generation protocol between the client system and the server to the private data object without exposing plaintext from the private data object to the server and without exposing a parameter of the summary generation protocol to the client system, and (4) computing the similarity between the private data object and the potentially similar data object by using the summary of the private data object and a summary of the potentially similar data object. Various other methods, systems, and computer-readable media …",25
A novel KNN classifier for acoustic vehicle classification based on alpha-stable statistical modeling,"Evgenios M Kornaropoulos, Panagiotis Tsakalides",2009/8/31,Conference 2009 IEEE 15th Workshop on Statistical Signal Processing,"This paper describes a novel methodology for statistical modeling and classification of acoustic signals collected from a wireless sensor network. Our SalphaS kNN classifier is based on a variation of k-nearest neighbor algorithm. First, we perform a 1-D wavelet decomposition of the acoustic signal and we model the resulting subband coefficients using the alpha-stable distribution. Subsequently, the alpha-stable distribution parameters are estimated during feature extraction and the similarity between two acoustic signals is measured by employing a variant of the Kullback-Leibler Divergence (KLD) between the characteristic functions of the corresponding subband representations. We evaluate and compare the performance of the proposed methodology by using actual recorded data in a vehicle classification application.",24
DAGView: an approach for visualizing large graphs,"Evgenios M Kornaropoulos, Ioannis G Tollis",2012/9/19,Conference International Symposium on Graph Drawing,"In this paper, we propose a novel visualization framework called DAGView. The aim of DAGView is to produce clear visualizations of directed acyclic graphs in which every edge and the potential existence of a path can be immediately spotted by the user. Several criteria that users identified as important in a layout are met, such as underlying grid, crossings and bends that appear perpendicular. The main algorithm is based on the layout of directed acyclic graphs but can be extended to handle directed graphs with cycles and undirected graphs, taking into account user preferences and/or constraints. Important tasks that are used in user studies are performed efficiently within the DAGView framework.",22
Overloaded orthogonal drawings,"Evgenios M Kornaropoulos, Ioannis G Tollis",2011/9/21,Conference International Symposium on Graph Drawing,"Orthogonal drawings are widely used for graph visualization due to their high clarity of representation. In this paper we present a technique called Overloaded Orthogonal Drawing. We first place the vertices on grid points following a relaxed version of dominance drawing, called weak dominance condition. Edge routing is implied automatically by the vertex coordinates. In order to simplify these drawings we use an overloading technique. All algorithms are simple and easy to implement and can be applied to directed acyclic graphs, planar, non-planar and also undirected graphs. We also present bounds on the number of bends and the area. Overloaded Orthogonal drawings present several interesting properties such as efficient visual edge confirmation as well as simplicity and clarity of the drawing.",22
Response-hiding encrypted ranges: revisiting security via parametrized leakage-abuse attacks,"Evgenios M Kornaropoulos, Charalampos Papamanthou, Roberto Tamassia",2021/5/24,Conference 2021 IEEE Symposium on Security and Privacy (SP),"Despite a growing body of work on leakage-abuse attacks for encrypted databases, attacks on practical response-hiding constructions are yet to appear. Response-hiding constructions are superior in that they nullify access-pattern based attacks by revealing only the search token and the result size of each query. Response-hiding schemes are vulnerable to existing volume attacks, which are, however, based on strong assumptions such as the uniform query assumption or the dense database assumption. More crucially, these attacks only apply to schemes that cannot be deployed in practice (ones with quadratic storage and increased leakage) while practical response-hiding schemes (Demertzis et al. [SIGMOD’16] and Faber et al. [ESORICS’15]) have linear storage and less leakage. Due to these shortcomings, the value of existing volume attacks on response-hiding schemes is unclear.In this work, we close the …",19
Weak dominance drawings and linear extension diameter,"Evgenios M Kornaropoulos, Ioannis G Tollis",2011/8/6,Journal arXiv preprint arXiv:1108.1439,We introduce the problem of Weak Dominance Drawing for general directed acyclic graphs and we show the connection with the linear extension diameter of a partial order P. We present complexity results and bounds.,17
Weak dominance drawings for directed acyclic graphs,"Evgenios M Kornaropoulos, Ioannis G Tollis",2012/9/19,Conference International Symposium on Graph Drawing,"The dominance drawing method has many important aesthetic properties, including small number of bends, good vertex placement, and symmetry display [1]. Furthermore, it encapsulates the aspect of characterizing the transitive closure of the digraph by means of a geometric dominance relation among the vertices. A dominance drawing Γ of a planar st-graph G is a drawing, such that for any two vertices u and v there is a directed path from u to v in G if and only if X(u) ≤ X(v) and Y(u) ≤ Y(v) in Γ [1]. Here we study weak dominance drawings where for any two vertices u and v if there is a directed path from u to v in G then X(u) ≤ X(v) and Y(u) ≤ Y(v) in Γ.",15
