titles,authors,date,source,descriptions,citations
Consensus of interacting particle systems on erdös-rényi graphs,"Grant Schoenebeck, Fang-Yi Yu",2018,Book Proceedings of the Twenty-Ninth Annual ACM-SIAM Symposium on Discrete Algorithms,"Interacting Particle Systems—exemplified by the voter model, iterative majority, and iterative k—majority processes—have found use in many disciplines including distributed systems, statistical physics, social networks, and Markov chain theory. In these processes, nodes update their “opinion” according to the frequency of opinions amongst their neighbors.",19
General threshold model for social cascades: Analysis and simulations,"Jie Gao, Golnaz Ghasemiesfeh, Grant Schoenebeck, Fang-Yi Yu",2016/7/21,Book Proceedings of the 2016 ACM Conference on Economics and Computation,Social behaviors and choices spread through interactions and may lead to a cascading behavior. Understanding how such social cascades spread in a network is crucial for many applications ranging from viral marketing to political campaigns. The behavior of cascade depends crucially on the model of cascade or social influence and the topological structure of the social network.,18
Information elicitation mechanisms for statistical estimation,"Yuqing Kong, Grant Schoenebeck, Biaoshuai Tao, Fang-Yi Yu",2020/4/3,Journal Proceedings of the AAAI Conference on Artificial Intelligence,"We study learning statistical properties from strategic agents with private information. In this problem, agents must be incentivized to truthfully reveal their information even when it cannot be directly verified. Moreover, the information reported by the agents must be aggregated into a statistical estimate. We study two fundamental statistical properties: estimating the mean of an unknown Gaussian, and linear regression with Gaussian error. The information of each agent is one point in a Euclidean space.",13
The volatility of weak ties: Co-evolution of selection and influence in social networks,"Jie Gao, Grant Schoenebeck, Fang-Yi Yu",2019/5/8,Book Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems,"Social ties are not static, they evolve over time and the evolution is driven by two processes. One is selection where an individual may seek out and form new ties; often with others that have similar attributes [31]. The other social process is influence in which two individuals already connected by a social tie may influence one another and converge on their personal attributes (interest, tastes, etc)[28, 32]. Both of them result in neighboring nodes being more similar than two random nodes.",13
Two strongly truthful mechanisms for three heterogeneous agents answering one question,"Grant Schoenebeck, Fang-Yi Yu",2023/2/21,Journal ACM Transactions on Economics and Computation,"Peer prediction mechanisms incentivize self-interested agents to truthfully report their signals even in the absence of verification by comparing agents’ reports with their peers. We propose two new mechanisms, Source and Target Differential Peer Prediction, and prove very strong guarantees for a very general setting. ",8
Multi-agent performative prediction: From global stability and optimality to chaos,"Georgios Piliouras, Fang-Yi Yu",2022/1/25,Journal arXiv preprint arXiv:2201.10483,"The recent framework of performative prediction is aimed at capturing settings where predictions influence the target/outcome they want to predict. In this paper, we introduce a natural multi-agent version of this framework, where multiple decision makers try to predict the same outcome. We showcase that such competition can result in interesting phenomena by proving the possibility of phase transitions from stability to instability and eventually chaos. Specifically, we present settings of multi-agent performative prediction where under sufficient conditions their dynamics lead to global stability and optimality. In the opposite direction, when the agents are not sufficiently cautious in their learning/updates rates, we show that instability and in fact formal chaos is possible. We complement our theoretical predictions with simulations showcasing the predictive power of our results.",7
Learning and Strongly Truthful Multi-Task Peer Prediction: A Variational Approach,"Grant Schoenebeck, Fang-Yi Yu",2021,Conference 12th Innovations in Theoretical Computer Science Conference (ITCS 2021),"Peer prediction mechanisms incentivize agents to truthfully report their signals even in the absence of verification by comparing agents' reports with those of their peers. In the detail-free multi-task setting, agents respond to multiple independent and identically distributed tasks, and the mechanism does not know the prior distribution of agents' signals. The goal is to provide an -strongly truthful mechanism where truth-telling rewards agents ""strictly"" more than any other strategy profile (with  additive error), and to do so while requiring as few tasks as possible. We design a family of mechanisms with a scoring function that maps a pair of reports to a score. The mechanism is strongly truthful if the scoring function is ""prior ideal,"" and -strongly truthful as long as the scoring function is sufficiently close to the ideal one. This reduces the above mechanism design problem to a learning problem -- specifically learning an ideal scoring function. We leverage this reduction to obtain the following three results. 1) We show how to derive good bounds on the number of tasks required for different types of priors. Our reduction applies to myriad continuous signal space settings. This is the first peer-prediction mechanism on continuous signals designed for the multi-task setting. 2) We show how to turn a soft-predictor of an agent's signals (given the other agents' signals) into a mechanism. This allows the practical use of machine learning algorithms that give good results even when many agents provide noisy information. 3) For finite signal spaces, we obtain -strongly truthful mechanisms on any stochastically relevant prior, which is the maximal possible prior. In …",7
Subspace differential privacy,"Jie Gao, Ruobin Gong, Fang-Yi Yu",2022/6/28,Journal Proceedings of the AAAI Conference on Artificial Intelligence,"Many data applications have certain invariant constraints due to practical needs. Data curators who employ differential privacy need to respect such constraints on the sanitized data product as a primary utility requirement. Invariants challenge the formulation, implementation, and interpretation of privacy guarantees. We propose subspace differential privacy, to honestly characterize the dependence of the sanitized output on confidential aspects of the data. We discuss two design frameworks that convert well-known differentially private mechanisms, such as the Gaussian and the Laplace mechanisms, to subspace differentially private ones that respect the invariants specified by the curator. For linear queries, we discuss the design of near-optimal mechanisms that minimize the mean squared error. Subspace differentially private mechanisms rid the need for post-processing due to invariants, preserve transparency and statistical intelligibility of the output, and can be suitable for distributed implementation. We showcase the proposed mechanisms on the 2020 Census Disclosure Avoidance demonstration data, and a spatio-temporal dataset of mobile access point connections on a large university campus.",5
Optimal scoring rule design,"Yiling Chen, Fang-Yi Yu",2021/7/15,Journal arXiv preprint arXiv:2107.07420,"This paper introduces an optimization problem for proper scoring rule design. Consider a principal who wants to collect an agent's prediction about an unknown state. The agent can either report his prior prediction or access a costly signal and report the posterior prediction. Given a collection of possible distributions containing the agent's posterior prediction distribution, the principal's objective is to design a bounded scoring rule to maximize the agent's worst-case payoff increment between reporting his posterior prediction and reporting his prior prediction. We study two settings of such optimization for proper scoring rules: static and asymptotic settings. In the static setting, where the agent can access one signal, we propose an efficient algorithm to compute an optimal scoring rule when the collection of distributions is finite. The agent can adaptively and indefinitely refine his prediction in the asymptotic setting. We first consider a sequence of collections of posterior distributions with vanishing covariance, which emulates general estimators with large samples, and show the optimality of the quadratic scoring rule. Then, when the agent's posterior distribution is a Beta-Bernoulli process, we find that the log scoring rule is optimal. We also prove the optimality of the log scoring rule over a smaller set of functions for categorical distributions with Dirichlet priors.",5
Cascades and myopic routing in nonhomogeneous kleinberg’s small world model,"Jie Gao, Grant Schoenebeck, Fang-Yi Yu",2017/11/25,"Book Web and Internet Economics: 13th International Conference, WINE 2017, Bangalore, India, December 17–20, 2017, Proceedings","Kleinberg’s small world model [20] simulates social networks with both strong and weak ties. In his original paper, Kleinberg showed how the distribution of weak-ties, parameterized by , influences the efficacy of myopic routing on the network. Recent work on social influence by k-complex contagion models discovered that the distribution of weak-ties also impacts the spreading rate in a crucial manner on Kleinberg’s small world model [15]. In both cases the parameter of  proves special: when  is anything but 2 the properties no longer hold.",5
