titles,authors,date,source,descriptions,citations
Dynamic response of retrofitted masonry walls for blast loading,"Girum S Urgessa, Arup K Maji",2010/7,Journal Journal of Engineering Mechanics,A full-scale blast test was conducted on eight masonry walls reinforced with two and four layers of carbon fibers and two types of polymer matrices. The walls were then subjected to a 0.45-kg pentolite booster suspended from the ceiling of a test structure. The pressure-time history caused by the blast and the resulting displacement response were measured during the test. This paper presents a summary of the test program and the corresponding results from a nonlinear single degree of freedom analysis. The results provide a basis for determining effective means of retrofitting existing masonry walls and designing new structures to withstand blast loads. The paper also outlines a fiber-reinforced polymer retrofit design procedure for walls subjected to blast loading.,61
Blast response comparison of multiple steel frame connections,"Girum S Urgessa, Tomasz Arciszewski",2011/7/1,Journal Finite Elements in Analysis and Design,"When a structural steel frame is subjected to blast, the beam-to-column connections, which are responsible for load transfer between different members within the frame, play a major role in structural response. This paper presents results of a comparative finite element analysis of a steel frame subjected to a blast loading from a vehicular threat. The study compared three connection systems referred as standard, TA and SidePlateTM. Connection plate thickness variations were also considered. Strain rate effects were included in the material constitutive model. The pressure–time histories were determined using FEFLO, a general purpose computational fluid dynamics program developed by the Center for Computational Fluid Dynamics at George Mason University. The numerical results were used to compare both the structural response and the constructability of frames with the studied connection types. Three …",59
Optimum design of 3D reinforced concrete frames using DMPSO algorithm,"M Javad Esfandiari, Girum S Urgessa, S Sheikholarefin, SH Dehghan Manshadi",2018/1/1,Journal Advances in Engineering Software,"Evolutionary optimization algorithms are widely used for solving optimization problems. However, in the realm of real-world structures finding the optimum design would be difficult and time-consuming due to large number of design variables, enormous size of the search space, and availability of numerous constraints. As a result, holistic optimization approaches that consider architectural and other practical requirements in addition to required code provisions are rather limited in real-world structures. This paper presents an innovative algorithm combining multi-criterion decision-making (DM) and Particle Swarm Optimization (PSO), which is called DMPSO, for accelerating convergence toward optimum solution in 3D reinforced concrete (RC) frames. All practical requirements are considered for obtaining directly constructible designs without any further modifications. The effectiveness of the proposed algorithm is …",53
"Comparative PL study of individual ZnO nanorods, grown by APMOCVD and CBD techniques","Volodymyr Khranovskyy, Rositza Yakimova, Fredrik Karlsson, Abdul S Syed, Per-Olof Holtz, Zelalem Nigussa Urgessa, Oluwatobi Samuel Oluwafemi, Johannes Reinhardt Botha",2012/5/15,Journal Physica B: Condensed Matter,"The photoluminescence properties of individual ZnO nanorods, grown by atmospheric pressure metalorganic chemical vapor deposition (APMOCV) and chemical bath deposition (CBD) are investigated by means of temperature dependent micro-PL. It was found that the low temperature PL spectra are driven by neutral donor bound exciton emission D0X, peaked at 3.359 and 3.363eV for APMOCVD and CBD ZnO nanorods, respectively. The temperature increase causes a red energy shift of the peaks and enhancement of the free excitonic emission (FX). The FX was found to dominate after 150K for both samples. It was observed that while APMOCVD ZnO nanorods possess a constant low signal of visible deep level emission with temperature, the ZnO nanorods grown by CBD revealed the thermal activation of deep level emission (DLE) after 130K. The resulting room temperature DLE was a wide band located at …",33
Full-scale testing and analysis for blast-resistant design,"Arup K Maji, Jay P Brown, Girum S Urgessa",2008/10,Journal Journal of Aerospace Engineering,"A full-scale blast test was conducted on a structure representing a mailroom, constructed with unreinforced masonry walls. The four walls were retrofitted with different quantities of glass fiber-reinforced polymers (GFRP) on the outside face to increase their resistance to the blast load. In addition, shotcrete was added to the inside face of the two long walls. The objective of this test was to validate a method of analysis that can be used to design effective retrofit techniques to contain blast loads. A blast load was produced by the detonation of a   equivalent TNT charge placed near the center of the room. Instrumentation on individual walls monitored the blast pressure and the consequent displacement and velocity of the walls. Although the walls sustained extensive internal damage and plastic deformation, the retrofit was able to withstand the blast load. It was observed through the postmortem analysis of the …",33
Optimization of reinforced concrete frames subjected to historical time-history loadings using DMPSO algorithm,"MJ Esfandiari, GS Urgessa, S Sheikholarefin, SH Dehghan Manshadi",2018/11,Journal Structural and Multidisciplinary Optimization,"In this paper, the seismic design of reinforced concrete (RC) frames subjected to time-history loadings was formulated as an optimization problem. Because finding the optimum design is relatively difficult and time-consuming for structural dynamics problems, an innovative algorithm combining multi-criterion decision-making (DM) and Particle Swarm Optimization (PSO), called DMPSO, was presented for accelerating convergence toward the optimum solution. The effectiveness of the proposed algorithm was illustrated in some benchmark reinforced concrete optimization problems. The main goal was to minimize the cost or weight of structures subjected to time-history loadings while satisfying all design requirements imposed by building design codes. The results confirmed the ability of the proposed algorithm to find the optimal solutions for structural optimization problems subjected to time-history loadings.",26
Thermal responses of concrete slabs containing microencapsulated low-transition temperature phase change materials exposed to realistic climate conditions,"Girum Urgessa, Kyong-Ku Yun, Jaeheum Yeon, Jung Heum Yeon",2019/11/1,Journal Cement and Concrete Composites,"This study examines the effect of microencapsulated low-transition temperature phase change material (PCM) additions on the thermal response of concrete slabs subjected to long-term realistic environmental exposure. To prevent direct contact of PCM with cement hydration products and possible leakage upon liquefaction, an inert PCM was encapsulated with a melamine-formaldehyde resin via an emulsification process before being added in concrete mixtures. Temperature monitoring was performed on three 500 × 500 × 150 mm large-scale concrete slabs with and without PCM for about 14 months encompassing two cold winter seasons. Results indicated that the addition of microencapsulated PCM effectively reduced excessive temperature drop and the number of freeze-thaw cycles concrete slabs experience during winter seasons, which may lead to service life extension by up to 5.2%–35.9% based …",25
Numerical prediction model for temperature distributions in concrete at early ages,"Wondwosen Ali, Girum Urgessa",2012,Journal American Journal of Engineering and Applied Sciences,A finite element-finite difference numerical model is developed for predicting non-uniform temperature development in hydrating concrete with respect to time and space. The results obtained from this model can be used by structural and construction engineers to predict critical thermal stresses induced due to differential temperatures between the core and the surface of the concrete at early ages and between the zero-stress temperatures and the minimum equilibrating ambient temperatures that the concrete experiences during its service life. The prediction of zero-stress temperatures also enables to quantify the extent of builtin curl developed in concrete structures. The finite element is used to space discretization while the finite difference is used to obtain transient solutions of the model. The numerical formulations are then programmed in Matlab. The numerical results were compared with experimental results found in literature and demonstrated very good agreement.,22
Vibration properties of beams using frequency-domain system identification methods,Girum S Urgessa,2011/8,Journal Journal of Vibration and Control,"The application of system identification methods to a number of civil engineering structures is increasing in order to improve the understanding of actual structural behaviors and augment traditional analytical assessments. The identification methods are typically used to determine structural dynamics properties (frequencies, damping ratios and mode shapes) and detection of local structural damages and deterioration. This paper presents two frequency domain system identification methods for determining structural vibration properties: eigensystem realization algorithm and the McKelvey frequency domain subspace algorithm. The methods were used in order to formulate a mathematical model that closely matches the frequency response function obtained from a vibration experiment conducted on an uncontrolled cantilever plate. Natural frequencies and damping ratios were determined using the system …",22
"Internal relative humidity, autogenous shrinkage, and strength of cement mortar modified with superabsorbent polymers","Girum Urgessa, Ki-Bong Choi, Jung Heum Yeon",2018/9/28,Journal Polymers,"Laboratory evaluations were performed to investigate the effect of internal curing (IC) by superabsorbent polymers (SAP) on the internal relative humidity (IRH), autogenous shrinkage, coefficient of thermal expansion (CTE), and strength characteristics of low water-cement ratio (w/c) mortars. Four types of SAP with different cross-linking densities and particle sizes were used. Test results showed that the SAP inclusion effectively mitigated the IRH drops due to self-desiccation and corresponding autogenous shrinkage, and the IC effectiveness tended to increase with an increased SAP dosage. The greater the cross-linking density and particle size of SAP, the less the IRH drop and autogenous shrinkage. The trend of autogenous shrinkage developments was in good agreement with that of IRH changes, with nearly linear relationships between them. Both immediate deformation (ID)-based and full response-based CTEs were rarely affected by SAP inclusions. There were no substantial losses in compressive and flexural strengths of SAP-modified mortar compared to reference plain mortar. The findings revealed that SAPs can be effectively used to reduce the shrinkage cracking potential of low w/c cement-based materials at early ages, without compromising mechanical and thermal characteristics.",21
