titles,authors,date,source,descriptions,citations
"Multi-mJ, kHz, 2.1 μm optical parametric chirped-pulse amplifier and high-flux soft x-ray high-harmonic generation","Kyung-Han Hong, Chien-Jen Lai, Jonathas P Siqueira, Peter Krogen, Jeffrey Moses, Chun-Lin Chang, Gregory J Stein, Luis E Zapata, Franz X Kärtner",2014/6/1,Journal Optics letters,"We report on a multi-mJ 2.1 μm optical parametric chirped-pulse amplification (OPCPA) system operating at 1 kHz repetition rate, pumped by a picosecond cryogenic Yb:YAG laser, and the demonstration of soft x-ray high-harmonic generation (HHG) with a flux of ∼2×10^8  photon/s/1% bandwidth at 160 eV in Ar. The 1 kHz cryogenic Yb:YAG pump laser amplifies pulses up to 56 mJ and delivers compressed 42 mJ, 17 ps pulses to the 2.1 μm OPCPA system. In the three-stage OPCPA chain, we have obtained up to 2.6 mJ of output energies at 2.1 μm and pulses compressed to 40 fs with good beam quality. Finally, we show cut-off extension of HHG driven by this 2.1 μm source in Ar and N_2 gas cells to 190 eV with high photon flux. Our 3D propagation simulation confirms the generation of soft x-ray attosecond pulses from the experiment with Ar.",133
Three-octave-spanning supercontinuum generation and sub-two-cycle self-compression of mid-infrared filaments in dielectrics,"Houkun Liang, Peter Krogen, Ross Grynko, Ondrej Novak, Chun-Lin Chang, Gregory J Stein, Darshana Weerawarne, Bonggu Shim, Franz X Kärtner, Kyung-Han Hong",2015/3/15,Journal Optics letters,We experimentally and numerically investigate the spectral and temporal structure of mid-infrared (mid-IR) filaments in bulk dielectrics with normal and anomalous group velocity dispersion (GVD) pumped by a 2.1 μm optical parametric chirped-pulse amplifier (OPCPA). The formation of stable and robust filaments with several microjoules of pulse energy is observed. We demonstrate a supercontinuum that spans more than three octaves from ZnS in the normal GVD regime and self-compression of the mid-IR pulse to sub-two-cycle duration in CaF_2 in the anomalous GVD regime. The experimental observations quantitatively agree well with the numerical simulations based on a three-dimensional nonlinear wave equation that reveals the detailed spatio-temporal dynamics of mid-IR filaments in dielectrics.,115
"Water-window soft x-ray high-harmonic generation up to the nitrogen K-edge driven by a kHz, 2.1 μm OPCPA source","Gregory J Stein, Phillip D Keathley, Peter Krogen, Houkun Liang, Jonathas P Siqueira, Chun-Lin Chang, Chien-Jen Lai, Kyung-Han Hong, Guillaume M Laurent, Franz X Kärtner",2016/7/13,"Journal Journal of Physics B: Atomic, Molecular and Optical Physics","We report the generation of coherent water-window soft x-ray harmonics in a neon-filled semi-infinite gas cell driven by a femtosecond multi-mJ mid-infrared optical parametric chirped-pulse amplification (OPCPA) system at a 1 kHz repetition rate. The cutoff energy was extended to∼ 450 eV with a 2.1 μm driver wavelength and a photon flux of  photons/s/1% bandwidth was obtained at 350 eV. A comparable photon flux of  photons/s/1% bandwidth was observed at the nitrogen K-edge of 410 eV. This is the first demonstration of water-window harmonic generation up to the nitrogen K-edge from a kHz OPCPA system. Finally, this system is suitable for time-resolved soft x-ray near-edge absorption spectroscopy. Further scaling of the driving pulse's energy and repetition rate is feasible due to the availability of high-power picosecond Yb-doped pump laser technologies, thereby enabling ultrafast …",66
"Learning over subgoals for efficient navigation of structured, unknown environments","Gregory J Stein, Christopher Bradley, Nicholas Roy",2018/10/23,Conference Conference on robot learning,"We propose a novel technique for efficiently navigating unknown environments over long horizons by learning to predict properties of unknown space. We generate a dynamic action set defined by the current map, factor the Bellman Equation in terms of these actions, and estimate terms, such as the probability that navigating beyond a particular subgoal will lead to a dead-end, that are otherwise difficult to compute. Simulated agents navigating with our Learned Subgoal Planner in real-world floor plans demonstrate a 21% expected decrease in cost-to-go compared to standard optimistic planning techniques that rely on Dijkstra’s algorithm, and real-world agents show promising navigation performance as well.",47
"High-energy, kHz, picosecond hybrid Yb-doped chirped-pulse amplifier","Chun-Lin Chang, Peter Krogen, Kyung-Han Hong, Luis E Zapata, Jeffrey Moses, Anne-Laure Calendron, Houkun Liang, Chien-Jen Lai, Gregory J Stein, Phillip D Keathley, Guillaume Laurent, Franz X Kärtner",2015/4/20,Journal Optics express,"We report on a diode-pumped, hybrid Yb-doped chirped-pulse amplification (CPA) laser system with a compact pulse stretcher and compressor, consisting of Yb-doped fiber preamplifiers, a room-temperature Yb:KYW regenerative amplifier (RGA), and cryogenic Yb:YAG multi-pass amplifiers. The RGA provides a relatively broad amplification bandwidth and thereby a long pulse duration to mitigate B-integral in the CPA chain. The ~1030-nm laser pulses are amplified up to 70 mJ at 1-kHz repetition rate, currently limited by available optics apertures, and then compressed to ~6 ps with high efficiency. The near-diffraction-limited beam focusing quality is demonstrated with M_x ^2 = 1.1 and M_y ^2 = 1.2. The shot-to-shot energy fluctuation is as low as ~1% (rms), and the long-term energy drift and beam pointing stability for over 8 hours measurement are ~3.5% and <6 μrad (rms), respectively. To the best of our …",47
Kagome-fiber-based pulse compression of mid-infrared picosecond pulses from a Ho: YLF amplifier,"Krishna Murari, GJ Stein, H Cankaya, Benoît Debord, Frédéric Gérôme, G Cirmi, OD Mücke, P Li, A Ruehl, I Hartl, K-H Hong, F Benabid, FX Kärtner",2016/8/20,Journal Optica,"Over the last decade, the development of ultrafast laser pulses in the mid-infrared (MIR) region has led to important breakthroughs in attosecond science and strong-field physics. However, as most such broadband MIR laser sources are near-IR pumped, the generation of high-intensity, long-wavelength MIR pulses is still a challenge, especially starting from picosecond pulses. Here we report, both experimentally and numerically, nonlinear pulse compression of sub-millijoule picosecond pulses down to sub-300 fs at 2050 nm wavelength in gas-filled Kagome-type hollow-core photonic crystal fibers for driving MIR optical parametric amplifiers. The pump laser is comprised of a compact fiber laser-seeded 2 μm chirped pulse amplification system based on a Ho:YLF crystal at 1 kHz repetition rate. Spectral broadening is studied for different experimental conditions with variations of gas pressure and incident pulse …",39
"Generation of bright, spatially coherent soft X-ray high harmonics in a hollow waveguide using two-color synthesized laser pulses","Cheng Jin, Gregory J Stein, Kyung-Han Hong, Chii D Lin",2015/7/22,Journal Physical Review Letters,"We investigate the efficient generation of low-divergence high-order harmonics driven by waveform-optimized laser pulses in a gas-filled hollow waveguide. The drive waveform is obtained by synthesizing two-color laser pulses, optimized such that highest harmonic yields are emitted from each atom. Optimization of the gas pressure and waveguide configuration has enabled us to produce bright and spatially coherent harmonics extending from the extreme ultraviolet to soft x rays. Our study on the interplay among waveguide mode, atomic dispersion, and plasma effect uncovers how dynamic phase matching is accomplished and how an optimized waveform is maintained when optimal waveguide parameters (radius and length) and gas pressure are identified. Our analysis should help laboratory development in the generation of high-flux bright coherent soft x rays as tabletop light sources for applications.",38
GeneSIS-RT: Generating synthetic images for training secondary real-world tasks,"Gregory J Stein, Nicholas Roy",2018/5/21,Conference 2018 IEEE International Conference on Robotics and Automation (ICRA),"We propose a novel approach for generating high-quality, synthetic data for domain-specific learning tasks, for which training data may not be readily available. We leverage recent progress in image-to-image translation to bridge the gap between simulated and real images, allowing us to generate realistic training data for real-world tasks using only unlabeled real-world images and a simulation. GeneSIS-Rtameliorates the burden of having to collect labeled real-world images and is a promising candidate for generating high-quality, domain-specific, synthetic data. To show the effectiveness of using GeneSIS-Rtto create training data, we study two tasks: semantic segmentation and reactive obstacle avoidance. We demonstrate that learning algorithms trained using data generated by GeneSIS-RT make high-accuracy predictions and outperform systems trained on raw simulated data alone, and as well or better …",34
"Multi-mJ, kHz, ps deep-ultraviolet source","Chun-Lin Chang, Peter Krogen, Houkun Liang, Gregory J Stein, Jeffrey Moses, Chien-Jen Lai, Jonathas P Siqueira, Luis E Zapata, Franz X Kärtner, Kyung-Han Hong",2015/2/15,Journal Optics letters,"We demonstrate a 0.56-GW, 1-kHz, 4.2-ps, 2.74-mJ deep-ultraviolet (DUV) laser at ∼257.7  nm with a beam propagation factor (M^2) of ∼2.54 from a frequency-quadrupled cryogenic multi-stage Yb-doped chirped-pulse amplifier. The frequency quadrupling is achieved using LiB_3O_5 and β-BaB_2O_4 crystals for near-infrared (NIR)-to-green and green-to-DUV conversion, respectively. An overall NIR-to-DUV efficiency of ∼10% has been achieved, which is currently limited by the thermal-induced phase mismatching and the DUV-induced degradation of transmittance. To the best of our knowledge, this is the highest peak-power picosecond DUV source from a diode-pumped solid-state laser operating at kHz repetition rates.",26
Learning unknown groundings for natural language interaction with mobile robots,"Mycal Tucker, Derya Aksaray, Rohan Paul, Gregory J Stein, Nicholas Roy",2020,Conference Robotics Research: The 18th International Symposium ISRR,"Our goal is to enable robots to understand or “ground” natural language instructions in the context of their perceived workspace. Contemporary models learn a probabilistic correspondence between input phrases and semantic concepts (or groundings) such as objects, regions or goals for robot motion derived from the robot’s world model. Crucially, these models assume a fixed and a priori known set of object types as well as phrases and train probable correspondences offline using static language-workspace corpora. Hence, model inference fails when an input command contains unknown phrases or references to novel object types that were not seen during the training. We introduce a probabilistic model that incorporates a notion of unknown groundings and learns a correspondence between an unknown phrase and an unknown object that cannot be classified into known visual categories. Further, we extend …",24
