titles,authors,date,source,descriptions,citations
A review on virtual reality skill training applications,"Biao Xie, Huimin Liu, Rawan Alghofaili, Yongqi Zhang, Yeling Jiang, Flavio Destri Lobo, Changyang Li, Wanwan Li, Haikun Huang, Mesut Akdere, Christos Mousas, Lap-Fai Yu",2021/4/30,Source Frontiers in Virtual Reality,"This study aimed to discuss the research efforts in developing virtual reality (VR) technology for different training applications. To begin with, we describe how VR training experiences are typically created and delivered using the current software and hardware. We then discuss the challenges and solutions of applying VR training to different application domains, such as first responder training, medical training, military training, workforce training, and education. Furthermore, we discuss the common assessment tests and evaluation methods used to validate VR training effectiveness. We conclude the article by discussing possible future directions to leverage VR technology advances for developing novel training experiences.",62
Deep trail-following robotic guide dog in pedestrian environments for people who are blind and visually impaired-learning from virtual and real worlds,"Tzu-Kuan Chuang, Ni-Ching Lin, Jih-Shi Chen, Chen-Hao Hung, Yi-Wei Huang, Chunchih Teng, Haikun Huang, Lap-Fai Yu, Laura Giarré, Hsueh-Cheng Wang",2018/5/21,Conference 2018 IEEE International Conference on Robotics and Automation (ICRA),"Navigation in pedestrian environments is critical to enabling independent mobility for the blind and visually impaired (BVI) in their daily lives. White canes have been commonly used to obtain contact feedback for following walls, curbs, or man-made trails, whereas guide dogs can assist in avoiding physical contact with obstacles or other pedestrians. However, the infrastructures of tactile trails or guide dogs are expensive to maintain. Inspired by the autonomous lane following of self-driving cars, we wished to combine the capabilities of existing navigation solutions for BVI users. We proposed an autonomous, trail-following robotic guide dog that would be robust to variances of background textures, illuminations, and interclass trail variations. A deep convolutional neural network (CNN) is trained from both the virtual and realworld environments. Our work included major contributions: 1) conducting experiments to …",44
Pose-guided level design,"Yongqi Zhang, Biao Xie, Haikun Huang, Elisa Ogawa, Tongjian You, Lap-Fai Yu",2019/5/2,Book Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,"Player's physical experience is a critical factor to consider in designing motion-based games that are played through motion sensor gaming consoles or virtual reality devices. However, adjusting the physical challenge involved in a motion-based game is difficult and tedious, as it is typically done manually by level designers on a trial-and-error basis. In this paper, we propose a novel approach for automatically synthesizing levels for motion-based games that can achieve desired physical movement goals. By formulating the level design problem as a trans-dimensional optimization problem which is solved by a reversible-jump Markov chain Monte Carlo technique, we show that our approach can automatically synthesize a variety of game levels, each carrying the desired physical movement properties. To demonstrate the generality of our approach, we synthesize game levels for two different types of motion-based …",36
Exercise intensity-driven level design,"Biao Xie, Yongqi Zhang, Haikun Huang, Elisa Ogawa, Tongjian You, Lap-Fai Yu",2018/1/17,Journal IEEE transactions on visualization and computer graphics,"Games and experiences designed for virtual or augmented reality usually require the player to move physically to play. This poses substantial challenge for level designers because the player's physical experience in a level will need to be considered, otherwise the level may turn out to be too exhausting or not challenging enough. This paper presents a novel approach to optimize level designs by considering the physical challenge imposed upon the player in completing a level of motion-based games. A game level is represented as an assembly of chunks characterized by the exercise intensity levels they impose on players. We formulate game level synthesis as an optimization problem, where the chunks are assembled in a way to achieve an optimized level of intensity. To allow the synthesis of game levels of varying lengths, we solve the trans-dimensional optimization problem with a Reversible-jump Markov …",27
Automatic optimization of wayfinding design,"Haikun Huang, Ni-Ching Lin, Lorenzo Barrett, Darian Springer, Hsueh-Cheng Wang, Marc Pomplun, Lap-Fai Yu",2017/10/10,Journal IEEE transactions on visualization and computer graphics,"Wayfinding signs play an important role in guiding users to navigate in a virtual environment and in helping pedestrians to find their ways in a real-world architectural site. Conventionally, the wayfinding design of a virtual environment is created manually, so as the wayfinding design of a real-world architectural site. The many possible navigation scenarios, as well as the interplay between signs and human navigation, can make the manual design process overwhelming and non-trivial. As a result, creating a wayfinding design for a typical layout can take months to several years. In this paper, we introduce the Way to Go! approach for automatically generating a wayfinding design for a given layout. The designer simply has to specify some navigation scenarios; our approach will automatically generate an optimized wayfinding design with signs properly placed considering human agents' visibility and possibility of …",27
Lost in style: Gaze-driven adaptive aid for vr navigation,"Rawan Alghofaili, Yasuhito Sawahata, Haikun Huang, Hsueh-Cheng Wang, Takaaki Shiratori, Lap-Fai Yu",2019/5/2,Book Proceedings of the 2019 CHI conference on human factors in computing systems,"A key challenge for virtual reality level designers is striking a balance between maintaining the immersiveness of VR and providing users with on-screen aids after designing a virtual experience. These aids are often necessary for wayfinding in virtual environments with complex paths. We introduce a novel adaptive aid that maintains the effectiveness of traditional aids, while equipping designers and users with the controls of how often help is displayed. Our adaptive aid uses gaze patterns in predicting user's need for navigation aid in VR and displays mini-maps or arrows accordingly. Using a dataset of gaze angle sequences of users navigating a VR environment and markers of when users requested aid, we trained an LSTM to classify user's gaze sequences as needing navigation help and display an aid. We validated the efficacy of the adaptive aid for wayfinding compared to other commonly-used wayfinding …",26
Audible panorama: Automatic spatial audio generation for panorama imagery,"Haikun Huang, Michael Solah, Dingzeyu Li, Lap-Fai Yu",2019/5/2,Book Proceedings of the 2019 CHI conference on human factors in computing systems,"As 360 deg cameras and virtual reality headsets become more popular, panorama images have become increasingly ubiquitous. While sounds are essential in delivering immersive and interactive user experiences, most panorama images, however, do not come with native audio. In this paper, we propose an automatic algorithm to augment static panorama images through realistic audio assignment. We accomplish this goal through object detection, scene classification, object depth estimation, and audio source placement. We built an audio file database composed of over  audio files to facilitate this process. We designed and conducted a user study to verify the efficacy of various components in our pipeline. We run our method on a large variety of panorama images of indoor and outdoor scenes. By analyzing the statistics, we learned the relative importance of these components, which can be used in …",20
Optimizing visual element placement via visual attention analysis,"Rawan Alghofaili, Michael S Solah, Haikun Huang, Yasuhito Sawahata, Marc Pomplun, Lap-Fai Yu",2019/3/23,Conference 2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),"Eye-tracking enables researchers to conduct complex analysis on human behavior. With the recent introduction of eye-tracking into consumer-grade virtual reality headsets, the barrier of entry to visual attention analysis in virtual environments has been lowered significantly. Whether for arranging artwork in a virtual museum, posting banners for virtual events or placing advertisements in virtual worlds, analyzing visual attention patterns provides a powerful means for guiding visual element placement. In this work, we propose a novel data-driven optimization approach for automatically analyzing visual attention and placing visual elements in 3D virtual environments. Using an eye-tracking virtual reality headset, we collect eye-tracking data which we use to train a regression model for predicting gaze duration. We then use the predicted gaze duration output of our regressors to optimize the placement of visual …",17
Toward automatic audio description generation for accessible videos,"Yujia Wang, Wei Liang, Haikun Huang, Yongqi Zhang, Dingzeyu Li, Lap-Fai Yu",2021/5/6,Book Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems," Video accessibility is essential for people with visual impairments. Audio descriptions describe what is happening on-screen, e.g., physical actions, facial expressions, and scene changes. Generating high-quality audio descriptions requires a lot of manual description generation [50]. To address this accessibility obstacle, we built a system that analyzes the audiovisual contents of a video and generates the audio descriptions. The system consisted of three modules: AD insertion time prediction, AD generation, and AD optimization. We evaluated the quality of our system on five types of videos by conducting qualitative studies with 20 sighted users and 12 users who were blind or visually impaired. Our findings revealed how audio description preferences varied with user types and video types. Based on our study’s analysis, we provided recommendations for the development of future audio description generation …",12
Effects of exergaming on cognition and gait in older adults at risk for falling,"Elisa F Ogawa, Haikun Huang, Lap-Fai Yu, Philimon N Gona, Richard K Fleming, Suzanne G Leveille, Tongjian You",2020/3/1,Journal Medicine & Science in Sports & Exercise,"OGAWA, EF, H. HUANG, L. YU, PN GONA, RK FLEMING, SG LEVEILLE, and T. YOU. Effects of Exergaming on Cognition and Gait in Older Adults at Risk for Falling. Med. Sci. Sports Exerc., Vol. 52, No. 3, pp. 754–761, 2020. Purpose: To test whether an 8-wk exergaming (EG) program would improve cognition and gait characteristics compared with a traditional physical exercise (TPE) program in older adults at risk for falling. Methods: A pilot quasi-experimental study was conducted in adults age≥ 65 yr at risk for falls, living in senior communities. Participants enrolled (n= 35) in either exercise program offered twice weekly for 8 wk. Cognition and single-task and dual-task gait characteristics were measured before and after the 8-wk exercise intervention. For each outcome, a repeated-measures ANCOVA adjusted for age, gender, and exercise intensity (ratings of perceived exertion, RPE) was used to examine the group–time interaction. Results: Twentynine participants (age, 77±7 yr) completed either the EG program (n= 15) or the TPE program (n= 14). Statistically significant group–time interactions were observed in Trail Making Test Part A (P< 0.05) and single-task gait speed, stride length, swing time percentage, and double support percentage (all P< 0.05), and marginal group differences were observed in Mini-Mental State Examination (P= 0.07), all favoring the EG program. There were no statistically significant group differences in dual-task gait measurements except for swing time percentage and double support percentage, favoring the EG program. Conclusions: An 8-wk EG program for older adults at risk for falls contributed to modest …",10
