titles,authors,date,source,descriptions,citations
A qualitative examination of topical tweet and retweet practices,"Meenakshi Nagarajan, Hemant Purohit, Amit Sheth",2010/5/16,Conference ICWSM,"This work contributes to the study of retweet behavior on Twitter surrounding real-world events. We analyze over a million tweets pertaining to three events, present general tweet properties in such topical datasets and qualitatively analyze the properties of the retweet behavior surrounding the most tweeted/viral content pieces. Findings include a clear relationship between sparse/dense retweet patterns and the content and type of a tweet itself; suggesting the need to study content properties in link-based diffusion models.",172
Emergency-Relief Coordination on Social Media: Automatically Matching Resource Requests and Offers,"Hemant Purohit, Carlos Castillo, Fernando Diaz, Amit Sheth, Patrick Meier",2013,Journal First Monday,"Disaster affected communities are increasingly turning to social media for communication and coordination. This includes reports on needs (demands) and offers (supplies) of resources required during emergency situations. Identifying and matching such requests with potential responders can substantially accelerate emergency relief efforts. Current work of disaster management agencies is labor intensive, and there is substantial interest in automated tools.",138
Identifying Seekers and Suppliers in Social Media Communities to Support Crisis Coordination,"Hemant Purohit, Andrew Hampton, Shreyansh Bhatt, V Shalin, Amit Sheth, John Flach",2014,Journal Journal of CSCW,"Effective crisis management has long relied on both the formal and informal response communities. Social media platforms such as Twitter increase the participation of the informal response community in crisis response. Yet, challenges remain in realizing the formal and informal response communities as a cooperative work system. We demonstrate a supportive technology that recognizes the existing capabilities of the informal response community to identify needs (seeker behavior) and provide resources (supplier behavior), using their own terminology. To facilitate awareness and the articulation of work in the formal response community, we present a technology that can bridge the differences in terminology and understanding of the task between the formal and informal response communities. This technology includes our previous work using domain-independent features of conversation to identify indications of …",110
What kind of# conversation is Twitter? Mining# psycholinguistic cues for emergency coordination,"Hemant Purohit, Andrew Hampton, Valerie L Shalin, Amit P Sheth, John Flach, Shreyansh Bhatt",2013/11/30,Journal Computers in Human Behavior,"The information overload created by social media messages in emergency situations challenges response organizations to find targeted content and users. We aim to select useful messages by detecting the presence of conversation as an indicator of coordinated citizen action. Using simple linguistic indicators drawn from conversation analysis in social science, we model the presence of coordination in the communication landscape of Twitter1 using a corpus of 1.5 million tweets for various disaster and non-disaster events spanning different periods, lengths of time, and varied social significance. Within replies, retweets and tweets that mention other Twitter users, we found that domain-independent, linguistic cues distinguish likely conversation from non-conversation in this online form of mediated communication. We demonstrate that these likely conversation subsets potentially contain more information than non …",101
Twitris-a System for Collective Social Intelligence,"Amit Sheth, Ashutosh Jadhav, Pavan Kapanipathi, Chen Lu, Hemant Purohit, Gary Alan, Wenbo Wang Smith",2014,Book Encyclopedia of Social Network Analysis and Mining,"Well over a billion people have become'citizens' of an Internet-or Web-enabled social community. Web 2.0 fostered the open environment and applications for tagging, blogging, wikis, and social networking sites that have made information consumption, production, and",74
Intent Classification of Short-Text on Social Media,"Hemant Purohit, Guozhu Dong, Valerie Shalin, Krishnaprasad Thirunarayan, Amit Sheth",2015/12,Conference 2015 IEEE International Conference on Smart City/SocialCom/SustainCom (SmartCity),"Social media platforms facilitate the emergence of citizen communities that discuss real-world events. Their content reflects a variety of intent ranging from social good (e.g., volunteering to help) to commercial interest (e.g., criticizing product features). Hence, mining intent from social data can aid in filtering social media to support organizations, such as an emergency management unit for resource planning. However, effective intent mining is inherently challenging due to ambiguity in interpretation, and sparsity of relevant behaviors in social data. In this paper, we address the problem of multiclass classification of intent with a use-case of social data generated during crisis events. Our novel method exploits a hybrid feature representation created by combining top-down processing using knowledge-guided patterns with bottom-up processing using a bag-of-tokens model. We employ pattern-set creation from a variety …",68
"Twitris v3: From Citizen Sensing to Analysis, Coordination and Action","Hemant Purohit, Amit Sheth",2013,Conference ICWSM,"Citizen sensing, with a billion plus active users and billion plus tweets/week, is complemented by shared information from contextually relevant Web of Data (blogs, news, and media objects) and background knowledge. How can these enable us in informing, understanding and managing a broad variety of activities and events locally and around the world? Twitris, currently in version 3, is a scalable and interactive platform which continuously collects, aggregates, integrates, and analyzes the above forms of data and knowledge to give deeper insights, as well as facilitate research and development on coordination and targeted actions related to any event. In this demonstration, we will show Twitris’ comprehensive capabilities in spatio-temporal-thematic, people-contentnetwork, and sentiment-emotion-subjectivity analyses, with examples from business intelligence including brand tracking and advertising campaigns, social/political unrests, and disaster events such as US Election 2012, Occupy Wall Street (OWS) protest, Hurricane Sandy, etc. Visitors from diverse backgrounds will be able to play with the system for analyses of archived as well as live events during the demo.",65
Twitris 2.0: Semantically empowered system for understanding perceptions from social data,"Ashutosh Jadhav, Hemant Purohit, Pavan Kapanipathi, Pramod Ananthram, Ajith Ranabahu, Vinh Nguyen, Pablo N Mendes, Alan Gary Smith, Michael Cooney, Amit Sheth",2010,Journal Semantic Web Challenge,"We present Twitris 2.0, a Semantic Web application that facilitates understanding of social perceptions by Semantics-based processing of massive amounts of event-centric data. Twitris 2.0 addresses challenges in large scale processing of social data, preserving spatio-temporal-thematic properties. Twitris 2.0 also covers context based semantic integration of multiple Web resources and expose semantically enriched social data to the public domain. Semantic Web technologies enable the systematic integration and analysis abilities.",49
Gender-based violence in 140 characters or fewer: a #BigData case study of Twitter,"Hemant Purohit, Tanvi Banerjee, Andrew Hampton, Valerie L Shalin, Nayanesh Bhandutia, Amit P Sheth",2016/1,Journal First Monday,"Public institutions are increasingly reliant on data from social media sites to measure public attitude and provide timely public engagement. Such reliance includes the exploration of public views on important social issues such as gender-based violence (GBV). In this study, we examine big (social) data consisting of nearly fourteen million tweets collected from Twitter over a period of ten months to analyze public opinion regarding GBV, highlighting the nature of tweeting practices by geographical location and gender. We demonstrate the utility of Computational Social Science to mine insight from the corpus while accounting for the influence of both transient events and sociocultural factors. We reveal public awareness regarding GBV tolerance and suggest opportunities for intervention and the measurement of intervention effectiveness assisting both governmental and non-governmental organizations in policy development.",39
Understanding User-Community Engagement by Multi-faceted Features: A Case Study on Twitter,"Hemant Purohit, Yiye Ruan, Amruta Joshi, Srinivasan Parthasarathy, Amit Sheth",2011,"Conference Social Media Engagement Workshop, WWW-2011","The widespread use of social networking websites in recent years has suggested a need for effective methods to understand the new forms of user engagement, the factors impacting them, and the fundamental reasons for such engagements. We perform exploratory analysis on Twitter1 to understand the dynamics of user engagement by studying what attracts a user to participate in discussions on a topic. We identify various factors which might affect user engagement, ranging from content properties, network topology to user characteristics on the social network, and use them to predict user joining behavior. As opposed to traditional ways of studying them separately, these factors are organized in our framework, People-Content-Network Analysis (PCNA), mainly designed to enable understanding of human social dynamics on the web. We perform experiments on various Twitter user communities formed around topics from diverse domains, with varied social significance, duration and spread. Our findings suggest that capabilities of content, user and network features vary greatly, motivating the incorporation of all the factors in user engagement analysis, and hence, a strong need can be felt to study dynamics of user engagement by using the PCNA framework. Our study also reveals certain correlation between types of event for discussion topics and impact of user engagement factors.",37
