titles,authors,date,source,descriptions,citations
A comparative study on machine learning algorithms for smart manufacturing: tool wear prediction using random forests,"Dazhong Wu, Connor Jennings, Janis Terpenny, Robert X Gao, Soundar Kumara",2017/7/1,Journal Journal of Manufacturing Science and Engineering,"Manufacturers have faced an increasing need for the development of predictive models that predict mechanical failures and the remaining useful life (RUL) of manufacturing systems or components. Classical model-based or physics-based prognostics often require an in-depth physical understanding of the system of interest to develop closed-form mathematical models. However, prior knowledge of system behavior is not always available, especially for complex manufacturing systems and processes. To complement model-based prognostics, data-driven methods have been increasingly applied to machinery prognostics and maintenance management, transforming legacy manufacturing systems into smart manufacturing systems with artificial intelligence. While previous research has demonstrated the effectiveness of data-driven methods, most of these prognostic methods are based on classical machine learning …",458
A fog computing-based framework for process monitoring and prognosis in cyber-manufacturing,"Dazhong Wu, Shaopeng Liu, Li Zhang, Janis Terpenny, Robert X Gao, Thomas Kurfess, Judith A Guzzo",2017/4/1,Journal Journal of Manufacturing Systems,"Small- and medium-sized manufacturers, as well as large original equipment manufacturers (OEMs), have faced an increasing need for the development of intelligent manufacturing machines with affordable sensing technologies and data-driven intelligence. Existing monitoring systems and prognostics approaches are not capable of collecting the large volumes of real-time data or building large-scale predictive models that are essential to achieving significant advances in cyber-manufacturing. The objective of this paper is to introduce a new computational framework that enables remote real-time sensing, monitoring, and scalable high performance computing for diagnosis and prognosis. This framework utilizes wireless sensor networks, cloud computing, and machine learning. A proof-of-concept prototype is developed to demonstrate how the framework can enable manufacturers to monitor machine health …",269
An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction,"Zhixiong Li, Dazhong Wu, Chao Hu, Janis Terpenny",2019/4/1,Journal Reliability Engineering & System Safety,"Remaining useful life (RUL) prediction is crucial for the implementation of predictive maintenance strategies. While significant research has been conducted in model-based and data-driven prognostics, there has been little research reported on the RUL prediction using an ensemble learning method that combines prediction results from multiple learning algorithms. The objective of this research is to introduce a new ensemble prognostics method that takes into account the effects of degradation on the accuracy of RUL prediction. Specifically, this method assigns an optimized, degradation-dependent weight to each learner (i.e., learning algorithm) such that the weighted sum of the prediction results from all the learners predicts the RULs of engineered systems with better accuracy. The ensemble prognostics method is demonstrated using two case studies. One case study is to predict the RULs of aircraft bearings …",122
Harnessing product complexity: step 1—establishing product complexity dimensions and indicators,"Nihal Orfi, Janis Terpenny, Asli Sahin-Sariisik",2011/2/28,Journal The Engineering Economist,"With today's level of market competition and demand for diverse product offerings, more companies are now pressured to increase product variety as a strategy to maintain and increase market share. In addition to its associated direct costs, variety is considered the main source of product complexity, which has been proven to negatively impact product development time, productivity, costs, and customer satisfaction.",109
Cybersecurity for digital manufacturing,"Dazhong Wu, Anqi Ren, Wenhui Zhang, Feifei Fan, Peng Liu, Xinwen Fu, Janis Terpenny",2018/7/1,Journal Journal of manufacturing systems,"Digital manufacturing aims to create highly customizable products with higher quality and lower costs by integrating Industrial Internet of Things, big data analytics, cloud computing, and advanced robots into manufacturing plants. As manufacturing machines are increasingly retrofitted with sensors as well as connected via wireless networks or wired Ethernet, digital manufacturing systems are becoming more accessible than ever. While advancement in sensing, artificial intelligence, and wireless technologies enables a paradigm shift in manufacturing, cyber-attacks pose significant threats to the manufacturing sector. This paper presents a review of cybersecurity in digital manufacturing systems from system characterization, threat and vulnerability identification, control, and risk determination aspects as well as identifies challenges and future work.",96
Design for adaptability (DFAD)—a new concept for achieving sustainable design,"Mary E Kasarda, Janis P Terpenny, Dan Inman, Karl R Precoda, John Jelesko, Asli Sahin, Jaeil Park",2007/12/1,Journal Robotics and Computer-Integrated Manufacturing,"This paper discusses the concepts associated with a new methodology, design for adaptation (DFAD), under development for achieving advanced sustainable designs. The DFAD methodology concept is based on the hypothesis that product life ends because a product is unable to adapt to change. A product may be retired for myriad reasons including that it is broken, out of style, or has become inefficient due to technology obsolescence. In these cases, the product was not able to adapt to change—it was unable to self-heal, it could not modify or reconfigure to meet changing fashion needs, or it could not be upgraded, for physical or economic reasons, to utilize new technology. To address these and similar issues, we are developing the DFAD methodology. DFAD is based on classical control theory and products are conceptualized and modeled as dynamic systems with feedback control strategies to respond, or …",94
Cloud-based machine learning for predictive analytics: Tool wear prediction in milling,"Dazhong Wu, Connor Jennings, Janis Terpenny, Soundar Kumara",2016/12/5,Conference 2016 IEEE International Conference on Big Data (Big Data),"The proliferation of real-time monitoring systems and the advent of Industrial Internet of Things (IIoT) over the past few years necessitates the development of scalable and parallel algorithms that help predict mechanical failures and remaining useful life of a manufacturing system or system components. Classical model-based prognostics require an in-depth physical understanding of the system of interest and oftentimes assume certain stochastic or random processes. To overcome the limitations of model-based methods, data-driven methods such as machine learning have been increasingly applied to prognostics and health management (PHM). While machine learning algorithms are able to build accurate predictive models, large volumes of training data are required. Consequently, machine learning techniques are not computationally efficient for data-driven PHM. The objective of this research is to create a …",75
Development and utilization of ontologies in design for manufacturing,"Xiaomeng Chang, Rahul Rai, Janis Terpenny",2010/2/1,Journal Journal of Mechanical Design,"There are many challenges associated with the design and realization of fast changing highly customized products. One promising approach is to implement design for manufacturing (DFM) strategies aimed at reducing production costs without compromising product quality. For manufacturers doing business in a globally distributed market place, effective reuse and sharing of the DFM knowledge in a collaborative environment is essential. In recent years, ontologies are increasingly used for knowledge management in engineering. Here, ontology is defined as a formal specification of domain knowledge that can be used to define a set of data and structure that enables experts to share information in a domain of interest, to aid information reasoning, and to manage and reuse data. The primary goal of this paper is to put forward the process of ontology development and utilization for DFM and to study the most …",72
Forecasting obsolescence risk and product life cycle with machine learning,"Connor Jennings, Dazhong Wu, Janis Terpenny",2016/8/15,"Journal IEEE Transactions on Components, Packaging and Manufacturing Technology","Rapid changes in technology have led to an increasingly fast pace of product introductions. For long-life systems (e.g., planes, ships, and nuclear power plants), rapid changes help sustain useful life, but at the same time, present significant challenges associated with obsolescence management. Over the years, many approaches for forecasting obsolescence risk and product life cycle have been developed. However, gathering inputs required for forecasting is often subjective and laborious, causing inconsistencies in predictions. To address these issues, the objective of this research is to develop a machine learning-based methodology capable of forecasting obsolescence risk and product life cycle accurately while minimizing maintenance and upkeep of the forecasting system. Specifically, this new methodology enables prediction of both the obsolescence risk level and the date when a part becomes obsolete. A …",68
An ontology-based support for product conceptual design,"Xiaomeng Chang, Asli Sahin, Janis Terpenny",2008/12/1,Journal Robotics and computer-integrated manufacturing,"The research presented in this paper is a follow-up of our prior work involving the development of a graphical modeling tool to support designers at the conceptual design stage. To close the loop for supporting designers in generating design concepts flexibly, fast, and easily, an ontology-based approach for knowledge management that works along with the graphical modeling tool is discussed. Ontology and databases for the tool are developed to promote the systematic capture of design knowledge and efficient reuse of the design knowledge selection. In order to locate the proper information and query the data from the databases, the relationship between the ontology and databases, the data analysis process, ontology enrichment, and the ontology-based query engine are built to offer users multiple design results according to users’ requirements. A tire design example is presented to demonstrate the proposed …",68
Interactive evolutionary solution synthesis in fuzzy set-based preliminary engineering design,"Jiachuan Wang, Janis Terpenny",2003/4,Journal Journal of intelligent manufacturing,"This paper describes an interactive evolutionary approach to synthesize component-based preliminary engineering design problems. This approach is intended to address preliminary engineering design as an evolutionary synthesis process, with the needs for human-computer interaction in a changing environment caused by uncertainty and imprecision inherent in the early design stages. It combines an agent-based hierarchical design representation, set-based design generation, fuzzy design trade-off strategy and interactive design adaptation into evolutionary synthesis to gradually refine and reduce the search space while maintaining solution diversity to accommodate future changes. The fitness function of solutions employed is not fixed but adapted according to elicited human value judgment and constraint change. It incorporates multi-criteria evaluation as well as constraint satisfaction. This new …",65
